* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD560s 1_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:48:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD560s 1_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HD560s 1_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.393 31.8650
5.036232 79.404 31.8564
5.072727 79.415 31.8470
5.109486 79.428 31.8358
5.146511 79.444 31.8230
5.183805 79.463 31.8085
5.221369 79.483 31.7930
5.259205 79.503 31.7773
5.297316 79.525 31.7610
5.335702 79.549 31.7441
5.374367 79.573 31.7270
5.413311 79.597 31.7100
5.452538 79.620 31.6930
5.492050 79.643 31.6761
5.531847 79.667 31.6590
5.571934 79.691 31.6416
5.612310 79.715 31.6240
5.652979 79.739 31.6066
5.693943 79.762 31.5890
5.735204 79.785 31.5711
5.776763 79.809 31.5530
5.818624 79.833 31.5351
5.860788 79.857 31.5170
5.903258 79.880 31.4986
5.946035 79.904 31.4800
5.989123 79.928 31.4615
6.032523 79.952 31.4430
6.076237 79.976 31.4246
6.120268 79.999 31.4060
6.164618 80.022 31.3871
6.209289 80.046 31.3680
6.254284 80.070 31.3486
6.299605 80.094 31.3290
6.345255 80.118 31.3096
6.391235 80.141 31.2900
6.437549 80.164 31.2701
6.484198 80.188 31.2500
6.531185 80.212 31.2301
6.578513 80.236 31.2100
6.626183 80.260 31.1896
6.674199 80.283 31.1690
6.722563 80.306 31.1481
6.771278 80.330 31.1270
6.820345 80.354 31.1060
6.869768 80.378 31.0850
6.919549 80.402 31.0641
6.969691 80.425 31.0430
7.020196 80.448 31.0216
7.071068 80.472 31.0000
7.122308 80.496 30.9781
7.173919 80.520 30.9560
7.225904 80.544 30.9336
7.278266 80.567 30.9110
7.331007 80.590 30.8886
7.384131 80.614 30.8660
7.437639 80.638 30.8431
7.491535 80.662 30.8200
7.545822 80.686 30.7971
7.600502 80.709 30.7740
7.655579 80.732 30.7501
7.711054 80.756 30.7260
7.766932 80.780 30.7026
7.823214 80.804 30.6790
7.879904 80.828 30.6546
7.937005 80.851 30.6300
7.994520 80.874 30.6056
8.052452 80.898 30.5810
8.110803 80.922 30.5561
8.169578 80.946 30.5310
8.228777 80.969 30.5056
8.288406 80.993 30.4800
8.348468 81.017 30.4541
8.408964 81.041 30.4280
8.469899 81.065 30.4021
8.531276 81.088 30.3760
8.593097 81.111 30.3496
8.655366 81.135 30.3230
8.718086 81.159 30.2961
8.781260 81.183 30.2690
8.844893 81.207 30.2416
8.908987 81.230 30.2140
8.973545 81.253 30.1861
9.038571 81.277 30.1580
9.104069 81.301 30.1301
9.170040 81.325 30.1020
9.236490 81.349 30.0731
9.303422 81.372 30.0440
9.370838 81.395 30.0151
9.438744 81.419 29.9860
9.507140 81.443 29.9566
9.576033 81.467 29.9270
9.645425 81.491 29.8971
9.715320 81.514 29.8670
9.785721 81.537 29.8366
9.856632 81.561 29.8060
9.928058 81.585 29.7751
10.000000 81.609 29.7440
10.072464 81.633 29.7132
10.145453 81.656 29.6820
10.218971 81.679 29.6502
10.293022 81.703 29.6180
10.367610 81.727 29.5856
10.442738 81.751 29.5530
10.518411 81.775 29.5201
10.594631 81.798 29.4870
10.671404 81.821 29.4536
10.748734 81.845 29.4200
10.826623 81.869 29.3861
10.905077 81.893 29.3520
10.984100 81.916 29.3177
11.063695 81.940 29.2830
11.143867 81.964 29.2481
11.224621 81.988 29.2130
11.305959 82.012 29.1777
11.387886 82.035 29.1420
11.470407 82.058 29.1056
11.553527 82.082 29.0690
11.637249 82.106 29.0326
11.721577 82.130 28.9960
11.806517 82.154 28.9587
11.892071 82.177 28.9210
11.978246 82.200 28.8832
12.065045 82.224 28.8450
12.152473 82.248 28.8061
12.240536 82.272 28.7670
12.329235 82.296 28.7281
12.418578 82.319 28.6890
12.508568 82.342 28.6493
12.599211 82.366 28.6090
12.690510 82.390 28.5682
12.782471 82.414 28.5270
12.875097 82.438 28.4862
12.968395 82.461 28.4450
13.062370 82.484 28.4033
13.157025 82.508 28.3610
13.252366 82.532 28.3182
13.348398 82.556 28.2750
13.445127 82.580 28.2317
13.542556 82.603 28.1881
13.640691 82.626 28.1437
13.739536 82.650 28.0990
13.839099 82.674 28.0542
13.939383 82.698 28.0090
14.040393 82.722 27.9638
14.142136 82.745 27.9180
14.244616 82.768 27.8713
14.347837 82.792 27.8240
14.451808 82.816 27.7767
14.556532 82.840 27.7290
14.662014 82.863 27.6808
14.768262 82.887 27.6321
14.875278 82.911 27.5828
14.983070 82.935 27.5331
15.091644 82.959 27.4828
15.201005 82.982 27.4320
15.311157 83.005 27.3808
15.422109 83.029 27.3290
15.533863 83.053 27.2767
15.646428 83.077 27.2240
15.759809 83.101 27.1713
15.874010 83.124 27.1180
15.989040 83.147 27.0634
16.104904 83.171 27.0080
16.221605 83.195 26.9528
16.339155 83.219 26.8971
16.457554 83.243 26.8404
16.576813 83.266 26.7830
16.696936 83.289 26.7249
16.817928 83.313 26.6660
16.939798 83.337 26.6064
17.062551 83.361 26.5461
17.186193 83.385 26.4854
17.310732 83.408 26.4240
17.436172 83.431 26.3615
17.562521 83.455 26.2980
17.689787 83.479 26.2340
17.817974 83.503 26.1691
17.947090 83.527 26.1030
18.077143 83.550 26.0360
18.208138 83.573 25.9686
18.340080 83.597 25.9001
18.472980 83.621 25.8297
18.606844 83.645 25.7580
18.741676 83.669 25.6852
18.877487 83.692 25.6111
19.014280 83.715 25.5353
19.152065 83.739 25.4581
19.290850 83.763 25.3796
19.430639 83.787 25.2991
19.571442 83.811 25.2159
19.713264 83.834 25.1301
19.856115 83.857 25.0419
20.000000 83.881 24.9501
20.144928 83.905 24.8540
20.290907 83.929 24.7531
20.437943 83.952 24.6471
20.586044 83.975 24.5351
20.735220 83.998 24.4153
20.885475 84.019 24.2891
21.036821 84.039 24.1566
21.189262 84.056 24.0202
21.342808 84.071 23.8812
21.497467 84.083 23.7432
21.653246 84.093 23.6089
21.810154 84.101 23.4822
21.968201 84.105 23.3656
22.127390 84.107 23.2651
22.287735 84.105 23.1863
22.449242 84.102 23.1330
22.611917 84.099 23.1119
22.775772 84.097 23.1200
22.940815 84.097 23.1582
23.107054 84.101 23.2209
23.274498 84.109 23.3051
23.443153 84.123 23.4029
23.613033 84.143 23.5094
23.784142 84.169 23.6119
23.956491 84.204 23.6975
24.130091 84.243 23.7609
24.304947 84.285 23.7914
24.481071 84.328 23.7930
24.658470 84.371 23.7662
24.837156 84.414 23.7121
25.017136 84.456 23.6304
25.198421 84.497 23.5261
25.381020 84.533 23.4021
25.564941 84.567 23.2651
25.750195 84.598 23.1234
25.936790 84.626 22.9762
26.124741 84.653 22.8255
26.314051 84.678 22.6712
26.504732 84.701 22.5122
26.696796 84.721 22.3532
26.890253 84.738 22.1974
27.085112 84.752 22.0482
27.281382 84.763 21.9091
27.479073 84.773 21.7822
27.678198 84.781 21.6698
27.878765 84.788 21.5741
28.080786 84.793 21.4986
28.284271 84.799 21.4411
28.489231 84.807 21.4020
28.695675 84.816 21.3770
28.903616 84.828 21.3622
29.113064 84.841 21.3560
29.324028 84.856 21.3564
29.536524 84.873 21.3610
29.750557 84.892 21.3666
29.966141 84.912 21.3740
30.183289 84.933 21.3817
30.402010 84.954 21.3940
30.622314 84.975 21.4144
30.844217 84.998 21.4430
31.067726 85.024 21.4814
31.292856 85.052 21.5279
31.519617 85.083 21.5832
31.748020 85.119 21.6409
31.978081 85.161 21.6991
32.209808 85.210 21.7450
32.443211 85.265 21.7666
32.678310 85.325 21.7600
32.915108 85.387 21.7190
33.153625 85.452 21.6381
33.393871 85.521 21.5100
33.635857 85.589 21.3353
33.879597 85.654 21.1077
34.125103 85.714 20.8404
34.372387 85.768 20.5422
34.621464 85.817 20.2195
34.872345 85.861 19.8796
35.125042 85.899 19.5284
35.379574 85.931 19.1727
35.635948 85.958 18.8174
35.894180 85.980 18.4699
36.154285 85.999 18.1305
36.416275 86.014 17.8019
36.680161 86.027 17.4845
36.945961 86.037 17.1795
37.213688 86.045 16.8874
37.483353 86.052 16.6085
37.754974 86.057 16.3444
38.028561 86.060 16.0963
38.304131 86.063 15.8653
38.581699 86.066 15.6540
38.861279 86.069 15.4583
39.142883 86.074 15.2764
39.426529 86.081 15.1042
39.712231 86.090 14.9385
40.000000 86.102 14.7752
40.289856 86.116 14.6114
40.581814 86.132 14.4413
40.875885 86.151 14.2588
41.172089 86.172 14.0623
41.470440 86.192 13.8463
41.770950 86.211 13.6154
42.073643 86.228 13.3717
42.378525 86.243 13.1174
42.685616 86.257 12.8539
42.994934 86.268 12.5854
43.306492 86.276 12.3153
43.620308 86.281 12.0474
43.936401 86.284 11.7871
44.254780 86.286 11.5334
44.575470 86.287 11.2875
44.898483 86.287 11.0484
45.223835 86.287 10.8158
45.551544 86.287 10.5883
45.881630 86.287 10.3648
46.214108 86.287 10.1443
46.548996 86.287 9.9261
46.886307 86.287 9.7093
47.226067 86.287 9.4933
47.568283 86.287 9.2774
47.912983 86.287 9.0607
48.260181 86.287 8.8424
48.609894 86.287 8.6211
48.962143 86.287 8.3963
49.316940 86.287 8.1675
49.674313 86.286 7.9334
50.034271 86.285 7.6924
50.396843 86.282 7.4454
50.762039 86.277 7.1916
51.129883 86.271 6.9334
51.500389 86.263 6.6723
51.873581 86.252 6.4105
52.249481 86.239 6.1488
52.628101 86.222 5.8924
53.009464 86.201 5.6452
53.393593 86.177 5.4114
53.780506 86.151 5.1961
54.170223 86.124 5.0003
54.562763 86.096 4.8273
54.958145 86.067 4.6752
55.356396 86.039 4.5451
55.757530 86.013 4.4322
56.161572 85.989 4.3344
56.568542 85.968 4.2451
56.978462 85.949 4.1581
57.391350 85.933 4.0702
57.807232 85.919 3.9767
58.226128 85.905 3.8762
58.648056 85.892 3.7651
59.073048 85.878 3.6452
59.501114 85.863 3.5149
59.932281 85.845 3.3802
60.366577 85.824 3.2449
60.804020 85.801 3.1142
61.244629 85.775 2.9940
61.688435 85.746 2.8862
62.135452 85.716 2.7933
62.585712 85.684 2.7191
63.039234 85.650 2.6680
63.496040 85.615 2.6410
63.956161 85.580 2.6417
64.419617 85.547 2.6669
64.886421 85.516 2.7167
65.356621 85.488 2.7859
65.830215 85.464 2.8706
66.307251 85.443 2.9668
66.787743 85.426 3.0704
67.271713 85.413 3.1768
67.759193 85.404 3.2812
68.250206 85.397 3.3808
68.744774 85.393 3.4712
69.242928 85.391 3.5529
69.744690 85.390 3.6243
70.250084 85.389 3.6879
70.759148 85.389 3.7451
71.271896 85.389 3.7969
71.788361 85.389 3.8442
72.308571 85.389 3.8889
72.832550 85.389 3.9332
73.360321 85.389 3.9779
73.891922 85.389 4.0245
74.427376 85.389 4.0739
74.966705 85.390 4.1271
75.509949 85.391 4.1859
76.057121 85.392 4.2524
76.608261 85.394 4.3258
77.163399 85.399 4.4074
77.722557 85.407 4.4938
78.285767 85.417 4.5838
78.853058 85.431 4.6728
79.424461 85.449 4.7595
80.000000 85.472 4.8339
80.579712 85.500 4.8867
81.163628 85.531 4.9150
81.751770 85.563 4.9127
82.344177 85.595 4.8801
82.940880 85.628 4.8136
83.541901 85.660 4.7182
84.147285 85.687 4.5938
84.757050 85.711 4.4523
85.371231 85.729 4.3060
85.989868 85.744 4.1543
86.612984 85.760 4.0004
87.240616 85.774 3.8443
87.872803 85.783 3.6856
88.509560 85.791 3.5293
89.150940 85.798 3.3836
89.796967 85.805 3.2393
90.447670 85.814 3.0897
91.103088 85.823 2.9353
91.763260 85.828 2.7726
92.428215 85.832 2.6073
93.097992 85.835 2.4450
93.772614 85.836 2.2833
94.452133 85.837 2.1218
95.136566 85.836 1.9603
95.825966 85.835 1.7983
96.520363 85.832 1.6373
97.219788 85.828 1.4786
