* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD650_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:50:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD650_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HD650_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 70.974 81.7320
5.036232 71.000 81.7160
5.072727 71.029 81.6990
5.109486 71.063 81.6797
5.146511 71.102 81.6580
5.183805 71.148 81.6327
5.221369 71.199 81.6060
5.259205 71.251 81.5803
5.297316 71.306 81.5540
5.335702 71.365 81.5257
5.374367 71.425 81.4970
5.413311 71.484 81.4694
5.452538 71.543 81.4420
5.492050 71.602 81.4146
5.531847 71.662 81.3870
5.571934 71.721 81.3591
5.612310 71.780 81.3310
5.652979 71.839 81.3026
5.693943 71.899 81.2740
5.735204 71.959 81.2456
5.776763 72.018 81.2170
5.818624 72.077 81.1881
5.860788 72.136 81.1590
5.903258 72.195 81.1301
5.946035 72.255 81.1010
5.989123 72.314 81.0711
6.032523 72.373 81.0410
6.076237 72.432 81.0111
6.120268 72.492 80.9810
6.164618 72.552 80.9506
6.209289 72.611 80.9200
6.254284 72.670 80.8896
6.299605 72.729 80.8590
6.345255 72.788 80.8276
6.391235 72.848 80.7960
6.437549 72.907 80.7646
6.484198 72.966 80.7330
6.531185 73.025 80.7011
6.578513 73.085 80.6690
6.626183 73.144 80.6366
6.674199 73.203 80.6040
6.722563 73.262 80.5711
6.771278 73.322 80.5380
6.820345 73.382 80.5046
6.869768 73.441 80.4710
6.919549 73.500 80.4371
6.969691 73.559 80.4030
7.020196 73.618 80.3691
7.071068 73.678 80.3350
7.122308 73.737 80.3002
7.173919 73.796 80.2650
7.225904 73.855 80.2296
7.278266 73.915 80.1940
7.331007 73.974 80.1586
7.384131 74.033 80.1230
7.437639 74.092 80.0866
7.491535 74.152 80.0500
7.545822 74.212 80.0136
7.600502 74.271 79.9770
7.655579 74.330 79.9397
7.711054 74.389 79.9020
7.766932 74.448 79.8641
7.823214 74.508 79.8260
7.879904 74.567 79.7881
7.937005 74.626 79.7500
7.994520 74.685 79.7112
8.052452 74.745 79.6720
8.110803 74.804 79.6326
8.169578 74.863 79.5930
8.228777 74.922 79.5532
8.288406 74.982 79.5130
8.348468 75.042 79.4721
8.408964 75.101 79.4310
8.469899 75.160 79.3901
8.531276 75.219 79.3490
8.593097 75.278 79.3077
8.655366 75.338 79.2660
8.718086 75.397 79.2237
8.781260 75.456 79.1810
8.844893 75.515 79.1382
8.908987 75.575 79.0950
8.973545 75.634 79.0511
9.038571 75.693 79.0070
9.104069 75.752 78.9631
9.170040 75.812 78.9190
9.236490 75.872 78.8742
9.303422 75.931 78.8290
9.370838 75.990 78.7836
9.438744 76.049 78.7380
9.507140 76.108 78.6922
9.576033 76.168 78.6460
9.645425 76.227 78.5992
9.715320 76.286 78.5520
9.785721 76.345 78.5047
9.856632 76.405 78.4570
9.928058 76.465 78.4086
10.000000 76.524 78.3600
10.072464 76.583 78.3117
10.145453 76.642 78.2631
10.218971 76.701 78.2132
10.293022 76.761 78.1630
10.367610 76.820 78.1132
10.442738 76.879 78.0630
10.518411 76.938 78.0118
10.594631 76.998 77.9600
10.671404 77.057 77.9081
10.748734 77.116 77.8560
10.826623 77.175 77.8037
10.905077 77.235 77.7510
10.984100 77.295 77.6977
11.063695 77.354 77.6440
11.143867 77.413 77.5902
11.224621 77.472 77.5360
11.305959 77.531 77.4812
11.387886 77.591 77.4260
11.470407 77.650 77.3708
11.553527 77.709 77.3150
11.637249 77.768 77.2582
11.721577 77.828 77.2010
11.806517 77.887 77.1442
11.892071 77.946 77.0871
11.978246 78.005 77.0288
12.065045 78.065 76.9700
12.152473 78.125 76.9112
12.240536 78.184 76.8520
12.329235 78.243 76.7923
12.418578 78.302 76.7321
12.508568 78.361 76.6713
12.599211 78.421 76.6100
12.690510 78.480 76.5482
12.782471 78.539 76.4861
12.875097 78.598 76.4237
12.968395 78.658 76.3610
13.062370 78.717 76.2978
13.157025 78.776 76.2340
13.252366 78.835 76.1698
13.348398 78.895 76.1050
13.445127 78.954 76.0398
13.542556 79.014 75.9741
13.640691 79.073 75.9078
13.739536 79.132 75.8410
13.839099 79.191 75.7738
13.939383 79.251 75.7061
14.040393 79.310 75.6378
14.142136 79.369 75.5690
14.244616 79.428 75.4997
14.347837 79.488 75.4300
14.451808 79.548 75.3603
14.556532 79.607 75.2900
14.662014 79.666 75.2189
14.768262 79.725 75.1471
14.875278 79.784 75.0748
14.983070 79.844 75.0021
15.091644 79.903 74.9288
15.201005 79.962 74.8551
15.311157 80.021 74.7808
15.422109 80.081 74.7061
15.533863 80.140 74.6308
15.646428 80.199 74.5550
15.759809 80.258 74.4788
15.874010 80.318 74.4021
15.989040 80.378 74.3248
16.104904 80.437 74.2471
16.221605 80.496 74.1688
16.339155 80.555 74.0901
16.457554 80.614 74.0108
16.576813 80.674 73.9311
16.696936 80.733 73.8513
16.817928 80.792 73.7711
16.939798 80.851 73.6898
17.062551 80.911 73.6081
17.186193 80.970 73.5262
17.310732 81.029 73.4441
17.436172 81.088 73.3617
17.562521 81.148 73.2791
17.689787 81.208 73.1957
17.817974 81.267 73.1121
17.947090 81.326 73.0286
18.077143 81.385 72.9451
18.208138 81.444 72.8615
18.340080 81.504 72.7781
18.472980 81.563 72.6948
18.606844 81.622 72.6120
18.741676 81.681 72.5299
18.877487 81.741 72.4491
19.014280 81.800 72.3700
19.152065 81.859 72.2931
19.290850 81.919 72.2191
19.430639 81.979 72.1480
19.571442 82.039 72.0807
19.713264 82.101 72.0161
19.856115 82.164 71.9543
20.000000 82.229 71.8921
20.144928 82.296 71.8277
20.290907 82.365 71.7571
20.437943 82.436 71.6763
20.586044 82.509 71.5831
20.735220 82.583 71.4742
20.885475 82.657 71.3482
21.036821 82.731 71.2010
21.189262 82.805 71.0362
21.342808 82.876 70.8537
21.497467 82.944 70.6602
21.653246 83.008 70.4627
21.810154 83.070 70.2613
21.968201 83.132 70.0571
22.127390 83.191 69.8542
22.287735 83.246 69.6556
22.449242 83.298 69.4661
22.611917 83.350 69.2940
22.775772 83.402 69.1322
22.940815 83.456 68.9763
23.107054 83.511 68.8262
23.274498 83.564 68.6807
23.443153 83.618 68.5382
23.613033 83.675 68.3978
23.784142 83.733 68.2561
23.956491 83.790 68.1076
24.130091 83.847 67.9572
24.304947 83.902 67.8086
24.481071 83.958 67.6592
24.658470 84.015 67.5065
24.837156 84.072 67.3542
25.017136 84.125 67.2035
25.198421 84.178 67.0601
25.381020 84.231 66.9335
25.564941 84.286 66.8141
25.750195 84.346 66.6968
25.936790 84.408 66.5772
26.124741 84.471 66.4502
26.314051 84.537 66.3132
26.504732 84.605 66.1641
26.696796 84.674 65.9962
26.890253 84.745 65.8012
27.085112 84.816 65.5823
27.281382 84.882 65.3366
27.479073 84.945 65.0744
27.678198 85.003 64.8030
27.878765 85.057 64.5284
28.080786 85.107 64.2571
28.284271 85.154 63.9943
28.489231 85.197 63.7471
28.695675 85.238 63.5173
28.903616 85.279 63.3118
29.113064 85.320 63.1233
29.324028 85.364 62.9492
29.536524 85.410 62.7812
29.750557 85.460 62.6105
29.966141 85.511 62.4362
30.183289 85.561 62.2530
30.402010 85.611 62.0652
30.622314 85.659 61.8747
30.844217 85.706 61.6832
31.067726 85.753 61.4916
31.292856 85.799 61.3043
31.519617 85.842 61.1249
31.748020 85.885 60.9562
31.978081 85.929 60.8047
32.209808 85.974 60.6632
32.443211 86.023 60.5279
32.678310 86.074 60.3942
32.915108 86.127 60.2573
33.153625 86.183 60.1132
33.393871 86.241 59.9570
33.635857 86.301 59.7863
33.879597 86.361 59.5955
34.125103 86.421 59.3883
34.372387 86.479 59.1657
34.621464 86.536 58.9304
34.872345 86.591 58.6839
35.125042 86.643 58.4303
35.379574 86.693 58.1731
35.635948 86.740 57.9153
35.894180 86.785 57.6606
36.154285 86.828 57.4114
36.416275 86.868 57.1711
36.680161 86.908 56.9403
36.945961 86.948 56.7215
37.213688 86.988 56.5123
37.483353 87.028 56.3114
37.754974 87.068 56.1183
38.028561 87.109 55.9321
38.304131 87.151 55.7522
38.581699 87.194 55.5792
38.861279 87.239 55.4083
39.142883 87.286 55.2348
39.426529 87.335 55.0582
39.712231 87.384 54.8771
40.000000 87.434 54.6893
40.289856 87.486 54.4926
40.581814 87.539 54.2863
40.875885 87.591 54.0678
41.172089 87.642 53.8404
41.470440 87.692 53.6064
41.770950 87.742 53.3654
42.073643 87.791 53.1166
42.378525 87.840 52.8624
42.685616 87.886 52.6041
42.994934 87.932 52.3434
43.306492 87.977 52.0835
43.620308 88.021 51.8214
43.936401 88.065 51.5534
44.254780 88.108 51.2844
44.575470 88.147 51.0185
44.898483 88.185 50.7554
45.223835 88.225 50.4971
45.551544 88.265 50.2414
45.881630 88.303 49.9858
46.214108 88.341 49.7324
46.548996 88.379 49.4825
46.886307 88.417 49.2354
47.226067 88.455 48.9921
47.568283 88.493 48.7494
47.912983 88.533 48.5042
48.260181 88.573 48.2574
48.609894 88.611 48.0085
48.962143 88.649 47.7584
49.316940 88.688 47.5084
49.674313 88.727 47.2574
50.034271 88.765 47.0053
50.396843 88.804 46.7504
50.762039 88.844 46.4910
51.129883 88.884 46.2265
51.500389 88.923 45.9550
51.873581 88.962 45.6775
52.249481 89.001 45.3940
52.628101 89.039 45.1045
53.009464 89.076 44.8081
53.393593 89.111 44.5075
53.780506 89.144 44.2047
54.170223 89.176 43.9015
54.562763 89.207 43.6014
54.958145 89.237 43.3015
55.356396 89.268 42.9980
55.757530 89.297 42.6965
56.161572 89.321 42.4006
56.568542 89.344 42.1115
56.978462 89.369 41.8335
57.391350 89.395 41.5605
57.807232 89.421 41.2863
58.226128 89.446 41.0145
58.648056 89.469 40.7466
59.073048 89.493 40.4824
59.501114 89.518 40.2236
59.932281 89.544 39.9655
60.366577 89.571 39.7035
60.804020 89.599 39.4385
61.244629 89.625 39.1687
61.688435 89.651 38.8965
62.135452 89.676 38.6245
62.585712 89.702 38.3495
63.039234 89.729 38.0687
63.496040 89.755 37.7825
63.956161 89.780 37.4889
64.419617 89.804 37.1915
64.886421 89.826 36.8943
65.356621 89.848 36.5945
65.830215 89.870 36.2903
66.307251 89.891 35.9836
66.787743 89.909 35.6752
67.271713 89.926 35.3666
67.759193 89.942 35.0608
68.250206 89.958 34.7546
68.744774 89.973 34.4451
69.242928 89.988 34.1336
69.744690 90.001 33.8199
70.250084 90.012 33.5056
70.759148 90.022 33.1925
71.271896 90.030 32.8796
71.788361 90.037 32.5653
72.308571 90.042 32.2526
72.832550 90.044 31.9437
73.360321 90.044 31.6386
73.891922 90.044 31.3376
74.427376 90.042 31.0416
74.966705 90.036 30.7502
75.509949 90.028 30.4665
76.057121 90.018 30.1923
76.608261 90.005 29.9305
77.163399 89.989 29.6826
77.722557 89.969 29.4554
78.285767 89.946 29.2558
78.853058 89.921 29.0863
79.424461 89.895 28.9516
80.000000 89.869 28.8522
80.579712 89.843 28.7906
81.163628 89.818 28.7650
81.751770 89.797 28.7756
82.344177 89.779 28.8179
82.940880 89.766 28.8895
83.541901 89.759 28.9838
84.147285 89.758 29.0958
84.757050 89.764 29.2178
85.371231 89.776 29.3425
85.989868 89.795 29.4638
86.612984 89.820 29.5741
87.240616 89.851 29.6698
87.872803 89.885 29.7449
88.509560 89.923 29.7989
89.150940 89.964 29.8292
89.796967 90.008 29.8360
90.447670 90.053 29.8176
91.103088 90.099 29.7771
91.763260 90.144 29.7171
92.428215 90.190 29.6372
93.097992 90.238 29.5382
93.772614 90.286 29.4183
94.452133 90.333 29.2745
95.136566 90.380 29.1104
95.825966 90.425 28.9290
96.520363 90.469 28.7285
97.219788 90.514 28.5059
97.924286 90.556 28.2675
