* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\6xx_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:48:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\6xx_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 6xx_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 76.617 15.6540
5.036232 76.621 15.6574
5.072727 76.626 15.6610
5.109486 76.632 15.6651
5.146511 76.638 15.6700
5.183805 76.646 15.6766
5.221369 76.655 15.6840
5.259205 76.664 15.6917
5.297316 76.673 15.7000
5.335702 76.683 15.7093
5.374367 76.693 15.7190
5.413311 76.703 15.7284
5.452538 76.713 15.7380
5.492050 76.723 15.7479
5.531847 76.733 15.7580
5.571934 76.743 15.7680
5.612310 76.753 15.7780
5.652979 76.763 15.7879
5.693943 76.773 15.7980
5.735204 76.783 15.8084
5.776763 76.793 15.8190
5.818624 76.803 15.8295
5.860788 76.813 15.8400
5.903258 76.823 15.8504
5.946035 76.833 15.8610
5.989123 76.843 15.8719
6.032523 76.853 15.8830
6.076237 76.863 15.8940
6.120268 76.873 15.9050
6.164618 76.883 15.9159
6.209289 76.893 15.9270
6.254284 76.903 15.9384
6.299605 76.913 15.9500
6.345255 76.923 15.9615
6.391235 76.933 15.9730
6.437549 76.943 15.9844
6.484198 76.953 15.9960
6.531185 76.963 16.0079
6.578513 76.973 16.0200
6.626183 76.983 16.0319
6.674199 76.993 16.0440
6.722563 77.003 16.0564
6.771278 77.013 16.0690
6.820345 77.023 16.0815
6.869768 77.033 16.0940
6.919549 77.043 16.1064
6.969691 77.053 16.1190
7.020196 77.063 16.1319
7.071068 77.073 16.1450
7.122308 77.083 16.1580
7.173919 77.093 16.1710
7.225904 77.103 16.1839
7.278266 77.113 16.1970
7.331007 77.123 16.2104
7.384131 77.133 16.2240
7.437639 77.144 16.2379
7.491535 77.154 16.2520
7.545822 77.164 16.2660
7.600502 77.174 16.2800
7.655579 77.184 16.2939
7.711054 77.194 16.3080
7.766932 77.204 16.3224
7.823214 77.214 16.3370
7.879904 77.224 16.3515
7.937005 77.234 16.3660
7.994520 77.244 16.3804
8.052452 77.254 16.3950
8.110803 77.264 16.4099
8.169578 77.274 16.4250
8.228777 77.284 16.4404
8.288406 77.294 16.4560
8.348468 77.304 16.4715
8.408964 77.314 16.4870
8.469899 77.324 16.5024
8.531276 77.334 16.5180
8.593097 77.344 16.5339
8.655366 77.354 16.5500
8.718086 77.364 16.5665
8.781260 77.374 16.5830
8.844893 77.384 16.5989
8.908987 77.394 16.6150
8.973545 77.404 16.6319
9.038571 77.414 16.6490
9.104069 77.424 16.6660
9.170040 77.434 16.6830
9.236490 77.444 16.6999
9.303422 77.454 16.7170
9.370838 77.464 16.7344
9.438744 77.474 16.7520
9.507140 77.484 16.7699
9.576033 77.494 16.7880
9.645425 77.504 16.8059
9.715320 77.514 16.8240
9.785721 77.524 16.8424
9.856632 77.534 16.8610
9.928058 77.544 16.8794
10.000000 77.554 16.8980
10.072464 77.564 16.9169
10.145453 77.574 16.9360
10.218971 77.584 16.9549
10.293022 77.594 16.9740
10.367610 77.604 16.9934
10.442738 77.614 17.0130
10.518411 77.624 17.0329
10.594631 77.634 17.0530
10.671404 77.644 17.0729
10.748734 77.654 17.0930
10.826623 77.664 17.1134
10.905077 77.674 17.1340
10.984100 77.684 17.1544
11.063695 77.695 17.1750
11.143867 77.705 17.1959
11.224621 77.715 17.2170
11.305959 77.725 17.2384
11.387886 77.735 17.2600
11.470407 77.745 17.2814
11.553527 77.755 17.3030
11.637249 77.765 17.3249
11.721577 77.775 17.3470
11.806517 77.785 17.3689
11.892071 77.795 17.3910
11.978246 77.805 17.4134
12.065045 77.815 17.4360
12.152473 77.825 17.4589
12.240536 77.835 17.4820
12.329235 77.845 17.5049
12.418578 77.855 17.5280
12.508568 77.865 17.5514
12.599211 77.875 17.5750
12.690510 77.885 17.5989
12.782471 77.895 17.6230
12.875097 77.905 17.6469
12.968395 77.915 17.6710
13.062370 77.925 17.6954
13.157025 77.935 17.7200
13.252366 77.945 17.7449
13.348398 77.955 17.7700
13.445127 77.965 17.7950
13.542556 77.975 17.8200
13.640691 77.985 17.8449
13.739536 77.995 17.8700
13.839099 78.005 17.8954
13.939383 78.015 17.9210
14.040393 78.025 17.9469
14.142136 78.035 17.9730
14.244616 78.045 17.9990
14.347837 78.055 18.0250
14.451808 78.065 18.0510
14.556532 78.075 18.0770
14.662014 78.085 18.1029
14.768262 78.095 18.1290
14.875278 78.105 18.1554
14.983070 78.115 18.1820
15.091644 78.125 18.2085
15.201005 78.135 18.2350
15.311157 78.145 18.2615
15.422109 78.155 18.2880
15.533863 78.165 18.3140
15.646428 78.175 18.3400
15.759809 78.185 18.3665
15.874010 78.195 18.3930
15.989040 78.205 18.4186
16.104904 78.215 18.4440
16.221605 78.225 18.4695
16.339155 78.236 18.4950
16.457554 78.246 18.5202
16.576813 78.256 18.5450
16.696936 78.266 18.5693
16.817928 78.276 18.5930
16.939798 78.286 18.6158
17.062551 78.296 18.6380
17.186193 78.306 18.6599
17.310732 78.316 18.6810
17.436172 78.326 18.7010
17.562521 78.336 18.7200
17.689787 78.346 18.7377
17.817974 78.356 18.7540
17.947090 78.366 18.7685
18.077143 78.376 18.7810
18.208138 78.386 18.7913
18.340080 78.396 18.7990
18.472980 78.406 18.8037
18.606844 78.416 18.8050
18.741676 78.426 18.8025
18.877487 78.436 18.7950
19.014280 78.446 18.7818
19.152065 78.456 18.7610
19.290850 78.466 18.7318
19.430639 78.476 18.6900
19.571442 78.486 18.6323
19.713264 78.496 18.5551
19.856115 78.504 18.4543
20.000000 78.508 18.3291
20.144928 78.509 18.1738
20.290907 78.502 18.0002
20.437943 78.484 17.8090
20.586044 78.454 17.6271
20.735220 78.409 17.4749
20.885475 78.353 17.3731
21.036821 78.286 17.3452
21.189262 78.211 17.4039
21.342808 78.130 17.5701
21.497467 78.049 17.8426
21.653246 77.972 18.2365
21.810154 77.906 18.7233
21.968201 77.859 19.2914
22.127390 77.830 19.9053
22.287735 77.821 20.5328
22.449242 77.829 21.1515
22.611917 77.853 21.7310
22.775772 77.889 22.2634
22.940815 77.932 22.7283
23.107054 77.979 23.1325
23.274498 78.026 23.4704
23.443153 78.070 23.7586
23.613033 78.109 24.0061
23.784142 78.142 24.2298
23.956491 78.168 24.4464
24.130091 78.190 24.6667
24.304947 78.207 24.9063
24.481071 78.223 25.1676
24.658470 78.238 25.4596
24.837156 78.255 25.7795
25.017136 78.274 26.1294
25.198421 78.297 26.5046
25.381020 78.326 26.9050
25.564941 78.362 27.3196
25.750195 78.407 27.7422
25.936790 78.461 28.1585
26.124741 78.525 28.5558
26.314051 78.597 28.9235
26.504732 78.677 29.2488
26.696796 78.762 29.5257
26.890253 78.852 29.7445
27.085112 78.944 29.9029
27.281382 79.036 29.9932
27.479073 79.125 30.0220
27.678198 79.209 29.9881
27.878765 79.286 29.9061
28.080786 79.354 29.7850
28.284271 79.413 29.6402
28.489231 79.461 29.4861
28.695675 79.501 29.3352
28.903616 79.532 29.2022
29.113064 79.557 29.0941
29.324028 79.576 29.0233
29.536524 79.592 28.9890
29.750557 79.608 28.9974
29.966141 79.625 29.0399
30.183289 79.645 29.1136
30.402010 79.669 29.2079
30.622314 79.698 29.3126
30.844217 79.730 29.4239
31.067726 79.764 29.5338
31.292856 79.799 29.6448
31.519617 79.836 29.7565
31.748020 79.874 29.8689
31.978081 79.913 29.9807
32.209808 79.954 30.0958
32.443211 79.995 30.2184
32.678310 80.039 30.3458
32.915108 80.087 30.4818
33.153625 80.141 30.6119
33.393871 80.201 30.7255
33.635857 80.266 30.8149
33.879597 80.334 30.8688
34.125103 80.404 30.8870
34.372387 80.473 30.8641
34.621464 80.540 30.8051
34.872345 80.603 30.7092
35.125042 80.662 30.5892
35.379574 80.713 30.4530
35.635948 80.758 30.3142
35.894180 80.797 30.1874
36.154285 80.832 30.0761
36.416275 80.865 29.9898
36.680161 80.897 29.9251
36.945961 80.931 29.8849
37.213688 80.968 29.8600
37.483353 81.008 29.8464
37.754974 81.053 29.8320
38.028561 81.103 29.8047
38.304131 81.155 29.7611
38.581699 81.208 29.6926
38.861279 81.261 29.6032
39.142883 81.312 29.4923
39.426529 81.361 29.3642
39.712231 81.407 29.2205
40.000000 81.451 29.0682
40.289856 81.490 28.9132
40.581814 81.527 28.7612
40.875885 81.560 28.6211
41.172089 81.593 28.4902
41.470440 81.627 28.3702
41.770950 81.661 28.2562
42.073643 81.697 28.1444
42.378525 81.733 28.0332
42.685616 81.770 27.9201
42.994934 81.807 27.8032
43.306492 81.845 27.6799
43.620308 81.883 27.5492
43.936401 81.921 27.4079
44.254780 81.957 27.2602
44.575470 81.991 27.1090
44.898483 82.024 26.9562
45.223835 82.056 26.8057
45.551544 82.088 26.6552
45.881630 82.120 26.5038
46.214108 82.152 26.3512
46.548996 82.183 26.1961
46.886307 82.213 26.0402
47.226067 82.242 25.8858
47.568283 82.271 25.7303
47.912983 82.300 25.5717
48.260181 82.329 25.4113
48.609894 82.356 25.2484
48.962143 82.382 25.0862
49.316940 82.407 24.9281
49.674313 82.431 24.7732
50.034271 82.455 24.6221
50.396843 82.478 24.4752
50.762039 82.501 24.3342
51.129883 82.525 24.1962
51.500389 82.551 24.0599
51.873581 82.577 23.9232
52.249481 82.603 23.7832
52.628101 82.629 23.6412
53.009464 82.655 23.4995
53.393593 82.682 23.3533
53.780506 82.711 23.1983
54.170223 82.741 23.0353
54.562763 82.768 22.8620
54.958145 82.794 22.6823
55.356396 82.820 22.5005
55.757530 82.845 22.3133
56.161572 82.870 22.1177
56.568542 82.894 21.9173
56.978462 82.915 21.7144
57.391350 82.935 21.5104
57.807232 82.954 21.3079
58.226128 82.973 21.1053
58.648056 82.990 20.9016
59.073048 83.007 20.6973
59.501114 83.023 20.4940
59.932281 83.039 20.2884
60.366577 83.055 20.0771
60.804020 83.071 19.8614
61.244629 83.084 19.6411
61.688435 83.095 19.4174
62.135452 83.105 19.1913
62.585712 83.114 18.9624
63.039234 83.121 18.7292
63.496040 83.125 18.4954
63.956161 83.126 18.2636
64.419617 83.123 18.0364
64.886421 83.118 17.8156
65.356621 83.109 17.6063
65.830215 83.096 17.4132
66.307251 83.081 17.2393
66.787743 83.064 17.0888
67.271713 83.045 16.9632
67.759193 83.023 16.8645
68.250206 83.001 16.7961
68.744774 82.979 16.7633
69.242928 82.958 16.7620
69.744690 82.940 16.7909
70.250084 82.924 16.8459
70.759148 82.912 16.9225
71.271896 82.903 17.0208
71.788361 82.897 17.1412
72.308571 82.896 17.2787
72.832550 82.900 17.4302
73.360321 82.909 17.5907
73.891922 82.924 17.7557
74.427376 82.944 17.9207
74.966705 82.970 18.0821
75.509949 83.003 18.2327
76.057121 83.042 18.3664
76.608261 83.086 18.4758
77.163399 83.135 18.5513
77.722557 83.187 18.5939
78.285767 83.239 18.6003
78.853058 83.291 18.5751
79.424461 83.342 18.5215
80.000000 83.393 18.4402
80.579712 83.444 18.3317
81.163628 83.493 18.2003
81.751770 83.539 18.0490
82.344177 83.582 17.8824
82.940880 83.624 17.7067
83.541901 83.664 17.5194
84.147285 83.704 17.3202
84.757050 83.743 17.1074
85.371231 83.780 16.8778
85.989868 83.815 16.6355
86.612984 83.846 16.3820
87.240616 83.875 16.1215
87.872803 83.900 15.8579
88.509560 83.923 15.5935
89.150940 83.943 15.3316
89.796967 83.960 15.0735
90.447670 83.975 14.8218
91.103088 83.989 14.5765
91.763260 84.002 14.3387
92.428215 84.014 14.1085
93.097992 84.025 13.8876
93.772614 84.037 13.6714
94.452133 84.050 13.4568
95.136566 84.064 13.2405
95.825966 84.078 13.0169
96.520363 84.091 12.7895
97.219788 84.102 12.5594
