* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD800s_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:51:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD800s_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HD800s_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.725 65.0310
5.036232 79.747 65.0146
5.072727 79.770 64.9970
5.109486 79.797 64.9764
5.146511 79.829 64.9530
5.183805 79.867 64.9254
5.221369 79.908 64.8960
5.259205 79.950 64.8669
5.297316 79.994 64.8370
5.335702 80.042 64.8053
5.374367 80.091 64.7730
5.413311 80.139 64.7409
5.452538 80.187 64.7090
5.492050 80.235 64.6776
5.531847 80.283 64.6460
5.571934 80.331 64.6136
5.612310 80.379 64.5810
5.652979 80.427 64.5486
5.693943 80.475 64.5160
5.735204 80.523 64.4826
5.776763 80.571 64.4490
5.818624 80.619 64.4156
5.860788 80.667 64.3820
5.903258 80.715 64.3481
5.946035 80.763 64.3140
5.989123 80.811 64.2801
6.032523 80.859 64.2460
6.076237 80.907 64.2112
6.120268 80.955 64.1760
6.164618 81.003 64.1406
6.209289 81.051 64.1050
6.254284 81.099 64.0691
6.299605 81.147 64.0330
6.345255 81.195 63.9971
6.391235 81.244 63.9610
6.437549 81.292 63.9242
6.484198 81.340 63.8870
6.531185 81.388 63.8496
6.578513 81.436 63.8120
6.626183 81.484 63.7741
6.674199 81.532 63.7360
6.722563 81.580 63.6976
6.771278 81.628 63.6590
6.820345 81.676 63.6201
6.869768 81.724 63.5810
6.919549 81.772 63.5416
6.969691 81.820 63.5020
7.020196 81.868 63.4621
7.071068 81.916 63.4220
7.122308 81.964 63.3817
7.173919 82.012 63.3410
7.225904 82.060 63.2997
7.278266 82.108 63.2580
7.331007 82.156 63.2161
7.384131 82.204 63.1740
7.437639 82.252 63.1316
7.491535 82.300 63.0890
7.545822 82.348 63.0461
7.600502 82.397 63.0030
7.655579 82.445 62.9597
7.711054 82.493 62.9160
7.766932 82.541 62.8717
7.823214 82.589 62.8270
7.879904 82.637 62.7822
7.937005 82.685 62.7370
7.994520 82.733 62.6912
8.052452 82.781 62.6450
8.110803 82.829 62.5986
8.169578 82.877 62.5520
8.228777 82.925 62.5052
8.288406 82.973 62.4580
8.348468 83.021 62.4102
8.408964 83.069 62.3620
8.469899 83.117 62.3136
8.531276 83.165 62.2650
8.593097 83.213 62.2162
8.655366 83.261 62.1670
8.718086 83.309 62.1172
8.781260 83.357 62.0670
8.844893 83.405 62.0167
8.908987 83.453 61.9660
8.973545 83.501 61.9148
9.038571 83.550 61.8630
9.104069 83.598 61.8107
9.170040 83.646 61.7580
9.236490 83.694 61.7052
9.303422 83.742 61.6520
9.370838 83.790 61.5982
9.438744 83.838 61.5440
9.507140 83.886 61.4897
9.576033 83.934 61.4350
9.645425 83.982 61.3798
9.715320 84.030 61.3240
9.785721 84.078 61.2678
9.856632 84.126 61.2110
9.928058 84.174 61.1537
10.000000 84.222 61.0960
10.072464 84.270 61.0382
10.145453 84.318 60.9801
10.218971 84.366 60.9213
10.293022 84.414 60.8620
10.367610 84.462 60.8023
10.442738 84.510 60.7420
10.518411 84.558 60.6812
10.594631 84.606 60.6200
10.671404 84.655 60.5588
10.748734 84.703 60.4970
10.826623 84.751 60.4343
10.905077 84.799 60.3711
10.984100 84.847 60.3078
11.063695 84.895 60.2440
11.143867 84.943 60.1793
11.224621 84.991 60.1140
11.305959 85.039 60.0482
11.387886 85.087 59.9820
11.470407 85.135 59.9158
11.553527 85.183 59.8490
11.637249 85.231 59.7813
11.721577 85.279 59.7131
11.806517 85.327 59.6443
11.892071 85.375 59.5751
11.978246 85.423 59.5054
12.065045 85.471 59.4350
12.152473 85.519 59.3638
12.240536 85.567 59.2920
12.329235 85.615 59.2203
12.418578 85.663 59.1481
12.508568 85.711 59.0749
12.599211 85.760 59.0010
12.690510 85.808 58.9264
12.782471 85.856 58.8511
12.875097 85.904 58.7753
12.968395 85.952 58.6991
13.062370 86.000 58.6224
13.157025 86.048 58.5450
13.252366 86.096 58.4669
13.348398 86.144 58.3881
13.445127 86.192 58.3089
13.542556 86.240 58.2291
13.640691 86.288 58.1484
13.739536 86.336 58.0670
13.839099 86.384 57.9854
13.939383 86.432 57.9031
14.040393 86.480 57.8194
14.142136 86.528 57.7350
14.244616 86.576 57.6503
14.347837 86.624 57.5650
14.451808 86.672 57.4789
14.556532 86.720 57.3920
14.662014 86.768 57.3044
14.768262 86.816 57.2161
14.875278 86.864 57.1270
14.983070 86.913 57.0371
15.091644 86.961 56.9465
15.201005 87.009 56.8551
15.311157 87.057 56.7630
15.422109 87.105 56.6701
15.533863 87.153 56.5759
15.646428 87.201 56.4811
15.759809 87.249 56.3859
15.874010 87.297 56.2901
15.989040 87.345 56.1930
16.104904 87.393 56.0951
16.221605 87.441 55.9965
16.339155 87.489 55.8971
16.457554 87.537 55.7970
16.576813 87.585 55.6961
16.696936 87.633 55.5940
16.817928 87.681 55.4911
16.939798 87.729 55.3875
17.062551 87.777 55.2831
17.186193 87.825 55.1780
17.310732 87.873 55.0721
17.436172 87.921 54.9650
17.562521 87.969 54.8571
17.689787 88.017 54.7484
17.817974 88.066 54.6391
17.947090 88.114 54.5295
18.077143 88.162 54.4191
18.208138 88.210 54.3075
18.340080 88.258 54.1951
18.472980 88.306 54.0823
18.606844 88.354 53.9691
18.741676 88.402 53.8556
18.877487 88.450 53.7421
19.014280 88.498 53.6290
19.152065 88.546 53.5161
19.290850 88.594 53.4034
19.430639 88.643 53.2911
19.571442 88.692 53.1797
19.713264 88.741 53.0681
19.856115 88.792 52.9559
20.000000 88.843 52.8421
20.144928 88.894 52.7251
20.290907 88.946 52.6061
20.437943 88.998 52.4869
20.586044 89.050 52.3651
20.735220 89.104 52.2396
20.885475 89.160 52.1082
21.036821 89.216 51.9683
21.189262 89.273 51.8202
21.342808 89.330 51.6639
21.497467 89.388 51.4972
21.653246 89.446 51.3182
21.810154 89.504 51.1263
21.968201 89.561 50.9197
22.127390 89.618 50.7003
22.287735 89.673 50.4680
22.449242 89.726 50.2262
22.611917 89.776 49.9769
22.775772 89.824 49.7233
22.940815 89.870 49.4690
23.107054 89.914 49.2153
23.274498 89.956 48.9644
23.443153 89.996 48.7183
23.613033 90.034 48.4803
23.784142 90.071 48.2502
23.956491 90.108 48.0297
24.130091 90.145 47.8172
24.304947 90.182 47.6125
24.481071 90.220 47.4133
24.658470 90.259 47.2185
24.837156 90.300 47.0243
25.017136 90.341 46.8267
25.198421 90.383 46.6252
25.381020 90.425 46.4181
25.564941 90.468 46.2052
25.750195 90.511 45.9858
25.936790 90.553 45.7603
26.124741 90.594 45.5280
26.314051 90.635 45.2913
26.504732 90.674 45.0519
26.696796 90.712 44.8113
26.890253 90.749 44.5715
27.085112 90.786 44.3323
27.281382 90.822 44.0941
27.479073 90.858 43.8563
27.678198 90.894 43.6188
27.878765 90.930 43.3803
28.080786 90.966 43.1400
28.284271 91.001 42.8973
28.489231 91.036 42.6512
28.695675 91.070 42.4023
28.903616 91.103 42.1504
29.113064 91.136 41.8974
29.324028 91.167 41.6445
29.536524 91.197 41.3933
29.750557 91.226 41.1463
29.966141 91.255 40.9023
30.183289 91.284 40.6613
30.402010 91.313 40.4223
30.622314 91.342 40.1847
30.844217 91.372 39.9463
31.067726 91.402 39.7055
31.292856 91.433 39.4594
31.519617 91.464 39.2041
31.748020 91.494 38.9413
31.978081 91.522 38.6698
32.209808 91.548 38.3944
32.443211 91.572 38.1181
32.678310 91.593 37.8444
32.915108 91.612 37.5769
33.153625 91.629 37.3183
33.393871 91.644 37.0727
33.635857 91.659 36.8393
33.879597 91.674 36.6196
34.125103 91.690 36.4113
34.372387 91.706 36.2138
34.621464 91.724 36.0243
34.872345 91.743 35.8407
35.125042 91.763 35.6592
35.379574 91.785 35.4750
35.635948 91.809 35.2892
35.894180 91.832 35.1008
36.154285 91.856 34.9113
36.416275 91.880 34.7226
36.680161 91.904 34.5323
36.945961 91.930 34.3390
37.213688 91.958 34.1413
37.483353 91.986 33.9376
37.754974 92.014 33.7263
38.028561 92.044 33.5065
38.304131 92.074 33.2743
38.581699 92.105 33.0254
38.861279 92.136 32.7604
39.142883 92.165 32.4773
39.426529 92.191 32.1804
39.712231 92.214 31.8717
40.000000 92.234 31.5565
40.289856 92.250 31.2391
40.581814 92.263 30.9245
40.875885 92.272 30.6179
41.172089 92.278 30.3224
41.470440 92.282 30.0430
41.770950 92.285 29.7794
42.073643 92.287 29.5343
42.378525 92.290 29.3043
42.685616 92.294 29.0886
42.994934 92.300 28.8823
43.306492 92.307 28.6819
43.620308 92.316 28.4833
43.936401 92.327 28.2824
44.254780 92.339 28.0763
44.575470 92.352 27.8605
44.898483 92.366 27.6354
45.223835 92.379 27.3992
45.551544 92.391 27.1544
45.881630 92.401 26.9016
46.214108 92.410 26.6434
46.548996 92.417 26.3815
46.886307 92.422 26.1184
47.226067 92.425 25.8575
47.568283 92.427 25.5984
47.912983 92.428 25.3428
48.260181 92.428 25.0884
48.609894 92.427 24.8336
48.962143 92.425 24.5784
49.316940 92.422 24.3218
49.674313 92.417 24.0654
50.034271 92.410 23.8093
50.396843 92.400 23.5564
50.762039 92.387 23.3079
51.129883 92.372 23.0684
51.500389 92.354 22.8423
51.873581 92.333 22.6313
52.249481 92.311 22.4392
52.628101 92.288 22.2653
53.009464 92.264 22.1106
53.393593 92.240 21.9742
53.780506 92.216 21.8561
54.170223 92.193 21.7542
54.562763 92.172 21.6677
54.958145 92.152 21.5921
55.356396 92.134 21.5226
55.757530 92.116 21.4591
56.161572 92.098 21.3998
56.568542 92.080 21.3451
56.978462 92.063 21.2951
57.391350 92.047 21.2491
57.807232 92.030 21.2051
58.226128 92.013 21.1661
58.648056 91.994 21.1335
59.073048 91.974 21.1100
59.501114 91.953 21.0986
59.932281 91.932 21.0990
60.366577 91.910 21.1106
60.804020 91.887 21.1379
61.244629 91.862 21.1852
61.688435 91.837 21.2529
62.135452 91.814 21.3430
62.585712 91.791 21.4548
63.039234 91.768 21.5868
63.496040 91.746 21.7427
63.956161 91.725 21.9268
64.419617 91.707 22.1366
64.886421 91.693 22.3714
65.356621 91.682 22.6295
65.830215 91.674 22.9098
66.307251 91.671 23.2104
66.787743 91.674 23.5314
67.271713 91.683 23.8654
67.759193 91.700 24.2073
68.250206 91.724 24.5504
68.744774 91.755 24.8881
69.242928 91.793 25.2144
69.744690 91.838 25.5233
70.250084 91.890 25.8075
70.759148 91.948 26.0579
71.271896 92.011 26.2736
71.788361 92.076 26.4507
72.308571 92.144 26.5898
72.832550 92.213 26.6896
73.360321 92.283 26.7519
73.891922 92.352 26.7764
74.427376 92.421 26.7680
74.966705 92.487 26.7309
75.509949 92.551 26.6671
76.057121 92.614 26.5797
76.608261 92.675 26.4702
77.163399 92.734 26.3400
77.722557 92.790 26.1923
78.285767 92.844 26.0306
78.853058 92.895 25.8554
79.424461 92.944 25.6678
80.000000 92.991 25.4694
80.579712 93.035 25.2612
81.163628 93.077 25.0464
81.751770 93.116 24.8292
82.344177 93.153 24.6085
82.940880 93.189 24.3846
83.541901 93.223 24.1575
84.147285 93.255 23.9265
84.757050 93.286 23.6924
85.371231 93.315 23.4558
85.989868 93.342 23.2175
86.612984 93.367 22.9785
87.240616 93.390 22.7395
87.872803 93.411 22.5005
88.509560 93.430 22.2645
89.150940 93.447 22.0331
89.796967 93.461 21.8095
90.447670 93.473 21.5979
91.103088 93.484 21.3964
91.763260 93.496 21.2050
92.428215 93.509 21.0214
93.097992 93.521 20.8435
93.772614 93.533 20.6713
94.452133 93.546 20.5053
95.136566 93.559 20.3413
95.825966 93.573 20.1754
96.520363 93.588 20.0084
97.219788 93.602 19.8394
