* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HE1 Gras_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:54:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HE1 Gras_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HE1 Gras_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 89.682 -4.5760
5.036232 89.681 -4.5736
5.072727 89.679 -4.5710
5.109486 89.677 -4.5682
5.146511 89.674 -4.5650
5.183805 89.672 -4.5611
5.221369 89.669 -4.5570
5.259205 89.666 -4.5531
5.297316 89.662 -4.5490
5.335702 89.659 -4.5446
5.374367 89.655 -4.5400
5.413311 89.652 -4.5355
5.452538 89.648 -4.5310
5.492050 89.645 -4.5266
5.531847 89.641 -4.5220
5.571934 89.637 -4.5170
5.612310 89.633 -4.5120
5.652979 89.629 -4.5075
5.693943 89.626 -4.5030
5.735204 89.623 -4.4981
5.776763 89.619 -4.4930
5.818624 89.616 -4.4880
5.860788 89.612 -4.4830
5.903258 89.609 -4.4780
5.946035 89.605 -4.4730
5.989123 89.602 -4.4680
6.032523 89.598 -4.4630
6.076237 89.594 -4.4580
6.120268 89.590 -4.4530
6.164618 89.586 -4.4481
6.209289 89.583 -4.4430
6.254284 89.579 -4.4376
6.299605 89.576 -4.4320
6.345255 89.573 -4.4265
6.391235 89.569 -4.4210
6.437549 89.565 -4.4155
6.484198 89.562 -4.4100
6.531185 89.559 -4.4045
6.578513 89.555 -4.3990
6.626183 89.551 -4.3935
6.674199 89.547 -4.3880
6.722563 89.543 -4.3826
6.771278 89.540 -4.3770
6.820345 89.536 -4.3711
6.869768 89.533 -4.3650
6.919549 89.530 -4.3590
6.969691 89.526 -4.3530
7.020196 89.522 -4.3470
7.071068 89.519 -4.3410
7.122308 89.516 -4.3350
7.173919 89.512 -4.3290
7.225904 89.508 -4.3231
7.278266 89.504 -4.3170
7.331007 89.500 -4.3105
7.384131 89.497 -4.3040
7.437639 89.493 -4.2980
7.491535 89.490 -4.2920
7.545822 89.487 -4.2856
7.600502 89.483 -4.2790
7.655579 89.479 -4.2726
7.711054 89.476 -4.2660
7.766932 89.473 -4.2590
7.823214 89.469 -4.2520
7.879904 89.465 -4.2455
7.937005 89.461 -4.2390
7.994520 89.457 -4.2321
8.052452 89.454 -4.2250
8.110803 89.451 -4.2180
8.169578 89.447 -4.2110
8.228777 89.444 -4.2041
8.288406 89.440 -4.1970
8.348468 89.437 -4.1896
8.408964 89.433 -4.1820
8.469899 89.430 -4.1745
8.531276 89.426 -4.1670
8.593097 89.422 -4.1595
8.655366 89.418 -4.1520
8.718086 89.414 -4.1445
8.781260 89.411 -4.1370
8.844893 89.408 -4.1296
8.908987 89.404 -4.1220
8.973545 89.401 -4.1141
9.038571 89.397 -4.1060
9.104069 89.394 -4.0980
9.170040 89.390 -4.0900
9.236490 89.387 -4.0821
9.303422 89.383 -4.0740
9.370838 89.379 -4.0656
9.438744 89.375 -4.0570
9.507140 89.371 -4.0485
9.576033 89.368 -4.0400
9.645425 89.365 -4.0315
9.715320 89.361 -4.0230
9.785721 89.357 -4.0146
9.856632 89.354 -4.0060
9.928058 89.351 -3.9971
10.000000 89.347 -3.9880
10.072464 89.344 -3.9790
10.145453 89.340 -3.9700
10.218971 89.336 -3.9611
10.293022 89.332 -3.9520
10.367610 89.328 -3.9426
10.442738 89.325 -3.9330
10.518411 89.322 -3.9235
10.594631 89.318 -3.9140
10.671404 89.314 -3.9046
10.748734 89.311 -3.8950
10.826623 89.308 -3.8851
10.905077 89.304 -3.8750
10.984100 89.301 -3.8650
11.063695 89.297 -3.8550
11.143867 89.293 -3.8451
11.224621 89.289 -3.8350
11.305959 89.285 -3.8246
11.387886 89.282 -3.8140
11.470407 89.279 -3.8036
11.553527 89.275 -3.7930
11.637249 89.271 -3.7821
11.721577 89.268 -3.7710
11.806517 89.265 -3.7600
11.892071 89.261 -3.7490
11.978246 89.258 -3.7381
12.065045 89.254 -3.7270
12.152473 89.250 -3.7156
12.240536 89.246 -3.7040
12.329235 89.242 -3.6926
12.418578 89.239 -3.6810
12.508568 89.236 -3.6691
12.599211 89.232 -3.6570
12.690510 89.229 -3.6451
12.782471 89.225 -3.6330
12.875097 89.222 -3.6206
12.968395 89.218 -3.6080
13.062370 89.215 -3.5955
13.157025 89.211 -3.5830
13.252366 89.207 -3.5706
13.348398 89.203 -3.5580
13.445127 89.199 -3.5451
13.542556 89.196 -3.5320
13.640691 89.193 -3.5191
13.739536 89.189 -3.5060
13.839099 89.186 -3.4926
13.939383 89.182 -3.4790
14.040393 89.179 -3.4651
14.142136 89.175 -3.4510
14.244616 89.172 -3.4371
14.347837 89.168 -3.4230
14.451808 89.164 -3.4086
14.556532 89.160 -3.3940
14.662014 89.156 -3.3795
14.768262 89.153 -3.3650
14.875278 89.150 -3.3506
14.983070 89.146 -3.3360
15.091644 89.143 -3.3211
15.201005 89.139 -3.3060
15.311157 89.136 -3.2906
15.422109 89.132 -3.2750
15.533863 89.129 -3.2595
15.646428 89.125 -3.2440
15.759809 89.121 -3.2286
15.874010 89.117 -3.2130
15.989040 89.113 -3.1971
16.104904 89.110 -3.1810
16.221605 89.106 -3.1651
16.339155 89.103 -3.1490
16.457554 89.100 -3.1326
16.576813 89.096 -3.1160
16.696936 89.092 -3.0991
16.817928 89.089 -3.0820
16.939798 89.086 -3.0650
17.062551 89.082 -3.0480
17.186193 89.078 -3.0310
17.310732 89.074 -3.0140
17.436172 89.070 -2.9970
17.562521 89.067 -2.9800
17.689787 89.063 -2.9630
17.817974 89.060 -2.9460
17.947090 89.057 -2.9295
18.077143 89.053 -2.9130
18.208138 89.049 -2.8965
18.340080 89.046 -2.8800
18.472980 89.043 -2.8638
18.606844 89.039 -2.8480
18.741676 89.035 -2.8331
18.877487 89.031 -2.8190
19.014280 89.027 -2.8057
19.152065 89.024 -2.7940
19.290850 89.021 -2.7846
19.430639 89.017 -2.7780
19.571442 89.013 -2.7748
19.713264 89.009 -2.7750
19.856115 89.004 -2.7794
20.000000 88.997 -2.7860
20.144928 88.989 -2.7946
20.290907 88.979 -2.8000
20.437943 88.966 -2.7976
20.586044 88.951 -2.7860
20.735220 88.937 -2.7629
20.885475 88.922 -2.7270
21.036821 88.905 -2.6763
21.189262 88.888 -2.6111
21.342808 88.873 -2.5294
21.497467 88.859 -2.4361
21.653246 88.848 -2.3357
21.810154 88.838 -2.2281
21.968201 88.829 -2.1146
22.127390 88.821 -1.9961
22.287735 88.816 -1.8736
22.449242 88.812 -1.7491
22.611917 88.809 -1.6253
22.775772 88.808 -1.5012
22.940815 88.808 -1.3752
23.107054 88.810 -1.2512
23.274498 88.815 -1.1327
23.443153 88.820 -1.0182
23.613033 88.824 -0.9082
23.784142 88.829 -0.8001
23.956491 88.835 -0.6907
24.130091 88.842 -0.5811
24.304947 88.850 -0.4728
24.481071 88.858 -0.3621
24.658470 88.867 -0.2439
24.837156 88.878 -0.1252
25.017136 88.895 -0.0088
25.198421 88.916 0.0979
25.381020 88.940 0.1878
25.564941 88.966 0.2579
25.750195 88.995 0.3052
25.936790 89.027 0.3230
26.124741 89.060 0.3025
26.314051 89.093 0.2471
26.504732 89.122 0.1559
26.696796 89.149 0.0332
26.890253 89.173 -0.1184
27.085112 89.192 -0.2948
27.281382 89.206 -0.4940
27.479073 89.214 -0.7077
27.678198 89.215 -0.9275
27.878765 89.210 -1.1517
28.080786 89.202 -1.3773
28.284271 89.188 -1.5997
28.489231 89.166 -1.8153
28.695675 89.138 -2.0177
28.903616 89.105 -2.2003
29.113064 89.067 -2.3608
29.324028 89.024 -2.4965
29.536524 88.975 -2.6019
29.750557 88.922 -2.6718
29.966141 88.864 -2.7020
30.183289 88.803 -2.6877
30.402010 88.740 -2.6251
30.622314 88.674 -2.5085
30.844217 88.607 -2.3382
31.067726 88.542 -2.1115
31.292856 88.479 -1.8325
31.519617 88.420 -1.5048
31.748020 88.363 -1.1275
31.978081 88.309 -0.7004
32.209808 88.259 -0.2246
32.443211 88.217 0.2999
32.678310 88.181 0.8692
32.915108 88.152 1.4792
33.153625 88.131 2.1302
33.393871 88.118 2.8235
33.635857 88.117 3.5519
33.879597 88.129 4.3139
34.125103 88.156 5.0939
34.372387 88.199 5.8821
34.621464 88.259 6.6598
34.872345 88.338 7.4119
35.125042 88.435 8.1192
35.379574 88.548 8.7622
35.635948 88.675 9.3264
35.894180 88.815 9.7938
36.154285 88.964 10.1546
36.416275 89.120 10.3924
36.680161 89.279 10.5079
36.945961 89.436 10.4924
37.213688 89.588 10.3583
37.483353 89.731 10.1113
37.754974 89.864 9.7636
38.028561 89.985 9.3229
38.304131 90.093 8.8077
38.581699 90.183 8.2315
38.861279 90.256 7.6170
39.142883 90.311 6.9851
39.426529 90.350 6.3549
39.712231 90.372 5.7480
40.000000 90.380 5.1768
40.289856 90.376 4.6577
40.581814 90.362 4.1996
40.875885 90.338 3.8153
41.172089 90.309 3.5094
41.470440 90.277 3.2926
41.770950 90.245 3.1592
42.073643 90.218 3.1120
42.378525 90.198 3.1359
42.685616 90.189 3.2237
42.994934 90.192 3.3538
43.306492 90.210 3.5110
43.620308 90.243 3.6698
43.936401 90.293 3.8063
44.254780 90.357 3.8999
44.575470 90.433 3.9248
44.898483 90.517 3.8732
45.223835 90.604 3.7268
45.551544 90.692 3.4914
45.881630 90.776 3.1615
46.214108 90.853 2.7517
46.548996 90.920 2.2664
46.886307 90.975 1.7299
47.226067 91.014 1.1613
47.568283 91.041 0.5800
47.912983 91.056 0.0096
48.260181 91.061 -0.5441
48.609894 91.058 -1.0698
48.962143 91.048 -1.5613
49.316940 91.031 -2.0078
49.674313 91.010 -2.4114
50.034271 90.990 -2.7667
50.396843 90.972 -3.0855
50.762039 90.957 -3.3752
51.129883 90.945 -3.6446
51.500389 90.936 -3.9034
51.873581 90.931 -4.1566
52.249481 90.929 -4.4100
52.628101 90.929 -4.6706
53.009464 90.933 -4.9453
53.393593 90.939 -5.2395
53.780506 90.945 -5.5631
54.170223 90.950 -5.9094
54.562763 90.950 -6.2769
54.958145 90.947 -6.6604
55.356396 90.941 -7.0546
55.757530 90.931 -7.4584
56.161572 90.917 -7.8716
56.568542 90.897 -8.2853
56.978462 90.871 -8.6912
57.391350 90.840 -9.0863
57.807232 90.807 -9.4647
58.226128 90.770 -9.8264
58.648056 90.730 -10.1706
59.073048 90.686 -10.4935
59.501114 90.640 -10.7896
59.932281 90.593 -11.0625
60.366577 90.546 -11.3133
60.804020 90.499 -11.5436
61.244629 90.451 -11.7559
61.688435 90.403 -11.9487
62.135452 90.355 -12.1207
62.585712 90.307 -12.2738
63.039234 90.261 -12.4075
63.496040 90.217 -12.5278
63.956161 90.175 -12.6411
64.419617 90.134 -12.7458
64.886421 90.093 -12.8426
65.356621 90.053 -12.9319
65.830215 90.014 -13.0134
66.307251 89.976 -13.0889
66.787743 89.940 -13.1598
67.271713 89.904 -13.2269
67.759193 89.870 -13.2905
68.250206 89.836 -13.3529
68.744774 89.804 -13.4173
69.242928 89.772 -13.4809
69.744690 89.739 -13.5418
70.250084 89.705 -13.6009
70.759148 89.673 -13.6579
71.271896 89.642 -13.7139
71.788361 89.610 -13.7709
72.308571 89.577 -13.8259
72.832550 89.544 -13.8768
73.360321 89.511 -13.9229
73.891922 89.477 -13.9636
74.427376 89.442 -13.9969
74.966705 89.408 -14.0204
75.509949 89.374 -14.0360
76.057121 89.341 -14.0434
76.608261 89.310 -14.0470
77.163399 89.281 -14.0516
77.722557 89.253 -14.0560
78.285767 89.224 -14.0610
78.853058 89.195 -14.0660
79.424461 89.167 -14.0702
80.000000 89.140 -14.0750
80.579712 89.112 -14.0833
81.163628 89.083 -14.0890
81.751770 89.053 -14.0868
