* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser PXC 550-II BT_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:34:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser PXC 550-II BT_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sennheiser PXC 550-II BT_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 75.249 86.5310
5.036232 75.278 86.5016
5.072727 75.310 86.4700
5.109486 75.347 86.4336
5.146511 75.390 86.3920
5.183805 75.441 86.3429
5.221369 75.497 86.2900
5.259205 75.555 86.2370
5.297316 75.616 86.1820
5.335702 75.681 86.1236
5.374367 75.747 86.0640
5.413311 75.813 86.0051
5.452538 75.878 85.9460
5.492050 75.943 85.8866
5.531847 76.008 85.8270
5.571934 76.073 85.7672
5.612310 76.139 85.7070
5.652979 76.204 85.6462
5.693943 76.270 85.5850
5.735204 76.335 85.5232
5.776763 76.401 85.4610
5.818624 76.466 85.3987
5.860788 76.532 85.3360
5.903258 76.598 85.2728
5.946035 76.663 85.2090
5.989123 76.728 85.1447
6.032523 76.793 85.0800
6.076237 76.858 85.0152
6.120268 76.924 84.9500
6.164618 76.989 84.8843
6.209289 77.055 84.8180
6.254284 77.120 84.7508
6.299605 77.186 84.6830
6.345255 77.251 84.6152
6.391235 77.317 84.5470
6.437549 77.382 84.4783
6.484198 77.448 84.4090
6.531185 77.514 84.3393
6.578513 77.579 84.2690
6.626183 77.644 84.1983
6.674199 77.709 84.1270
6.722563 77.774 84.0553
6.771278 77.840 83.9830
6.820345 77.905 83.9103
6.869768 77.971 83.8370
6.919549 78.036 83.7628
6.969691 78.102 83.6880
7.020196 78.167 83.6133
7.071068 78.233 83.5380
7.122308 78.299 83.4618
7.173919 78.364 83.3850
7.225904 78.429 83.3078
7.278266 78.494 83.2300
7.331007 78.559 83.1513
7.384131 78.625 83.0720
7.437639 78.690 82.9928
7.491535 78.756 82.9130
7.545822 78.821 82.8323
7.600502 78.887 82.7510
7.655579 78.952 82.6693
7.711054 79.018 82.5870
7.766932 79.084 82.5039
7.823214 79.149 82.4200
7.879904 79.214 82.3353
7.937005 79.279 82.2500
7.994520 79.344 82.1643
8.052452 79.410 82.0780
8.110803 79.475 81.9913
8.169578 79.541 81.9040
8.228777 79.606 81.8159
8.288406 79.672 81.7270
8.348468 79.737 81.6374
8.408964 79.803 81.5470
8.469899 79.868 81.4558
8.531276 79.934 81.3640
8.593097 80.000 81.2719
8.655366 80.065 81.1790
8.718086 80.130 81.0854
8.781260 80.195 80.9910
8.844893 80.260 80.8959
8.908987 80.326 80.8000
8.973545 80.391 80.7034
9.038571 80.457 80.6060
9.104069 80.522 80.5079
9.170040 80.588 80.4090
9.236490 80.653 80.3094
9.303422 80.719 80.2090
9.370838 80.785 80.1079
9.438744 80.850 80.0060
9.507140 80.915 79.9035
9.576033 80.980 79.8000
9.645425 81.045 79.6954
9.715320 81.111 79.5900
9.785721 81.176 79.4844
9.856632 81.242 79.3780
9.928058 81.307 79.2705
10.000000 81.373 79.1621
10.072464 81.438 79.0530
10.145453 81.504 78.9431
10.218971 81.570 78.8321
10.293022 81.635 78.7200
10.367610 81.700 78.6069
10.442738 81.765 78.4930
10.518411 81.830 78.3789
10.594631 81.896 78.2640
10.671404 81.961 78.1475
10.748734 82.027 78.0300
10.826623 82.092 77.9120
10.905077 82.158 77.7931
10.984100 82.223 77.6731
11.063695 82.289 77.5521
11.143867 82.355 77.4301
11.224621 82.420 77.3070
11.305959 82.485 77.1830
11.387886 82.550 77.0581
11.470407 82.615 76.9326
11.553527 82.681 76.8060
11.637249 82.746 76.6781
11.721577 82.812 76.5491
11.806517 82.877 76.4192
11.892071 82.943 76.2881
11.978246 83.008 76.1556
12.065045 83.074 76.0220
12.152473 83.139 75.8880
12.240536 83.205 75.7530
12.329235 83.271 75.6167
12.418578 83.336 75.4791
12.508568 83.401 75.3402
12.599211 83.466 75.2001
12.690510 83.531 75.0592
12.782471 83.597 74.9171
12.875097 83.662 74.7738
12.968395 83.728 74.6291
13.062370 83.793 74.4831
13.157025 83.859 74.3361
13.252366 83.924 74.1882
13.348398 83.990 74.0391
13.445127 84.055 73.8883
13.542556 84.121 73.7362
13.640691 84.186 73.5827
13.739536 84.251 73.4281
13.839099 84.316 73.2722
13.939383 84.382 73.1151
14.040393 84.447 72.9568
14.142136 84.513 72.7971
14.244616 84.578 72.6357
14.347837 84.644 72.4731
14.451808 84.709 72.3092
14.556532 84.775 72.1441
14.662014 84.841 71.9774
14.768262 84.906 71.8092
14.875278 84.971 71.6395
14.983070 85.036 71.4682
15.091644 85.101 71.2955
15.201005 85.167 71.1211
15.311157 85.232 70.9449
15.422109 85.298 70.7671
15.533863 85.363 70.5884
15.646428 85.429 70.4081
15.759809 85.494 70.2260
15.874010 85.560 70.0421
15.989040 85.625 69.8565
16.104904 85.691 69.6692
16.221605 85.756 69.4805
16.339155 85.822 69.2902
16.457554 85.887 69.0981
16.576813 85.952 68.9041
16.696936 86.017 68.7084
16.817928 86.083 68.5111
16.939798 86.148 68.3126
17.062551 86.214 68.1123
17.186193 86.279 67.9097
17.310732 86.345 67.7051
17.436172 86.410 67.4985
17.562521 86.476 67.2902
17.689787 86.542 67.0805
17.817974 86.607 66.8692
17.947090 86.672 66.6561
18.077143 86.737 66.4411
18.208138 86.802 66.2246
18.340080 86.868 66.0062
18.472980 86.933 65.7860
18.606844 86.999 65.5641
18.741676 87.064 65.3407
18.877487 87.130 65.1162
19.014280 87.195 64.8910
19.152065 87.261 64.6653
19.290850 87.326 64.4391
19.430639 87.392 64.2132
19.571442 87.458 63.9885
19.713264 87.524 63.7643
19.856115 87.591 63.5407
20.000000 87.660 63.3162
20.144928 87.730 63.0906
20.290907 87.802 62.8602
20.437943 87.876 62.6224
20.586044 87.951 62.3742
20.735220 88.028 62.1120
20.885475 88.106 61.8343
21.036821 88.185 61.5382
21.189262 88.263 61.2244
21.342808 88.340 60.8919
21.497467 88.415 60.5434
21.653246 88.489 60.1804
21.810154 88.561 59.8065
21.968201 88.629 59.4255
22.127390 88.696 59.0394
22.287735 88.761 58.6521
22.449242 88.826 58.2623
22.611917 88.890 57.8695
22.775772 88.952 57.4755
22.940815 89.012 57.0824
23.107054 89.072 56.6885
23.274498 89.132 56.2933
23.443153 89.192 55.8956
23.613033 89.251 55.4933
23.784142 89.309 55.0884
23.956491 89.366 54.6828
24.130091 89.422 54.2745
24.304947 89.480 53.8621
24.481071 89.537 53.4445
24.658470 89.593 53.0192
24.837156 89.647 52.5886
25.017136 89.700 52.1545
25.198421 89.752 51.7174
25.381020 89.803 51.2782
25.564941 89.853 50.8374
25.750195 89.902 50.3962
25.936790 89.950 49.9545
26.124741 89.997 49.5128
26.314051 90.044 49.0706
26.504732 90.090 48.6287
26.696796 90.137 48.1845
26.890253 90.184 47.7370
27.085112 90.232 47.2825
27.281382 90.279 46.8164
27.479073 90.326 46.3407
27.678198 90.371 45.8557
27.878765 90.414 45.3617
28.080786 90.456 44.8581
28.284271 90.495 44.3477
28.489231 90.531 43.8316
28.695675 90.565 43.3137
28.903616 90.596 42.7980
29.113064 90.625 42.2857
29.324028 90.651 41.7787
29.536524 90.676 41.2786
29.750557 90.699 40.7885
29.966141 90.721 40.3065
30.183289 90.744 39.8325
30.402010 90.766 39.3636
30.622314 90.788 38.8965
30.844217 90.809 38.4316
31.067726 90.830 37.9689
31.292856 90.851 37.5057
31.519617 90.872 37.0390
31.748020 90.893 36.5696
31.978081 90.912 36.0973
32.209808 90.930 35.6226
32.443211 90.947 35.1459
32.678310 90.963 34.6676
32.915108 90.976 34.1876
33.153625 90.988 33.7086
33.393871 90.998 33.2331
33.635857 91.006 32.7617
33.879597 91.012 32.2953
34.125103 91.017 31.8356
34.372387 91.020 31.3846
34.621464 91.021 30.9427
34.872345 91.022 30.5114
35.125042 91.023 30.0895
35.379574 91.023 29.6766
35.635948 91.023 29.2715
35.894180 91.023 28.8730
36.154285 91.023 28.4806
36.416275 91.023 28.0937
36.680161 91.023 27.7116
36.945961 91.023 27.3333
37.213688 91.023 26.9586
37.483353 91.023 26.5871
37.754974 91.023 26.2186
38.028561 91.023 25.8524
38.304131 91.023 25.4885
38.581699 91.023 25.1268
38.861279 91.023 24.7665
39.142883 91.023 24.4069
39.426529 91.023 24.0475
39.712231 91.023 23.6880
40.000000 91.023 23.3275
40.289856 91.023 22.9658
40.581814 91.023 22.6015
40.875885 91.022 22.2335
41.172089 91.021 21.8616
41.470440 91.020 21.4849
41.770950 91.017 21.1046
42.073643 91.012 20.7210
42.378525 91.006 20.3365
42.685616 90.998 19.9539
42.994934 90.988 19.5735
43.306492 90.976 19.1962
43.620308 90.963 18.8246
43.936401 90.948 18.4614
44.254780 90.932 18.1066
44.575470 90.915 17.7609
44.898483 90.897 17.4235
45.223835 90.879 17.0940
45.551544 90.860 16.7715
45.881630 90.841 16.4543
46.214108 90.821 16.1445
46.548996 90.800 15.8432
46.886307 90.778 15.5505
47.226067 90.757 15.2674
47.568283 90.735 14.9924
47.912983 90.714 14.7243
48.260181 90.692 14.4634
48.609894 90.670 14.2110
48.962143 90.649 13.9644
49.316940 90.629 13.7221
49.674313 90.610 13.4824
50.034271 90.591 13.2431
50.396843 90.572 13.0044
50.762039 90.553 12.7654
51.129883 90.533 12.5274
51.500389 90.512 12.2911
51.873581 90.490 12.0574
52.249481 90.468 11.8278
52.628101 90.445 11.6014
53.009464 90.423 11.3766
53.393593 90.399 11.1564
53.780506 90.372 10.9427
54.170223 90.344 10.7373
54.562763 90.317 10.5427
54.958145 90.290 10.3583
55.356396 90.261 10.1835
55.757530 90.231 10.0203
56.161572 90.202 9.8709
56.568542 90.173 9.7332
56.978462 90.145 9.6055
57.391350 90.118 9.4882
57.807232 90.090 9.3818
58.226128 90.063 9.2852
58.648056 90.039 9.1981
59.073048 90.017 9.1181
59.501114 89.995 9.0419
59.932281 89.974 8.9711
60.366577 89.954 8.9070
60.804020 89.935 8.8471
61.244629 89.919 8.7906
61.688435 89.905 8.7331
62.135452 89.893 8.6694
62.585712 89.882 8.6011
63.039234 89.871 8.5286
63.496040 89.861 8.4511
63.956161 89.852 8.3686
64.419617 89.843 8.2802
64.886421 89.835 8.1849
65.356621 89.826 8.0832
65.830215 89.817 7.9746
66.307251 89.808 7.8602
66.787743 89.797 7.7409
67.271713 89.786 7.6172
67.759193 89.774 7.4899
68.250206 89.761 7.3592
68.744774 89.746 7.2246
69.242928 89.729 7.0902
69.744690 89.710 6.9593
70.250084 89.688 6.8352
70.759148 89.664 6.7223
71.271896 89.639 6.6212
71.788361 89.613 6.5338
72.308571 89.586 6.4611
72.832550 89.558 6.4053
73.360321 89.531 6.3651
73.891922 89.505 6.3401
74.427376 89.479 6.3290
74.966705 89.454 6.3305
75.509949 89.431 6.3440
76.057121 89.409 6.3693
76.608261 89.389 6.4039
77.163399 89.371 6.4455
77.722557 89.355 6.4929
78.285767 89.341 6.5451
78.853058 89.329 6.5999
79.424461 89.319 6.6552
80.000000 89.311 6.7099
80.579712 89.305 6.7627
81.163628 89.300 6.8119
81.751770 89.297 6.8554
82.344177 89.296 6.8929
82.940880 89.295 6.9230
83.541901 89.294 6.9470
84.147285 89.294 6.9655
84.757050 89.294 6.9790
85.371231 89.294 6.9877
85.989868 89.294 6.9930
86.612984 89.294 6.9962
87.240616 89.294 6.9970
87.872803 89.294 6.9954
88.509560 89.294 6.9920
89.150940 89.294 6.9875
89.796967 89.294 6.9820
90.447670 89.294 6.9758
91.103088 89.294 6.9690
91.763260 89.294 6.9617
92.428215 89.294 6.9540
93.097992 89.294 6.9460
93.772614 89.294 6.9380
94.452133 89.294 6.9308
95.136566 89.294 6.9240
95.825966 89.294 6.9176
