* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\WH1000XM4_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:47:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\WH1000XM4_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: WH1000XM4_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.304 35.0580
5.036232 86.316 35.0449
5.072727 86.329 35.0310
5.109486 86.344 35.0151
5.146511 86.361 34.9970
5.183805 86.382 34.9754
5.221369 86.405 34.9520
5.259205 86.428 34.9284
5.297316 86.453 34.9040
5.335702 86.480 34.8783
5.374367 86.507 34.8520
5.413311 86.534 34.8261
5.452538 86.560 34.8000
5.492050 86.587 34.7736
5.531847 86.614 34.7470
5.571934 86.641 34.7206
5.612310 86.667 34.6940
5.652979 86.693 34.6666
5.693943 86.720 34.6390
5.735204 86.747 34.6121
5.776763 86.774 34.5850
5.818624 86.800 34.5571
5.860788 86.827 34.5290
5.903258 86.854 34.5011
5.946035 86.881 34.4730
5.989123 86.907 34.4446
6.032523 86.934 34.4160
6.076237 86.961 34.3871
6.120268 86.988 34.3580
6.164618 87.015 34.3286
6.209289 87.041 34.2990
6.254284 87.067 34.2691
6.299605 87.094 34.2390
6.345255 87.121 34.2091
6.391235 87.148 34.1790
6.437549 87.174 34.1486
6.484198 87.201 34.1180
6.531185 87.228 34.0872
6.578513 87.255 34.0560
6.626183 87.281 34.0241
6.674199 87.308 33.9920
6.722563 87.335 33.9606
6.771278 87.362 33.9290
6.820345 87.389 33.8967
6.869768 87.415 33.8640
6.919549 87.441 33.8311
6.969691 87.468 33.7980
7.020196 87.495 33.7646
7.071068 87.522 33.7310
7.122308 87.548 33.6971
7.173919 87.575 33.6630
7.225904 87.602 33.6291
7.278266 87.629 33.5950
7.331007 87.655 33.5602
7.384131 87.682 33.5250
7.437639 87.709 33.4896
7.491535 87.736 33.4540
7.545822 87.763 33.4181
7.600502 87.789 33.3820
7.655579 87.815 33.3461
7.711054 87.842 33.3100
7.766932 87.869 33.2732
7.823214 87.896 33.2360
7.879904 87.922 33.1987
7.937005 87.949 33.1610
7.994520 87.976 33.1226
8.052452 88.003 33.0840
8.110803 88.029 33.0456
8.169578 88.056 33.0070
8.228777 88.083 32.9682
8.288406 88.110 32.9290
8.348468 88.137 32.8892
8.408964 88.163 32.8490
8.469899 88.189 32.8086
8.531276 88.216 32.7680
8.593097 88.243 32.7271
8.655366 88.270 32.6860
8.718086 88.296 32.6447
8.781260 88.323 32.6030
8.844893 88.350 32.5606
8.908987 88.377 32.5180
8.973545 88.403 32.4757
9.038571 88.430 32.4330
9.104069 88.457 32.3892
9.170040 88.484 32.3450
9.236490 88.511 32.3011
9.303422 88.537 32.2570
9.370838 88.563 32.2122
9.438744 88.590 32.1670
9.507140 88.617 32.1216
9.576033 88.644 32.0760
9.645425 88.670 32.0302
9.715320 88.697 31.9840
9.785721 88.724 31.9373
9.856632 88.751 31.8900
9.928058 88.777 31.8421
10.000000 88.804 31.7940
10.072464 88.831 31.7462
10.145453 88.858 31.6981
10.218971 88.885 31.6488
10.293022 88.911 31.5990
10.367610 88.937 31.5491
10.442738 88.964 31.4990
10.518411 88.991 31.4487
10.594631 89.018 31.3980
10.671404 89.044 31.3468
10.748734 89.071 31.2950
10.826623 89.098 31.2427
10.905077 89.125 31.1900
10.984100 89.151 31.1372
11.063695 89.178 31.0840
11.143867 89.205 31.0302
11.224621 89.232 30.9760
11.305959 89.259 30.9218
11.387886 89.285 30.8670
11.470407 89.311 30.8113
11.553527 89.338 30.7550
11.637249 89.365 30.6987
11.721577 89.392 30.6421
11.806517 89.418 30.5847
11.892071 89.445 30.5271
11.978246 89.472 30.4693
12.065045 89.499 30.4110
12.152473 89.525 30.3518
12.240536 89.552 30.2920
12.329235 89.579 30.2317
12.418578 89.606 30.1711
12.508568 89.633 30.1103
12.599211 89.659 30.0490
12.690510 89.685 29.9868
12.782471 89.712 29.9241
12.875097 89.739 29.8613
12.968395 89.766 29.7980
13.062370 89.792 29.7338
13.157025 89.819 29.6690
13.252366 89.846 29.6043
13.348398 89.873 29.5390
13.445127 89.899 29.4729
13.542556 89.926 29.4061
13.640691 89.953 29.3389
13.739536 89.980 29.2710
13.839099 90.007 29.2023
13.939383 90.033 29.1331
14.040393 90.059 29.0638
14.142136 90.086 28.9940
14.244616 90.113 28.9234
14.347837 90.140 28.8520
14.451808 90.166 28.7798
14.556532 90.193 28.7070
14.662014 90.220 28.6339
14.768262 90.247 28.5601
14.875278 90.273 28.4854
14.983070 90.300 28.4101
15.091644 90.327 28.3344
15.201005 90.354 28.2581
15.311157 90.381 28.1809
15.422109 90.407 28.1031
15.533863 90.433 28.0244
15.646428 90.460 27.9450
15.759809 90.487 27.8649
15.874010 90.514 27.7841
15.989040 90.540 27.7024
16.104904 90.567 27.6201
16.221605 90.594 27.5370
16.339155 90.621 27.4531
16.457554 90.647 27.3685
16.576813 90.674 27.2831
16.696936 90.701 27.1970
16.817928 90.728 27.1101
16.939798 90.755 27.0220
17.062551 90.781 26.9331
17.186193 90.807 26.8435
17.310732 90.834 26.7531
17.436172 90.861 26.6616
17.562521 90.888 26.5691
17.689787 90.914 26.4755
17.817974 90.941 26.3811
17.947090 90.968 26.2861
18.077143 90.995 26.1901
18.208138 91.021 26.0927
18.340080 91.048 25.9941
18.472980 91.075 25.8941
18.606844 91.102 25.7931
18.741676 91.129 25.6912
18.877487 91.155 25.5881
19.014280 91.181 25.4833
19.152065 91.208 25.3771
19.290850 91.235 25.2699
19.430639 91.262 25.1611
19.571442 91.288 25.0501
19.713264 91.315 24.9371
19.856115 91.342 24.8224
20.000000 91.369 24.7051
20.144928 91.396 24.5848
20.290907 91.422 24.4611
20.437943 91.448 24.3332
20.586044 91.474 24.2021
20.735220 91.499 24.0680
20.885475 91.524 23.9322
21.036821 91.547 23.7948
21.189262 91.569 23.6592
21.342808 91.589 23.5288
21.497467 91.609 23.4032
21.653246 91.630 23.2843
21.810154 91.651 23.1682
21.968201 91.673 23.0506
22.127390 91.695 22.9341
22.287735 91.716 22.8204
22.449242 91.737 22.7081
22.611917 91.759 22.5969
22.775772 91.781 22.4851
22.940815 91.803 22.3688
23.107054 91.824 22.2551
23.274498 91.842 22.1500
23.443153 91.860 22.0541
23.613033 91.880 21.9721
23.784142 91.902 21.8981
23.956491 91.925 21.8282
24.130091 91.951 21.7601
24.304947 91.979 21.6918
24.481071 92.010 21.6181
24.658470 92.044 21.5344
24.837156 92.079 21.4371
25.017136 92.115 21.3202
25.198421 92.152 21.1871
25.381020 92.187 21.0382
25.564941 92.221 20.8772
25.750195 92.253 20.7061
25.936790 92.283 20.5302
26.124741 92.310 20.3547
26.314051 92.336 20.1822
26.504732 92.361 20.0185
26.696796 92.387 19.8602
26.890253 92.414 19.7072
27.085112 92.442 19.5562
27.281382 92.472 19.4049
27.479073 92.503 19.2492
27.678198 92.536 19.0852
27.878765 92.570 18.9103
28.080786 92.606 18.7204
28.284271 92.642 18.5153
28.489231 92.678 18.2927
28.695675 92.713 18.0543
28.903616 92.747 17.8011
29.113064 92.780 17.5324
29.324028 92.812 17.2476
29.536524 92.842 16.9474
29.750557 92.869 16.6314
29.966141 92.894 16.3024
30.183289 92.915 15.9622
30.402010 92.933 15.6134
30.622314 92.947 15.2569
30.844217 92.956 14.8994
31.067726 92.959 14.5450
31.292856 92.956 14.2035
31.519617 92.947 13.8850
31.748020 92.935 13.5933
31.978081 92.920 13.3361
32.209808 92.904 13.1113
32.443211 92.889 12.9199
32.678310 92.874 12.7602
32.915108 92.860 12.6335
33.153625 92.850 12.5311
33.393871 92.846 12.4479
33.635857 92.847 12.3751
33.879597 92.852 12.3036
34.125103 92.861 12.2301
34.372387 92.873 12.1487
34.621464 92.887 12.0581
34.872345 92.904 11.9545
35.125042 92.922 11.8391
35.379574 92.940 11.7114
35.635948 92.959 11.5732
35.894180 92.978 11.4268
36.154285 92.998 11.2702
36.416275 93.018 11.1018
36.680161 93.039 10.9223
36.945961 93.059 10.7316
37.213688 93.079 10.5313
37.483353 93.098 10.3237
37.754974 93.116 10.1063
38.028561 93.135 9.8777
38.304131 93.153 9.6373
38.581699 93.170 9.3827
38.861279 93.184 9.1184
39.142883 93.195 8.8480
39.426529 93.204 8.5724
39.712231 93.212 8.2930
40.000000 93.218 8.0124
40.289856 93.220 7.7314
40.581814 93.218 7.4564
40.875885 93.213 7.1941
41.172089 93.206 6.9444
41.470440 93.199 6.7099
41.770950 93.192 6.4894
42.073643 93.184 6.2825
42.378525 93.176 6.0883
42.685616 93.170 5.9074
42.994934 93.165 5.7342
43.306492 93.162 5.5636
43.620308 93.160 5.3943
43.936401 93.159 5.2230
44.254780 93.158 5.0503
44.575470 93.158 4.8758
44.898483 93.158 4.6993
45.223835 93.158 4.5203
45.551544 93.158 4.3393
45.881630 93.158 4.1568
46.214108 93.158 3.9723
46.548996 93.158 3.7855
46.886307 93.158 3.5963
47.226067 93.158 3.4047
47.568283 93.158 3.2093
47.912983 93.158 3.0092
48.260181 93.158 2.8033
48.609894 93.157 2.5904
48.962143 93.156 2.3703
49.316940 93.154 2.1423
49.674313 93.150 1.9074
50.034271 93.144 1.6649
50.396843 93.136 1.4194
50.762039 93.124 1.1745
51.129883 93.110 0.9324
51.500389 93.093 0.6957
51.873581 93.073 0.4674
52.249481 93.050 0.2502
52.628101 93.025 0.0483
53.009464 92.997 -0.1325
53.393593 92.968 -0.2937
53.780506 92.939 -0.4347
54.170223 92.910 -0.5568
54.562763 92.881 -0.6626
54.958145 92.852 -0.7489
55.356396 92.823 -0.8126
55.757530 92.794 -0.8559
56.161572 92.768 -0.8784
56.568542 92.744 -0.8850
56.978462 92.723 -0.8807
57.391350 92.705 -0.8660
57.807232 92.689 -0.8417
58.226128 92.675 -0.8121
58.648056 92.666 -0.7803
59.073048 92.659 -0.7500
59.501114 92.655 -0.7260
59.932281 92.652 -0.7080
60.366577 92.651 -0.6978
60.804020 92.650 -0.6940
61.244629 92.650 -0.6962
61.688435 92.650 -0.7030
62.135452 92.650 -0.7130
62.585712 92.650 -0.7250
63.039234 92.650 -0.7372
63.496040 92.650 -0.7490
63.956161 92.650 -0.7593
64.419617 92.650 -0.7670
64.886421 92.650 -0.7710
65.356621 92.650 -0.7700
65.830215 92.651 -0.7625
66.307251 92.652 -0.7480
66.787743 92.654 -0.7255
67.271713 92.658 -0.6961
67.759193 92.664 -0.6593
68.250206 92.672 -0.6191
68.744774 92.682 -0.5791
69.242928 92.695 -0.5401
69.744690 92.710 -0.5027
70.250084 92.728 -0.4701
70.759148 92.749 -0.4454
71.271896 92.771 -0.4290
71.788361 92.794 -0.4229
72.308571 92.818 -0.4260
72.832550 92.843 -0.4382
73.360321 92.870 -0.4590
73.891922 92.897 -0.4874
74.427376 92.925 -0.5239
74.966705 92.954 -0.5682
75.509949 92.985 -0.6219
76.057121 93.017 -0.6873
76.608261 93.050 -0.7628
77.163399 93.082 -0.8471
77.722557 93.115 -0.9418
78.285767 93.150 -1.0479
78.853058 93.186 -1.1667
79.424461 93.222 -1.3005
80.000000 93.258 -1.4477
80.579712 93.294 -1.6075
81.163628 93.329 -1.7797
81.751770 93.364 -1.9641
82.344177 93.399 -2.1596
82.940880 93.433 -2.3647
83.541901 93.466 -2.5796
84.147285 93.499 -2.8037
84.757050 93.532 -3.0375
85.371231 93.564 -3.2816
85.989868 93.596 -3.5345
86.612984 93.627 -3.7947
87.240616 93.658 -4.0635
87.872803 93.689 -4.3411
88.509560 93.719 -4.6294
89.150940 93.749 -4.9309
89.796967 93.778 -5.2433
90.447670 93.805 -5.5664
91.103088 93.831 -5.8973
91.763260 93.855 -6.2325
92.428215 93.879 -6.5743
93.097992 93.903 -6.9228
