* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\stincoo_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:58:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\stincoo_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: stincoo_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 71.165 85.9870
5.036232 71.194 85.9630
5.072727 71.225 85.9370
5.109486 71.262 85.9061
5.146511 71.304 85.8710
5.183805 71.354 85.8304
5.221369 71.409 85.7870
5.259205 71.466 85.7438
5.297316 71.525 85.6990
5.335702 71.588 85.6509
5.374367 71.653 85.6020
5.413311 71.717 85.5545
5.452538 71.781 85.5070
5.492050 71.845 85.4586
5.531847 71.909 85.4100
5.571934 71.973 85.3616
5.612310 72.037 85.3130
5.652979 72.101 85.2637
5.693943 72.165 85.2140
5.735204 72.229 85.1641
5.776763 72.293 85.1140
5.818624 72.357 85.0637
5.860788 72.421 85.0130
5.903258 72.485 84.9617
5.946035 72.549 84.9100
5.989123 72.613 84.8581
6.032523 72.678 84.8060
6.076237 72.742 84.7537
6.120268 72.806 84.7010
6.164618 72.870 84.6477
6.209289 72.934 84.5940
6.254284 72.998 84.5402
6.299605 73.062 84.4860
6.345255 73.126 84.4313
6.391235 73.190 84.3760
6.437549 73.254 84.3201
6.484198 73.318 84.2640
6.531185 73.382 84.2082
6.578513 73.446 84.1520
6.626183 73.510 84.0948
6.674199 73.574 84.0370
6.722563 73.638 83.9792
6.771278 73.703 83.9210
6.820345 73.767 83.8622
6.869768 73.831 83.8030
6.919549 73.895 83.7438
6.969691 73.959 83.6840
7.020196 74.023 83.6233
7.071068 74.087 83.5620
7.122308 74.151 83.5006
7.173919 74.215 83.4390
7.225904 74.279 83.3773
7.278266 74.343 83.3150
7.331007 74.407 83.2518
7.384131 74.471 83.1880
7.437639 74.535 83.1242
7.491535 74.599 83.0600
7.545822 74.663 82.9953
7.600502 74.727 82.9300
7.655579 74.791 82.8643
7.711054 74.856 82.7980
7.766932 74.920 82.7313
7.823214 74.984 82.6640
7.879904 75.048 82.5963
7.937005 75.112 82.5280
7.994520 75.176 82.4593
8.052452 75.240 82.3900
8.110803 75.304 82.3203
8.169578 75.368 82.2500
8.228777 75.432 82.1793
8.288406 75.496 82.1080
8.348468 75.560 82.0358
8.408964 75.624 81.9630
8.469899 75.688 81.8902
8.531276 75.752 81.8170
8.593097 75.816 81.7433
8.655366 75.881 81.6690
8.718086 75.945 81.5938
8.781260 76.009 81.5180
8.844893 76.073 81.4418
8.908987 76.137 81.3650
8.973545 76.201 81.2878
9.038571 76.265 81.2100
9.104069 76.329 81.1313
9.170040 76.393 81.0520
9.236490 76.457 80.9723
9.303422 76.521 80.8920
9.370838 76.585 80.8113
9.438744 76.649 80.7300
9.507140 76.713 80.6484
9.576033 76.777 80.5660
9.645425 76.841 80.4824
9.715320 76.905 80.3980
9.785721 76.969 80.3138
9.856632 77.034 80.2290
9.928058 77.098 80.1434
10.000000 77.162 80.0570
10.072464 77.226 79.9700
10.145453 77.290 79.8821
10.218971 77.354 79.7934
10.293022 77.418 79.7040
10.367610 77.482 79.6143
10.442738 77.546 79.5240
10.518411 77.610 79.4328
10.594631 77.674 79.3410
10.671404 77.738 79.2489
10.748734 77.802 79.1560
10.826623 77.866 79.0619
10.905077 77.930 78.9671
10.984100 77.994 78.8719
11.063695 78.058 78.7761
11.143867 78.122 78.6795
11.224621 78.187 78.5820
11.305959 78.251 78.4834
11.387886 78.315 78.3841
11.470407 78.379 78.2844
11.553527 78.443 78.1840
11.637249 78.507 78.0830
11.721577 78.571 77.9811
11.806517 78.635 77.8780
11.892071 78.699 77.7741
11.978246 78.763 77.6694
12.065045 78.827 77.5640
12.152473 78.891 77.4579
12.240536 78.955 77.3510
12.329235 79.019 77.2434
12.418578 79.083 77.1351
12.508568 79.147 77.0260
12.599211 79.212 76.9161
12.690510 79.276 76.8051
12.782471 79.340 76.6931
12.875097 79.404 76.5800
12.968395 79.468 76.4661
13.062370 79.532 76.3515
13.157025 79.596 76.2360
13.252366 79.660 76.1195
13.348398 79.724 76.0021
13.445127 79.788 75.8841
13.542556 79.852 75.7651
13.640691 79.916 75.6451
13.739536 79.980 75.5240
13.839099 80.044 75.4020
13.939383 80.108 75.2791
14.040393 80.172 75.1556
14.142136 80.236 75.0310
14.244616 80.300 74.9050
14.347837 80.365 74.7781
14.451808 80.429 74.6506
14.556532 80.493 74.5221
14.662014 80.557 74.3922
14.768262 80.621 74.2611
14.875278 80.685 74.1292
14.983070 80.749 73.9961
15.091644 80.813 73.8621
15.201005 80.877 73.7271
15.311157 80.941 73.5912
15.422109 81.005 73.4541
15.533863 81.069 73.3157
15.646428 81.133 73.1761
15.759809 81.197 73.0356
15.874010 81.261 72.8941
15.989040 81.325 72.7517
16.104904 81.389 72.6081
16.221605 81.453 72.4632
16.339155 81.518 72.3172
16.457554 81.582 72.1702
16.576813 81.646 72.0221
16.696936 81.710 71.8727
16.817928 81.774 71.7221
16.939798 81.838 71.5706
17.062551 81.902 71.4182
17.186193 81.966 71.2647
17.310732 82.030 71.1101
17.436172 82.094 70.9541
17.562521 82.158 70.7971
17.689787 82.222 70.6396
17.817974 82.286 70.4812
17.947090 82.350 70.3216
18.077143 82.414 70.1611
18.208138 82.478 69.9994
18.340080 82.543 69.8372
18.472980 82.607 69.6748
18.606844 82.671 69.5121
18.741676 82.735 69.3488
18.877487 82.799 69.1862
19.014280 82.863 69.0256
19.152065 82.927 68.8662
19.290850 82.992 68.7072
19.430639 83.058 68.5491
19.571442 83.124 68.3933
19.713264 83.191 68.2362
19.856115 83.261 68.0757
20.000000 83.332 67.9092
20.144928 83.404 67.7318
20.290907 83.476 67.5472
20.437943 83.546 67.3590
20.586044 83.618 67.1621
20.735220 83.694 66.9524
20.885475 83.770 66.7303
21.036821 83.842 66.4923
21.189262 83.912 66.2453
21.342808 83.982 65.9979
21.497467 84.052 65.7413
21.653246 84.125 65.4671
21.810154 84.196 65.1824
21.968201 84.258 64.8889
22.127390 84.318 64.5943
22.287735 84.379 64.3079
22.449242 84.438 64.0262
22.611917 84.494 63.7455
22.775772 84.548 63.4763
22.940815 84.597 63.2286
23.107054 84.647 63.0003
23.274498 84.700 62.7943
23.443153 84.756 62.6053
23.613033 84.812 62.4308
23.784142 84.873 62.2641
23.956491 84.941 62.1025
24.130091 85.015 61.9312
24.304947 85.093 61.7336
24.481071 85.174 61.5133
24.658470 85.253 61.2698
24.837156 85.333 60.9994
25.017136 85.417 60.6973
25.198421 85.500 60.3664
25.381020 85.576 60.0032
25.564941 85.648 59.6214
25.750195 85.716 59.2322
25.936790 85.780 58.8395
26.124741 85.840 58.4495
26.314051 85.898 58.0655
26.504732 85.953 57.6925
26.696796 86.007 57.3314
26.890253 86.060 56.9870
27.085112 86.114 56.6534
27.281382 86.171 56.3290
27.479073 86.230 56.0064
27.678198 86.292 55.6797
27.878765 86.356 55.3425
28.080786 86.422 54.9860
28.284271 86.488 54.6115
28.489231 86.553 54.2152
28.695675 86.615 53.8036
28.903616 86.673 53.3799
29.113064 86.729 52.9506
29.324028 86.781 52.5236
29.536524 86.832 52.0985
29.750557 86.883 51.6773
29.966141 86.932 51.2615
30.183289 86.979 50.8549
30.402010 87.026 50.4515
30.622314 87.078 50.0495
30.844217 87.132 49.6395
31.067726 87.185 49.2074
31.292856 87.237 48.7647
31.519617 87.283 48.3171
31.748020 87.327 47.8676
31.978081 87.372 47.4221
32.209808 87.416 46.9776
32.443211 87.459 46.5308
32.678310 87.501 46.0876
32.915108 87.541 45.6572
33.153625 87.583 45.2255
33.393871 87.633 44.7856
33.635857 87.685 44.3257
33.879597 87.736 43.8289
34.125103 87.786 43.3037
34.372387 87.830 42.7526
34.621464 87.871 42.1779
34.872345 87.909 41.5805
35.125042 87.940 40.9678
35.379574 87.961 40.3413
35.635948 87.974 39.7197
35.894180 87.977 39.1192
36.154285 87.973 38.5488
36.416275 87.962 38.0227
36.680161 87.947 37.5427
36.945961 87.931 37.1165
37.213688 87.914 36.7405
37.483353 87.898 36.4161
37.754974 87.885 36.1364
38.028561 87.878 35.8991
38.304131 87.876 35.6923
38.581699 87.882 35.5061
38.861279 87.895 35.3323
39.142883 87.914 35.1606
39.426529 87.939 34.9872
39.712231 87.970 34.8079
40.000000 88.006 34.6133
40.289856 88.049 34.3923
40.581814 88.095 34.1464
40.875885 88.141 33.8717
41.172089 88.188 33.5725
41.470440 88.237 33.2533
41.770950 88.288 32.9096
42.073643 88.340 32.5414
42.378525 88.394 32.1396
42.685616 88.451 31.6929
42.994934 88.507 31.2077
43.306492 88.554 30.6812
43.620308 88.596 30.1308
43.936401 88.631 29.5741
44.254780 88.662 29.0079
44.575470 88.692 28.4337
44.898483 88.719 27.8549
45.223835 88.738 27.2703
45.551544 88.753 26.6948
45.881630 88.763 26.1488
46.214108 88.773 25.6158
46.548996 88.792 25.0918
46.886307 88.813 24.5599
47.226067 88.835 23.9997
47.568283 88.855 23.4180
47.912983 88.872 22.8130
48.260181 88.886 22.1890
48.609894 88.896 21.5476
48.962143 88.902 20.8960
49.316940 88.901 20.2384
49.674313 88.895 19.5850
50.034271 88.883 18.9477
50.396843 88.868 18.3249
50.762039 88.853 17.7218
51.129883 88.838 17.1310
51.500389 88.824 16.5510
51.873581 88.811 15.9700
52.249481 88.803 15.3789
52.628101 88.796 14.7680
53.009464 88.790 14.1264
53.393593 88.783 13.4492
53.780506 88.775 12.7258
54.170223 88.762 11.9633
54.562763 88.739 11.1620
54.958145 88.708 10.3313
55.356396 88.669 9.4781
55.757530 88.620 8.6104
56.161572 88.559 7.7362
56.568542 88.486 6.8624
56.978462 88.403 5.9989
57.391350 88.310 5.1456
57.807232 88.207 4.3026
58.226128 88.092 3.4784
58.648056 87.964 2.6754
59.073048 87.821 1.9122
59.501114 87.661 1.2032
59.932281 87.486 0.5641
60.366577 87.298 0.0083
60.804020 87.095 -0.4433
61.244629 86.874 -0.7711
61.688435 86.641 -0.9578
62.135452 86.400 -0.9805
62.585712 86.154 -0.8374
63.039234 85.907 -0.5179
63.496040 85.662 -0.0250
63.956161 85.425 0.6462
64.419617 85.199 1.4824
64.886421 84.989 2.4801
65.356621 84.799 3.6149
65.830215 84.634 4.8676
66.307251 84.494 6.2193
66.787743 84.379 7.6515
67.271713 84.292 9.1422
67.759193 84.238 10.6736
68.250206 84.214 12.2142
68.744774 84.223 13.7340
69.242928 84.261 15.2103
69.744690 84.326 16.6140
70.250084 84.414 17.9346
70.759148 84.521 19.1539
71.271896 84.646 20.2660
71.788361 84.783 21.2602
72.308571 84.932 22.1325
72.832550 85.088 22.8734
73.360321 85.248 23.4880
73.891922 85.408 23.9711
74.427376 85.566 24.3444
74.966705 85.715 24.6249
75.509949 85.860 24.8217
76.057121 86.002 24.9495
76.608261 86.140 25.0089
77.163399 86.272 25.0010
77.722557 86.398 24.9392
78.285767 86.515 24.8359
78.853058 86.627 24.6953
79.424461 86.735 24.5288
80.000000 86.841 24.3274
80.579712 86.945 24.0831
81.163628 87.043 23.8046
81.751770 87.130 23.4943
82.344177 87.211 23.1627
82.940880 87.287 22.8214
83.541901 87.357 22.4687
84.147285 87.422 22.1047
84.757050 87.482 21.7357
85.371231 87.535 21.3667
85.989868 87.583 21.0027
86.612984 87.627 20.6530
87.240616 87.669 20.3107
87.872803 87.712 19.9740
88.509560 87.753 19.6377
89.150940 87.792 19.2957
89.796967 87.829 18.9477
90.447670 87.865 18.5896
91.103088 87.898 18.2268
91.763260 87.924 17.8616
92.428215 87.946 17.4987
93.097992 87.965 17.1424
93.772614 87.981 16.7957
94.452133 87.992 16.4614
95.136566 87.999 16.1446
95.825966 88.003 15.8518
96.520363 88.006 15.5826
97.219788 88.007 15.3391
