* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Svyhouk fanny unicorn_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:59:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Svyhouk fanny unicorn_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Svyhouk fanny unicorn_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 63.924 117.8170
5.036232 63.962 117.7972
5.072727 64.004 117.7760
5.109486 64.052 117.7516
5.146511 64.108 117.7240
5.183805 64.175 117.6917
5.221369 64.248 117.6580
5.259205 64.323 117.6263
5.297316 64.402 117.5940
5.335702 64.485 117.5592
5.374367 64.571 117.5240
5.413311 64.656 117.4903
5.452538 64.741 117.4570
5.492050 64.826 117.4236
5.531847 64.911 117.3900
5.571934 64.996 117.3561
5.612310 65.081 117.3220
5.652979 65.166 117.2876
5.693943 65.251 117.2530
5.735204 65.336 117.2181
5.776763 65.421 117.1830
5.818624 65.506 117.1481
5.860788 65.591 117.1130
5.903258 65.676 117.0776
5.946035 65.761 117.0420
5.989123 65.845 117.0061
6.032523 65.930 116.9700
6.076237 66.015 116.9341
6.120268 66.100 116.8980
6.164618 66.185 116.8612
6.209289 66.270 116.8240
6.254284 66.355 116.7866
6.299605 66.440 116.7490
6.345255 66.525 116.7116
6.391235 66.610 116.6740
6.437549 66.695 116.6356
6.484198 66.780 116.5970
6.531185 66.865 116.5586
6.578513 66.950 116.5200
6.626183 67.035 116.4812
6.674199 67.120 116.4420
6.722563 67.205 116.4021
6.771278 67.290 116.3620
6.820345 67.374 116.3221
6.869768 67.459 116.2820
6.919549 67.544 116.2417
6.969691 67.629 116.2010
7.020196 67.714 116.1596
7.071068 67.799 116.1180
7.122308 67.884 116.0766
7.173919 67.969 116.0350
7.225904 68.054 115.9927
7.278266 68.139 115.9500
7.331007 68.224 115.9071
7.384131 68.309 115.8640
7.437639 68.394 115.8206
7.491535 68.479 115.7770
7.545822 68.564 115.7331
7.600502 68.649 115.6890
7.655579 68.733 115.6446
7.711054 68.818 115.6000
7.766932 68.903 115.5551
7.823214 68.988 115.5100
7.879904 69.073 115.4647
7.937005 69.158 115.4190
7.994520 69.243 115.3727
8.052452 69.328 115.3260
8.110803 69.413 115.2792
8.169578 69.498 115.2320
8.228777 69.583 115.1842
8.288406 69.668 115.1360
8.348468 69.753 115.0881
8.408964 69.838 115.0400
8.469899 69.923 114.9912
8.531276 70.008 114.9420
8.593097 70.093 114.8927
8.655366 70.178 114.8430
8.718086 70.262 114.7932
8.781260 70.347 114.7430
8.844893 70.432 114.6922
8.908987 70.517 114.6410
8.973545 70.602 114.5897
9.038571 70.687 114.5380
9.104069 70.772 114.4856
9.170040 70.857 114.4330
9.236490 70.942 114.3806
9.303422 71.027 114.3280
9.370838 71.112 114.2748
9.438744 71.197 114.2210
9.507140 71.282 114.1667
9.576033 71.367 114.1120
9.645425 71.452 114.0572
9.715320 71.537 114.0020
9.785721 71.622 113.9467
9.856632 71.707 113.8910
9.928058 71.791 113.8348
10.000000 71.876 113.7780
10.072464 71.961 113.7207
10.145453 72.046 113.6631
10.218971 72.131 113.6052
10.293022 72.216 113.5470
10.367610 72.301 113.4887
10.442738 72.386 113.4300
10.518411 72.471 113.3707
10.594631 72.556 113.3110
10.671404 72.641 113.2512
10.748734 72.726 113.1910
10.826623 72.811 113.1303
10.905077 72.896 113.0691
10.984100 72.981 113.0072
11.063695 73.066 112.9450
11.143867 73.150 112.8827
11.224621 73.235 112.8200
11.305959 73.320 112.7573
11.387886 73.405 112.6940
11.470407 73.490 112.6298
11.553527 73.575 112.5650
11.637249 73.660 112.5002
11.721577 73.745 112.4351
11.806517 73.830 112.3698
11.892071 73.915 112.3041
11.978246 74.000 112.2378
12.065045 74.085 112.1710
12.152473 74.170 112.1038
12.240536 74.255 112.0360
12.329235 74.340 111.9677
12.418578 74.425 111.8991
12.508568 74.510 111.8302
12.599211 74.595 111.7610
12.690510 74.679 111.6918
12.782471 74.764 111.6221
12.875097 74.849 111.5513
12.968395 74.934 111.4801
13.062370 75.019 111.4087
13.157025 75.104 111.3370
13.252366 75.189 111.2647
13.348398 75.274 111.1921
13.445127 75.359 111.1193
13.542556 75.444 111.0461
13.640691 75.529 110.9723
13.739536 75.614 110.8980
13.839099 75.699 110.8233
13.939383 75.784 110.7481
14.040393 75.869 110.6722
14.142136 75.954 110.5960
14.244616 76.038 110.5197
14.347837 76.123 110.4430
14.451808 76.208 110.3657
14.556532 76.293 110.2880
14.662014 76.378 110.2103
14.768262 76.463 110.1321
14.875278 76.548 110.0528
14.983070 76.633 109.9731
15.091644 76.718 109.8932
15.201005 76.803 109.8131
15.311157 76.888 109.7328
15.422109 76.973 109.6521
15.533863 77.058 109.5703
15.646428 77.143 109.4880
15.759809 77.228 109.4057
15.874010 77.313 109.3231
15.989040 77.398 109.2402
16.104904 77.483 109.1571
16.221605 77.567 109.0733
16.339155 77.652 108.9891
16.457554 77.737 108.9048
16.576813 77.822 108.8201
16.696936 77.907 108.7348
16.817928 77.992 108.6491
16.939798 78.077 108.5628
17.062551 78.162 108.4761
17.186193 78.247 108.3892
17.310732 78.332 108.3021
17.436172 78.417 108.2147
17.562521 78.502 108.1271
17.689787 78.587 108.0388
17.817974 78.672 107.9501
17.947090 78.757 107.8612
18.077143 78.842 107.7721
18.208138 78.926 107.6827
18.340080 79.011 107.5931
18.472980 79.096 107.5032
18.606844 79.181 107.4131
18.741676 79.266 107.3224
18.877487 79.351 107.2321
19.014280 79.436 107.1438
19.152065 79.521 107.0551
19.290850 79.608 106.9646
19.430639 79.696 106.8711
19.571442 79.782 106.7746
19.713264 79.870 106.6691
19.856115 79.961 106.5484
20.000000 80.052 106.4131
20.144928 80.137 106.2587
20.290907 80.219 106.0952
20.437943 80.297 105.9293
20.586044 80.371 105.7671
20.735220 80.439 105.6139
20.885475 80.504 105.4781
21.036821 80.565 105.3687
21.189262 80.623 105.2901
21.342808 80.679 105.2497
21.497467 80.735 105.2480
21.653246 80.793 105.2919
21.810154 80.855 105.3699
21.968201 80.924 105.4765
22.127390 81.000 105.5999
22.287735 81.082 105.7250
22.449242 81.168 105.8549
22.611917 81.255 105.9899
22.775772 81.346 106.1228
22.940815 81.446 106.2450
23.107054 81.548 106.3608
23.274498 81.645 106.4697
23.443153 81.744 106.5788
23.613033 81.849 106.6951
23.784142 81.956 106.8189
23.956491 82.062 106.9506
24.130091 82.171 107.0968
24.304947 82.286 107.2736
24.481071 82.412 107.4528
24.658470 82.555 107.6178
24.837156 82.710 107.7498
25.017136 82.870 107.8252
25.198421 83.036 107.8420
25.381020 83.206 107.7932
25.564941 83.377 107.6712
25.750195 83.549 107.4597
25.936790 83.716 107.1774
26.124741 83.867 106.8281
26.314051 84.008 106.4396
26.504732 84.139 106.0371
26.696796 84.262 105.6325
26.890253 84.375 105.2428
27.085112 84.482 104.8774
27.281382 84.585 104.5549
27.479073 84.689 104.2644
27.678198 84.797 104.0065
27.878765 84.909 103.7653
28.080786 85.027 103.5280
28.284271 85.149 103.2863
28.489231 85.275 103.0278
28.695675 85.403 102.7524
28.903616 85.531 102.4578
29.113064 85.661 102.1385
29.324028 85.795 101.7893
29.536524 85.929 101.4065
29.750557 86.061 100.9813
29.966141 86.190 100.5225
30.183289 86.313 100.0318
30.402010 86.430 99.5216
30.622314 86.539 99.0029
30.844217 86.642 98.4826
31.067726 86.740 97.9715
31.292856 86.835 97.4698
31.519617 86.928 96.9808
31.748020 87.019 96.5056
31.978081 87.107 96.0467
32.209808 87.195 95.6026
32.443211 87.283 95.1757
32.678310 87.373 94.7555
32.915108 87.465 94.3315
33.153625 87.558 93.9065
33.393871 87.647 93.4795
33.635857 87.735 93.0517
33.879597 87.825 92.6237
34.125103 87.914 92.1956
34.372387 88.000 91.7618
34.621464 88.084 91.3386
34.872345 88.161 90.9453
35.125042 88.241 90.5675
35.379574 88.332 90.2015
35.635948 88.426 89.8334
35.894180 88.520 89.4422
36.154285 88.613 89.0456
36.416275 88.702 88.6603
36.680161 88.793 88.2686
36.945961 88.896 87.8596
37.213688 89.001 87.4297
37.483353 89.097 86.9629
37.754974 89.188 86.4857
38.028561 89.274 86.0243
38.304131 89.360 85.5636
38.581699 89.454 85.0962
38.861279 89.547 84.6257
39.142883 89.630 84.1491
39.426529 89.712 83.6786
39.712231 89.796 83.2324
40.000000 89.884 82.7897
40.289856 89.977 82.3356
40.581814 90.072 81.8707
40.875885 90.164 81.3889
41.172089 90.255 80.8948
41.470440 90.347 80.3906
41.770950 90.438 79.8769
42.073643 90.527 79.3528
42.378525 90.614 78.8238
42.685616 90.700 78.2949
42.994934 90.785 77.7657
43.306492 90.871 77.2375
43.620308 90.957 76.7098
43.936401 91.042 76.1852
44.254780 91.130 75.6568
44.575470 91.223 75.1220
44.898483 91.319 74.5709
45.223835 91.415 73.9941
45.551544 91.513 73.3879
45.881630 91.612 72.7440
46.214108 91.709 72.0661
46.548996 91.800 71.3491
46.886307 91.884 70.6112
47.226067 91.959 69.8666
47.568283 92.029 69.1222
47.912983 92.096 68.3882
48.260181 92.160 67.6682
48.609894 92.218 66.9711
48.962143 92.277 66.2910
49.316940 92.342 65.6308
49.674313 92.410 64.9730
50.034271 92.482 64.3029
50.396843 92.556 63.6161
50.762039 92.631 62.9071
51.129883 92.708 62.1653
51.500389 92.789 61.3769
51.873581 92.867 60.5455
52.249481 92.937 59.6649
52.628101 93.000 58.7505
53.009464 93.055 57.8151
53.393593 93.103 56.8606
53.780506 93.144 55.8890
54.170223 93.175 54.9136
54.562763 93.194 53.9448
54.958145 93.205 52.9935
55.356396 93.208 52.0734
55.757530 93.205 51.1864
56.161572 93.196 50.3388
56.568542 93.182 49.5313
56.978462 93.166 48.7692
57.391350 93.150 48.0453
57.807232 93.135 47.3566
58.226128 93.120 46.6961
58.648056 93.107 46.0575
59.073048 93.094 45.4360
59.501114 93.083 44.8242
59.932281 93.072 44.2241
60.366577 93.059 43.6347
60.804020 93.044 43.0570
61.244629 93.030 42.4908
61.688435 93.014 41.9379
62.135452 92.995 41.3955
62.585712 92.973 40.8779
63.039234 92.945 40.3977
63.496040 92.915 39.9567
63.956161 92.889 39.5656
64.419617 92.866 39.2096
64.886421 92.849 38.8787
65.356621 92.837 38.5695
65.830215 92.827 38.2775
66.307251 92.821 37.9965
66.787743 92.822 37.7223
67.271713 92.828 37.4455
67.759193 92.839 37.1530
68.250206 92.851 36.8516
68.744774 92.861 36.5403
69.242928 92.870 36.2286
69.744690 92.880 35.9248
70.250084 92.890 35.6306
70.759148 92.901 35.3518
71.271896 92.915 35.0835
71.788361 92.935 34.8268
72.308571 92.960 34.5695
72.832550 92.992 34.3010
73.360321 93.028 34.0175
73.891922 93.067 33.7137
74.427376 93.110 33.3837
74.966705 93.158 33.0229
75.509949 93.208 32.6228
76.057121 93.260 32.1691
76.608261 93.310 31.6740
77.163399 93.352 31.1414
77.722557 93.389 30.5812
78.285767 93.422 30.0029
78.853058 93.451 29.4112
79.424461 93.473 28.8106
80.000000 93.489 28.2112
80.579712 93.500 27.6232
81.163628 93.506 27.0511
81.751770 93.509 26.5047
82.344177 93.511 25.9781
82.940880 93.516 25.4711
83.541901 93.522 24.9760
84.147285 93.530 24.4859
84.757050 93.539 23.9969
85.371231 93.550 23.5032
85.989868 93.562 23.0030
86.612984 93.574 22.4931
87.240616 93.587 21.9730
87.872803 93.599 21.4418
88.509560 93.611 20.8981
89.150940 93.622 20.3405
89.796967 93.632 19.7682
90.447670 93.640 19.1794
91.103088 93.646 18.5753
91.763260 93.649 17.9546
92.428215 93.648 17.3223
93.097992 93.641 16.6789
93.772614 93.629 16.0363
94.452133 93.609 15.4040
95.136566 93.584 14.7893
95.825966 93.554 14.2019
