* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\TA Solitaire P-SE_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:41:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\TA Solitaire P-SE_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: TA Solitaire P-SE_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 91.054 -0.0340
5.036232 91.054 -0.0340
5.072727 91.054 -0.0340
5.109486 91.054 -0.0339
5.146511 91.054 -0.0340
5.183805 91.054 -0.0345
5.221369 91.054 -0.0350
5.259205 91.054 -0.0350
5.297316 91.054 -0.0350
5.335702 91.054 -0.0355
5.374367 91.054 -0.0360
5.413311 91.054 -0.0361
5.452538 91.054 -0.0360
5.492050 91.054 -0.0359
5.531847 91.054 -0.0360
5.571934 91.054 -0.0365
5.612310 91.054 -0.0370
5.652979 91.054 -0.0370
5.693943 91.054 -0.0370
5.735204 91.054 -0.0375
5.776763 91.054 -0.0380
5.818624 91.054 -0.0380
5.860788 91.054 -0.0380
5.903258 91.054 -0.0385
5.946035 91.054 -0.0390
5.989123 91.054 -0.0390
6.032523 91.054 -0.0390
6.076237 91.054 -0.0395
6.120268 91.054 -0.0400
6.164618 91.054 -0.0400
6.209289 91.054 -0.0400
6.254284 91.054 -0.0405
6.299605 91.054 -0.0410
6.345255 91.054 -0.0410
6.391235 91.054 -0.0410
6.437549 91.054 -0.0414
6.484198 91.054 -0.0420
6.531185 91.054 -0.0426
6.578513 91.054 -0.0430
6.626183 91.054 -0.0430
6.674199 91.054 -0.0430
6.722563 91.054 -0.0435
6.771278 91.054 -0.0440
6.820345 91.054 -0.0440
6.869768 91.054 -0.0440
6.919549 91.054 -0.0445
6.969691 91.054 -0.0450
7.020196 91.054 -0.0450
7.071068 91.054 -0.0450
7.122308 91.054 -0.0454
7.173919 91.054 -0.0460
7.225904 91.054 -0.0466
7.278266 91.054 -0.0470
7.331007 91.054 -0.0470
7.384131 91.054 -0.0470
7.437639 91.054 -0.0475
7.491535 91.054 -0.0480
7.545822 91.054 -0.0480
7.600502 91.054 -0.0480
7.655579 91.054 -0.0484
7.711054 91.054 -0.0490
7.766932 91.054 -0.0496
7.823214 91.054 -0.0500
7.879904 91.054 -0.0500
7.937005 91.054 -0.0500
7.994520 91.054 -0.0504
8.052452 91.054 -0.0510
8.110803 91.054 -0.0516
8.169578 91.054 -0.0520
8.228777 91.054 -0.0520
8.288406 91.054 -0.0520
8.348468 91.054 -0.0524
8.408964 91.054 -0.0530
8.469899 91.054 -0.0536
8.531276 91.054 -0.0540
8.593097 91.054 -0.0540
8.655366 91.054 -0.0540
8.718086 91.054 -0.0544
8.781260 91.054 -0.0550
8.844893 91.054 -0.0555
8.908987 91.054 -0.0560
8.973545 91.054 -0.0566
9.038571 91.054 -0.0570
9.104069 91.054 -0.0570
9.170040 91.054 -0.0570
9.236490 91.054 -0.0574
9.303422 91.054 -0.0580
9.370838 91.054 -0.0585
9.438744 91.054 -0.0590
9.507140 91.054 -0.0596
9.576033 91.054 -0.0600
9.645425 91.054 -0.0600
9.715320 91.054 -0.0600
9.785721 91.054 -0.0604
9.856632 91.054 -0.0610
9.928058 91.054 -0.0615
10.000000 91.054 -0.0620
10.072464 91.054 -0.0625
10.145453 91.054 -0.0630
10.218971 91.054 -0.0636
10.293022 91.054 -0.0640
10.367610 91.054 -0.0640
10.442738 91.054 -0.0640
10.518411 91.054 -0.0644
10.594631 91.054 -0.0650
10.671404 91.054 -0.0655
10.748734 91.054 -0.0660
10.826623 91.054 -0.0665
10.905077 91.054 -0.0670
10.984100 91.054 -0.0675
11.063695 91.054 -0.0680
11.143867 91.054 -0.0686
11.224621 91.054 -0.0690
11.305959 91.054 -0.0690
11.387886 91.054 -0.0690
11.470407 91.054 -0.0694
11.553527 91.054 -0.0700
11.637249 91.054 -0.0705
11.721577 91.054 -0.0710
11.806517 91.054 -0.0715
11.892071 91.054 -0.0720
11.978246 91.054 -0.0725
12.065045 91.054 -0.0730
12.152473 91.054 -0.0735
12.240536 91.054 -0.0740
12.329235 91.054 -0.0745
12.418578 91.054 -0.0750
12.508568 91.054 -0.0755
12.599211 91.054 -0.0760
12.690510 91.054 -0.0765
12.782471 91.054 -0.0770
12.875097 91.054 -0.0776
12.968395 91.054 -0.0780
13.062370 91.054 -0.0780
13.157025 91.054 -0.0780
13.252366 91.054 -0.0784
13.348398 91.054 -0.0790
13.445127 91.054 -0.0795
13.542556 91.054 -0.0800
13.640691 91.054 -0.0805
13.739536 91.054 -0.0810
13.839099 91.054 -0.0815
13.939383 91.054 -0.0820
14.040393 91.054 -0.0825
14.142136 91.054 -0.0830
14.244616 91.054 -0.0835
14.347837 91.054 -0.0840
14.451808 91.054 -0.0845
14.556532 91.054 -0.0850
14.662014 91.054 -0.0855
14.768262 91.054 -0.0860
14.875278 91.054 -0.0865
14.983070 91.054 -0.0870
15.091644 91.054 -0.0874
15.201005 91.054 -0.0880
15.311157 91.054 -0.0890
15.422109 91.054 -0.0900
15.533863 91.054 -0.0906
15.646428 91.054 -0.0910
15.759809 91.054 -0.0914
15.874010 91.054 -0.0920
15.989040 91.054 -0.0930
16.104904 91.054 -0.0940
16.221605 91.054 -0.0946
16.339155 91.054 -0.0950
16.457554 91.054 -0.0954
16.576813 91.054 -0.0960
16.696936 91.054 -0.0970
16.817928 91.054 -0.0980
16.939798 91.054 -0.0986
17.062551 91.054 -0.0990
17.186193 91.054 -0.0995
17.310732 91.054 -0.1000
17.436172 91.054 -0.1004
17.562521 91.054 -0.1010
17.689787 91.054 -0.1020
17.817974 91.054 -0.1030
17.947090 91.054 -0.1036
18.077143 91.054 -0.1040
18.208138 91.054 -0.1045
18.340080 91.054 -0.1050
18.472980 91.054 -0.1055
18.606844 91.054 -0.1060
18.741676 91.054 -0.1065
18.877487 91.054 -0.1070
19.014280 91.054 -0.1075
19.152065 91.054 -0.1080
19.290850 91.054 -0.1086
19.430639 91.054 -0.1090
19.571442 91.054 -0.1090
19.713264 91.054 -0.1090
19.856115 91.054 -0.1095
20.000000 91.054 -0.1100
20.144928 91.054 -0.1100
20.290907 91.054 -0.1100
20.437943 91.054 -0.1105
20.586044 91.054 -0.1110
20.735220 91.054 -0.1111
20.885475 91.054 -0.1110
21.036821 91.054 -0.1105
21.189262 91.054 -0.1100
21.342808 91.054 -0.1100
21.497467 91.054 -0.1100
21.653246 91.054 -0.1096
21.810154 91.054 -0.1090
21.968201 91.054 -0.1081
22.127390 91.054 -0.1070
22.287735 91.054 -0.1061
22.449242 91.054 -0.1050
22.611917 91.054 -0.1036
22.775772 91.054 -0.1020
22.940815 91.054 -0.1007
23.107054 91.054 -0.0990
23.274498 91.054 -0.0963
23.443153 91.054 -0.0930
23.613033 91.054 -0.0897
23.784142 91.054 -0.0860
23.956491 91.054 -0.0819
24.130091 91.054 -0.0770
24.304947 91.054 -0.0708
24.481071 91.054 -0.0630
24.658470 91.054 -0.0531
24.837156 91.054 -0.0410
25.017136 91.055 -0.0261
25.198421 91.056 -0.0090
25.381020 91.058 0.0107
25.564941 91.061 0.0300
25.750195 91.066 0.0475
25.936790 91.073 0.0590
26.124741 91.081 0.0592
26.314051 91.089 0.0490
26.504732 91.096 0.0275
26.696796 91.103 -0.0050
26.890253 91.110 -0.0492
27.085112 91.115 -0.1019
27.281382 91.117 -0.1629
27.479073 91.116 -0.2239
27.678198 91.111 -0.2773
27.878765 91.104 -0.3219
28.080786 91.097 -0.3538
28.284271 91.090 -0.3740
28.489231 91.082 -0.3821
28.695675 91.074 -0.3790
28.903616 91.067 -0.3643
29.113064 91.062 -0.3420
29.324028 91.059 -0.3159
29.536524 91.057 -0.2870
29.750557 91.056 -0.2579
29.966141 91.055 -0.2280
30.183289 91.055 -0.1977
30.402010 91.056 -0.1670
30.622314 91.058 -0.1355
30.844217 91.061 -0.1050
31.067726 91.066 -0.0758
31.292856 91.073 -0.0520
31.519617 91.081 -0.0382
31.748020 91.089 -0.0330
31.978081 91.097 -0.0365
32.209808 91.105 -0.0490
32.443211 91.113 -0.0712
32.678310 91.121 -0.1020
32.915108 91.128 -0.1421
33.153625 91.133 -0.1869
33.393871 91.136 -0.2325
33.635857 91.137 -0.2779
33.879597 91.138 -0.3209
34.125103 91.139 -0.3619
34.372387 91.139 -0.4005
34.621464 91.139 -0.4369
34.872345 91.139 -0.4710
35.125042 91.139 -0.5040
35.379574 91.139 -0.5375
35.635948 91.139 -0.5710
35.894180 91.139 -0.6043
36.154285 91.139 -0.6380
36.416275 91.139 -0.6724
36.680161 91.139 -0.7079
36.945961 91.139 -0.7446
37.213688 91.139 -0.7829
37.483353 91.139 -0.8235
37.754974 91.139 -0.8669
38.028561 91.139 -0.9139
38.304131 91.139 -0.9649
38.581699 91.138 -1.0206
38.861279 91.137 -1.0809
39.142883 91.135 -1.1467
39.426529 91.132 -1.2159
39.712231 91.127 -1.2880
40.000000 91.121 -1.3599
40.289856 91.113 -1.4278
40.581814 91.103 -1.4929
40.875885 91.093 -1.5553
41.172089 91.082 -1.6139
41.470440 91.069 -1.6684
41.770950 91.055 -1.7169
42.073643 91.040 -1.7562
42.378525 91.025 -1.7900
42.685616 91.011 -1.8213
42.994934 90.996 -1.8490
43.306492 90.979 -1.8745
43.620308 90.961 -1.8930
43.936401 90.941 -1.8995
44.254780 90.919 -1.8950
44.575470 90.898 -1.8794
44.898483 90.876 -1.8511
45.223835 90.853 -1.8091
45.551544 90.829 -1.7511
45.881630 90.805 -1.6743
46.214108 90.782 -1.5792
46.548996 90.760 -1.4655
46.886307 90.739 -1.3332
47.226067 90.719 -1.1817
47.568283 90.702 -1.0123
47.912983 90.688 -0.8243
48.260181 90.678 -0.6233
48.609894 90.672 -0.4130
48.962143 90.671 -0.1983
49.316940 90.675 0.0157
49.674313 90.683 0.2247
50.034271 90.695 0.4241
50.396843 90.712 0.6087
50.762039 90.733 0.7719
51.129883 90.757 0.9138
51.500389 90.781 1.0311
51.873581 90.805 1.1269
52.249481 90.829 1.2029
52.628101 90.854 1.2599
53.009464 90.878 1.2987
53.393593 90.902 1.3210
53.780506 90.925 1.3281
54.170223 90.946 1.3220
54.562763 90.966 1.3047
54.958145 90.984 1.2780
55.356396 91.000 1.2439
55.757530 91.014 1.2051
56.161572 91.027 1.1650
56.568542 91.038 1.1241
56.978462 91.049 1.0839
57.391350 91.059 1.0441
57.807232 91.068 1.0053
58.226128 91.077 0.9661
58.648056 91.086 0.9257
59.073048 91.095 0.8831
59.501114 91.103 0.8368
59.932281 91.111 0.7871
60.366577 91.119 0.7335
60.804020 91.126 0.6771
61.244629 91.131 0.6177
61.688435 91.135 0.5581
62.135452 91.137 0.5010
62.585712 91.138 0.4471
63.039234 91.139 0.3980
63.496040 91.139 0.3531
63.956161 91.139 0.3123
64.419617 91.139 0.2751
64.886421 91.139 0.2408
65.356621 91.139 0.2091
65.830215 91.139 0.1792
66.307251 91.139 0.1511
66.787743 91.139 0.1244
67.271713 91.139 0.0990
67.759193 91.139 0.0745
68.250206 91.139 0.0510
68.744774 91.139 0.0291
69.242928 91.139 0.0080
69.744690 91.139 -0.0128
70.250084 91.139 -0.0330
70.759148 91.139 -0.0523
71.271896 91.139 -0.0710
71.788361 91.139 -0.0892
72.308571 91.139 -0.1070
72.832550 91.139 -0.1242
73.360321 91.139 -0.1410
73.891922 91.139 -0.1572
74.427376 91.139 -0.1730
74.966705 91.139 -0.1882
75.509949 91.139 -0.2030
76.057121 91.139 -0.2175
76.608261 91.139 -0.2320
77.163399 91.139 -0.2467
77.722557 91.139 -0.2610
78.285767 91.139 -0.2741
78.853058 91.139 -0.2870
79.424461 91.139 -0.3005
80.000000 91.139 -0.3140
80.579712 91.139 -0.3267
81.163628 91.139 -0.3390
