* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Thieaudio Wraith_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:42:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Thieaudio Wraith_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Thieaudio Wraith_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 67.537 76.7720
5.036232 67.562 76.7607
5.072727 67.588 76.7490
5.109486 67.619 76.7363
5.146511 67.655 76.7220
5.183805 67.698 76.7049
5.221369 67.745 76.6870
5.259205 67.793 76.6706
5.297316 67.844 76.6540
5.335702 67.898 76.6360
5.374367 67.954 76.6180
5.413311 68.009 76.6014
5.452538 68.064 76.5850
5.492050 68.119 76.5681
5.531847 68.174 76.5510
5.571934 68.228 76.5340
5.612310 68.283 76.5170
5.652979 68.338 76.5000
5.693943 68.393 76.4830
5.735204 68.448 76.4661
5.776763 68.503 76.4490
5.818624 68.558 76.4316
5.860788 68.613 76.4140
5.903258 68.668 76.3966
5.946035 68.723 76.3790
5.989123 68.777 76.3611
6.032523 68.832 76.3430
6.076237 68.887 76.3251
6.120268 68.942 76.3070
6.164618 68.997 76.2885
6.209289 69.052 76.2700
6.254284 69.107 76.2521
6.299605 69.162 76.2340
6.345255 69.216 76.2151
6.391235 69.271 76.1960
6.437549 69.326 76.1770
6.484198 69.381 76.1580
6.531185 69.436 76.1391
6.578513 69.491 76.1200
6.626183 69.546 76.1006
6.674199 69.601 76.0810
6.722563 69.655 76.0615
6.771278 69.710 76.0420
6.820345 69.765 76.0226
6.869768 69.820 76.0030
6.919549 69.875 75.9826
6.969691 69.930 75.9620
7.020196 69.985 75.9421
7.071068 70.040 75.9220
7.122308 70.095 75.9011
7.173919 70.150 75.8800
7.225904 70.204 75.8590
7.278266 70.259 75.8380
7.331007 70.314 75.8171
7.384131 70.369 75.7960
7.437639 70.424 75.7746
7.491535 70.479 75.7530
7.545822 70.534 75.7316
7.600502 70.589 75.7100
7.655579 70.643 75.6881
7.711054 70.698 75.6660
7.766932 70.753 75.6436
7.823214 70.808 75.6210
7.879904 70.863 75.5985
7.937005 70.918 75.5760
7.994520 70.973 75.5536
8.052452 71.028 75.5310
8.110803 71.082 75.5076
8.169578 71.137 75.4840
8.228777 71.192 75.4605
8.288406 71.247 75.4370
8.348468 71.302 75.4136
8.408964 71.357 75.3900
8.469899 71.412 75.3656
8.531276 71.467 75.3410
8.593097 71.522 75.3165
8.655366 71.577 75.2920
8.718086 71.631 75.2676
8.781260 71.686 75.2430
8.844893 71.741 75.2181
8.908987 71.796 75.1930
8.973545 71.851 75.1676
9.038571 71.906 75.1420
9.104069 71.961 75.1161
9.170040 72.016 75.0900
9.236490 72.070 75.0641
9.303422 72.125 75.0380
9.370838 72.180 75.0116
9.438744 72.235 74.9850
9.507140 72.290 74.9581
9.576033 72.345 74.9310
9.645425 72.400 74.9041
9.715320 72.455 74.8770
9.785721 72.509 74.8496
9.856632 72.564 74.8220
9.928058 72.619 74.7941
10.000000 72.674 74.7660
10.072464 72.729 74.7376
10.145453 72.784 74.7090
10.218971 72.839 74.6806
10.293022 72.894 74.6520
10.367610 72.949 74.6231
10.442738 73.004 74.5940
10.518411 73.058 74.5646
10.594631 73.113 74.5350
10.671404 73.168 74.5051
10.748734 73.223 74.4750
10.826623 73.278 74.4451
10.905077 73.333 74.4150
10.984100 73.388 74.3847
11.063695 73.443 74.3540
11.143867 73.497 74.3231
11.224621 73.552 74.2920
11.305959 73.607 74.2606
11.387886 73.662 74.2290
11.470407 73.717 74.1971
11.553527 73.772 74.1650
11.637249 73.827 74.1326
11.721577 73.882 74.1000
11.806517 73.936 74.0676
11.892071 73.991 74.0350
11.978246 74.046 74.0021
12.065045 74.101 73.9690
12.152473 74.156 73.9357
12.240536 74.211 73.9020
12.329235 74.266 73.8676
12.418578 74.321 73.8330
12.508568 74.376 73.7991
12.599211 74.431 73.7650
12.690510 74.485 73.7302
12.782471 74.540 73.6950
12.875097 74.595 73.6597
12.968395 74.650 73.6240
13.062370 74.705 73.5881
13.157025 74.760 73.5520
13.252366 74.815 73.5161
13.348398 74.870 73.4800
13.445127 74.924 73.4432
13.542556 74.979 73.4060
13.640691 75.034 73.3691
13.739536 75.089 73.3320
13.839099 75.144 73.2941
13.939383 75.199 73.2560
14.040393 75.254 73.2181
14.142136 75.309 73.1800
14.244616 75.363 73.1417
14.347837 75.418 73.1030
14.451808 75.473 73.0636
14.556532 75.528 73.0240
14.662014 75.583 72.9846
14.768262 75.638 72.9450
14.875278 75.693 72.9052
14.983070 75.748 72.8650
15.091644 75.802 72.8242
15.201005 75.857 72.7830
15.311157 75.912 72.7416
15.422109 75.967 72.7000
15.533863 76.022 72.6586
15.646428 76.077 72.6170
15.759809 76.132 72.5747
15.874010 76.187 72.5320
15.989040 76.242 72.4892
16.104904 76.297 72.4460
16.221605 76.351 72.4027
16.339155 76.406 72.3591
16.457554 76.461 72.3152
16.576813 76.516 72.2710
16.696936 76.571 72.2267
16.817928 76.626 72.1820
16.939798 76.681 72.1372
17.062551 76.736 72.0921
17.186193 76.790 72.0467
17.310732 76.845 72.0010
17.436172 76.900 71.9547
17.562521 76.955 71.9080
17.689787 77.010 71.8617
17.817974 77.065 71.8151
17.947090 77.120 71.7672
18.077143 77.175 71.7190
18.208138 77.229 71.6712
18.340080 77.284 71.6231
18.472980 77.339 71.5743
18.606844 77.394 71.5250
18.741676 77.449 71.4754
18.877487 77.504 71.4251
19.014280 77.559 71.3739
19.152065 77.614 71.3221
19.290850 77.669 71.2699
19.430639 77.724 71.2170
19.571442 77.779 71.1636
19.713264 77.833 71.1091
19.856115 77.888 71.0529
20.000000 77.942 70.9961
20.144928 77.995 70.9394
20.290907 78.049 70.8821
20.437943 78.104 70.8240
20.586044 78.158 70.7640
20.735220 78.211 70.7001
20.885475 78.264 70.6351
21.036821 78.315 70.5713
21.189262 78.366 70.5091
21.342808 78.416 70.4488
21.497467 78.466 70.3921
21.653246 78.514 70.3389
21.810154 78.561 70.2941
21.968201 78.606 70.2625
22.127390 78.651 70.2440
22.287735 78.697 70.2406
22.449242 78.745 70.2500
22.611917 78.794 70.2721
22.775772 78.845 70.3020
22.940815 78.900 70.3361
23.107054 78.959 70.3700
23.274498 79.019 70.3980
23.443153 79.082 70.4190
23.613033 79.147 70.4306
23.784142 79.213 70.4310
23.956491 79.280 70.4168
24.130091 79.346 70.3910
24.304947 79.411 70.3542
24.481071 79.475 70.3101
24.658470 79.538 70.2624
24.837156 79.601 70.2121
25.017136 79.663 70.1608
25.198421 79.725 70.1091
25.381020 79.787 70.0582
25.564941 79.848 70.0080
25.750195 79.909 69.9589
25.936790 79.971 69.9101
26.124741 80.033 69.8609
26.314051 80.095 69.8121
26.504732 80.157 69.7647
26.696796 80.220 69.7171
26.890253 80.284 69.6678
27.085112 80.349 69.6161
27.281382 80.414 69.5599
27.479073 80.479 69.5011
27.678198 80.544 69.4416
27.878765 80.610 69.3781
28.080786 80.677 69.3073
28.284271 80.745 69.2301
28.489231 80.811 69.1457
28.695675 80.877 69.0561
28.903616 80.944 68.9636
29.113064 81.010 68.8661
29.324028 81.075 68.7615
29.536524 81.140 68.6531
29.750557 81.202 68.5434
29.966141 81.264 68.4341
30.183289 81.325 68.3273
30.402010 81.386 68.2241
30.622314 81.445 68.1262
30.844217 81.505 68.0341
31.067726 81.565 67.9507
31.292856 81.627 67.8711
31.519617 81.690 67.7919
31.748020 81.755 67.7111
31.978081 81.820 67.6257
32.209808 81.886 67.5361
32.443211 81.952 67.4414
32.678310 82.019 67.3431
32.915108 82.084 67.2428
33.153625 82.150 67.1401
33.393871 82.216 67.0352
33.635857 82.283 66.9282
33.879597 82.349 66.8184
34.125103 82.416 66.7081
34.372387 82.482 66.6008
34.621464 82.548 66.4932
34.872345 82.616 66.3841
35.125042 82.686 66.2711
35.379574 82.756 66.1510
35.635948 82.826 66.0252
35.894180 82.896 65.8937
36.154285 82.967 65.7572
36.416275 83.038 65.6160
36.680161 83.109 65.4702
36.945961 83.180 65.3205
37.213688 83.251 65.1652
37.483353 83.323 65.0034
37.754974 83.395 64.8343
38.028561 83.467 64.6561
38.304131 83.539 64.4703
38.581699 83.610 64.2776
38.861279 83.681 64.0783
39.142883 83.751 63.8727
39.426529 83.820 63.6613
39.712231 83.888 63.4436
40.000000 83.956 63.2223
40.289856 84.021 62.9998
40.581814 84.086 62.7773
40.875885 84.150 62.5568
41.172089 84.214 62.3383
41.470440 84.278 62.1238
41.770950 84.342 61.9104
42.073643 84.407 61.6965
42.378525 84.473 61.4793
42.685616 84.540 61.2550
42.994934 84.607 61.0243
43.306492 84.673 60.7862
43.620308 84.738 60.5424
43.936401 84.802 60.2932
44.254780 84.866 60.0414
44.575470 84.928 59.7898
44.898483 84.989 59.5384
45.223835 85.051 59.2886
45.551544 85.113 59.0384
45.881630 85.175 58.7851
46.214108 85.237 58.5314
46.548996 85.297 58.2800
46.886307 85.358 58.0284
47.226067 85.421 57.7758
47.568283 85.484 57.5194
47.912983 85.547 57.2546
48.260181 85.610 56.9864
48.609894 85.671 56.7200
48.962143 85.732 56.4514
49.316940 85.796 56.1794
49.674313 85.861 55.9014
50.034271 85.925 55.6136
50.396843 85.988 55.3195
50.762039 86.049 55.0217
51.129883 86.111 54.7195
51.500389 86.174 54.4130
51.873581 86.237 54.1015
52.249481 86.299 53.7835
52.628101 86.360 53.4615
53.009464 86.420 53.1389
53.393593 86.481 52.8126
53.780506 86.543 52.4813
54.170223 86.606 52.1426
54.562763 86.669 51.7933
54.958145 86.732 51.4336
55.356396 86.794 51.0627
55.757530 86.855 50.6806
56.161572 86.916 50.2871
56.568542 86.976 49.8827
56.978462 87.034 49.4671
57.391350 87.090 49.0428
57.807232 87.144 48.6116
58.226128 87.196 48.1748
58.648056 87.246 47.7336
59.073048 87.295 47.2897
59.501114 87.342 46.8449
59.932281 87.387 46.3998
60.366577 87.431 45.9560
60.804020 87.473 45.5128
61.244629 87.514 45.0700
61.688435 87.554 44.6268
62.135452 87.594 44.1822
62.585712 87.632 43.7368
63.039234 87.668 43.2895
63.496040 87.703 42.8438
63.956161 87.736 42.4035
64.419617 87.768 41.9668
64.886421 87.800 41.5325
65.356621 87.831 41.1017
65.830215 87.860 40.6758
66.307251 87.889 40.2538
66.787743 87.919 39.8375
67.271713 87.949 39.4208
67.759193 87.981 38.9976
68.250206 88.012 38.5688
68.744774 88.041 38.1323
69.242928 88.068 37.6908
69.744690 88.095 37.2463
70.250084 88.120 36.7989
70.759148 88.143 36.3470
71.271896 88.163 35.8978
71.788361 88.179 35.4578
72.308571 88.194 35.0268
72.832550 88.210 34.6075
73.360321 88.225 34.1978
73.891922 88.239 33.7970
74.427376 88.253 33.4037
74.966705 88.268 33.0178
75.509949 88.284 32.6347
76.057121 88.301 32.2501
76.608261 88.319 31.8628
77.163399 88.337 31.4699
77.722557 88.355 31.0718
78.285767 88.372 30.6675
78.853058 88.388 30.2578
79.424461 88.403 29.8422
80.000000 88.416 29.4238
80.579712 88.427 29.0058
81.163628 88.436 28.5888
81.751770 88.444 28.1741
82.344177 88.450 27.7628
82.940880 88.455 27.3561
83.541901 88.458 26.9558
84.147285 88.460 26.5648
84.757050 88.461 26.1817
85.371231 88.462 25.8066
85.989868 88.462 25.4387
86.612984 88.462 25.0776
87.240616 88.462 24.7227
87.872803 88.462 24.3738
88.509560 88.462 24.0297
89.150940 88.462 23.6889
89.796967 88.462 23.3517
90.447670 88.462 23.0182
91.103088 88.462 22.6877
91.763260 88.462 22.3596
92.428215 88.462 22.0337
93.097992 88.462 21.7098
93.772614 88.462 21.3877
94.452133 88.462 21.0666
95.136566 88.462 20.7467
95.825966 88.462 20.4280
96.520363 88.462 20.1097
