* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sonoma Model One_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:36:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sonoma Model One_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sonoma Model One_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 85.501 -15.3360
5.036232 85.496 -15.3293
5.072727 85.490 -15.3220
5.109486 85.483 -15.3131
5.146511 85.475 -15.3030
5.183805 85.466 -15.2914
5.221369 85.456 -15.2790
5.259205 85.445 -15.2663
5.297316 85.434 -15.2530
5.335702 85.422 -15.2386
5.374367 85.410 -15.2240
5.413311 85.398 -15.2100
5.452538 85.386 -15.1960
5.492050 85.375 -15.1816
5.531847 85.363 -15.1670
5.571934 85.351 -15.1526
5.612310 85.339 -15.1380
5.652979 85.327 -15.1231
5.693943 85.315 -15.1080
5.735204 85.303 -15.0931
5.776763 85.291 -15.0780
5.818624 85.279 -15.0626
5.860788 85.267 -15.0470
5.903258 85.255 -15.0315
5.946035 85.243 -15.0160
5.989123 85.231 -15.0006
6.032523 85.219 -14.9850
6.076237 85.208 -14.9691
6.120268 85.196 -14.9530
6.164618 85.184 -14.9371
6.209289 85.172 -14.9210
6.254284 85.160 -14.9046
6.299605 85.148 -14.8880
6.345255 85.136 -14.8710
6.391235 85.124 -14.8540
6.437549 85.112 -14.8376
6.484198 85.100 -14.8210
6.531185 85.088 -14.8036
6.578513 85.076 -14.7860
6.626183 85.064 -14.7685
6.674199 85.052 -14.7510
6.722563 85.041 -14.7336
6.771278 85.029 -14.7160
6.820345 85.017 -14.6981
6.869768 85.005 -14.6800
6.919549 84.993 -14.6621
6.969691 84.981 -14.6440
7.020196 84.969 -14.6251
7.071068 84.957 -14.6060
7.122308 84.945 -14.5875
7.173919 84.933 -14.5690
7.225904 84.921 -14.5501
7.278266 84.909 -14.5310
7.331007 84.897 -14.5116
7.384131 84.885 -14.4920
7.437639 84.874 -14.4721
7.491535 84.862 -14.4520
7.545822 84.850 -14.4320
7.600502 84.838 -14.4120
7.655579 84.826 -14.3921
7.711054 84.814 -14.3720
7.766932 84.802 -14.3511
7.823214 84.790 -14.3300
7.879904 84.778 -14.3090
7.937005 84.766 -14.2880
7.994520 84.754 -14.2671
8.052452 84.742 -14.2460
8.110803 84.730 -14.2247
8.169578 84.718 -14.2030
8.228777 84.707 -14.1806
8.288406 84.695 -14.1580
8.348468 84.683 -14.1361
8.408964 84.671 -14.1140
8.469899 84.659 -14.0911
8.531276 84.647 -14.0680
8.593097 84.635 -14.0451
8.655366 84.623 -14.0220
8.718086 84.611 -13.9986
8.781260 84.599 -13.9750
8.844893 84.587 -13.9516
8.908987 84.575 -13.9280
8.973545 84.563 -13.9036
9.038571 84.551 -13.8790
9.104069 84.540 -13.8546
9.170040 84.528 -13.8300
9.236490 84.516 -13.8051
9.303422 84.504 -13.7800
9.370838 84.492 -13.7546
9.438744 84.480 -13.7290
9.507140 84.468 -13.7031
9.576033 84.456 -13.6770
9.645425 84.444 -13.6506
9.715320 84.432 -13.6240
9.785721 84.420 -13.5976
9.856632 84.408 -13.5710
9.928058 84.396 -13.5436
10.000000 84.384 -13.5160
10.072464 84.373 -13.4886
10.145453 84.361 -13.4610
10.218971 84.349 -13.4326
10.293022 84.337 -13.4040
10.367610 84.325 -13.3756
10.442738 84.313 -13.3470
10.518411 84.301 -13.3176
10.594631 84.289 -13.2880
10.671404 84.277 -13.2586
10.748734 84.265 -13.2290
10.826623 84.253 -13.1986
10.905077 84.241 -13.1680
10.984100 84.229 -13.1376
11.063695 84.217 -13.1070
11.143867 84.206 -13.0757
11.224621 84.194 -13.0440
11.305959 84.182 -13.0121
11.387886 84.170 -12.9800
11.470407 84.158 -12.9476
11.553527 84.146 -12.9150
11.637249 84.134 -12.8822
11.721577 84.122 -12.8490
11.806517 84.110 -12.8152
11.892071 84.098 -12.7810
11.978246 84.086 -12.7466
12.065045 84.074 -12.7120
12.152473 84.062 -12.6772
12.240536 84.050 -12.6420
12.329235 84.039 -12.6062
12.418578 84.027 -12.5700
12.508568 84.015 -12.5337
12.599211 84.003 -12.4970
12.690510 83.991 -12.4602
12.782471 83.979 -12.4230
12.875097 83.967 -12.3852
12.968395 83.955 -12.3470
13.062370 83.943 -12.3088
13.157025 83.931 -12.2700
13.252366 83.919 -12.2302
13.348398 83.907 -12.1900
13.445127 83.895 -12.1502
13.542556 83.883 -12.1100
13.640691 83.872 -12.0688
13.739536 83.860 -12.0270
13.839099 83.848 -11.9853
13.939383 83.836 -11.9430
14.040393 83.824 -11.8998
14.142136 83.812 -11.8560
14.244616 83.800 -11.8123
14.347837 83.788 -11.7680
14.451808 83.776 -11.7228
14.556532 83.764 -11.6770
14.662014 83.752 -11.6313
14.768262 83.740 -11.5851
14.875278 83.728 -11.5379
14.983070 83.716 -11.4901
15.091644 83.705 -11.4419
15.201005 83.693 -11.3930
15.311157 83.681 -11.3433
15.422109 83.669 -11.2930
15.533863 83.657 -11.2424
15.646428 83.645 -11.1910
15.759809 83.633 -11.1384
15.874010 83.621 -11.0850
15.989040 83.609 -11.0314
16.104904 83.597 -10.9770
16.221605 83.585 -10.9216
16.339155 83.573 -10.8651
16.457554 83.561 -10.8075
16.576813 83.549 -10.7490
16.696936 83.537 -10.6900
16.817928 83.525 -10.6300
16.939798 83.514 -10.5687
17.062551 83.502 -10.5061
17.186193 83.490 -10.4422
17.310732 83.478 -10.3770
17.436172 83.466 -10.3108
17.562521 83.454 -10.2430
17.689787 83.442 -10.1734
17.817974 83.430 -10.1021
17.947090 83.418 -10.0291
18.077143 83.406 -9.9540
18.208138 83.394 -9.8764
18.340080 83.382 -9.7961
18.472980 83.370 -9.7132
18.606844 83.358 -9.6271
18.741676 83.347 -9.5373
18.877487 83.335 -9.4431
19.014280 83.323 -9.3441
19.152065 83.311 -9.2381
19.290850 83.299 -9.1232
19.430639 83.287 -8.9981
19.571442 83.277 -8.8605
19.713264 83.269 -8.7112
19.856115 83.263 -8.5476
20.000000 83.260 -8.3772
20.144928 83.264 -8.2017
20.290907 83.274 -8.0352
20.437943 83.292 -7.8879
20.586044 83.315 -7.7731
20.735220 83.344 -7.7052
20.885475 83.375 -7.6910
21.036821 83.407 -7.7440
21.189262 83.436 -7.8578
21.342808 83.457 -8.0384
21.497467 83.467 -8.2627
21.653246 83.462 -8.5197
21.810154 83.443 -8.7797
21.968201 83.407 -9.0175
22.127390 83.358 -9.2088
22.287735 83.295 -9.3247
22.449242 83.224 -9.3540
22.611917 83.148 -9.2729
22.775772 83.074 -9.0913
22.940815 83.008 -8.8008
23.107054 82.953 -8.4325
23.274498 82.917 -8.0026
23.443153 82.898 -7.5476
23.613033 82.901 -7.1014
23.784142 82.921 -6.6893
23.956491 82.954 -6.3456
24.130091 82.997 -6.0773
24.304947 83.045 -5.9059
24.481071 83.092 -5.8221
24.658470 83.133 -5.8342
24.837156 83.164 -5.9099
25.017136 83.178 -6.0297
25.198421 83.178 -6.1619
25.381020 83.163 -6.2733
25.564941 83.138 -6.3490
25.750195 83.104 -6.3646
25.936790 83.065 -6.3151
26.124741 83.024 -6.1827
26.314051 82.986 -5.9813
26.504732 82.958 -5.7111
26.696796 82.939 -5.3954
26.890253 82.933 -5.0513
27.085112 82.939 -4.6984
27.281382 82.959 -4.3560
27.479073 82.991 -4.0414
27.678198 83.034 -3.7760
27.878765 83.084 -3.5662
28.080786 83.138 -3.4272
28.284271 83.194 -3.3541
28.489231 83.248 -3.3505
28.695675 83.299 -3.4059
28.903616 83.343 -3.5151
29.113064 83.381 -3.6658
29.324028 83.411 -3.8467
29.536524 83.434 -4.0488
29.750557 83.450 -4.2617
29.966141 83.459 -4.4778
30.183289 83.461 -4.6866
30.402010 83.457 -4.8858
30.622314 83.450 -5.0685
30.844217 83.440 -5.2368
31.067726 83.428 -5.3885
31.292856 83.415 -5.5288
31.519617 83.402 -5.6611
31.748020 83.387 -5.7888
31.978081 83.371 -5.9164
32.209808 83.354 -6.0448
32.443211 83.335 -6.1784
32.678310 83.313 -6.3118
32.915108 83.285 -6.4445
33.153625 83.252 -6.5669
33.393871 83.214 -6.6740
33.635857 83.169 -6.7519
33.879597 83.116 -6.7881
34.125103 83.059 -6.7731
34.372387 83.000 -6.6897
34.621464 82.943 -6.5483
34.872345 82.892 -6.3489
35.125042 82.848 -6.1053
35.379574 82.812 -5.8260
35.635948 82.784 -5.5274
35.894180 82.768 -5.2243
36.154285 82.760 -4.9304
36.416275 82.760 -4.6650
36.680161 82.765 -4.4263
36.945961 82.770 -4.2224
37.213688 82.776 -4.0433
37.483353 82.779 -3.8863
37.754974 82.781 -3.7382
38.028561 82.779 -3.5852
38.304131 82.776 -3.4262
38.581699 82.776 -3.2526
38.861279 82.778 -3.0733
39.142883 82.784 -2.8919
39.426529 82.794 -2.7152
39.712231 82.809 -2.5474
40.000000 82.829 -2.4002
40.289856 82.854 -2.2848
40.581814 82.882 -2.2081
40.875885 82.911 -2.1824
41.172089 82.939 -2.2029
41.470440 82.962 -2.2728
41.770950 82.980 -2.3808
42.073643 82.989 -2.5220
42.378525 82.989 -2.6808
42.685616 82.979 -2.8443
42.994934 82.959 -2.9998
43.306492 82.931 -3.1333
43.620308 82.894 -3.2359
43.936401 82.850 -3.2963
44.254780 82.800 -3.3080
44.575470 82.747 -3.2588
44.898483 82.692 -3.1542
45.223835 82.640 -2.9914
45.551544 82.591 -2.7843
45.881630 82.549 -2.5451
46.214108 82.510 -2.2764
46.548996 82.473 -1.9852
46.886307 82.438 -1.6705
47.226067 82.407 -1.3336
47.568283 82.379 -0.9746
47.912983 82.352 -0.5967
48.260181 82.328 -0.1917
48.609894 82.305 0.2480
48.962143 82.286 0.7213
49.316940 82.274 1.2339
49.674313 82.271 1.7721
50.034271 82.279 2.3275
50.396843 82.297 2.8891
50.762039 82.325 3.4497
51.129883 82.365 3.9901
51.500389 82.420 4.4935
51.873581 82.485 4.9453
52.249481 82.556 5.3229
52.628101 82.629 5.6325
53.009464 82.701 5.8703
53.393593 82.770 6.0448
53.780506 82.835 6.1574
54.170223 82.892 6.2259
54.562763 82.937 6.2597
54.958145 82.972 6.2850
55.356396 82.994 6.3256
55.757530 83.006 6.3979
56.161572 83.012 6.5226
56.568542 83.013 6.7096
56.978462 83.010 6.9755
57.391350 83.008 7.3203
57.807232 83.014 7.7548
58.226128 83.030 8.2641
58.648056 83.060 8.8458
59.073048 83.109 9.4719
59.501114 83.182 10.1261
59.932281 83.278 10.7709
60.366577 83.400 11.3729
60.804020 83.544 11.9032
61.244629 83.707 12.3269
61.688435 83.885 12.6286
62.135452 84.071 12.7803
62.585712 84.262 12.7841
63.039234 84.449 12.6261
63.496040 84.631 12.3266
63.956161 84.799 11.8927
64.419617 84.955 11.3510
64.886421 85.094 10.7237
65.356621 85.218 10.0322
65.830215 85.327 9.3031
66.307251 85.423 8.5445
66.787743 85.508 7.7737
67.271713 85.584 6.9905
67.759193 85.652 6.2008
68.250206 85.712 5.4035
68.744774 85.765 4.5998
69.242928 85.811 3.7885
69.744690 85.850 2.9684
70.250084 85.883 2.1406
70.759148 85.908 1.3054
71.271896 85.926 0.4636
71.788361 85.937 -0.3873
72.308571 85.938 -1.2374
72.832550 85.927 -2.0801
73.360321 85.907 -2.9075
73.891922 85.880 -3.7088
74.427376 85.846 -4.4855
74.966705 85.805 -5.2386
75.509949 85.757 -5.9597
76.057121 85.700 -6.6409
76.608261 85.638 -7.2828
77.163399 85.574 -7.8821
77.722557 85.506 -8.4429
78.285767 85.436 -8.9698
78.853058 85.362 -9.4580
79.424461 85.284 -9.9036
80.000000 85.204 -10.3082
80.579712 85.125 -10.6723
81.163628 85.045 -10.9954
81.751770 84.963 -11.2765
