* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 5128 Bass Off_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:56:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 5128 Bass Off_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: SA6 Mk2 5128 Bass Off_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.318 -10.7950
5.036232 88.315 -10.7941
5.072727 88.311 -10.7930
5.109486 88.306 -10.7916
5.146511 88.301 -10.7900
5.183805 88.295 -10.7880
5.221369 88.289 -10.7860
5.259205 88.282 -10.7844
5.297316 88.275 -10.7830
5.335702 88.268 -10.7816
5.374367 88.260 -10.7800
5.413311 88.253 -10.7780
5.452538 88.245 -10.7760
5.492050 88.237 -10.7744
5.531847 88.229 -10.7730
5.571934 88.221 -10.7715
5.612310 88.214 -10.7700
5.652979 88.207 -10.7685
5.693943 88.199 -10.7670
5.735204 88.191 -10.7655
5.776763 88.183 -10.7640
5.818624 88.175 -10.7626
5.860788 88.168 -10.7610
5.903258 88.160 -10.7590
5.946035 88.153 -10.7570
5.989123 88.146 -10.7554
6.032523 88.138 -10.7540
6.076237 88.130 -10.7526
6.120268 88.122 -10.7510
6.164618 88.114 -10.7490
6.209289 88.107 -10.7470
6.254284 88.100 -10.7454
6.299605 88.092 -10.7440
6.345255 88.085 -10.7426
6.391235 88.077 -10.7410
6.437549 88.069 -10.7391
6.484198 88.061 -10.7370
6.531185 88.053 -10.7349
6.578513 88.046 -10.7330
6.626183 88.039 -10.7315
6.674199 88.031 -10.7300
6.722563 88.023 -10.7281
6.771278 88.015 -10.7260
6.820345 88.007 -10.7239
6.869768 88.000 -10.7220
6.919549 87.993 -10.7205
6.969691 87.985 -10.7190
7.020196 87.978 -10.7171
7.071068 87.970 -10.7150
7.122308 87.962 -10.7130
7.173919 87.954 -10.7110
7.225904 87.946 -10.7090
7.278266 87.939 -10.7070
7.331007 87.932 -10.7050
7.384131 87.924 -10.7030
7.437639 87.917 -10.7010
7.491535 87.909 -10.6990
7.545822 87.901 -10.6971
7.600502 87.893 -10.6950
7.655579 87.885 -10.6925
7.711054 87.878 -10.6900
7.766932 87.871 -10.6879
7.823214 87.863 -10.6860
7.879904 87.855 -10.6841
7.937005 87.847 -10.6820
7.994520 87.839 -10.6796
8.052452 87.832 -10.6770
8.110803 87.825 -10.6744
8.169578 87.817 -10.6720
8.228777 87.810 -10.6700
8.288406 87.802 -10.6680
8.348468 87.794 -10.6656
8.408964 87.786 -10.6630
8.469899 87.778 -10.6605
8.531276 87.771 -10.6580
8.593097 87.764 -10.6555
8.655366 87.756 -10.6530
8.718086 87.749 -10.6505
8.781260 87.741 -10.6480
8.844893 87.733 -10.6455
8.908987 87.725 -10.6430
8.973545 87.717 -10.6405
9.038571 87.710 -10.6380
9.104069 87.703 -10.6356
9.170040 87.695 -10.6330
9.236490 87.687 -10.6300
9.303422 87.679 -10.6270
9.370838 87.671 -10.6245
9.438744 87.664 -10.6220
9.507140 87.657 -10.6191
9.576033 87.649 -10.6160
9.645425 87.642 -10.6130
9.715320 87.634 -10.6100
9.785721 87.626 -10.6070
9.856632 87.618 -10.6040
9.928058 87.610 -10.6010
10.000000 87.603 -10.5980
10.072464 87.596 -10.5950
10.145453 87.588 -10.5920
10.218971 87.581 -10.5891
10.293022 87.573 -10.5860
10.367610 87.565 -10.5825
10.442738 87.557 -10.5790
10.518411 87.549 -10.5760
10.594631 87.542 -10.5730
10.671404 87.535 -10.5696
10.748734 87.527 -10.5660
10.826623 87.519 -10.5625
10.905077 87.511 -10.5590
10.984100 87.503 -10.5555
11.063695 87.496 -10.5520
11.143867 87.489 -10.5486
11.224621 87.481 -10.5450
11.305959 87.474 -10.5410
11.387886 87.466 -10.5370
11.470407 87.458 -10.5335
11.553527 87.450 -10.5300
11.637249 87.442 -10.5261
11.721577 87.435 -10.5220
11.806517 87.428 -10.5180
11.892071 87.420 -10.5140
11.978246 87.413 -10.5101
12.065045 87.405 -10.5060
12.152473 87.397 -10.5015
12.240536 87.389 -10.4970
12.329235 87.381 -10.4930
12.418578 87.374 -10.4890
12.508568 87.367 -10.4846
12.599211 87.359 -10.4800
12.690510 87.352 -10.4756
12.782471 87.344 -10.4710
12.875097 87.336 -10.4660
12.968395 87.328 -10.4610
13.062370 87.320 -10.4565
13.157025 87.313 -10.4520
13.252366 87.306 -10.4471
13.348398 87.298 -10.4420
13.445127 87.290 -10.4371
13.542556 87.282 -10.4320
13.640691 87.274 -10.4266
13.739536 87.267 -10.4210
13.839099 87.260 -10.4155
13.939383 87.252 -10.4100
14.040393 87.245 -10.4045
14.142136 87.237 -10.3990
14.244616 87.229 -10.3936
14.347837 87.221 -10.3880
14.451808 87.213 -10.3821
14.556532 87.206 -10.3760
14.662014 87.199 -10.3701
14.768262 87.191 -10.3640
14.875278 87.184 -10.3576
14.983070 87.176 -10.3510
15.091644 87.168 -10.3445
15.201005 87.160 -10.3380
15.311157 87.152 -10.3316
15.422109 87.145 -10.3250
15.533863 87.138 -10.3181
15.646428 87.130 -10.3110
15.759809 87.122 -10.3041
15.874010 87.114 -10.2970
15.989040 87.106 -10.2896
16.104904 87.099 -10.2820
16.221605 87.092 -10.2741
16.339155 87.084 -10.2660
16.457554 87.077 -10.2580
16.576813 87.069 -10.2500
16.696936 87.061 -10.2421
16.817928 87.053 -10.2340
16.939798 87.045 -10.2251
17.062551 87.038 -10.2160
17.186193 87.031 -10.2071
17.310732 87.023 -10.1980
17.436172 87.016 -10.1886
17.562521 87.008 -10.1790
17.689787 87.000 -10.1696
17.817974 86.992 -10.1600
17.947090 86.984 -10.1496
18.077143 86.977 -10.1390
18.208138 86.970 -10.1286
18.340080 86.962 -10.1180
18.472980 86.954 -10.1072
18.606844 86.946 -10.0960
18.741676 86.938 -10.0841
18.877487 86.931 -10.0720
19.014280 86.924 -10.0601
19.152065 86.916 -10.0480
19.290850 86.909 -10.0351
19.430639 86.901 -10.0220
19.571442 86.893 -10.0091
19.713264 86.885 -9.9960
19.856115 86.877 -9.9825
20.000000 86.870 -9.9690
20.144928 86.863 -9.9564
20.290907 86.855 -9.9440
20.437943 86.847 -9.9312
20.586044 86.838 -9.9180
20.735220 86.830 -9.9050
20.885475 86.821 -9.8900
21.036821 86.811 -9.8720
21.189262 86.800 -9.8490
21.342808 86.789 -9.8187
21.497467 86.779 -9.7820
21.653246 86.770 -9.7394
21.810154 86.761 -9.6911
21.968201 86.753 -9.6369
22.127390 86.746 -9.5791
22.287735 86.741 -9.5181
22.449242 86.737 -9.4580
22.611917 86.736 -9.4023
22.775772 86.737 -9.3541
22.940815 86.740 -9.3167
23.107054 86.744 -9.2930
23.274498 86.748 -9.2877
23.443153 86.751 -9.2980
23.613033 86.752 -9.3247
23.784142 86.751 -9.3620
23.956491 86.746 -9.4068
24.130091 86.738 -9.4519
24.304947 86.725 -9.4920
24.481071 86.709 -9.5190
24.658470 86.689 -9.5238
24.837156 86.667 -9.5040
25.017136 86.645 -9.4533
25.198421 86.624 -9.3751
25.381020 86.605 -9.2678
25.564941 86.590 -9.1401
25.750195 86.581 -8.9967
25.936790 86.577 -8.8482
26.124741 86.579 -8.7046
26.314051 86.585 -8.5722
26.504732 86.596 -8.4596
26.696796 86.609 -8.3701
26.890253 86.624 -8.3127
27.085112 86.638 -8.2790
27.281382 86.647 -8.2679
27.479073 86.653 -8.2670
27.678198 86.654 -8.2664
27.878765 86.652 -8.2580
28.080786 86.646 -8.2330
28.284271 86.639 -8.1841
28.489231 86.630 -8.0989
28.695675 86.623 -7.9832
28.903616 86.623 -7.8323
29.113064 86.630 -7.6642
29.324028 86.647 -7.4888
29.536524 86.673 -7.3262
29.750557 86.711 -7.1951
29.966141 86.756 -7.1091
30.183289 86.807 -7.0882
30.402010 86.860 -7.1319
30.622314 86.911 -7.2503
30.844217 86.958 -7.4317
31.067726 86.997 -7.6754
31.292856 87.026 -7.9585
31.519617 87.042 -8.2643
31.748020 87.047 -8.5746
31.978081 87.042 -8.8671
32.209808 87.030 -9.1377
32.443211 87.013 -9.3751
32.678310 86.991 -9.5788
32.915108 86.966 -9.7425
33.153625 86.941 -9.8719
33.393871 86.918 -9.9673
33.635857 86.896 -10.0379
33.879597 86.878 -10.0920
34.125103 86.862 -10.1320
34.372387 86.847 -10.1629
34.621464 86.834 -10.1850
34.872345 86.823 -10.1989
35.125042 86.815 -10.2080
35.379574 86.809 -10.2142
35.635948 86.806 -10.2230
35.894180 86.806 -10.2393
36.154285 86.809 -10.2669
36.416275 86.814 -10.3116
36.680161 86.819 -10.3729
36.945961 86.824 -10.4528
37.213688 86.828 -10.5498
37.483353 86.831 -10.6644
37.754974 86.832 -10.7928
38.028561 86.830 -10.9336
38.304131 86.825 -11.0808
38.581699 86.816 -11.2297
38.861279 86.803 -11.3748
39.142883 86.787 -11.5101
39.426529 86.769 -11.6328
39.712231 86.749 -11.7381
40.000000 86.727 -11.8259
40.289856 86.706 -11.8931
40.581814 86.685 -11.9439
40.875885 86.666 -11.9800
41.172089 86.650 -12.0060
41.470440 86.636 -12.0258
41.770950 86.625 -12.0440
42.073643 86.616 -12.0647
42.378525 86.610 -12.0930
42.685616 86.606 -12.1349
42.994934 86.603 -12.1909
43.306492 86.601 -12.2641
43.620308 86.598 -12.3529
43.936401 86.594 -12.4576
44.254780 86.588 -12.5758
44.575470 86.580 -12.7048
44.898483 86.571 -12.8448
45.223835 86.560 -12.9963
45.551544 86.546 -13.1558
45.881630 86.527 -13.3208
46.214108 86.505 -13.4887
46.548996 86.480 -13.6574
46.886307 86.452 -13.8237
47.226067 86.419 -13.9869
47.568283 86.380 -14.1378
47.912983 86.335 -14.2682
48.260181 86.286 -14.3738
48.609894 86.233 -14.4507
48.962143 86.176 -14.4890
49.316940 86.113 -14.4807
49.674313 86.047 -14.4162
50.034271 85.980 -14.2809
50.396843 85.915 -14.0814
50.762039 85.858 -13.8153
51.129883 85.808 -13.4946
51.500389 85.767 -13.1237
51.873581 85.739 -12.7227
52.249481 85.727 -12.3045
52.628101 85.729 -11.8947
53.009464 85.747 -11.5185
53.393593 85.776 -11.1895
53.780506 85.813 -10.9294
54.170223 85.856 -10.7383
54.562763 85.900 -10.6274
54.958145 85.942 -10.5840
55.356396 85.978 -10.6053
55.757530 86.006 -10.6719
56.161572 86.025 -10.7694
56.568542 86.035 -10.8798
56.978462 86.035 -10.9836
57.391350 86.028 -11.0709
57.807232 86.016 -11.1248
58.226128 86.002 -11.1470
58.648056 85.988 -11.1311
59.073048 85.974 -11.0841
59.501114 85.963 -11.0090
59.932281 85.956 -10.9112
60.366577 85.953 -10.7940
60.804020 85.956 -10.6672
61.244629 85.965 -10.5392
61.688435 85.980 -10.4172
62.135452 85.999 -10.3114
62.585712 86.022 -10.2211
63.039234 86.048 -10.1475
63.496040 86.077 -10.0961
63.956161 86.111 -10.0710
64.419617 86.147 -10.0770
64.886421 86.185 -10.1217
65.356621 86.223 -10.2008
65.830215 86.258 -10.3135
66.307251 86.292 -10.4567
66.787743 86.324 -10.6277
67.271713 86.354 -10.8246
67.759193 86.380 -11.0469
68.250206 86.402 -11.2875
68.744774 86.419 -11.5406
69.242928 86.433 -11.8025
69.744690 86.443 -12.0670
70.250084 86.451 -12.3355
70.759148 86.457 -12.6075
71.271896 86.460 -12.8825
71.788361 86.461 -13.1600
72.308571 86.459 -13.4385
72.832550 86.454 -13.7158
73.360321 86.448 -13.9935
73.891922 86.441 -14.2725
74.427376 86.432 -14.5525
74.966705 86.420 -14.8342
75.509949 86.406 -15.1155
76.057121 86.389 -15.3941
76.608261 86.370 -15.6705
77.163399 86.350 -15.9443
77.722557 86.328 -16.2154
78.285767 86.304 -16.4847
