* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 Bass On 5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:55:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 Bass On 5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: SA6 Mk2 Bass On 5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 89.911 -5.8910
5.036232 89.910 -5.8929
5.072727 89.908 -5.8950
5.109486 89.906 -5.8973
5.146511 89.903 -5.9000
5.183805 89.901 -5.9038
5.221369 89.898 -5.9080
5.259205 89.895 -5.9119
5.297316 89.891 -5.9160
5.335702 89.888 -5.9209
5.374367 89.884 -5.9260
5.413311 89.880 -5.9310
5.452538 89.876 -5.9360
5.492050 89.872 -5.9410
5.531847 89.869 -5.9460
5.571934 89.866 -5.9509
5.612310 89.862 -5.9560
5.652979 89.859 -5.9615
5.693943 89.855 -5.9670
5.735204 89.851 -5.9720
5.776763 89.847 -5.9770
5.818624 89.843 -5.9824
5.860788 89.840 -5.9880
5.903258 89.837 -5.9935
5.946035 89.833 -5.9990
5.989123 89.829 -6.0044
6.032523 89.825 -6.0100
6.076237 89.821 -6.0160
6.120268 89.818 -6.0220
6.164618 89.814 -6.0275
6.209289 89.811 -6.0330
6.254284 89.808 -6.0390
6.299605 89.804 -6.0450
6.345255 89.800 -6.0505
6.391235 89.796 -6.0560
6.437549 89.792 -6.0619
6.484198 89.789 -6.0680
6.531185 89.786 -6.0739
6.578513 89.782 -6.0800
6.626183 89.778 -6.0865
6.674199 89.774 -6.0930
6.722563 89.770 -6.0990
6.771278 89.767 -6.1050
6.820345 89.764 -6.1114
6.869768 89.760 -6.1180
6.919549 89.757 -6.1245
6.969691 89.753 -6.1310
7.020196 89.749 -6.1375
7.071068 89.745 -6.1440
7.122308 89.741 -6.1505
7.173919 89.738 -6.1570
7.225904 89.735 -6.1634
7.278266 89.731 -6.1700
7.331007 89.727 -6.1769
7.384131 89.723 -6.1840
7.437639 89.719 -6.1910
7.491535 89.716 -6.1980
7.545822 89.713 -6.2050
7.600502 89.709 -6.2120
7.655579 89.706 -6.2190
7.711054 89.702 -6.2260
7.766932 89.698 -6.2329
7.823214 89.694 -6.2400
7.879904 89.690 -6.2474
7.937005 89.687 -6.2550
7.994520 89.684 -6.2625
8.052452 89.680 -6.2700
8.110803 89.676 -6.2775
8.169578 89.672 -6.2850
8.228777 89.668 -6.2924
8.288406 89.665 -6.3000
8.348468 89.661 -6.3080
8.408964 89.658 -6.3160
8.469899 89.655 -6.3235
8.531276 89.651 -6.3310
8.593097 89.647 -6.3389
8.655366 89.643 -6.3470
8.718086 89.639 -6.3549
8.781260 89.636 -6.3630
8.844893 89.633 -6.3715
8.908987 89.629 -6.3800
8.973545 89.625 -6.3880
9.038571 89.621 -6.3960
9.104069 89.617 -6.4044
9.170040 89.614 -6.4130
9.236490 89.611 -6.4215
9.303422 89.607 -6.4300
9.370838 89.604 -6.4384
9.438744 89.600 -6.4470
9.507140 89.596 -6.4559
9.576033 89.592 -6.4650
9.645425 89.588 -6.4740
9.715320 89.585 -6.4830
9.785721 89.582 -6.4920
9.856632 89.578 -6.5010
9.928058 89.575 -6.5099
10.000000 89.571 -6.5190
10.072464 89.567 -6.5285
10.145453 89.563 -6.5380
10.218971 89.559 -6.5470
10.293022 89.556 -6.5560
10.367610 89.553 -6.5654
10.442738 89.549 -6.5750
10.518411 89.545 -6.5850
10.594631 89.541 -6.5950
10.671404 89.537 -6.6045
10.748734 89.534 -6.6140
10.826623 89.531 -6.6239
10.905077 89.527 -6.6340
10.984100 89.524 -6.6440
11.063695 89.520 -6.6540
11.143867 89.516 -6.6639
11.224621 89.512 -6.6740
11.305959 89.508 -6.6844
11.387886 89.505 -6.6950
11.470407 89.502 -6.7055
11.553527 89.498 -6.7160
11.637249 89.494 -6.7265
11.721577 89.490 -6.7370
11.806517 89.486 -6.7474
11.892071 89.483 -6.7580
11.978246 89.479 -6.7689
12.065045 89.476 -6.7800
12.152473 89.473 -6.7910
12.240536 89.469 -6.8020
12.329235 89.465 -6.8129
12.418578 89.461 -6.8240
12.508568 89.457 -6.8355
12.599211 89.454 -6.8470
12.690510 89.451 -6.8579
12.782471 89.447 -6.8690
12.875097 89.443 -6.8809
12.968395 89.439 -6.8930
13.062370 89.435 -6.9046
13.157025 89.432 -6.9160
13.252366 89.429 -6.9274
13.348398 89.425 -6.9390
13.445127 89.422 -6.9509
13.542556 89.418 -6.9630
13.640691 89.414 -6.9749
13.739536 89.410 -6.9870
13.839099 89.406 -6.9994
13.939383 89.403 -7.0120
14.040393 89.400 -7.0246
14.142136 89.396 -7.0370
14.244616 89.392 -7.0489
14.347837 89.388 -7.0610
14.451808 89.384 -7.0739
14.556532 89.381 -7.0870
14.662014 89.378 -7.0995
14.768262 89.374 -7.1120
14.875278 89.371 -7.1249
14.983070 89.367 -7.1380
15.091644 89.363 -7.1510
15.201005 89.359 -7.1640
15.311157 89.355 -7.1770
15.422109 89.352 -7.1900
15.533863 89.349 -7.2029
15.646428 89.345 -7.2160
15.759809 89.341 -7.2294
15.874010 89.337 -7.2430
15.989040 89.333 -7.2565
16.104904 89.330 -7.2700
16.221605 89.326 -7.2835
16.339155 89.323 -7.2970
16.457554 89.320 -7.3105
16.576813 89.316 -7.3240
16.696936 89.312 -7.3375
16.817928 89.308 -7.3510
16.939798 89.304 -7.3645
17.062551 89.301 -7.3780
17.186193 89.298 -7.3915
17.310732 89.294 -7.4050
17.436172 89.290 -7.4185
17.562521 89.286 -7.4320
17.689787 89.282 -7.4455
17.817974 89.279 -7.4590
17.947090 89.276 -7.4726
18.077143 89.272 -7.4860
18.208138 89.269 -7.4991
18.340080 89.265 -7.5120
18.472980 89.261 -7.5246
18.606844 89.257 -7.5370
18.741676 89.253 -7.5496
18.877487 89.250 -7.5620
19.014280 89.247 -7.5737
19.152065 89.243 -7.5850
19.290850 89.239 -7.5957
19.430639 89.235 -7.6060
19.571442 89.231 -7.6159
19.713264 89.228 -7.6250
19.856115 89.225 -7.6325
20.000000 89.222 -7.6390
20.144928 89.219 -7.6447
20.290907 89.216 -7.6500
20.437943 89.214 -7.6549
20.586044 89.212 -7.6600
20.735220 89.210 -7.6660
20.885475 89.209 -7.6730
21.036821 89.208 -7.6811
21.189262 89.207 -7.6910
21.342808 89.207 -7.7034
21.497467 89.207 -7.7180
21.653246 89.207 -7.7348
21.810154 89.206 -7.7540
21.968201 89.206 -7.7758
22.127390 89.206 -7.8000
22.287735 89.206 -7.8262
22.449242 89.206 -7.8550
22.611917 89.206 -7.8866
22.775772 89.206 -7.9220
22.940815 89.206 -7.9622
23.107054 89.206 -8.0069
23.274498 89.205 -8.0563
23.443153 89.203 -8.1099
23.613033 89.200 -8.1688
23.784142 89.196 -8.2289
23.956491 89.189 -8.2886
24.130091 89.179 -8.3419
24.304947 89.167 -8.3822
24.481071 89.155 -8.4100
24.658470 89.143 -8.4236
24.837156 89.131 -8.4230
25.017136 89.119 -8.4072
25.198421 89.107 -8.3770
25.381020 89.098 -8.3315
25.564941 89.091 -8.2761
25.750195 89.087 -8.2146
25.936790 89.087 -8.1511
26.124741 89.090 -8.0897
26.314051 89.096 -8.0331
26.504732 89.104 -7.9839
26.696796 89.115 -7.9460
26.890253 89.128 -7.9228
27.085112 89.144 -7.9180
27.281382 89.161 -7.9374
27.479073 89.179 -7.9789
27.678198 89.194 -8.0444
27.878765 89.208 -8.1279
28.080786 89.219 -8.2256
28.284271 89.227 -8.3328
28.489231 89.231 -8.4453
28.695675 89.233 -8.5578
28.903616 89.231 -8.6642
29.113064 89.228 -8.7629
29.324028 89.224 -8.8493
29.536524 89.219 -8.9259
29.750557 89.215 -8.9925
29.966141 89.211 -9.0529
30.183289 89.209 -9.1105
30.402010 89.208 -9.1669
30.622314 89.207 -9.2251
30.844217 89.206 -9.2849
31.067726 89.206 -9.3472
31.292856 89.206 -9.4119
31.519617 89.206 -9.4795
31.748020 89.206 -9.5499
31.978081 89.206 -9.6233
32.209808 89.206 -9.6999
32.443211 89.206 -9.7803
32.678310 89.205 -9.8639
32.915108 89.204 -9.9505
33.153625 89.202 -10.0389
33.393871 89.199 -10.1286
33.635857 89.194 -10.2169
33.879597 89.188 -10.3011
34.125103 89.182 -10.3809
34.372387 89.176 -10.4548
34.621464 89.170 -10.5239
34.872345 89.164 -10.5885
35.125042 89.158 -10.6489
35.379574 89.153 -10.7043
35.635948 89.149 -10.7579
35.894180 89.147 -10.8124
36.154285 89.145 -10.8689
36.416275 89.144 -10.9298
36.680161 89.143 -10.9949
36.945961 89.143 -11.0645
37.213688 89.143 -11.1389
37.483353 89.143 -11.2184
37.754974 89.143 -11.3029
38.028561 89.143 -11.3922
38.304131 89.143 -11.4869
38.581699 89.142 -11.5872
38.861279 89.141 -11.6928
39.142883 89.140 -11.8041
39.426529 89.138 -11.9198
39.712231 89.134 -12.0396
40.000000 89.129 -12.1608
40.289856 89.123 -12.2808
40.581814 89.116 -12.3998
40.875885 89.109 -12.5180
41.172089 89.100 -12.6338
41.470440 89.090 -12.7461
41.770950 89.079 -12.8538
42.073643 89.069 -12.9541
42.378525 89.059 -13.0509
42.685616 89.050 -13.1467
42.994934 89.042 -13.2429
43.306492 89.033 -13.3424
43.620308 89.023 -13.4428
43.936401 89.013 -13.5437
44.254780 89.002 -13.6428
44.575470 88.990 -13.7386
44.898483 88.978 -13.8299
45.223835 88.966 -13.9147
45.551544 88.954 -13.9939
45.881630 88.943 -14.0666
46.214108 88.932 -14.1359
46.548996 88.923 -14.2033
46.886307 88.916 -14.2729
47.226067 88.911 -14.3490
47.568283 88.906 -14.4329
47.912983 88.902 -14.5272
48.260181 88.898 -14.6318
48.609894 88.893 -14.7485
48.962143 88.887 -14.8738
49.316940 88.879 -15.0061
49.674313 88.869 -15.1418
50.034271 88.858 -15.2769
50.396843 88.845 -15.4108
50.762039 88.830 -15.5430
51.129883 88.814 -15.6698
51.500389 88.796 -15.7859
51.873581 88.777 -15.8948
52.249481 88.760 -15.9991
52.628101 88.743 -16.0968
53.009464 88.723 -16.1881
53.393593 88.703 -16.2699
53.780506 88.684 -16.3366
54.170223 88.666 -16.3959
54.562763 88.653 -16.4523
54.958145 88.641 -16.5099
55.356396 88.630 -16.5752
55.757530 88.619 -16.6449
56.161572 88.608 -16.7177
56.568542 88.597 -16.7939
56.978462 88.587 -16.8718
57.391350 88.578 -16.9558
57.807232 88.571 -17.0505
58.226128 88.563 -17.1538
58.648056 88.554 -17.2667
59.073048 88.544 -17.3848
59.501114 88.532 -17.5028
59.932281 88.519 -17.6238
60.366577 88.508 -17.7488
60.804020 88.496 -17.8788
61.244629 88.483 -18.0166
61.688435 88.468 -18.1568
62.135452 88.451 -18.2943
62.585712 88.433 -18.4308
63.039234 88.415 -18.5655
63.496040 88.397 -18.6998
63.956161 88.378 -18.8349
64.419617 88.358 -18.9698
64.886421 88.337 -19.1030
65.356621 88.316 -19.2368
65.830215 88.295 -19.3747
66.307251 88.272 -19.5117
66.787743 88.246 -19.6445
67.271713 88.218 -19.7718
67.759193 88.191 -19.8899
68.250206 88.164 -20.0028
68.744774 88.137 -20.1140
69.242928 88.109 -20.2208
69.744690 88.079 -20.3216
70.250084 88.048 -20.4158
70.759148 88.018 -20.5017
71.271896 87.988 -20.5809
71.788361 87.958 -20.6556
72.308571 87.927 -20.7229
72.832550 87.895 -20.7796
73.360321 87.864 -20.8289
73.891922 87.835 -20.8727
74.427376 87.807 -20.9119
74.966705 87.778 -20.9491
75.509949 87.749 -20.9809
76.057121 87.721 -21.0028
76.608261 87.694 -21.0210
77.163399 87.671 -21.0401
77.722557 87.648 -21.0600
78.285767 87.624 -21.0833
