* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_Svanar_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:28:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_Svanar_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HiFiMAN_Svanar_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 91.368 5.8080
5.036232 91.370 5.8046
5.072727 91.372 5.8010
5.109486 91.375 5.7973
5.146511 91.378 5.7930
5.183805 91.382 5.7878
5.221369 91.386 5.7820
5.259205 91.390 5.7761
5.297316 91.394 5.7700
5.335702 91.398 5.7636
5.374367 91.403 5.7570
5.413311 91.407 5.7500
5.452538 91.412 5.7430
5.492050 91.417 5.7364
5.531847 91.422 5.7300
5.571934 91.427 5.7236
5.612310 91.431 5.7170
5.652979 91.435 5.7101
5.693943 91.440 5.7030
5.735204 91.445 5.6960
5.776763 91.450 5.6890
5.818624 91.455 5.6820
5.860788 91.459 5.6750
5.903258 91.464 5.6681
5.946035 91.468 5.6610
5.989123 91.472 5.6536
6.032523 91.477 5.6460
6.076237 91.482 5.6385
6.120268 91.487 5.6310
6.164618 91.492 5.6235
6.209289 91.496 5.6160
6.254284 91.500 5.6085
6.299605 91.505 5.6010
6.345255 91.509 5.5936
6.391235 91.514 5.5860
6.437549 91.519 5.5780
6.484198 91.524 5.5700
6.531185 91.529 5.5625
6.578513 91.533 5.5550
6.626183 91.537 5.5471
6.674199 91.542 5.5390
6.722563 91.546 5.5305
6.771278 91.551 5.5220
6.820345 91.556 5.5140
6.869768 91.561 5.5060
6.919549 91.566 5.4976
6.969691 91.570 5.4890
7.020196 91.574 5.4805
7.071068 91.579 5.4720
7.122308 91.584 5.4635
7.173919 91.589 5.4550
7.225904 91.594 5.4466
7.278266 91.598 5.4380
7.331007 91.603 5.4291
7.384131 91.607 5.4200
7.437639 91.611 5.4110
7.491535 91.616 5.4020
7.545822 91.621 5.3931
7.600502 91.626 5.3840
7.655579 91.631 5.3745
7.711054 91.635 5.3650
7.766932 91.639 5.3560
7.823214 91.644 5.3470
7.879904 91.648 5.3376
7.937005 91.653 5.3280
7.994520 91.658 5.3180
8.052452 91.663 5.3080
8.110803 91.668 5.2985
8.169578 91.672 5.2890
8.228777 91.676 5.2791
8.288406 91.681 5.2690
8.348468 91.686 5.2591
8.408964 91.691 5.2490
8.469899 91.696 5.2386
8.531276 91.700 5.2280
8.593097 91.704 5.2175
8.655366 91.709 5.2070
8.718086 91.713 5.1965
8.781260 91.718 5.1860
8.844893 91.723 5.1756
8.908987 91.728 5.1650
8.973545 91.733 5.1541
9.038571 91.737 5.1430
9.104069 91.742 5.1320
9.170040 91.746 5.1210
9.236490 91.750 5.1101
9.303422 91.755 5.0990
9.370838 91.760 5.0876
9.438744 91.765 5.0760
9.507140 91.770 5.0645
9.576033 91.774 5.0530
9.645425 91.778 5.0416
9.715320 91.783 5.0300
9.785721 91.788 5.0181
9.856632 91.793 5.0060
9.928058 91.798 4.9941
10.000000 91.802 4.9820
10.072464 91.806 4.9696
10.145453 91.811 4.9570
10.218971 91.815 4.9445
10.293022 91.820 4.9320
10.367610 91.825 4.9195
10.442738 91.830 4.9070
10.518411 91.835 4.8946
10.594631 91.839 4.8820
10.671404 91.843 4.8691
10.748734 91.848 4.8560
10.826623 91.852 4.8426
10.905077 91.857 4.8290
10.984100 91.862 4.8155
11.063695 91.867 4.8020
11.143867 91.872 4.7885
11.224621 91.876 4.7750
11.305959 91.881 4.7616
11.387886 91.885 4.7480
11.470407 91.889 4.7341
11.553527 91.894 4.7200
11.637249 91.899 4.7056
11.721577 91.904 4.6910
11.806517 91.909 4.6765
11.892071 91.913 4.6620
11.978246 91.917 4.6476
12.065045 91.922 4.6330
12.152473 91.927 4.6181
12.240536 91.932 4.6030
12.329235 91.937 4.5881
12.418578 91.941 4.5730
12.508568 91.945 4.5576
12.599211 91.950 4.5420
12.690510 91.954 4.5266
12.782471 91.959 4.5110
12.875097 91.964 4.4951
12.968395 91.969 4.4790
13.062370 91.974 4.4631
13.157025 91.978 4.4470
13.252366 91.982 4.4306
13.348398 91.987 4.4140
13.445127 91.991 4.3976
13.542556 91.996 4.3810
13.640691 92.001 4.3641
13.739536 92.006 4.3470
13.839099 92.011 4.3296
13.939383 92.015 4.3120
14.040393 92.019 4.2945
14.142136 92.024 4.2770
14.244616 92.029 4.2596
14.347837 92.034 4.2420
14.451808 92.039 4.2241
14.556532 92.043 4.2060
14.662014 92.048 4.1876
14.768262 92.052 4.1690
14.875278 92.056 4.1501
14.983070 92.061 4.1310
15.091644 92.066 4.1116
15.201005 92.071 4.0920
15.311157 92.076 4.0726
15.422109 92.080 4.0530
15.533863 92.084 4.0331
15.646428 92.089 4.0130
15.759809 92.093 3.9926
15.874010 92.098 3.9720
15.989040 92.103 3.9511
16.104904 92.108 3.9300
16.221605 92.113 3.9091
16.339155 92.117 3.8880
16.457554 92.121 3.8661
16.576813 92.126 3.8440
16.696936 92.130 3.8221
16.817928 92.135 3.8000
16.939798 92.140 3.7771
17.062551 92.145 3.7540
17.186193 92.150 3.7311
17.310732 92.154 3.7080
17.436172 92.158 3.6842
17.562521 92.163 3.6600
17.689787 92.168 3.6357
17.817974 92.173 3.6110
17.947090 92.178 3.5857
18.077143 92.182 3.5600
18.208138 92.187 3.5343
18.340080 92.191 3.5080
18.472980 92.195 3.4810
18.606844 92.200 3.4530
18.741676 92.205 3.4240
18.877487 92.210 3.3940
19.014280 92.215 3.3636
19.152065 92.219 3.3320
19.290850 92.223 3.2987
19.430639 92.227 3.2640
19.571442 92.231 3.2278
19.713264 92.235 3.1910
19.856115 92.238 3.1544
20.000000 92.240 3.1180
20.144928 92.242 3.0823
20.290907 92.244 3.0480
20.437943 92.245 3.0158
20.586044 92.246 2.9860
20.735220 92.246 2.9594
20.885475 92.246 2.9360
21.036821 92.246 2.9161
21.189262 92.247 2.9000
21.342808 92.247 2.8883
21.497467 92.247 2.8810
21.653246 92.247 2.8786
21.810154 92.248 2.8810
21.968201 92.249 2.8891
22.127390 92.251 2.9010
22.287735 92.255 2.9158
22.449242 92.261 2.9310
22.611917 92.267 2.9441
22.775772 92.275 2.9540
22.940815 92.284 2.9594
23.107054 92.294 2.9580
23.274498 92.305 2.9465
23.443153 92.316 2.9260
23.613033 92.326 2.8957
23.784142 92.335 2.8590
23.956491 92.343 2.8184
24.130091 92.349 2.7760
24.304947 92.355 2.7345
24.481071 92.359 2.6960
24.658470 92.362 2.6633
24.837156 92.364 2.6380
25.017136 92.367 2.6241
25.198421 92.370 2.6180
25.381020 92.375 2.6187
25.564941 92.382 2.6220
25.750195 92.392 2.6246
25.936790 92.404 2.6220
26.124741 92.418 2.6095
26.314051 92.434 2.5840
26.504732 92.451 2.5405
26.696796 92.467 2.4801
26.890253 92.482 2.4009
27.085112 92.496 2.3071
27.281382 92.507 2.2007
27.479073 92.516 2.0872
27.678198 92.520 1.9705
27.878765 92.521 1.8572
28.080786 92.519 1.7546
28.284271 92.515 1.6631
28.489231 92.510 1.5860
28.695675 92.505 1.5221
28.903616 92.499 1.4714
29.113064 92.494 1.4330
29.324028 92.489 1.4074
29.536524 92.486 1.3910
29.750557 92.484 1.3806
29.966141 92.484 1.3760
30.183289 92.484 1.3764
30.402010 92.485 1.3810
30.622314 92.489 1.3895
30.844217 92.494 1.3990
31.067726 92.501 1.4071
31.292856 92.509 1.4120
31.519617 92.519 1.4127
31.748020 92.532 1.4050
31.978081 92.547 1.3850
32.209808 92.563 1.3511
32.443211 92.579 1.2995
32.678310 92.594 1.2331
32.915108 92.608 1.1524
33.153625 92.621 1.0601
33.393871 92.632 0.9585
33.635857 92.641 0.8502
33.879597 92.647 0.7378
34.125103 92.652 0.6242
34.372387 92.655 0.5130
34.621464 92.656 0.4042
34.872345 92.656 0.2991
35.125042 92.656 0.1971
35.379574 92.655 0.0979
35.635948 92.653 0.0021
35.894180 92.650 -0.0899
36.154285 92.645 -0.1769
36.416275 92.640 -0.2569
36.680161 92.634 -0.3309
36.945961 92.628 -0.3990
37.213688 92.622 -0.4609
37.483353 92.614 -0.5174
37.754974 92.606 -0.5659
38.028561 92.597 -0.6049
38.304131 92.587 -0.6320
38.581699 92.577 -0.6451
38.861279 92.566 -0.6420
39.142883 92.555 -0.6190
39.426529 92.546 -0.5781
39.712231 92.540 -0.5185
40.000000 92.537 -0.4451
40.289856 92.538 -0.3601
40.581814 92.544 -0.2711
40.875885 92.555 -0.1837
41.172089 92.571 -0.1061
41.470440 92.591 -0.0489
41.770950 92.614 -0.0100
42.073643 92.636 0.0085
42.378525 92.660 0.0080
42.685616 92.686 -0.0110
42.994934 92.712 -0.0479
43.306492 92.736 -0.1032
43.620308 92.760 -0.1729
43.936401 92.783 -0.2526
44.254780 92.806 -0.3448
44.575470 92.830 -0.4509
44.898483 92.853 -0.5708
45.223835 92.874 -0.7063
45.551544 92.893 -0.8528
45.881630 92.910 -1.0065
46.214108 92.926 -1.1667
46.548996 92.941 -1.3322
46.886307 92.954 -1.5007
47.226067 92.965 -1.6702
47.568283 92.974 -1.8387
47.912983 92.982 -2.0024
48.260181 92.991 -2.1657
48.609894 93.001 -2.3309
48.962143 93.012 -2.5017
49.316940 93.023 -2.6822
49.674313 93.034 -2.8737
50.034271 93.045 -3.0781
50.396843 93.055 -3.2977
50.762039 93.065 -3.5359
51.129883 93.072 -3.7905
51.500389 93.075 -4.0640
51.873581 93.073 -4.3465
52.249481 93.065 -4.6315
52.628101 93.053 -4.9125
53.009464 93.036 -5.1827
53.393593 93.015 -5.4376
53.780506 92.990 -5.6712
54.170223 92.961 -5.8807
54.562763 92.930 -6.0604
54.958145 92.899 -6.2128
55.356396 92.869 -6.3361
55.757530 92.840 -6.4369
56.161572 92.814 -6.5197
56.568542 92.789 -6.5879
56.978462 92.767 -6.6458
57.391350 92.746 -6.6949
57.807232 92.727 -6.7371
58.226128 92.711 -6.7759
58.648056 92.698 -6.8146
59.073048 92.686 -6.8559
59.501114 92.676 -6.9042
59.932281 92.666 -6.9579
60.366577 92.656 -7.0168
60.804020 92.647 -7.0809
61.244629 92.639 -7.1508
61.688435 92.630 -7.2249
62.135452 92.620 -7.3026
62.585712 92.608 -7.3809
63.039234 92.596 -7.4566
63.496040 92.583 -7.5289
63.956161 92.570 -7.5960
64.419617 92.556 -7.6579
64.886421 92.543 -7.7131
65.356621 92.531 -7.7639
65.830215 92.519 -7.8113
66.307251 92.509 -7.8579
66.787743 92.501 -7.9063
67.271713 92.493 -7.9569
67.759193 92.485 -8.0109
68.250206 92.478 -8.0689
68.744774 92.471 -8.1320
69.242928 92.465 -8.1999
69.744690 92.458 -8.2725
70.250084 92.451 -8.3498
70.759148 92.444 -8.4326
71.271896 92.436 -8.5188
71.788361 92.427 -8.6072
72.308571 92.418 -8.6968
72.832550 92.408 -8.7860
73.360321 92.398 -8.8758
73.891922 92.387 -8.9672
74.427376 92.376 -9.0588
74.966705 92.363 -9.1498
75.509949 92.350 -9.2398
76.057121 92.338 -9.3276
76.608261 92.325 -9.4148
77.163399 92.312 -9.5034
77.722557 92.298 -9.5918
78.285767 92.283 -9.6787
78.853058 92.268 -9.7648
79.424461 92.253 -9.8507
80.000000 92.238 -9.9358
80.579712 92.222 -10.0208
81.163628 92.204 -10.1028
81.751770 92.185 -10.1793
82.344177 92.166 -10.2509
82.940880 92.148 -10.3168
83.541901 92.130 -10.3789
84.147285 92.112 -10.4386
84.757050 92.094 -10.4959
85.371231 92.077 -10.5503
85.989868 92.060 -10.6039
86.612984 92.044 -10.6582
87.240616 92.028 -10.7149
87.872803 92.012 -10.7762
88.509560 91.996 -10.8419
89.150940 91.979 -10.9128
89.796967 91.962 -10.9868
