* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\LETSHOUER_Cadenza_12_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 1:56:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\LETSHOUER_Cadenza_12_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced
* Measurement: LETSHOUER_Cadenza_12_51
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.174 -8.7050
5.036232 88.172 -8.7078
5.072727 88.169 -8.7110
5.109486 88.166 -8.7151
5.146511 88.163 -8.7200
5.183805 88.159 -8.7257
5.221369 88.154 -8.7320
5.259205 88.149 -8.7387
5.297316 88.144 -8.7460
5.335702 88.139 -8.7539
5.374367 88.134 -8.7620
5.413311 88.129 -8.7699
5.452538 88.123 -8.7780
5.492050 88.117 -8.7864
5.531847 88.112 -8.7950
5.571934 88.107 -8.8035
5.612310 88.102 -8.8120
5.652979 88.097 -8.8204
5.693943 88.091 -8.8290
5.735204 88.086 -8.8380
5.776763 88.081 -8.8470
5.818624 88.076 -8.8555
5.860788 88.070 -8.8640
5.903258 88.064 -8.8729
5.946035 88.059 -8.8820
5.989123 88.054 -8.8915
6.032523 88.049 -8.9010
6.076237 88.044 -8.9100
6.120268 88.038 -8.9190
6.164618 88.032 -8.9284
6.209289 88.027 -8.9380
6.254284 88.022 -8.9474
6.299605 88.017 -8.9570
6.345255 88.011 -8.9669
6.391235 88.006 -8.9770
6.437549 88.001 -8.9870
6.484198 87.996 -8.9970
6.531185 87.991 -9.0070
6.578513 87.985 -9.0170
6.626183 87.979 -9.0269
6.674199 87.974 -9.0370
6.722563 87.969 -9.0474
6.771278 87.964 -9.0580
6.820345 87.959 -9.0685
6.869768 87.953 -9.0790
6.919549 87.947 -9.0894
6.969691 87.942 -9.1000
7.020196 87.937 -9.1109
7.071068 87.932 -9.1220
7.122308 87.927 -9.1330
7.173919 87.921 -9.1440
7.225904 87.915 -9.1549
7.278266 87.910 -9.1660
7.331007 87.905 -9.1774
7.384131 87.900 -9.1890
7.437639 87.895 -9.2004
7.491535 87.889 -9.2120
7.545822 87.884 -9.2239
7.600502 87.879 -9.2360
7.655579 87.874 -9.2480
7.711054 87.868 -9.2600
7.766932 87.862 -9.2720
7.823214 87.857 -9.2840
7.879904 87.852 -9.2959
7.937005 87.847 -9.3080
7.994520 87.842 -9.3204
8.052452 87.836 -9.3330
8.110803 87.830 -9.3460
8.169578 87.825 -9.3590
8.228777 87.820 -9.3715
8.288406 87.815 -9.3840
8.348468 87.810 -9.3969
8.408964 87.804 -9.4100
8.469899 87.799 -9.4234
8.531276 87.794 -9.4370
8.593097 87.789 -9.4505
8.655366 87.783 -9.4640
8.718086 87.777 -9.4774
8.781260 87.772 -9.4910
8.844893 87.767 -9.5049
8.908987 87.762 -9.5190
8.973545 87.757 -9.5329
9.038571 87.751 -9.5470
9.104069 87.745 -9.5614
9.170040 87.740 -9.5760
9.236490 87.735 -9.5904
9.303422 87.730 -9.6050
9.370838 87.725 -9.6199
9.438744 87.719 -9.6350
9.507140 87.714 -9.6499
9.576033 87.709 -9.6650
9.645425 87.704 -9.6804
9.715320 87.698 -9.6960
9.785721 87.692 -9.7115
9.856632 87.687 -9.7270
9.928058 87.682 -9.7424
10.000000 87.677 -9.7580
10.072464 87.672 -9.7739
10.145453 87.666 -9.7900
10.218971 87.660 -9.8064
10.293022 87.655 -9.8230
10.367610 87.650 -9.8394
10.442738 87.645 -9.8560
10.518411 87.640 -9.8729
10.594631 87.634 -9.8900
10.671404 87.628 -9.9069
10.748734 87.623 -9.9240
10.826623 87.618 -9.9414
10.905077 87.613 -9.9590
10.984100 87.608 -9.9764
11.063695 87.602 -9.9940
11.143867 87.597 -10.0119
11.224621 87.592 -10.0300
11.305959 87.587 -10.0479
11.387886 87.581 -10.0660
11.470407 87.575 -10.0849
11.553527 87.570 -10.1040
11.637249 87.565 -10.1224
11.721577 87.560 -10.1410
11.806517 87.555 -10.1604
11.892071 87.549 -10.1800
11.978246 87.543 -10.1995
12.065045 87.538 -10.2190
12.152473 87.533 -10.2384
12.240536 87.528 -10.2580
12.329235 87.522 -10.2784
12.418578 87.517 -10.2990
12.508568 87.512 -10.3195
12.599211 87.507 -10.3400
12.690510 87.502 -10.3604
12.782471 87.496 -10.3810
12.875097 87.490 -10.4024
12.968395 87.485 -10.4240
13.062370 87.480 -10.4454
13.157025 87.475 -10.4670
13.252366 87.470 -10.4889
13.348398 87.464 -10.5110
13.445127 87.458 -10.5329
13.542556 87.453 -10.5550
13.640691 87.448 -10.5779
13.739536 87.443 -10.6010
13.839099 87.438 -10.6239
13.939383 87.432 -10.6470
14.040393 87.427 -10.6704
14.142136 87.422 -10.6940
14.244616 87.417 -10.7179
14.347837 87.411 -10.7420
14.451808 87.405 -10.7664
14.556532 87.400 -10.7910
14.662014 87.395 -10.8154
14.768262 87.390 -10.8400
14.875278 87.385 -10.8653
14.983070 87.379 -10.8910
15.091644 87.373 -10.9164
15.201005 87.368 -10.9420
15.311157 87.363 -10.9684
15.422109 87.358 -10.9950
15.533863 87.353 -11.0214
15.646428 87.347 -11.0480
15.759809 87.342 -11.0754
15.874010 87.337 -11.1030
15.989040 87.332 -11.1304
16.104904 87.326 -11.1580
16.221605 87.320 -11.1863
16.339155 87.315 -11.2150
16.457554 87.310 -11.2433
16.576813 87.305 -11.2720
16.696936 87.300 -11.3014
16.817928 87.294 -11.3310
16.939798 87.288 -11.3603
17.062551 87.283 -11.3900
17.186193 87.278 -11.4203
17.310732 87.273 -11.4510
17.436172 87.268 -11.4814
17.562521 87.262 -11.5120
17.689787 87.256 -11.5428
17.817974 87.251 -11.5740
17.947090 87.246 -11.6053
18.077143 87.241 -11.6370
18.208138 87.236 -11.6688
18.340080 87.230 -11.7010
18.472980 87.225 -11.7335
18.606844 87.220 -11.7660
18.741676 87.215 -11.7980
18.877487 87.209 -11.8300
19.014280 87.203 -11.8622
19.152065 87.198 -11.8940
19.290850 87.193 -11.9248
19.430639 87.188 -11.9550
19.571442 87.183 -11.9847
19.713264 87.178 -12.0140
19.856115 87.174 -12.0428
20.000000 87.170 -12.0720
20.144928 87.166 -12.1022
20.290907 87.163 -12.1340
20.437943 87.161 -12.1678
20.586044 87.159 -12.2050
20.735220 87.158 -12.2469
20.885475 87.157 -12.2939
21.036821 87.156 -12.3470
21.189262 87.155 -12.4059
21.342808 87.153 -12.4716
21.497467 87.151 -12.5419
21.653246 87.148 -12.6156
21.810154 87.143 -12.6909
21.968201 87.137 -12.7657
22.127390 87.131 -12.8399
22.287735 87.125 -12.9126
22.449242 87.118 -12.9839
22.611917 87.111 -13.0544
22.775772 87.103 -13.1229
22.940815 87.095 -13.1882
23.107054 87.086 -13.2509
23.274498 87.078 -13.3109
23.443153 87.071 -13.3699
23.613033 87.064 -13.4299
23.784142 87.058 -13.4909
23.956491 87.051 -13.5534
24.130091 87.045 -13.6179
24.304947 87.039 -13.6850
24.481071 87.033 -13.7559
24.658470 87.027 -13.8323
24.837156 87.021 -13.9129
25.017136 87.014 -13.9973
25.198421 87.006 -14.0849
25.381020 86.998 -14.1758
25.564941 86.988 -14.2679
25.750195 86.977 -14.3605
25.936790 86.964 -14.4499
26.124741 86.949 -14.5321
26.314051 86.934 -14.6079
26.504732 86.919 -14.6765
26.696796 86.904 -14.7379
26.890253 86.888 -14.7921
27.085112 86.873 -14.8390
27.281382 86.858 -14.8768
27.479073 86.845 -14.9100
27.678198 86.834 -14.9410
27.878765 86.825 -14.9740
28.080786 86.816 -15.0148
28.284271 86.808 -15.0599
28.489231 86.799 -15.1076
28.695675 86.790 -15.1579
28.903616 86.782 -15.2104
29.113064 86.774 -15.2659
29.324028 86.765 -15.3266
29.536524 86.755 -15.3879
29.750557 86.744 -15.4454
29.966141 86.733 -15.5009
30.183289 86.724 -15.5534
30.402010 86.716 -15.6069
30.622314 86.708 -15.6657
30.844217 86.701 -15.7289
31.067726 86.693 -15.7972
31.292856 86.685 -15.8709
31.519617 86.678 -15.9509
31.748020 86.670 -16.0369
31.978081 86.660 -16.1301
32.209808 86.649 -16.2259
32.443211 86.636 -16.3206
32.678310 86.621 -16.4119
32.915108 86.605 -16.4961
33.153625 86.588 -16.5729
33.393871 86.571 -16.6402
33.635857 86.554 -16.6989
33.879597 86.538 -16.7481
34.125103 86.523 -16.7919
34.372387 86.510 -16.8330
34.621464 86.499 -16.8759
34.872345 86.490 -16.9256
35.125042 86.483 -16.9839
35.379574 86.476 -17.0553
35.635948 86.469 -17.1379
35.894180 86.460 -17.2321
36.154285 86.450 -17.3348
36.416275 86.439 -17.4448
36.680161 86.425 -17.5578
36.945961 86.409 -17.6705
37.213688 86.390 -17.7788
37.483353 86.370 -17.8775
37.754974 86.349 -17.9679
38.028561 86.328 -18.0491
38.304131 86.307 -18.1229
38.581699 86.286 -18.1901
38.861279 86.265 -18.2519
39.142883 86.246 -18.3087
39.426529 86.227 -18.3639
39.712231 86.209 -18.4208
40.000000 86.192 -18.4799
40.289856 86.174 -18.5438
40.581814 86.156 -18.6099
40.875885 86.136 -18.6768
41.172089 86.116 -18.7429
41.470440 86.095 -18.8063
41.770950 86.074 -18.8659
42.073643 86.051 -18.9209
42.378525 86.027 -18.9689
42.685616 86.003 -19.0076
42.994934 85.979 -19.0370
43.306492 85.956 -19.0550
43.620308 85.933 -19.0650
43.936401 85.912 -19.0691
44.254780 85.892 -19.0680
44.575470 85.874 -19.0624
44.898483 85.857 -19.0550
45.223835 85.842 -19.0482
45.551544 85.829 -19.0440
45.881630 85.817 -19.0457
46.214108 85.806 -19.0520
46.548996 85.796 -19.0617
46.886307 85.787 -19.0770
47.226067 85.780 -19.0996
47.568283 85.773 -19.1299
47.912983 85.766 -19.1682
48.260181 85.760 -19.2159
48.609894 85.756 -19.2733
48.962143 85.752 -19.3439
49.316940 85.749 -19.4308
49.674313 85.746 -19.5358
50.034271 85.742 -19.6628
50.396843 85.737 -19.8088
50.762039 85.729 -19.9738
51.129883 85.717 -20.1517
51.500389 85.701 -20.3375
51.873581 85.680 -20.5267
52.249481 85.655 -20.7141
52.628101 85.627 -20.8957
53.009464 85.595 -21.0666
53.393593 85.559 -21.2237
53.780506 85.520 -21.3632
54.170223 85.479 -21.4828
54.562763 85.437 -21.5792
54.958145 85.393 -21.6519
55.356396 85.349 -21.6988
55.757530 85.305 -21.7220
56.161572 85.263 -21.7212
56.568542 85.223 -21.7020
56.978462 85.187 -21.6685
57.391350 85.154 -21.6251
57.807232 85.124 -21.5757
58.226128 85.097 -21.5261
58.648056 85.075 -21.4819
59.073048 85.055 -21.4480
59.501114 85.038 -21.4323
59.932281 85.021 -21.4310
60.366577 85.003 -21.4448
60.804020 84.983 -21.4690
61.244629 84.962 -21.4998
61.688435 84.939 -21.5349
62.135452 84.915 -21.5716
62.585712 84.890 -21.6069
63.039234 84.863 -21.6376
63.496040 84.834 -21.6630
63.956161 84.806 -21.6817
64.419617 84.777 -21.6930
64.886421 84.747 -21.6944
65.356621 84.718 -21.6890
65.830215 84.691 -21.6781
66.307251 84.665 -21.6640
66.787743 84.640 -21.6498
67.271713 84.615 -21.6350
67.759193 84.591 -21.6197
68.250206 84.568 -21.6060
68.744774 84.546 -21.5965
69.242928 84.524 -21.5910
69.744690 84.502 -21.5899
70.250084 84.480 -21.5940
70.759148 84.460 -21.6040
71.271896 84.439 -21.6200
71.788361 84.417 -21.6433
72.308571 84.393 -21.6699
72.832550 84.368 -21.6949
73.360321 84.342 -21.7219
73.891922 84.318 -21.7536
74.427376 84.293 -21.7889
74.966705 84.265 -21.8298
75.509949 84.234 -21.8699
76.057121 84.202 -21.9034
76.608261 84.168 -21.9310
77.163399 84.134 -21.9525
77.722557 84.098 -21.9640
78.285767 84.059 -21.9617
78.853058 84.019 -21.9441
