* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\5128\Blessing 3_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 1:18:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\5128\Blessing 3_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced
* Measurement: Blessing 3_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 91.794 -6.2100
5.036232 91.793 -6.2162
5.072727 91.791 -6.2230
5.109486 91.790 -6.2308
5.146511 91.788 -6.2400
5.183805 91.786 -6.2514
5.221369 91.783 -6.2640
5.259205 91.781 -6.2766
5.297316 91.778 -6.2900
5.335702 91.775 -6.3047
5.374367 91.772 -6.3200
5.413311 91.769 -6.3354
5.452538 91.766 -6.3510
5.492050 91.763 -6.3665
5.531847 91.760 -6.3820
5.571934 91.757 -6.3974
5.612310 91.754 -6.4130
5.652979 91.751 -6.4289
5.693943 91.748 -6.4450
5.735204 91.745 -6.4609
5.776763 91.742 -6.4770
5.818624 91.739 -6.4934
5.860788 91.737 -6.5100
5.903258 91.734 -6.5264
5.946035 91.731 -6.5430
5.989123 91.728 -6.5599
6.032523 91.725 -6.5770
6.076237 91.722 -6.5944
6.120268 91.719 -6.6120
6.164618 91.716 -6.6295
6.209289 91.713 -6.6470
6.254284 91.710 -6.6644
6.299605 91.707 -6.6820
6.345255 91.704 -6.6999
6.391235 91.701 -6.7180
6.437549 91.698 -6.7364
6.484198 91.695 -6.7550
6.531185 91.692 -6.7735
6.578513 91.689 -6.7920
6.626183 91.686 -6.8104
6.674199 91.683 -6.8290
6.722563 91.681 -6.8484
6.771278 91.678 -6.8680
6.820345 91.675 -6.8869
6.869768 91.672 -6.9060
6.919549 91.669 -6.9259
6.969691 91.666 -6.9460
7.020196 91.663 -6.9660
7.071068 91.660 -6.9860
7.122308 91.657 -7.0059
7.173919 91.654 -7.0260
7.225904 91.651 -7.0469
7.278266 91.648 -7.0680
7.331007 91.645 -7.0884
7.384131 91.642 -7.1090
7.437639 91.639 -7.1304
7.491535 91.636 -7.1520
7.545822 91.633 -7.1734
7.600502 91.630 -7.1950
7.655579 91.628 -7.2169
7.711054 91.625 -7.2390
7.766932 91.622 -7.2609
7.823214 91.619 -7.2830
7.879904 91.616 -7.3054
7.937005 91.613 -7.3280
7.994520 91.610 -7.3509
8.052452 91.607 -7.3740
8.110803 91.604 -7.3974
8.169578 91.601 -7.4210
8.228777 91.598 -7.4444
8.288406 91.595 -7.4680
8.348468 91.592 -7.4919
8.408964 91.589 -7.5160
8.469899 91.586 -7.5404
8.531276 91.583 -7.5650
8.593097 91.580 -7.5894
8.655366 91.577 -7.6140
8.718086 91.574 -7.6388
8.781260 91.571 -7.6640
8.844893 91.569 -7.6899
8.908987 91.566 -7.7160
8.973545 91.563 -7.7414
9.038571 91.560 -7.7670
9.104069 91.557 -7.7934
9.170040 91.554 -7.8200
9.236490 91.551 -7.8464
9.303422 91.548 -7.8730
9.370838 91.545 -7.9004
9.438744 91.542 -7.9280
9.507140 91.539 -7.9554
9.576033 91.536 -7.9830
9.645425 91.533 -8.0109
9.715320 91.530 -8.0390
9.785721 91.527 -8.0674
9.856632 91.524 -8.0960
9.928058 91.521 -8.1249
10.000000 91.518 -8.1540
10.072464 91.516 -8.1828
10.145453 91.513 -8.2120
10.218971 91.510 -8.2419
10.293022 91.507 -8.2720
10.367610 91.504 -8.3019
10.442738 91.501 -8.3320
10.518411 91.498 -8.3629
10.594631 91.495 -8.3940
10.671404 91.492 -8.4249
10.748734 91.489 -8.4560
10.826623 91.486 -8.4879
10.905077 91.483 -8.5200
10.984100 91.480 -8.5518
11.063695 91.477 -8.5840
11.143867 91.474 -8.6168
11.224621 91.471 -8.6500
11.305959 91.468 -8.6834
11.387886 91.465 -8.7170
11.470407 91.462 -8.7504
11.553527 91.459 -8.7840
11.637249 91.457 -8.8183
11.721577 91.454 -8.8530
11.806517 91.451 -8.8878
11.892071 91.448 -8.9230
11.978246 91.445 -8.9584
12.065045 91.442 -8.9940
12.152473 91.439 -9.0299
12.240536 91.436 -9.0660
12.329235 91.433 -9.1023
12.418578 91.430 -9.1390
12.508568 91.427 -9.1763
12.599211 91.424 -9.2140
12.690510 91.421 -9.2518
12.782471 91.418 -9.2900
12.875097 91.415 -9.3283
12.968395 91.412 -9.3670
13.062370 91.409 -9.4059
13.157025 91.406 -9.4450
13.252366 91.404 -9.4843
13.348398 91.401 -9.5240
13.445127 91.398 -9.5643
13.542556 91.395 -9.6050
13.640691 91.392 -9.6458
13.739536 91.389 -9.6870
13.839099 91.386 -9.7289
13.939383 91.383 -9.7710
14.040393 91.380 -9.8128
14.142136 91.377 -9.8550
14.244616 91.374 -9.8983
14.347837 91.371 -9.9420
14.451808 91.368 -9.9854
14.556532 91.365 -10.0290
14.662014 91.362 -10.0732
14.768262 91.359 -10.1179
14.875278 91.356 -10.1633
14.983070 91.353 -10.2090
15.091644 91.350 -10.2548
15.201005 91.347 -10.3010
15.311157 91.345 -10.3478
15.422109 91.342 -10.3950
15.533863 91.339 -10.4423
15.646428 91.336 -10.4900
15.759809 91.333 -10.5383
15.874010 91.330 -10.5870
15.989040 91.327 -10.6358
16.104904 91.324 -10.6850
16.221605 91.321 -10.7348
16.339155 91.318 -10.7849
16.457554 91.315 -10.8353
16.576813 91.312 -10.8860
16.696936 91.309 -10.9368
16.817928 91.306 -10.9880
16.939798 91.303 -11.0398
17.062551 91.300 -11.0919
17.186193 91.297 -11.1443
17.310732 91.294 -11.1970
17.436172 91.292 -11.2499
17.562521 91.289 -11.3030
17.689787 91.286 -11.3559
17.817974 91.283 -11.4089
17.947090 91.280 -11.4624
18.077143 91.277 -11.5160
18.208138 91.274 -11.5695
18.340080 91.271 -11.6229
18.472980 91.268 -11.6766
18.606844 91.265 -11.7300
18.741676 91.262 -11.7823
18.877487 91.259 -11.8339
19.014280 91.256 -11.8851
19.152065 91.253 -11.9349
19.290850 91.250 -11.9826
19.430639 91.247 -12.0280
19.571442 91.244 -12.0707
19.713264 91.242 -12.1100
19.856115 91.240 -12.1445
20.000000 91.239 -12.1750
20.144928 91.239 -12.2012
20.290907 91.241 -12.2250
20.437943 91.245 -12.2466
20.586044 91.251 -12.2710
20.735220 91.260 -12.3016
20.885475 91.272 -12.3429
21.036821 91.287 -12.3997
21.189262 91.304 -12.4749
21.342808 91.322 -12.5723
21.497467 91.340 -12.6938
21.653246 91.359 -12.8430
21.810154 91.377 -13.0187
21.968201 91.393 -13.2230
22.127390 91.405 -13.4497
22.287735 91.412 -13.6964
22.449242 91.414 -13.9548
22.611917 91.411 -14.2180
22.775772 91.404 -14.4797
22.940815 91.391 -14.7330
23.107054 91.374 -14.9727
23.274498 91.353 -15.1913
23.443153 91.330 -15.3887
23.613033 91.306 -15.5611
23.784142 91.281 -15.7119
23.956491 91.258 -15.8409
24.130091 91.236 -15.9549
24.304947 91.218 -16.0586
24.481071 91.201 -16.1569
24.658470 91.186 -16.2562
24.837156 91.172 -16.3569
25.017136 91.159 -16.4614
25.198421 91.147 -16.5699
25.381020 91.134 -16.6849
25.564941 91.121 -16.8019
25.750195 91.105 -16.9179
25.936790 91.089 -17.0309
26.124741 91.073 -17.1370
26.314051 91.057 -17.2379
26.504732 91.041 -17.3339
26.696796 91.025 -17.4249
26.890253 91.009 -17.5094
27.085112 90.994 -17.5909
27.281382 90.982 -17.6713
27.479073 90.971 -17.7539
27.678198 90.961 -17.8428
27.878765 90.951 -17.9369
28.080786 90.940 -18.0372
28.284271 90.929 -18.1409
28.489231 90.918 -18.2456
28.695675 90.906 -18.3509
28.903616 90.894 -18.4550
29.113064 90.882 -18.5589
29.324028 90.870 -18.6621
29.536524 90.859 -18.7659
29.750557 90.849 -18.8702
29.966141 90.839 -18.9789
30.183289 90.831 -19.0950
30.402010 90.823 -19.2208
30.622314 90.815 -19.3610
30.844217 90.806 -19.5118
31.067726 90.795 -19.6726
31.292856 90.782 -19.8387
31.519617 90.766 -20.0068
31.748020 90.747 -20.1728
31.978081 90.726 -20.3329
32.209808 90.703 -20.4838
32.443211 90.678 -20.6206
32.678310 90.653 -20.7448
32.915108 90.629 -20.8552
33.153625 90.605 -20.9559
33.393871 90.582 -21.0497
33.635857 90.561 -21.1389
33.879597 90.542 -21.2253
34.125103 90.524 -21.3119
34.372387 90.507 -21.4020
34.621464 90.491 -21.4969
34.872345 90.476 -21.5992
35.125042 90.460 -21.7079
35.379574 90.444 -21.8228
35.635948 90.427 -21.9429
35.894180 90.410 -22.0677
36.154285 90.391 -22.1948
36.416275 90.371 -22.3217
36.680161 90.350 -22.4478
36.945961 90.329 -22.5723
37.213688 90.307 -22.6938
37.483353 90.283 -22.8113
37.754974 90.259 -22.9238
38.028561 90.235 -23.0287
38.304131 90.212 -23.1299
38.581699 90.190 -23.2298
38.861279 90.169 -23.3298
39.142883 90.148 -23.4317
39.426529 90.127 -23.5369
39.712231 90.107 -23.6470
40.000000 90.086 -23.7628
40.289856 90.065 -23.8862
40.581814 90.044 -24.0158
40.875885 90.021 -24.1518
41.172089 89.997 -24.2918
41.470440 89.970 -24.4352
41.770950 89.941 -24.5768
42.073643 89.908 -24.7127
42.378525 89.873 -24.8378
42.685616 89.835 -24.9469
42.994934 89.796 -25.0369
43.306492 89.755 -25.1030
43.620308 89.713 -25.1450
43.936401 89.673 -25.1591
44.254780 89.636 -25.1510
44.575470 89.602 -25.1230
44.898483 89.572 -25.0821
45.223835 89.547 -25.0337
45.551544 89.527 -24.9851
45.881630 89.512 -24.9428
46.214108 89.501 -24.9140
46.548996 89.495 -24.9077
46.886307 89.491 -24.9250
47.226067 89.489 -24.9699
47.568283 89.487 -25.0419
47.912983 89.485 -25.1425
48.260181 89.481 -25.2688
48.609894 89.475 -25.4202
48.962143 89.465 -25.5907
49.316940 89.452 -25.7758
49.674313 89.434 -25.9697
50.034271 89.412 -26.1661
50.396843 89.386 -26.3617
50.762039 89.357 -26.5522
51.129883 89.325 -26.7337
51.500389 89.288 -26.9015
51.873581 89.249 -27.0538
52.249481 89.209 -27.1858
52.628101 89.169 -27.3008
53.009464 89.129 -27.4003
53.393593 89.088 -27.4849
53.780506 89.048 -27.5550
54.170223 89.008 -27.6119
54.562763 88.970 -27.6564
54.958145 88.933 -27.6910
55.356396 88.898 -27.7179
55.757530 88.864 -27.7390
56.161572 88.832 -27.7554
56.568542 88.802 -27.7710
56.978462 88.775 -27.7893
57.391350 88.749 -27.8130
57.807232 88.725 -27.8461
58.226128 88.701 -27.8879
58.648056 88.677 -27.9393
59.073048 88.653 -27.9999
59.501114 88.629 -28.0702
59.932281 88.604 -28.1479
60.366577 88.577 -28.2322
60.804020 88.548 -28.3189
61.244629 88.517 -28.4042
61.688435 88.485 -28.4859
62.135452 88.451 -28.5598
62.585712 88.417 -28.6269
63.039234 88.383 -28.6864
63.496040 88.348 -28.7389
63.956161 88.314 -28.7840
64.419617 88.280 -28.8239
64.886421 88.248 -28.8604
65.356621 88.216 -28.8949
65.830215 88.185 -28.9294
66.307251 88.155 -28.9649
66.787743 88.125 -29.0036
67.271713 88.096 -29.0449
67.759193 88.067 -29.0890
68.250206 88.038 -29.1359
68.744774 88.009 -29.1856
69.242928 87.980 -29.2389
69.744690 87.951 -29.2966
70.250084 87.921 -29.3589
70.759148 87.892 -29.4259
71.271896 87.862 -29.4979
71.788361 87.832 -29.5755
72.308571 87.800 -29.6578
72.832550 87.767 -29.7455
73.360321 87.733 -29.8348
73.891922 87.696 -29.9230
74.427376 87.658 -30.0088
74.966705 87.619 -30.0905
75.509949 87.578 -30.1669
76.057121 87.536 -30.2363
76.608261 87.492 -30.2979
77.163399 87.448 -30.3499
77.722557 87.403 -30.3939
78.285767 87.359 -30.4308
78.853058 87.314 -30.4609
79.424461 87.270 -30.4850
