* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Soft_Ears_Studio_4_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:38:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Soft_Ears_Studio_4_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Soft_Ears_Studio_4_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.212 -0.7410
5.036232 86.212 -0.7424
5.072727 86.212 -0.7440
5.109486 86.212 -0.7463
5.146511 86.212 -0.7490
5.183805 86.212 -0.7519
5.221369 86.211 -0.7550
5.259205 86.211 -0.7584
5.297316 86.211 -0.7620
5.335702 86.211 -0.7654
5.374367 86.211 -0.7690
5.413311 86.211 -0.7729
5.452538 86.211 -0.7770
5.492050 86.211 -0.7810
5.531847 86.210 -0.7850
5.571934 86.210 -0.7890
5.612310 86.210 -0.7930
5.652979 86.210 -0.7969
5.693943 86.210 -0.8010
5.735204 86.210 -0.8055
5.776763 86.209 -0.8100
5.818624 86.209 -0.8141
5.860788 86.209 -0.8180
5.903258 86.209 -0.8219
5.946035 86.209 -0.8260
5.989123 86.209 -0.8304
6.032523 86.208 -0.8350
6.076237 86.208 -0.8395
6.120268 86.208 -0.8440
6.164618 86.208 -0.8485
6.209289 86.208 -0.8530
6.254284 86.208 -0.8575
6.299605 86.207 -0.8620
6.345255 86.207 -0.8665
6.391235 86.207 -0.8710
6.437549 86.207 -0.8754
6.484198 86.207 -0.8800
6.531185 86.207 -0.8850
6.578513 86.206 -0.8900
6.626183 86.206 -0.8945
6.674199 86.206 -0.8990
6.722563 86.206 -0.9039
6.771278 86.206 -0.9090
6.820345 86.206 -0.9140
6.869768 86.205 -0.9190
6.919549 86.205 -0.9240
6.969691 86.205 -0.9290
7.020196 86.205 -0.9340
7.071068 86.205 -0.9390
7.122308 86.205 -0.9440
7.173919 86.204 -0.9490
7.225904 86.204 -0.9539
7.278266 86.204 -0.9590
7.331007 86.204 -0.9644
7.384131 86.204 -0.9700
7.437639 86.204 -0.9755
7.491535 86.204 -0.9810
7.545822 86.204 -0.9865
7.600502 86.203 -0.9920
7.655579 86.203 -0.9975
7.711054 86.203 -1.0030
7.766932 86.203 -1.0085
7.823214 86.203 -1.0140
7.879904 86.203 -1.0194
7.937005 86.202 -1.0250
7.994520 86.202 -1.0310
8.052452 86.202 -1.0370
8.110803 86.202 -1.0425
8.169578 86.202 -1.0480
8.228777 86.201 -1.0539
8.288406 86.201 -1.0600
8.348468 86.201 -1.0660
8.408964 86.201 -1.0720
8.469899 86.201 -1.0779
8.531276 86.201 -1.0840
8.593097 86.201 -1.0905
8.655366 86.200 -1.0970
8.718086 86.200 -1.1030
8.781260 86.200 -1.1090
8.844893 86.200 -1.1154
8.908987 86.200 -1.1220
8.973545 86.200 -1.1285
9.038571 86.199 -1.1350
9.104069 86.199 -1.1414
9.170040 86.199 -1.1480
9.236490 86.199 -1.1550
9.303422 86.199 -1.1620
9.370838 86.199 -1.1685
9.438744 86.198 -1.1750
9.507140 86.198 -1.1819
9.576033 86.198 -1.1890
9.645425 86.198 -1.1960
9.715320 86.198 -1.2030
9.785721 86.198 -1.2100
9.856632 86.197 -1.2170
9.928058 86.197 -1.2239
10.000000 86.197 -1.2310
10.072464 86.197 -1.2384
10.145453 86.197 -1.2460
10.218971 86.197 -1.2535
10.293022 86.196 -1.2610
10.367610 86.196 -1.2685
10.442738 86.196 -1.2760
10.518411 86.196 -1.2835
10.594631 86.196 -1.2910
10.671404 86.196 -1.2984
10.748734 86.196 -1.3060
10.826623 86.196 -1.3139
10.905077 86.195 -1.3220
10.984100 86.195 -1.3300
11.063695 86.195 -1.3380
11.143867 86.195 -1.3459
11.224621 86.195 -1.3540
11.305959 86.195 -1.3625
11.387886 86.194 -1.3710
11.470407 86.194 -1.3790
11.553527 86.194 -1.3870
11.637249 86.194 -1.3954
11.721577 86.194 -1.4040
11.806517 86.194 -1.4130
11.892071 86.193 -1.4220
11.978246 86.193 -1.4305
12.065045 86.193 -1.4390
12.152473 86.193 -1.4479
12.240536 86.193 -1.4570
12.329235 86.193 -1.4660
12.418578 86.192 -1.4750
12.508568 86.192 -1.4839
12.599211 86.192 -1.4930
12.690510 86.192 -1.5024
12.782471 86.192 -1.5120
12.875097 86.192 -1.5214
12.968395 86.191 -1.5310
13.062370 86.191 -1.5410
13.157025 86.191 -1.5510
13.252366 86.191 -1.5605
13.348398 86.191 -1.5700
13.445127 86.191 -1.5799
13.542556 86.190 -1.5900
13.640691 86.190 -1.6004
13.739536 86.190 -1.6110
13.839099 86.190 -1.6215
13.939383 86.190 -1.6320
14.040393 86.190 -1.6424
14.142136 86.189 -1.6530
14.244616 86.189 -1.6639
14.347837 86.189 -1.6750
14.451808 86.189 -1.6859
14.556532 86.189 -1.6970
14.662014 86.189 -1.7084
14.768262 86.189 -1.7200
14.875278 86.189 -1.7314
14.983070 86.188 -1.7430
15.091644 86.188 -1.7554
15.201005 86.188 -1.7680
15.311157 86.188 -1.7805
15.422109 86.188 -1.7930
15.533863 86.188 -1.8054
15.646428 86.187 -1.8180
15.759809 86.187 -1.8314
15.874010 86.187 -1.8450
15.989040 86.187 -1.8584
16.104904 86.187 -1.8720
16.221605 86.187 -1.8863
16.339155 86.186 -1.9010
16.457554 86.186 -1.9159
16.576813 86.186 -1.9310
16.696936 86.186 -1.9464
16.817928 86.186 -1.9620
16.939798 86.186 -1.9777
17.062551 86.185 -1.9940
17.186193 86.185 -2.0112
17.310732 86.185 -2.0290
17.436172 86.185 -2.0471
17.562521 86.185 -2.0660
17.689787 86.185 -2.0860
17.817974 86.184 -2.1070
17.947090 86.184 -2.1285
18.077143 86.184 -2.1510
18.208138 86.184 -2.1747
18.340080 86.184 -2.2000
18.472980 86.184 -2.2273
18.606844 86.183 -2.2570
18.741676 86.183 -2.2890
18.877487 86.183 -2.3250
19.014280 86.183 -2.3660
19.152065 86.183 -2.4129
19.290850 86.182 -2.4670
19.430639 86.180 -2.5280
19.571442 86.176 -2.5976
19.713264 86.170 -2.6709
19.856115 86.160 -2.7469
20.000000 86.147 -2.8159
20.144928 86.129 -2.8698
20.290907 86.108 -2.9040
20.437943 86.086 -2.9109
20.586044 86.063 -2.8920
20.735220 86.041 -2.8452
20.885475 86.020 -2.7741
21.036821 86.002 -2.6784
21.189262 85.988 -2.5681
21.342808 85.980 -2.4512
21.497467 85.976 -2.3341
21.653246 85.975 -2.2264
21.810154 85.977 -2.1281
21.968201 85.980 -2.0447
22.127390 85.982 -1.9701
22.287735 85.983 -1.9025
22.449242 85.982 -1.8341
22.611917 85.980 -1.7568
22.775772 85.977 -1.6691
22.940815 85.975 -1.5650
23.107054 85.976 -1.4492
23.274498 85.980 -1.3217
23.443153 85.987 -1.1912
23.613033 86.000 -1.0636
23.784142 86.017 -0.9461
23.956491 86.037 -0.8480
24.130091 86.060 -0.7691
24.304947 86.083 -0.7132
24.481071 86.106 -0.6770
24.658470 86.128 -0.6609
24.837156 86.148 -0.6580
25.017136 86.165 -0.6637
25.198421 86.180 -0.6720
25.381020 86.194 -0.6748
25.564941 86.207 -0.6730
25.750195 86.221 -0.6631
25.936790 86.236 -0.6500
26.124741 86.254 -0.6353
26.314051 86.275 -0.6260
26.504732 86.298 -0.6286
26.696796 86.323 -0.6460
26.890253 86.349 -0.6842
27.085112 86.375 -0.7399
27.281382 86.399 -0.8121
27.479073 86.423 -0.8999
27.678198 86.446 -1.0025
27.878765 86.467 -1.1178
28.080786 86.486 -1.2448
28.284271 86.503 -1.3798
28.489231 86.518 -1.5182
28.695675 86.531 -1.6618
28.903616 86.544 -1.8105
29.113064 86.556 -1.9648
29.324028 86.565 -2.1263
29.536524 86.572 -2.2918
29.750557 86.577 -2.4593
29.966141 86.579 -2.6268
30.183289 86.579 -2.7921
30.402010 86.577 -2.9538
30.622314 86.572 -3.1106
30.844217 86.565 -3.2608
31.067726 86.557 -3.4037
31.292856 86.546 -3.5358
31.519617 86.532 -3.6552
31.748020 86.516 -3.7569
31.978081 86.499 -3.8360
32.209808 86.480 -3.8899
32.443211 86.461 -3.9143
32.678310 86.442 -3.9090
32.915108 86.426 -3.8696
33.153625 86.414 -3.8051
33.393871 86.409 -3.7179
33.635857 86.411 -3.6231
33.879597 86.422 -3.5330
34.125103 86.439 -3.4581
34.372387 86.462 -3.4119
34.621464 86.489 -3.3980
34.872345 86.519 -3.4261
35.125042 86.549 -3.4919
35.379574 86.576 -3.5979
35.635948 86.601 -3.7338
35.894180 86.621 -3.8930
36.154285 86.637 -4.0667
36.416275 86.648 -4.2454
36.680161 86.656 -4.4257
36.945961 86.661 -4.6015
37.213688 86.664 -4.7727
37.483353 86.665 -4.9369
37.754974 86.666 -5.0958
38.028561 86.667 -5.2494
38.304131 86.667 -5.3998
38.581699 86.667 -5.5482
38.861279 86.667 -5.6968
39.142883 86.667 -5.8478
39.426529 86.667 -6.0018
39.712231 86.666 -6.1599
40.000000 86.664 -6.3218
40.289856 86.661 -6.4885
40.581814 86.657 -6.6568
40.875885 86.650 -6.8251
41.172089 86.641 -6.9888
41.470440 86.630 -7.1418
41.770950 86.618 -7.2858
42.073643 86.607 -7.4202
42.378525 86.595 -7.5458
42.685616 86.583 -7.6623
42.994934 86.572 -7.7718
43.306492 86.562 -7.8742
43.620308 86.554 -7.9758
43.936401 86.549 -8.0828
44.254780 86.544 -8.1958
44.575470 86.539 -8.3180
44.898483 86.533 -8.4478
45.223835 86.527 -8.5846
45.551544 86.520 -8.7278
45.881630 86.512 -8.8775
46.214108 86.502 -9.0308
46.548996 86.490 -9.1866
46.886307 86.476 -9.3398
47.226067 86.459 -9.4848
47.568283 86.440 -9.6208
47.912983 86.421 -9.7440
48.260181 86.402 -9.8568
48.609894 86.383 -9.9600
48.962143 86.364 -10.0549
49.316940 86.346 -10.1418
49.674313 86.329 -10.2239
50.034271 86.314 -10.3029
50.396843 86.300 -10.3829
50.762039 86.287 -10.4686
51.129883 86.275 -10.5598
51.500389 86.262 -10.6598
51.873581 86.248 -10.7628
52.249481 86.231 -10.8659
52.628101 86.213 -10.9648
53.009464 86.194 -11.0544
53.393593 86.174 -11.1349
53.780506 86.155 -11.2037
54.170223 86.136 -11.2639
54.562763 86.119 -11.3162
54.958145 86.103 -11.3649
55.356396 86.090 -11.4129
55.757530 86.078 -11.4649
56.161572 86.069 -11.5260
56.568542 86.061 -11.5979
56.978462 86.053 -11.6851
57.391350 86.044 -11.7838
57.807232 86.033 -11.8927
58.226128 86.020 -12.0088
58.648056 86.007 -12.1298
59.073048 85.991 -12.2518
59.501114 85.972 -12.3715
59.932281 85.950 -12.4848
60.366577 85.927 -12.5857
60.804020 85.904 -12.6769
61.244629 85.881 -12.7579
61.688435 85.859 -12.8319
62.135452 85.838 -12.9018
62.585712 85.817 -12.9679
63.039234 85.796 -13.0300
63.496040 85.776 -13.0919
63.956161 85.758 -13.1576
64.419617 85.740 -13.2259
64.886421 85.720 -13.2980
65.356621 85.699 -13.3709
65.830215 85.678 -13.4417
66.307251 85.657 -13.5109
66.787743 85.635 -13.5782
67.271713 85.612 -13.6419
67.759193 85.588 -13.6998
68.250206 85.564 -13.7519
68.744774 85.541 -13.7960
69.242928 85.518 -13.8359
69.744690 85.497 -13.8747
70.250084 85.476 -13.9119
70.759148 85.455 -13.9477
71.271896 85.434 -13.9829
71.788361 85.415 -14.0169
72.308571 85.397 -14.0549
72.832550 85.381 -14.1021
73.360321 85.365 -14.1579
73.891922 85.348 -14.2238
74.427376 85.330 -14.2988
74.966705 85.312 -14.3832
75.509949 85.292 -14.4748
76.057121 85.269 -14.5736
76.608261 85.244 -14.6738
77.163399 85.216 -14.7715
77.722557 85.184 -14.8608
78.285767 85.149 -14.9351
78.853058 85.112 -14.9929
