* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Thieaudio_Oracle_MKI_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:43:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Thieaudio_Oracle_MKI_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Thieaudio_Oracle_MKI_5128_S
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 97.764 -7.9980
5.036232 97.762 -8.0024
5.072727 97.760 -8.0070
5.109486 97.757 -8.0121
5.146511 97.754 -8.0180
5.183805 97.751 -8.0256
5.221369 97.747 -8.0340
5.259205 97.743 -8.0427
5.297316 97.738 -8.0520
5.335702 97.733 -8.0623
5.374367 97.729 -8.0730
5.413311 97.725 -8.0835
5.452538 97.720 -8.0940
5.492050 97.715 -8.1044
5.531847 97.711 -8.1150
5.571934 97.707 -8.1259
5.612310 97.702 -8.1370
5.652979 97.697 -8.1480
5.693943 97.692 -8.1590
5.735204 97.687 -8.1699
5.776763 97.683 -8.1810
5.818624 97.679 -8.1924
5.860788 97.674 -8.2040
5.903258 97.670 -8.2154
5.946035 97.665 -8.2270
5.989123 97.660 -8.2390
6.032523 97.655 -8.2510
6.076237 97.650 -8.2624
6.120268 97.646 -8.2740
6.164618 97.642 -8.2864
6.209289 97.637 -8.2990
6.254284 97.633 -8.3110
6.299605 97.628 -8.3230
6.345255 97.623 -8.3354
6.391235 97.618 -8.3480
6.437549 97.613 -8.3604
6.484198 97.609 -8.3730
6.531185 97.604 -8.3859
6.578513 97.600 -8.3990
6.626183 97.596 -8.4120
6.674199 97.591 -8.4250
6.722563 97.587 -8.4379
6.771278 97.582 -8.4510
6.820345 97.577 -8.4644
6.869768 97.572 -8.4780
6.919549 97.567 -8.4914
6.969691 97.563 -8.5050
7.020196 97.559 -8.5189
7.071068 97.554 -8.5330
7.122308 97.550 -8.5469
7.173919 97.545 -8.5610
7.225904 97.540 -8.5754
7.278266 97.535 -8.5900
7.331007 97.530 -8.6045
7.384131 97.526 -8.6190
7.437639 97.521 -8.6334
7.491535 97.517 -8.6480
7.545822 97.513 -8.6629
7.600502 97.508 -8.6780
7.655579 97.503 -8.6929
7.711054 97.498 -8.7080
7.766932 97.493 -8.7234
7.823214 97.489 -8.7390
7.879904 97.485 -8.7544
7.937005 97.480 -8.7700
7.994520 97.476 -8.7859
8.052452 97.471 -8.8020
8.110803 97.467 -8.8179
8.169578 97.462 -8.8340
8.228777 97.457 -8.8504
8.288406 97.452 -8.8670
8.348468 97.447 -8.8834
8.408964 97.443 -8.9000
8.469899 97.438 -8.9169
8.531276 97.434 -8.9340
8.593097 97.430 -8.9509
8.655366 97.425 -8.9680
8.718086 97.420 -8.9854
8.781260 97.415 -9.0030
8.844893 97.410 -9.0204
8.908987 97.406 -9.0380
8.973545 97.402 -9.0559
9.038571 97.397 -9.0740
9.104069 97.393 -9.0924
9.170040 97.388 -9.1110
9.236490 97.383 -9.1295
9.303422 97.378 -9.1480
9.370838 97.373 -9.1664
9.438744 97.369 -9.1850
9.507140 97.365 -9.2044
9.576033 97.360 -9.2240
9.645425 97.356 -9.2429
9.715320 97.351 -9.2620
9.785721 97.346 -9.2819
9.856632 97.341 -9.3020
9.928058 97.336 -9.3219
10.000000 97.332 -9.3420
10.072464 97.327 -9.3624
10.145453 97.323 -9.3830
10.218971 97.319 -9.4034
10.293022 97.314 -9.4240
10.367610 97.310 -9.4449
10.442738 97.305 -9.4660
10.518411 97.300 -9.4869
10.594631 97.295 -9.5080
10.671404 97.290 -9.5299
10.748734 97.286 -9.5520
10.826623 97.282 -9.5740
10.905077 97.277 -9.5960
10.984100 97.273 -9.6179
11.063695 97.268 -9.6400
11.143867 97.263 -9.6629
11.224621 97.258 -9.6860
11.305959 97.253 -9.7089
11.387886 97.249 -9.7320
11.470407 97.244 -9.7554
11.553527 97.240 -9.7790
11.637249 97.236 -9.8024
11.721577 97.231 -9.8260
11.806517 97.226 -9.8504
11.892071 97.221 -9.8750
11.978246 97.216 -9.8994
12.065045 97.212 -9.9240
12.152473 97.208 -9.9489
12.240536 97.203 -9.9740
12.329235 97.199 -9.9994
12.418578 97.194 -10.0250
12.508568 97.190 -10.0509
12.599211 97.185 -10.0770
12.690510 97.180 -10.1029
12.782471 97.175 -10.1290
12.875097 97.170 -10.1553
12.968395 97.166 -10.1820
13.062370 97.161 -10.2094
13.157025 97.157 -10.2370
13.252366 97.153 -10.2644
13.348398 97.148 -10.2920
13.445127 97.143 -10.3198
13.542556 97.138 -10.3480
13.640691 97.133 -10.3764
13.739536 97.129 -10.4050
13.839099 97.125 -10.4334
13.939383 97.120 -10.4620
14.040393 97.116 -10.4913
14.142136 97.111 -10.5210
14.244616 97.106 -10.5509
14.347837 97.101 -10.5810
14.451808 97.096 -10.6114
14.556532 97.092 -10.6420
14.662014 97.088 -10.6729
14.768262 97.083 -10.7040
14.875278 97.079 -10.7353
14.983070 97.074 -10.7670
15.091644 97.070 -10.7988
15.201005 97.065 -10.8310
15.311157 97.060 -10.8634
15.422109 97.055 -10.8960
15.533863 97.050 -10.9289
15.646428 97.046 -10.9620
15.759809 97.042 -10.9954
15.874010 97.037 -11.0290
15.989040 97.033 -11.0628
16.104904 97.028 -11.0970
16.221605 97.023 -11.1318
16.339155 97.018 -11.1670
16.457554 97.013 -11.2019
16.576813 97.009 -11.2370
16.696936 97.005 -11.2723
16.817928 97.000 -11.3080
16.939798 96.996 -11.3443
17.062551 96.991 -11.3810
17.186193 96.986 -11.4174
17.310732 96.981 -11.4540
17.436172 96.976 -11.4909
17.562521 96.972 -11.5280
17.689787 96.967 -11.5649
17.817974 96.963 -11.6020
17.947090 96.959 -11.6394
18.077143 96.954 -11.6770
18.208138 96.950 -11.7145
18.340080 96.945 -11.7520
18.472980 96.940 -11.7892
18.606844 96.935 -11.8260
18.741676 96.930 -11.8620
18.877487 96.926 -11.8970
19.014280 96.921 -11.9303
19.152065 96.917 -11.9620
19.290850 96.913 -11.9917
19.430639 96.909 -12.0200
19.571442 96.906 -12.0462
19.713264 96.904 -12.0730
19.856115 96.904 -12.1016
20.000000 96.906 -12.1360
20.144928 96.908 -12.1806
20.290907 96.911 -12.2349
20.437943 96.914 -12.3003
20.586044 96.916 -12.3749
20.735220 96.917 -12.4592
20.885475 96.916 -12.5489
21.036821 96.913 -12.6409
21.189262 96.909 -12.7329
21.342808 96.904 -12.8209
21.497467 96.898 -12.9059
21.653246 96.892 -12.9874
21.810154 96.885 -13.0659
21.968201 96.878 -13.1413
22.127390 96.872 -13.2149
22.287735 96.866 -13.2884
22.449242 96.860 -13.3609
22.611917 96.853 -13.4329
22.775772 96.846 -13.5029
22.940815 96.839 -13.5692
23.107054 96.832 -13.6329
23.274498 96.826 -13.6942
23.443153 96.821 -13.7539
23.613033 96.816 -13.8117
23.784142 96.812 -13.8709
23.956491 96.811 -13.9337
24.130091 96.811 -14.0039
24.304947 96.812 -14.0867
24.481071 96.813 -14.1809
24.658470 96.813 -14.2869
24.837156 96.813 -14.4048
25.017136 96.812 -14.5351
25.198421 96.810 -14.6768
25.381020 96.806 -14.8305
25.564941 96.800 -14.9918
25.750195 96.790 -15.1583
25.936790 96.777 -15.3248
26.124741 96.761 -15.4870
26.314051 96.741 -15.6398
26.504732 96.718 -15.7772
26.696796 96.694 -15.8979
26.890253 96.669 -15.9980
27.085112 96.643 -16.0789
27.281382 96.617 -16.1397
27.479073 96.593 -16.1830
27.678198 96.571 -16.2087
27.878765 96.551 -16.2240
28.080786 96.536 -16.2345
28.284271 96.523 -16.2450
28.489231 96.513 -16.2621
28.695675 96.505 -16.2860
28.903616 96.497 -16.3181
29.113064 96.491 -16.3609
29.324028 96.487 -16.4179
29.536524 96.483 -16.4869
29.750557 96.476 -16.5685
29.966141 96.468 -16.6579
30.183289 96.459 -16.7506
30.402010 96.448 -16.8459
30.622314 96.436 -16.9434
30.844217 96.422 -17.0379
31.067726 96.405 -17.1238
31.292856 96.388 -17.2009
31.519617 96.372 -17.2649
31.748020 96.356 -17.3219
31.978081 96.342 -17.3766
32.209808 96.330 -17.4299
32.443211 96.318 -17.4838
32.678310 96.307 -17.5409
32.915108 96.299 -17.6043
33.153625 96.291 -17.6749
33.393871 96.282 -17.7564
33.635857 96.271 -17.8439
33.879597 96.259 -17.9336
34.125103 96.247 -18.0249
34.372387 96.234 -18.1156
34.621464 96.220 -18.2059
34.872345 96.206 -18.2956
35.125042 96.192 -18.3839
35.379574 96.177 -18.4688
35.635948 96.162 -18.5539
35.894180 96.148 -18.6413
36.154285 96.135 -18.7329
36.416275 96.122 -18.8318
36.680161 96.107 -18.9358
36.945961 96.091 -19.0455
37.213688 96.072 -19.1558
37.483353 96.051 -19.2638
37.754974 96.028 -19.3649
38.028561 96.002 -19.4541
38.304131 95.975 -19.5289
38.581699 95.947 -19.5842
38.861279 95.920 -19.6230
39.142883 95.895 -19.6449
39.426529 95.872 -19.6550
39.712231 95.851 -19.6561
40.000000 95.833 -19.6550
40.289856 95.819 -19.6584
40.581814 95.808 -19.6690
40.875885 95.797 -19.6926
41.172089 95.787 -19.7269
41.470440 95.777 -19.7730
41.770950 95.766 -19.8269
42.073643 95.753 -19.8865
42.378525 95.738 -19.9469
42.685616 95.722 -20.0026
42.994934 95.706 -20.0539
43.306492 95.691 -20.0981
43.620308 95.676 -20.1399
43.936401 95.663 -20.1824
44.254780 95.652 -20.2279
44.575470 95.641 -20.2799
44.898483 95.631 -20.3389
45.223835 95.622 -20.4061
45.551544 95.612 -20.4829
45.881630 95.602 -20.5729
46.214108 95.591 -20.6708
46.548996 95.576 -20.7751
46.886307 95.558 -20.8788
47.226067 95.538 -20.9745
47.568283 95.517 -21.0629
47.912983 95.496 -21.1432
48.260181 95.474 -21.2129
48.609894 95.450 -21.2677
48.962143 95.427 -21.3109
49.316940 95.407 -21.3421
49.674313 95.389 -21.3690
50.034271 95.374 -21.3993
50.396843 95.361 -21.4329
50.762039 95.348 -21.4720
51.129883 95.336 -21.5179
51.500389 95.326 -21.5727
51.873581 95.316 -21.6369
52.249481 95.305 -21.7127
52.628101 95.294 -21.7969
53.009464 95.282 -21.8869
53.393593 95.269 -21.9818
53.780506 95.255 -22.0793
54.170223 95.240 -22.1808
54.562763 95.226 -22.2879
54.958145 95.210 -22.3988
55.356396 95.192 -22.5139
55.757530 95.172 -22.6288
56.161572 95.151 -22.7392
56.568542 95.129 -22.8458
56.978462 95.107 -22.9487
57.391350 95.083 -23.0458
57.807232 95.058 -23.1356
58.226128 95.032 -23.2169
58.648056 95.007 -23.2856
59.073048 94.983 -23.3489
59.501114 94.962 -23.4116
59.932281 94.942 -23.4759
60.366577 94.922 -23.5458
60.804020 94.902 -23.6199
61.244629 94.883 -23.6975
61.688435 94.863 -23.7799
62.135452 94.843 -23.8683
62.585712 94.823 -23.9618
63.039234 94.802 -24.0607
63.496040 94.780 -24.1618
63.956161 94.756 -24.2628
64.419617 94.730 -24.3618
64.886421 94.704 -24.4566
65.356621 94.677 -24.5469
65.830215 94.649 -24.6315
66.307251 94.621 -24.7108
66.787743 94.593 -24.7832
67.271713 94.566 -24.8529
67.759193 94.540 -24.9237
68.250206 94.515 -24.9959
68.744774 94.488 -25.0712
69.242928 94.461 -25.1479
69.744690 94.434 -25.2240
70.250084 94.407 -25.3009
70.759148 94.380 -25.3802
71.271896 94.351 -25.4589
71.788361 94.320 -25.5354
72.308571 94.288 -25.6069
72.832550 94.256 -25.6690
73.360321 94.224 -25.7249
73.891922 94.193 -25.7765
74.427376 94.162 -25.8239
74.966705 94.131 -25.8670
75.509949 94.101 -25.9089
76.057121 94.073 -25.9525
76.608261 94.046 -25.9989
77.163399 94.018 -26.0509
77.722557 93.989 -26.1069
78.285767 93.961 -26.1661
