* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED 5128_L_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:28:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED 5128_L_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: RED 5128_L_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 89.201 -2.6090
5.036232 89.201 -2.6162
5.072727 89.201 -2.6240
5.109486 89.201 -2.6333
5.146511 89.200 -2.6440
5.183805 89.200 -2.6564
5.221369 89.200 -2.6700
5.259205 89.200 -2.6846
5.297316 89.199 -2.7000
5.335702 89.199 -2.7162
5.374367 89.199 -2.7330
5.413311 89.199 -2.7499
5.452538 89.198 -2.7670
5.492050 89.197 -2.7839
5.531847 89.197 -2.8010
5.571934 89.197 -2.8184
5.612310 89.197 -2.8360
5.652979 89.197 -2.8534
5.693943 89.196 -2.8710
5.735204 89.195 -2.8889
5.776763 89.195 -2.9070
5.818624 89.195 -2.9249
5.860788 89.195 -2.9430
5.903258 89.195 -2.9614
5.946035 89.194 -2.9800
5.989123 89.194 -2.9989
6.032523 89.194 -3.0180
6.076237 89.194 -3.0370
6.120268 89.193 -3.0560
6.164618 89.192 -3.0749
6.209289 89.192 -3.0940
6.254284 89.192 -3.1139
6.299605 89.192 -3.1340
6.345255 89.192 -3.1534
6.391235 89.191 -3.1730
6.437549 89.191 -3.1934
6.484198 89.191 -3.2140
6.531185 89.191 -3.2344
6.578513 89.190 -3.2550
6.626183 89.189 -3.2759
6.674199 89.189 -3.2970
6.722563 89.189 -3.3179
6.771278 89.189 -3.3390
6.820345 89.189 -3.3604
6.869768 89.188 -3.3820
6.919549 89.188 -3.4034
6.969691 89.188 -3.4250
7.020196 89.188 -3.4474
7.071068 89.187 -3.4700
7.122308 89.186 -3.4925
7.173919 89.186 -3.5150
7.225904 89.186 -3.5374
7.278266 89.186 -3.5600
7.331007 89.186 -3.5834
7.384131 89.185 -3.6070
7.437639 89.185 -3.6304
7.491535 89.185 -3.6540
7.545822 89.185 -3.6779
7.600502 89.184 -3.7020
7.655579 89.183 -3.7259
7.711054 89.183 -3.7500
7.766932 89.183 -3.7749
7.823214 89.183 -3.8000
7.879904 89.183 -3.8249
7.937005 89.182 -3.8500
7.994520 89.182 -3.8754
8.052452 89.182 -3.9010
8.110803 89.182 -3.9269
8.169578 89.181 -3.9530
8.228777 89.180 -3.9789
8.288406 89.180 -4.0050
8.348468 89.180 -4.0319
8.408964 89.180 -4.0590
8.469899 89.180 -4.0859
8.531276 89.179 -4.1130
8.593097 89.179 -4.1404
8.655366 89.179 -4.1680
8.718086 89.179 -4.1959
8.781260 89.178 -4.2240
8.844893 89.177 -4.2524
8.908987 89.177 -4.2810
8.973545 89.177 -4.3099
9.038571 89.177 -4.3390
9.104069 89.177 -4.3679
9.170040 89.176 -4.3970
9.236490 89.175 -4.4268
9.303422 89.175 -4.4570
9.370838 89.175 -4.4874
9.438744 89.175 -4.5180
9.507140 89.175 -4.5489
9.576033 89.174 -4.5800
9.645425 89.174 -4.6109
9.715320 89.174 -4.6420
9.785721 89.174 -4.6738
9.856632 89.173 -4.7060
9.928058 89.172 -4.7384
10.000000 89.172 -4.7710
10.072464 89.172 -4.8038
10.145453 89.172 -4.8370
10.218971 89.172 -4.8704
10.293022 89.171 -4.9040
10.367610 89.171 -4.9379
10.442738 89.171 -4.9720
10.518411 89.171 -5.0063
10.594631 89.170 -5.0410
10.671404 89.169 -5.0764
10.748734 89.169 -5.1120
10.826623 89.169 -5.1474
10.905077 89.169 -5.1830
10.984100 89.169 -5.2193
11.063695 89.168 -5.2560
11.143867 89.168 -5.2928
11.224621 89.168 -5.3300
11.305959 89.168 -5.3678
11.387886 89.167 -5.4060
11.470407 89.166 -5.4444
11.553527 89.166 -5.4830
11.637249 89.166 -5.5219
11.721577 89.166 -5.5610
11.806517 89.166 -5.6003
11.892071 89.165 -5.6400
11.978246 89.165 -5.6802
12.065045 89.165 -5.7210
12.152473 89.165 -5.7623
12.240536 89.164 -5.8040
12.329235 89.163 -5.8458
12.418578 89.163 -5.8880
12.508568 89.163 -5.9308
12.599211 89.163 -5.9740
12.690510 89.163 -6.0173
12.782471 89.162 -6.0610
12.875097 89.162 -6.1052
12.968395 89.162 -6.1500
13.062370 89.162 -6.1953
13.157025 89.161 -6.2410
13.252366 89.160 -6.2868
13.348398 89.160 -6.3330
13.445127 89.160 -6.3797
13.542556 89.160 -6.4269
13.640691 89.160 -6.4747
13.739536 89.159 -6.5230
13.839099 89.159 -6.5722
13.939383 89.159 -6.6220
14.040393 89.159 -6.6718
14.142136 89.158 -6.7220
14.244616 89.157 -6.7727
14.347837 89.157 -6.8240
14.451808 89.157 -6.8762
14.556532 89.157 -6.9290
14.662014 89.157 -6.9822
14.768262 89.156 -7.0359
14.875278 89.155 -7.0901
14.983070 89.155 -7.1449
15.091644 89.155 -7.2011
15.201005 89.155 -7.2580
15.311157 89.155 -7.3151
15.422109 89.154 -7.3730
15.533863 89.154 -7.4316
15.646428 89.154 -7.4910
15.759809 89.154 -7.5510
15.874010 89.153 -7.6120
15.989040 89.152 -7.6740
16.104904 89.152 -7.7369
16.221605 89.152 -7.8005
16.339155 89.152 -7.8649
16.457554 89.152 -7.9305
16.576813 89.151 -7.9970
16.696936 89.151 -8.0639
16.817928 89.151 -8.1320
16.939798 89.151 -8.2018
17.062551 89.150 -8.2729
17.186193 89.149 -8.3447
17.310732 89.149 -8.4180
17.436172 89.149 -8.4932
17.562521 89.149 -8.5699
17.689787 89.149 -8.6476
17.817974 89.148 -8.7269
17.947090 89.148 -8.8083
18.077143 89.148 -8.8920
18.208138 89.148 -8.9782
18.340080 89.147 -9.0669
18.472980 89.146 -9.1579
18.606844 89.146 -9.2519
18.741676 89.146 -9.3497
18.877487 89.146 -9.4519
19.014280 89.146 -9.5591
19.152065 89.145 -9.6729
19.290850 89.145 -9.7949
19.430639 89.144 -9.9259
19.571442 89.142 -10.0674
19.713264 89.138 -10.2178
19.856115 89.132 -10.3783
20.000000 89.122 -10.5428
20.144928 89.109 -10.7083
20.290907 89.091 -10.8669
20.437943 89.069 -11.0114
20.586044 89.043 -11.1369
20.735220 89.015 -11.2367
20.885475 88.985 -11.3089
21.036821 88.955 -11.3478
21.189262 88.926 -11.3580
21.342808 88.900 -11.3395
21.497467 88.877 -11.3001
21.653246 88.859 -11.2454
21.810154 88.844 -11.1811
21.968201 88.833 -11.1138
22.127390 88.826 -11.0461
22.287735 88.822 -10.9832
22.449242 88.821 -10.9240
22.611917 88.821 -10.8694
22.775772 88.822 -10.8181
22.940815 88.826 -10.7679
23.107054 88.832 -10.7221
23.274498 88.842 -10.6807
23.443153 88.855 -10.6500
23.613033 88.871 -10.6345
23.784142 88.891 -10.6400
23.956491 88.914 -10.6732
24.130091 88.939 -10.7359
24.304947 88.963 -10.8335
24.481071 88.985 -10.9618
24.658470 89.005 -11.1207
24.837156 89.021 -11.3037
25.017136 89.033 -11.5084
25.198421 89.039 -11.7228
25.381020 89.038 -11.9366
25.564941 89.033 -12.1428
25.750195 89.025 -12.3305
25.936790 89.014 -12.5018
26.124741 89.002 -12.6537
26.314051 88.991 -12.7908
26.504732 88.981 -12.9142
26.696796 88.973 -13.0309
26.890253 88.967 -13.1471
27.085112 88.963 -13.2659
27.281382 88.959 -13.3928
27.479073 88.955 -13.5258
27.678198 88.950 -13.6654
27.878765 88.944 -13.8098
28.080786 88.937 -13.9587
28.284271 88.928 -14.1088
28.489231 88.918 -14.2571
28.695675 88.906 -14.4018
28.903616 88.893 -14.5401
29.113064 88.879 -14.6728
29.324028 88.865 -14.7989
29.536524 88.851 -14.9209
29.750557 88.838 -15.0415
29.966141 88.824 -15.1589
30.183289 88.809 -15.2726
30.402010 88.793 -15.3809
30.622314 88.777 -15.4808
30.844217 88.762 -15.5749
31.067726 88.747 -15.6648
31.292856 88.733 -15.7499
31.519617 88.718 -15.8311
31.748020 88.703 -15.9059
31.978081 88.689 -15.9714
32.209808 88.675 -16.0299
32.443211 88.663 -16.0822
32.678310 88.653 -16.1299
32.915108 88.644 -16.1737
33.153625 88.637 -16.2169
33.393871 88.634 -16.2604
33.635857 88.634 -16.3129
33.879597 88.638 -16.3828
34.125103 88.643 -16.4719
34.372387 88.648 -16.5858
34.621464 88.653 -16.7208
34.872345 88.656 -16.8767
35.125042 88.657 -17.0488
35.379574 88.655 -17.2341
35.635948 88.650 -17.4268
35.894180 88.641 -17.6206
36.154285 88.629 -17.8137
36.416275 88.617 -18.0023
36.680161 88.603 -18.1867
36.945961 88.586 -18.3659
37.213688 88.568 -18.5397
37.483353 88.551 -18.7072
37.754974 88.533 -18.8708
38.028561 88.514 -19.0346
38.304131 88.493 -19.1928
38.581699 88.469 -19.3415
38.861279 88.444 -19.4788
39.142883 88.420 -19.5996
39.426529 88.396 -19.7089
39.712231 88.374 -19.8091
40.000000 88.354 -19.9029
40.289856 88.334 -19.9928
40.581814 88.315 -20.0809
40.875885 88.299 -20.1677
41.172089 88.285 -20.2599
41.470440 88.272 -20.3650
41.770950 88.260 -20.4808
42.073643 88.246 -20.6092
42.378525 88.231 -20.7448
42.685616 88.214 -20.8836
42.994934 88.195 -21.0238
43.306492 88.175 -21.1632
43.620308 88.154 -21.2998
43.936401 88.131 -21.4315
44.254780 88.106 -21.5558
44.575470 88.080 -21.6686
44.898483 88.054 -21.7718
45.223835 88.028 -21.8659
45.551544 88.003 -21.9509
45.881630 87.978 -22.0262
46.214108 87.953 -22.0939
46.548996 87.930 -22.1555
46.886307 87.909 -22.2119
47.226067 87.888 -22.2645
47.568283 87.869 -22.3139
47.912983 87.851 -22.3594
48.260181 87.835 -22.4059
48.609894 87.822 -22.4571
48.962143 87.811 -22.5159
49.316940 87.801 -22.5869
49.674313 87.792 -22.6689
50.034271 87.783 -22.7625
50.396843 87.773 -22.8668
50.762039 87.763 -22.9809
51.129883 87.753 -23.1048
51.500389 87.742 -23.2389
51.873581 87.730 -23.3808
52.249481 87.716 -23.5279
52.628101 87.701 -23.6797
53.009464 87.685 -23.8352
53.393593 87.667 -23.9927
53.780506 87.647 -24.1519
54.170223 87.626 -24.3087
54.562763 87.602 -24.4594
54.958145 87.577 -24.6028
55.356396 87.552 -24.7359
55.757530 87.526 -24.8598
56.161572 87.501 -24.9735
56.568542 87.476 -25.0798
56.978462 87.453 -25.1785
57.391350 87.432 -25.2778
57.807232 87.416 -25.3842
58.226128 87.401 -25.5038
58.648056 87.387 -25.6470
59.073048 87.372 -25.8067
59.501114 87.353 -25.9814
59.932281 87.331 -26.1647
60.366577 87.307 -26.3520
60.804020 87.279 -26.5367
61.244629 87.246 -26.7120
61.688435 87.211 -26.8737
62.135452 87.174 -27.0134
62.585712 87.138 -27.1368
63.039234 87.104 -27.2453
63.496040 87.071 -27.3438
63.956161 87.039 -27.4359
64.419617 87.010 -27.5268
64.886421 86.984 -27.6221
65.356621 86.960 -27.7248
65.830215 86.935 -27.8418
66.307251 86.910 -27.9677
66.787743 86.883 -28.1009
67.271713 86.854 -28.2377
67.759193 86.824 -28.3747
68.250206 86.792 -28.5098
68.744774 86.758 -28.6398
69.242928 86.724 -28.7648
69.744690 86.690 -28.8829
70.250084 86.655 -28.9958
70.759148 86.621 -29.1042
71.271896 86.587 -29.2088
71.788361 86.553 -29.3097
72.308571 86.520 -29.4098
72.832550 86.488 -29.5119
73.360321 86.456 -29.6168
73.891922 86.424 -29.7263
74.427376 86.392 -29.8398
74.966705 86.359 -29.9578
75.509949 86.326 -30.0788
76.057121 86.291 -30.2008
76.608261 86.256 -30.3248
77.163399 86.221 -30.4514
77.722557 86.184 -30.5787
78.285767 86.145 -30.7059
78.853058 86.105 -30.8307
79.424461 86.063 -30.9508
