* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED 5128_R_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:28:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED 5128_R_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: RED 5128_R_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.086 4.7070
5.036232 88.088 4.6979
5.072727 88.091 4.6880
5.109486 88.094 4.6764
5.146511 88.097 4.6630
5.183805 88.101 4.6473
5.221369 88.105 4.6300
5.259205 88.110 4.6120
5.297316 88.115 4.5930
5.335702 88.120 4.5728
5.374367 88.125 4.5520
5.413311 88.130 4.5311
5.452538 88.135 4.5100
5.492050 88.140 4.4890
5.531847 88.145 4.4680
5.571934 88.150 4.4471
5.612310 88.156 4.4260
5.652979 88.161 4.4046
5.693943 88.166 4.3830
5.735204 88.171 4.3611
5.776763 88.176 4.3390
5.818624 88.181 4.3166
5.860788 88.187 4.2940
5.903258 88.192 4.2715
5.946035 88.197 4.2490
5.989123 88.202 4.2266
6.032523 88.207 4.2040
6.076237 88.212 4.1806
6.120268 88.217 4.1570
6.164618 88.222 4.1336
6.209289 88.228 4.1100
6.254284 88.233 4.0861
6.299605 88.238 4.0620
6.345255 88.243 4.0381
6.391235 88.248 4.0140
6.437549 88.254 3.9896
6.484198 88.259 3.9650
6.531185 88.264 3.9401
6.578513 88.269 3.9150
6.626183 88.274 3.8896
6.674199 88.279 3.8640
6.722563 88.284 3.8386
6.771278 88.289 3.8130
6.820345 88.295 3.7871
6.869768 88.300 3.7610
6.919549 88.305 3.7346
6.969691 88.310 3.7080
7.020196 88.315 3.6811
7.071068 88.320 3.6540
7.122308 88.325 3.6266
7.173919 88.330 3.5990
7.225904 88.336 3.5716
7.278266 88.341 3.5440
7.331007 88.346 3.5161
7.384131 88.351 3.4880
7.437639 88.356 3.4596
7.491535 88.361 3.4310
7.545822 88.367 3.4021
7.600502 88.372 3.3730
7.655579 88.377 3.3441
7.711054 88.382 3.3150
7.766932 88.387 3.2851
7.823214 88.392 3.2550
7.879904 88.397 3.2251
7.937005 88.402 3.1950
7.994520 88.408 3.1647
8.052452 88.413 3.1340
8.110803 88.418 3.1026
8.169578 88.423 3.0710
8.228777 88.428 3.0396
8.288406 88.433 3.0080
8.348468 88.438 2.9761
8.408964 88.444 2.9440
8.469899 88.449 2.9116
8.531276 88.454 2.8790
8.593097 88.459 2.8461
8.655366 88.464 2.8130
8.718086 88.469 2.7796
8.781260 88.474 2.7460
8.844893 88.479 2.7126
8.908987 88.485 2.6790
8.973545 88.490 2.6447
9.038571 88.495 2.6100
9.104069 88.500 2.5751
9.170040 88.505 2.5400
9.236490 88.510 2.5046
9.303422 88.515 2.4690
9.370838 88.521 2.4332
9.438744 88.526 2.3970
9.507140 88.531 2.3601
9.576033 88.536 2.3230
9.645425 88.541 2.2861
9.715320 88.546 2.2490
9.785721 88.551 2.2117
9.856632 88.557 2.1740
9.928058 88.562 2.1356
10.000000 88.567 2.0970
10.072464 88.572 2.0587
10.145453 88.577 2.0200
10.218971 88.582 1.9807
10.293022 88.587 1.9410
10.367610 88.592 1.9011
10.442738 88.598 1.8610
10.518411 88.603 1.8206
10.594631 88.608 1.7800
10.671404 88.613 1.7392
10.748734 88.618 1.6980
10.826623 88.623 1.6562
10.905077 88.629 1.6140
10.984100 88.634 1.5717
11.063695 88.639 1.5290
11.143867 88.644 1.4861
11.224621 88.649 1.4430
11.305959 88.654 1.3996
11.387886 88.659 1.3560
11.470407 88.664 1.3122
11.553527 88.670 1.2680
11.637249 88.675 1.2233
11.721577 88.680 1.1780
11.806517 88.685 1.1322
11.892071 88.690 1.0860
11.978246 88.695 1.0401
12.065045 88.700 0.9940
12.152473 88.705 0.9472
12.240536 88.711 0.9000
12.329235 88.716 0.8527
12.418578 88.721 0.8050
12.508568 88.726 0.7567
12.599211 88.731 0.7080
12.690510 88.736 0.6592
12.782471 88.742 0.6100
12.875097 88.747 0.5607
12.968395 88.752 0.5110
13.062370 88.757 0.4607
13.157025 88.762 0.4100
13.252366 88.767 0.3592
13.348398 88.772 0.3080
13.445127 88.777 0.2567
13.542556 88.783 0.2051
13.640691 88.788 0.1527
13.739536 88.793 0.1000
13.839099 88.798 0.0472
13.939383 88.803 -0.0060
14.040393 88.809 -0.0598
14.142136 88.814 -0.1140
14.244616 88.819 -0.1684
14.347837 88.824 -0.2230
14.451808 88.829 -0.2778
14.556532 88.834 -0.3330
14.662014 88.839 -0.3888
14.768262 88.844 -0.4449
14.875278 88.849 -0.5012
14.983070 88.855 -0.5579
15.091644 88.860 -0.6153
15.201005 88.865 -0.6730
15.311157 88.870 -0.7303
15.422109 88.875 -0.7880
15.533863 88.880 -0.8463
15.646428 88.885 -0.9050
15.759809 88.891 -0.9639
15.874010 88.896 -1.0230
15.989040 88.901 -1.0819
16.104904 88.906 -1.1410
16.221605 88.911 -1.2004
16.339155 88.916 -1.2599
16.457554 88.921 -1.3194
16.576813 88.927 -1.3790
16.696936 88.932 -1.4385
16.817928 88.937 -1.4980
16.939798 88.942 -1.5570
17.062551 88.947 -1.6159
17.186193 88.952 -1.6751
17.310732 88.957 -1.7340
17.436172 88.963 -1.7918
17.562521 88.968 -1.8490
17.689787 88.973 -1.9054
17.817974 88.978 -1.9609
17.947090 88.983 -2.0156
18.077143 88.988 -2.0690
18.208138 88.993 -2.1206
18.340080 88.999 -2.1699
18.472980 89.004 -2.2167
18.606844 89.009 -2.2600
18.741676 89.014 -2.2999
18.877487 89.019 -2.3340
19.014280 89.024 -2.3600
19.152065 89.029 -2.3770
19.290850 89.036 -2.3834
19.430639 89.044 -2.3790
19.571442 89.054 -2.3612
19.713264 89.068 -2.3360
19.856115 89.087 -2.3048
20.000000 89.111 -2.2790
20.144928 89.142 -2.2688
20.290907 89.178 -2.2790
20.437943 89.216 -2.3175
20.586044 89.256 -2.3859
20.735220 89.299 -2.4881
20.885475 89.344 -2.6258
21.036821 89.388 -2.8041
21.189262 89.430 -3.0167
21.342808 89.468 -3.2608
21.497467 89.503 -3.5316
21.653246 89.535 -3.8232
21.810154 89.565 -4.1366
21.968201 89.592 -4.4717
22.127390 89.615 -4.8266
22.287735 89.634 -5.2014
22.449242 89.647 -5.5897
22.611917 89.654 -5.9879
22.775772 89.654 -6.3875
22.940815 89.648 -6.7820
23.107054 89.635 -7.1625
23.274498 89.616 -7.5194
23.443153 89.593 -7.8486
23.613033 89.566 -8.1418
23.784142 89.537 -8.4018
23.956491 89.510 -8.6259
24.130091 89.484 -8.8228
24.304947 89.461 -8.9972
24.481071 89.441 -9.1578
24.658470 89.425 -9.3132
24.837156 89.411 -9.4688
25.017136 89.400 -9.6332
25.198421 89.389 -9.8048
25.381020 89.377 -9.9871
25.564941 89.364 -10.1738
25.750195 89.348 -10.3614
25.936790 89.330 -10.5448
26.124741 89.310 -10.7183
26.314051 89.288 -10.8798
26.504732 89.265 -11.0251
26.696796 89.241 -11.1539
26.890253 89.218 -11.2628
27.085112 89.196 -11.3559
27.281382 89.177 -11.4341
27.479073 89.161 -11.5029
27.678198 89.147 -11.5672
27.878765 89.136 -11.6299
28.080786 89.127 -11.6955
28.284271 89.120 -11.7649
28.489231 89.115 -11.8399
28.695675 89.111 -11.9219
28.903616 89.109 -12.0126
29.113064 89.108 -12.1129
29.324028 89.107 -12.2245
29.536524 89.106 -12.3469
29.750557 89.105 -12.4800
29.966141 89.104 -12.6228
30.183289 89.102 -12.7758
30.402010 89.098 -12.9348
30.622314 89.092 -13.0977
30.844217 89.083 -13.2588
31.067726 89.073 -13.4122
31.292856 89.061 -13.5558
31.519617 89.049 -13.6853
31.748020 89.037 -13.8019
31.978081 89.026 -13.9019
32.209808 89.019 -13.9949
32.443211 89.018 -14.0850
32.678310 89.022 -14.1849
32.915108 89.030 -14.3065
33.153625 89.041 -14.4558
33.393871 89.054 -14.6435
33.635857 89.067 -14.8676
33.879597 89.077 -15.1338
34.125103 89.082 -15.4306
34.372387 89.080 -15.7535
34.621464 89.070 -16.0875
34.872345 89.052 -16.4202
35.125042 89.027 -16.7396
35.379574 88.995 -17.0296
35.635948 88.959 -17.2897
35.894180 88.922 -17.5117
36.154285 88.885 -17.7027
36.416275 88.850 -17.8655
36.680161 88.816 -18.0058
36.945961 88.786 -18.1282
37.213688 88.758 -18.2398
37.483353 88.734 -18.3483
37.754974 88.712 -18.4568
38.028561 88.692 -18.5728
38.304131 88.672 -18.6918
38.581699 88.651 -18.8122
38.861279 88.631 -18.9338
39.142883 88.612 -19.0557
39.426529 88.593 -19.1788
39.712231 88.574 -19.3043
40.000000 88.555 -19.4308
40.289856 88.537 -19.5568
40.581814 88.519 -19.6848
40.875885 88.502 -19.8171
41.172089 88.484 -19.9528
41.470440 88.466 -20.0927
41.770950 88.448 -20.2348
42.073643 88.429 -20.3768
42.378525 88.409 -20.5198
42.685616 88.390 -20.6647
42.994934 88.370 -20.8098
43.306492 88.349 -20.9540
43.620308 88.327 -21.0968
43.936401 88.305 -21.2364
44.254780 88.284 -21.3748
44.575470 88.263 -21.5129
44.898483 88.242 -21.6518
45.223835 88.221 -21.7930
45.551544 88.200 -21.9358
45.881630 88.178 -22.0803
46.214108 88.156 -22.2258
46.548996 88.133 -22.3715
46.886307 88.110 -22.5178
47.226067 88.087 -22.6653
47.568283 88.063 -22.8128
47.912983 88.038 -22.9591
48.260181 88.012 -23.1038
48.609894 87.986 -23.2456
48.962143 87.959 -23.3848
49.316940 87.932 -23.5212
49.674313 87.905 -23.6548
50.034271 87.878 -23.7855
50.396843 87.850 -23.9138
50.762039 87.822 -24.0402
51.129883 87.794 -24.1648
51.500389 87.766 -24.2879
51.873581 87.738 -24.4088
52.249481 87.710 -24.5269
52.628101 87.681 -24.6428
53.009464 87.653 -24.7567
53.393593 87.625 -24.8688
53.780506 87.597 -24.9796
54.170223 87.568 -25.0888
54.562763 87.540 -25.1961
54.958145 87.511 -25.3018
55.356396 87.483 -25.4065
55.757530 87.454 -25.5098
56.161572 87.425 -25.6115
56.568542 87.397 -25.7118
56.978462 87.369 -25.8112
57.391350 87.341 -25.9098
57.807232 87.313 -26.0076
58.226128 87.285 -26.1058
58.648056 87.258 -26.2055
59.073048 87.232 -26.3078
59.501114 87.206 -26.4149
59.932281 87.179 -26.5258
60.366577 87.152 -26.6405
60.804020 87.124 -26.7578
61.244629 87.095 -26.8768
61.688435 87.066 -26.9968
62.135452 87.036 -27.1175
62.585712 87.004 -27.2368
63.039234 86.971 -27.3520
63.496040 86.938 -27.4638
63.956161 86.905 -27.5715
64.419617 86.871 -27.6768
64.886421 86.837 -27.7816
65.356621 86.803 -27.8848
65.830215 86.768 -27.9864
66.307251 86.733 -28.0848
66.787743 86.697 -28.1791
67.271713 86.660 -28.2678
67.759193 86.623 -28.3495
68.250206 86.585 -28.4229
68.744774 86.547 -28.4856
69.242928 86.509 -28.5399
69.744690 86.474 -28.5856
70.250084 86.440 -28.6279
70.759148 86.409 -28.6712
71.271896 86.379 -28.7179
71.788361 86.351 -28.7712
72.308571 86.323 -28.8329
72.832550 86.297 -28.9059
73.360321 86.270 -28.9898
73.891922 86.242 -29.0872
74.427376 86.213 -29.1928
74.966705 86.181 -29.3030
75.509949 86.148 -29.4158
76.057121 86.114 -29.5279
76.608261 86.079 -29.6388
77.163399 86.041 -29.7477
77.722557 86.002 -29.8528
78.285767 85.963 -29.9516
78.853058 85.923 -30.0458
79.424461 85.883 -30.1366
80.000000 85.842 -30.2238
80.579712 85.800 -30.3085
81.163628 85.758 -30.3889
81.751770 85.715 -30.4633
82.344177 85.672 -30.5329
82.940880 85.630 -30.5979
83.541901 85.587 -30.6589
84.147285 85.544 -30.7163
84.757050 85.500 -30.7699
85.371231 85.456 -30.8192
