* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\K371 5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:30:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\K371 5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: K371 5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 97.394 -7.5500
5.036232 97.393 -7.5591
5.072727 97.391 -7.5690
5.109486 97.389 -7.5806
5.146511 97.387 -7.5940
5.183805 97.385 -7.6101
5.221369 97.382 -7.6280
5.259205 97.379 -7.6469
5.297316 97.376 -7.6670
5.335702 97.373 -7.6882
5.374367 97.369 -7.7100
5.413311 97.366 -7.7319
5.452538 97.363 -7.7540
5.492050 97.360 -7.7764
5.531847 97.356 -7.7990
5.571934 97.353 -7.8214
5.612310 97.350 -7.8440
5.652979 97.347 -7.8669
5.693943 97.343 -7.8900
5.735204 97.340 -7.9134
5.776763 97.337 -7.9370
5.818624 97.334 -7.9609
5.860788 97.330 -7.9850
5.903258 97.326 -8.0089
5.946035 97.323 -8.0330
5.989123 97.320 -8.0574
6.032523 97.317 -8.0820
6.076237 97.313 -8.1069
6.120268 97.310 -8.1320
6.164618 97.307 -8.1569
6.209289 97.304 -8.1820
6.254284 97.300 -8.2079
6.299605 97.297 -8.2340
6.345255 97.294 -8.2600
6.391235 97.291 -8.2860
6.437549 97.288 -8.3119
6.484198 97.284 -8.3380
6.531185 97.280 -8.3648
6.578513 97.277 -8.3920
6.626183 97.274 -8.4194
6.674199 97.271 -8.4470
6.722563 97.268 -8.4744
6.771278 97.264 -8.5020
6.820345 97.261 -8.5298
6.869768 97.258 -8.5580
6.919549 97.255 -8.5869
6.969691 97.251 -8.6160
7.020196 97.248 -8.6450
7.071068 97.245 -8.6740
7.122308 97.242 -8.7029
7.173919 97.238 -8.7320
7.225904 97.235 -8.7618
7.278266 97.232 -8.7920
7.331007 97.229 -8.8224
7.384131 97.225 -8.8530
7.437639 97.221 -8.8839
7.491535 97.218 -8.9150
7.545822 97.215 -8.9459
7.600502 97.212 -8.9770
7.655579 97.209 -9.0088
7.711054 97.205 -9.0410
7.766932 97.202 -9.0734
7.823214 97.199 -9.1060
7.879904 97.196 -9.1384
7.937005 97.192 -9.1710
7.994520 97.189 -9.2043
8.052452 97.186 -9.2380
8.110803 97.183 -9.2719
8.169578 97.179 -9.3060
8.228777 97.176 -9.3404
8.288406 97.173 -9.3750
8.348468 97.170 -9.4099
8.408964 97.166 -9.4450
8.469899 97.162 -9.4804
8.531276 97.159 -9.5160
8.593097 97.156 -9.5519
8.655366 97.153 -9.5880
8.718086 97.150 -9.6243
8.781260 97.146 -9.6610
8.844893 97.143 -9.6983
8.908987 97.140 -9.7360
8.973545 97.137 -9.7739
9.038571 97.133 -9.8120
9.104069 97.130 -9.8504
9.170040 97.127 -9.8890
9.236490 97.124 -9.9278
9.303422 97.120 -9.9670
9.370838 97.117 -10.0069
9.438744 97.114 -10.0470
9.507140 97.111 -10.0868
9.576033 97.107 -10.1270
9.645425 97.103 -10.1683
9.715320 97.100 -10.2100
9.785721 97.097 -10.2514
9.856632 97.094 -10.2930
9.928058 97.090 -10.3353
10.000000 97.087 -10.3780
10.072464 97.084 -10.4208
10.145453 97.081 -10.4640
10.218971 97.077 -10.5078
10.293022 97.074 -10.5520
10.367610 97.071 -10.5963
10.442738 97.068 -10.6410
10.518411 97.065 -10.6863
10.594631 97.061 -10.7320
10.671404 97.057 -10.7778
10.748734 97.054 -10.8240
10.826623 97.051 -10.8708
10.905077 97.048 -10.9180
10.984100 97.045 -10.9653
11.063695 97.041 -11.0130
11.143867 97.038 -11.0612
11.224621 97.035 -11.1100
11.305959 97.032 -11.1593
11.387886 97.028 -11.2090
11.470407 97.025 -11.2588
11.553527 97.022 -11.3090
11.637249 97.019 -11.3597
11.721577 97.015 -11.4110
11.806517 97.012 -11.4627
11.892071 97.009 -11.5149
11.978246 97.006 -11.5678
12.065045 97.002 -11.6210
12.152473 96.998 -11.6742
12.240536 96.995 -11.7280
12.329235 96.992 -11.7827
12.418578 96.989 -11.8380
12.508568 96.986 -11.8932
12.599211 96.982 -11.9490
12.690510 96.979 -12.0057
12.782471 96.976 -12.0629
12.875097 96.973 -12.1202
12.968395 96.969 -12.1780
13.062370 96.966 -12.2367
13.157025 96.963 -12.2960
13.252366 96.960 -12.3552
13.348398 96.956 -12.4150
13.445127 96.953 -12.4756
13.542556 96.950 -12.5369
13.640691 96.947 -12.5986
13.739536 96.943 -12.6610
13.839099 96.939 -12.7241
13.939383 96.936 -12.7879
14.040393 96.933 -12.8522
14.142136 96.930 -12.9170
14.244616 96.926 -12.9822
14.347837 96.923 -13.0480
14.451808 96.920 -13.1147
14.556532 96.917 -13.1820
14.662014 96.914 -13.2496
14.768262 96.910 -13.3179
14.875278 96.907 -13.3870
14.983070 96.904 -13.4569
15.091644 96.901 -13.5281
15.201005 96.897 -13.5999
15.311157 96.894 -13.6716
15.422109 96.891 -13.7439
15.533863 96.888 -13.8175
15.646428 96.884 -13.8920
15.759809 96.880 -13.9671
15.874010 96.877 -14.0429
15.989040 96.874 -14.1195
16.104904 96.871 -14.1969
16.221605 96.868 -14.2755
16.339155 96.864 -14.3549
16.457554 96.861 -14.4345
16.576813 96.858 -14.5149
16.696936 96.854 -14.5965
16.817928 96.851 -14.6789
16.939798 96.848 -14.7620
17.062551 96.845 -14.8459
17.186193 96.842 -14.9310
17.310732 96.838 -15.0169
17.436172 96.834 -15.1035
17.562521 96.831 -15.1909
17.689787 96.828 -15.2794
17.817974 96.825 -15.3689
17.947090 96.822 -15.4595
18.077143 96.818 -15.5509
18.208138 96.815 -15.6429
18.340080 96.812 -15.7359
18.472980 96.809 -15.8304
18.606844 96.805 -15.9259
18.741676 96.802 -16.0219
18.877487 96.799 -16.1189
19.014280 96.796 -16.2174
19.152065 96.792 -16.3169
19.290850 96.789 -16.4169
19.430639 96.786 -16.5179
19.571442 96.783 -16.6205
19.713264 96.779 -16.7239
19.856115 96.775 -16.8276
20.000000 96.772 -16.9319
20.144928 96.769 -17.0367
20.290907 96.766 -17.1419
20.437943 96.763 -17.2472
20.586044 96.760 -17.3529
20.735220 96.757 -17.4593
20.885475 96.755 -17.5659
21.036821 96.753 -17.6721
21.189262 96.751 -17.7789
21.342808 96.750 -17.8866
21.497467 96.750 -17.9959
21.653246 96.750 -18.1063
21.810154 96.752 -18.2208
21.968201 96.755 -18.3413
22.127390 96.760 -18.4708
22.287735 96.766 -18.6136
22.449242 96.772 -18.7689
22.611917 96.777 -18.9377
22.775772 96.782 -19.1198
22.940815 96.787 -19.3156
23.107054 96.791 -19.5237
23.274498 96.792 -19.7447
23.443153 96.791 -19.9727
23.613033 96.787 -20.2017
23.784142 96.781 -20.4318
23.956491 96.775 -20.6610
24.130091 96.767 -20.8887
24.304947 96.757 -21.1139
24.481071 96.746 -21.3357
24.658470 96.735 -21.5516
24.837156 96.724 -21.7657
25.017136 96.715 -21.9814
25.198421 96.705 -22.1988
25.381020 96.694 -22.4198
25.564941 96.682 -22.6418
25.750195 96.670 -22.8620
25.936790 96.658 -23.0827
26.124741 96.646 -23.3059
26.314051 96.634 -23.5307
26.504732 96.621 -23.7563
26.696796 96.609 -23.9847
26.890253 96.598 -24.2160
27.085112 96.587 -24.4547
27.281382 96.577 -24.7051
27.479073 96.566 -24.9676
27.678198 96.555 -25.2444
27.878765 96.543 -25.5346
28.080786 96.529 -25.8393
28.284271 96.513 -26.1556
28.489231 96.493 -26.4827
28.695675 96.470 -26.8155
28.903616 96.443 -27.1501
29.113064 96.412 -27.4815
29.324028 96.377 -27.8041
29.536524 96.340 -28.1166
29.750557 96.301 -28.4161
29.966141 96.260 -28.7027
30.183289 96.218 -28.9748
30.402010 96.175 -29.2347
30.622314 96.132 -29.4830
30.844217 96.089 -29.7227
31.067726 96.047 -29.9570
31.292856 96.005 -30.1867
31.519617 95.963 -30.4128
31.748020 95.921 -30.6377
31.978081 95.880 -30.8638
32.209808 95.838 -31.0917
32.443211 95.795 -31.3234
32.678310 95.751 -31.5567
32.915108 95.705 -31.7907
33.153625 95.657 -32.0237
33.393871 95.608 -32.2541
33.635857 95.557 -32.4807
33.879597 95.504 -32.7016
34.125103 95.450 -32.9167
34.372387 95.394 -33.1253
34.621464 95.337 -33.3267
34.872345 95.277 -33.5205
35.125042 95.216 -33.7048
35.379574 95.154 -33.8776
35.635948 95.090 -34.0388
35.894180 95.025 -34.1881
36.154285 94.959 -34.3248
36.416275 94.892 -34.4488
36.680161 94.823 -34.5588
36.945961 94.754 -34.6544
37.213688 94.683 -34.7339
37.483353 94.612 -34.7960
37.754974 94.540 -34.8399
38.028561 94.468 -34.8651
38.304131 94.396 -34.8700
38.581699 94.323 -34.8532
38.861279 94.251 -34.8141
39.142883 94.180 -34.7509
39.426529 94.111 -34.6661
39.712231 94.044 -34.5610
40.000000 93.980 -34.4382
40.289856 93.919 -34.2998
40.581814 93.861 -34.1492
40.875885 93.807 -33.9896
41.172089 93.756 -33.8233
41.470440 93.708 -33.6533
41.770950 93.663 -33.4803
42.073643 93.621 -33.3053
42.378525 93.582 -33.1302
42.685616 93.547 -32.9570
42.994934 93.515 -32.7872
43.306492 93.485 -32.6229
43.620308 93.458 -32.4652
43.936401 93.435 -32.3147
44.254780 93.415 -32.1762
44.575470 93.398 -32.0544
44.898483 93.384 -31.9502
45.223835 93.372 -31.8661
45.551544 93.361 -31.8021
45.881630 93.352 -31.7570
46.214108 93.345 -31.7370
46.548996 93.340 -31.7478
46.886307 93.336 -31.7899
47.226067 93.330 -31.8663
47.568283 93.323 -31.9748
47.912983 93.315 -32.1137
48.260181 93.304 -32.2847
48.609894 93.290 -32.4910
48.962143 93.272 -32.7266
49.316940 93.247 -32.9885
49.674313 93.216 -33.2705
50.034271 93.179 -33.5671
50.396843 93.135 -33.8745
50.762039 93.084 -34.1894
51.129883 93.025 -34.5055
51.500389 92.958 -34.8173
51.873581 92.883 -35.1185
52.249481 92.800 -35.4032
52.628101 92.709 -35.6636
53.009464 92.609 -35.8929
53.393593 92.500 -36.0827
53.780506 92.385 -36.2241
54.170223 92.263 -36.3119
54.562763 92.136 -36.3405
54.958145 92.003 -36.3031
55.356396 91.867 -36.1911
55.757530 91.728 -36.0044
56.161572 91.591 -35.7383
56.568542 91.455 -35.3986
56.978462 91.324 -34.9879
57.391350 91.197 -34.5109
57.807232 91.076 -33.9703
58.226128 90.963 -33.3751
58.648056 90.860 -32.7320
59.073048 90.766 -32.0512
59.501114 90.681 -31.3434
59.932281 90.604 -30.6123
60.366577 90.536 -29.8640
60.804020 90.476 -29.1013
61.244629 90.424 -28.3286
61.688435 90.380 -27.5473
62.135452 90.343 -26.7604
62.585712 90.312 -25.9684
63.039234 90.288 -25.1718
63.496040 90.272 -24.3734
63.956161 90.264 -23.5743
64.419617 90.263 -22.7794
64.886421 90.271 -21.9928
65.356621 90.286 -21.2183
65.830215 90.309 -20.4610
66.307251 90.340 -19.7224
66.787743 90.377 -19.0051
67.271713 90.420 -18.3123
67.759193 90.471 -17.6466
68.250206 90.528 -17.0121
68.744774 90.591 -16.4136
69.242928 90.660 -15.8520
69.744690 90.733 -15.3288
70.250084 90.811 -14.8479
70.759148 90.893 -14.4129
71.271896 90.979 -14.0257
71.788361 91.067 -13.6898
72.308571 91.156 -13.4035
72.832550 91.245 -13.1668
73.360321 91.335 -12.9783
73.891922 91.423 -12.8385
74.427376 91.510 -12.7411
74.966705 91.593 -12.6813
75.509949 91.674 -12.6560
76.057121 91.753 -12.6610
76.608261 91.830 -12.6949
77.163399 91.903 -12.7562
77.722557 91.974 -12.8408
78.285767 92.042 -12.9440
78.853058 92.108 -13.0667
79.424461 92.173 -13.2081
80.000000 92.237 -13.3697
