* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audeze_LCD-5_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:19:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audeze_LCD-5_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Audeze_LCD-5_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.328 2.4190
5.036232 86.328 2.4224
5.072727 86.329 2.4260
5.109486 86.329 2.4297
5.146511 86.330 2.4340
5.183805 86.330 2.4397
5.221369 86.331 2.4460
5.259205 86.332 2.4523
5.297316 86.333 2.4590
5.335702 86.334 2.4664
5.374367 86.335 2.4740
5.413311 86.336 2.4815
5.452538 86.337 2.4890
5.492050 86.338 2.4964
5.531847 86.339 2.5040
5.571934 86.340 2.5119
5.612310 86.341 2.5200
5.652979 86.342 2.5280
5.693943 86.343 2.5360
5.735204 86.344 2.5440
5.776763 86.345 2.5520
5.818624 86.346 2.5599
5.860788 86.347 2.5680
5.903258 86.348 2.5765
5.946035 86.349 2.5850
5.989123 86.350 2.5930
6.032523 86.351 2.6010
6.076237 86.352 2.6094
6.120268 86.353 2.6180
6.164618 86.354 2.6270
6.209289 86.355 2.6360
6.254284 86.356 2.6445
6.299605 86.357 2.6530
6.345255 86.358 2.6619
6.391235 86.360 2.6710
6.437549 86.361 2.6799
6.484198 86.362 2.6890
6.531185 86.363 2.6985
6.578513 86.364 2.7080
6.626183 86.365 2.7170
6.674199 86.366 2.7260
6.722563 86.367 2.7354
6.771278 86.368 2.7450
6.820345 86.369 2.7550
6.869768 86.370 2.7650
6.919549 86.371 2.7745
6.969691 86.372 2.7840
7.020196 86.373 2.7939
7.071068 86.374 2.8040
7.122308 86.375 2.8139
7.173919 86.376 2.8240
7.225904 86.377 2.8345
7.278266 86.378 2.8450
7.331007 86.379 2.8549
7.384131 86.380 2.8650
7.437639 86.381 2.8759
7.491535 86.382 2.8870
7.545822 86.383 2.8975
7.600502 86.384 2.9080
7.655579 86.385 2.9189
7.711054 86.386 2.9300
7.766932 86.387 2.9410
7.823214 86.388 2.9520
7.879904 86.389 2.9629
7.937005 86.390 2.9740
7.994520 86.391 2.9854
8.052452 86.392 2.9970
8.110803 86.393 3.0090
8.169578 86.394 3.0210
8.228777 86.395 3.0325
8.288406 86.396 3.0440
8.348468 86.397 3.0559
8.408964 86.398 3.0680
8.469899 86.399 3.0799
8.531276 86.400 3.0920
8.593097 86.401 3.1044
8.655366 86.402 3.1170
8.718086 86.403 3.1294
8.781260 86.404 3.1420
8.844893 86.405 3.1549
8.908987 86.406 3.1680
8.973545 86.407 3.1810
9.038571 86.408 3.1940
9.104069 86.409 3.2069
9.170040 86.410 3.2200
9.236490 86.411 3.2334
9.303422 86.412 3.2470
9.370838 86.413 3.2604
9.438744 86.414 3.2740
9.507140 86.415 3.2879
9.576033 86.416 3.3020
9.645425 86.417 3.3160
9.715320 86.418 3.3300
9.785721 86.419 3.3439
9.856632 86.420 3.3580
9.928058 86.421 3.3729
10.000000 86.422 3.3880
10.072464 86.423 3.4025
10.145453 86.424 3.4170
10.218971 86.425 3.4319
10.293022 86.426 3.4470
10.367610 86.427 3.4624
10.442738 86.428 3.4780
10.518411 86.429 3.4935
10.594631 86.430 3.5090
10.671404 86.431 3.5244
10.748734 86.432 3.5400
10.826623 86.433 3.5559
10.905077 86.434 3.5720
10.984100 86.435 3.5884
11.063695 86.436 3.6050
11.143867 86.437 3.6214
11.224621 86.438 3.6380
11.305959 86.439 3.6549
11.387886 86.440 3.6720
11.470407 86.441 3.6889
11.553527 86.442 3.7060
11.637249 86.443 3.7234
11.721577 86.444 3.7410
11.806517 86.445 3.7589
11.892071 86.446 3.7770
11.978246 86.447 3.7949
12.065045 86.448 3.8130
12.152473 86.449 3.8314
12.240536 86.450 3.8500
12.329235 86.451 3.8689
12.418578 86.452 3.8880
12.508568 86.453 3.9069
12.599211 86.454 3.9260
12.690510 86.455 3.9454
12.782471 86.456 3.9650
12.875097 86.457 3.9844
12.968395 86.458 4.0040
13.062370 86.459 4.0244
13.157025 86.460 4.0450
13.252366 86.461 4.0654
13.348398 86.462 4.0860
13.445127 86.463 4.1069
13.542556 86.464 4.1280
13.640691 86.465 4.1489
13.739536 86.466 4.1700
13.839099 86.467 4.1919
13.939383 86.468 4.2140
14.040393 86.469 4.2359
14.142136 86.470 4.2580
14.244616 86.471 4.2809
14.347837 86.472 4.3040
14.451808 86.473 4.3269
14.556532 86.474 4.3500
14.662014 86.475 4.3734
14.768262 86.476 4.3970
14.875278 86.477 4.4208
14.983070 86.478 4.4450
15.091644 86.479 4.4694
15.201005 86.480 4.4940
15.311157 86.481 4.5189
15.422109 86.482 4.5440
15.533863 86.483 4.5694
15.646428 86.485 4.5950
15.759809 86.486 4.6209
15.874010 86.487 4.6470
15.989040 86.488 4.6733
16.104904 86.489 4.7000
16.221605 86.490 4.7273
16.339155 86.491 4.7550
16.457554 86.492 4.7828
16.576813 86.493 4.8110
16.696936 86.494 4.8393
16.817928 86.495 4.8680
16.939798 86.496 4.8973
17.062551 86.497 4.9270
17.186193 86.498 4.9568
17.310732 86.499 4.9870
17.436172 86.500 5.0178
17.562521 86.501 5.0490
17.689787 86.502 5.0802
17.817974 86.503 5.1120
17.947090 86.504 5.1447
18.077143 86.505 5.1780
18.208138 86.506 5.2112
18.340080 86.507 5.2450
18.472980 86.508 5.2797
18.606844 86.509 5.3150
18.741676 86.510 5.3506
18.877487 86.511 5.3870
19.014280 86.512 5.4245
19.152065 86.513 5.4630
19.290850 86.514 5.5025
19.430639 86.515 5.5430
19.571442 86.516 5.5842
19.713264 86.517 5.6269
19.856115 86.518 5.6718
20.000000 86.519 5.7190
20.144928 86.520 5.7685
20.290907 86.521 5.8209
20.437943 86.523 5.8771
20.586044 86.525 5.9360
20.735220 86.529 5.9980
20.885475 86.534 6.0599
21.036821 86.540 6.1195
21.189262 86.548 6.1739
21.342808 86.557 6.2206
21.497467 86.567 6.2570
21.653246 86.578 6.2787
21.810154 86.588 6.2890
21.968201 86.596 6.2883
22.127390 86.602 6.2810
22.287735 86.606 6.2708
22.449242 86.608 6.2600
22.611917 86.608 6.2509
22.775772 86.607 6.2470
22.940815 86.603 6.2525
23.107054 86.599 6.2670
23.274498 86.595 6.2926
23.443153 86.592 6.3259
23.613033 86.590 6.3648
23.784142 86.589 6.4070
23.956491 86.588 6.4496
24.130091 86.587 6.4929
24.304947 86.587 6.5360
24.481071 86.587 6.5789
24.658470 86.587 6.6215
24.837156 86.587 6.6639
25.017136 86.587 6.7066
25.198421 86.587 6.7490
25.381020 86.587 6.7903
25.564941 86.587 6.8310
25.750195 86.587 6.8708
25.936790 86.586 6.9100
26.124741 86.584 6.9475
26.314051 86.582 6.9859
26.504732 86.579 7.0266
26.696796 86.574 7.0719
26.890253 86.568 7.1252
27.085112 86.562 7.1859
27.281382 86.556 7.2550
27.479073 86.550 7.3319
27.678198 86.544 7.4167
27.878765 86.538 7.5089
28.080786 86.534 7.6090
28.284271 86.530 7.7139
28.489231 86.528 7.8207
28.695675 86.526 7.9289
28.903616 86.525 8.0362
29.113064 86.523 8.1448
29.324028 86.521 8.2554
29.536524 86.518 8.3709
29.750557 86.514 8.4937
29.966141 86.510 8.6268
30.183289 86.506 8.7751
30.402010 86.503 8.9358
30.622314 86.503 9.1097
30.844217 86.505 9.2918
31.067726 86.510 9.4787
31.292856 86.518 9.6657
31.519617 86.529 9.8488
31.748020 86.543 10.0228
31.978081 86.559 10.1805
32.209808 86.575 10.3238
32.443211 86.591 10.4505
32.678310 86.605 10.5659
32.915108 86.617 10.6715
33.153625 86.625 10.7769
33.393871 86.629 10.8890
33.635857 86.630 11.0168
33.879597 86.628 11.1709
34.125103 86.625 11.3537
34.372387 86.623 11.5718
34.621464 86.622 11.8236
34.872345 86.624 12.1123
35.125042 86.631 12.4306
35.379574 86.646 12.7767
35.635948 86.670 13.1376
35.894180 86.703 13.5028
36.154285 86.745 13.8625
36.416275 86.795 14.2068
36.680161 86.854 14.5255
36.945961 86.921 14.8073
37.213688 86.995 15.0457
37.483353 87.073 15.2298
37.754974 87.154 15.3618
38.028561 87.235 15.4392
38.304131 87.315 15.4660
38.581699 87.394 15.4439
38.861279 87.470 15.3781
39.142883 87.542 15.2719
39.426529 87.611 15.1332
39.712231 87.675 14.9711
40.000000 87.735 14.7863
40.289856 87.794 14.5831
40.581814 87.850 14.3593
40.875885 87.903 14.1141
41.172089 87.953 13.8474
41.470440 88.000 13.5590
41.770950 88.044 13.2485
42.073643 88.084 12.9145
42.378525 88.119 12.5595
42.685616 88.147 12.1817
42.994934 88.167 11.7936
43.306492 88.178 11.4044
43.620308 88.181 11.0226
43.936401 88.177 10.6585
44.254780 88.167 10.3155
44.575470 88.151 9.9994
44.898483 88.131 9.7134
45.223835 88.106 9.4637
45.551544 88.078 9.2483
45.881630 88.049 9.0689
46.214108 88.020 8.9212
46.548996 87.990 8.8014
46.886307 87.960 8.7101
47.226067 87.930 8.6464
47.568283 87.899 8.6110
47.912983 87.869 8.6041
48.260181 87.839 8.6269
48.609894 87.809 8.6808
48.962143 87.781 8.7659
49.316940 87.755 8.8832
49.674313 87.733 9.0307
50.034271 87.714 9.2083
50.396843 87.700 9.4117
50.762039 87.691 9.6392
51.129883 87.689 9.8836
51.500389 87.695 10.1399
51.873581 87.708 10.3996
52.249481 87.729 10.6550
52.628101 87.757 10.8986
53.009464 87.793 11.1231
53.393593 87.835 11.3207
53.780506 87.884 11.4826
54.170223 87.938 11.6038
54.562763 87.995 11.6759
54.958145 88.054 11.7000
55.356396 88.113 11.6730
55.757530 88.171 11.5992
56.161572 88.226 11.4800
56.568542 88.278 11.3213
56.978462 88.325 11.1267
57.391350 88.367 10.9034
57.807232 88.402 10.6574
58.226128 88.432 10.3965
58.648056 88.456 10.1296
59.073048 88.476 9.8594
59.501114 88.491 9.5913
59.932281 88.501 9.3265
60.366577 88.508 9.0669
60.804020 88.511 8.8154
61.244629 88.510 8.5750
61.688435 88.506 8.3474
62.135452 88.500 8.1356
62.585712 88.492 7.9383
63.039234 88.483 7.7549
63.496040 88.472 7.5863
63.956161 88.459 7.4342
64.419617 88.446 7.2962
64.886421 88.434 7.1710
65.356621 88.422 7.0572
65.830215 88.410 6.9527
66.307251 88.397 6.8582
66.787743 88.384 6.7739
67.271713 88.371 6.6991
67.759193 88.359 6.6329
68.250206 88.347 6.5761
68.744774 88.334 6.5292
69.242928 88.321 6.4921
69.744690 88.310 6.4659
70.250084 88.301 6.4470
70.759148 88.293 6.4326
71.271896 88.286 6.4210
71.788361 88.281 6.4107
72.308571 88.277 6.3990
72.832550 88.274 6.3828
73.360321 88.272 6.3620
73.891922 88.270 6.3345
74.427376 88.267 6.3031
74.966705 88.263 6.2690
75.509949 88.259 6.2351
76.057121 88.253 6.2044
76.608261 88.247 6.1771
77.163399 88.241 6.1545
77.722557 88.235 6.1360
78.285767 88.229 6.1218
78.853058 88.223 6.1110
79.424461 88.217 6.1036
80.000000 88.212 6.0980
80.579712 88.207 6.0919
81.163628 88.202 6.0870
81.751770 88.197 6.0836
82.344177 88.191 6.0830
82.940880 88.185 6.0868
83.541901 88.179 6.0950
84.147285 88.173 6.1080
84.757050 88.167 6.1260
85.371231 88.162 6.1499
85.989868 88.157 6.1779
86.612984 88.154 6.2092
87.240616 88.151 6.2419
87.872803 88.149 6.2738
88.509560 88.148 6.3049
89.150940 88.148 6.3344
89.796967 88.148 6.3629
90.447670 88.148 6.3905
91.103088 88.148 6.4179
91.763260 88.148 6.4459
92.428215 88.148 6.4749
93.097992 88.148 6.5057
93.772614 88.149 6.5379
94.452133 88.150 6.5723
95.136566 88.152 6.6069
95.825966 88.156 6.6410
