* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audeze_LCD-XC_2021_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:21:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audeze_LCD-XC_2021_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Audeze_LCD-XC_2021_5128_
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 70.943 88.9110
5.036232 70.973 88.8864
5.072727 71.005 88.8600
5.109486 71.043 88.8291
5.146511 71.086 88.7940
5.183805 71.138 88.7529
5.221369 71.195 88.7090
5.259205 71.253 88.6653
5.297316 71.314 88.6200
5.335702 71.379 88.5719
5.374367 71.446 88.5230
5.413311 71.512 88.4750
5.452538 71.579 88.4270
5.492050 71.645 88.3786
5.531847 71.711 88.3300
5.571934 71.777 88.2811
5.612310 71.843 88.2320
5.652979 71.909 88.1827
5.693943 71.975 88.1330
5.735204 72.041 88.0827
5.776763 72.108 88.0320
5.818624 72.174 87.9811
5.860788 72.240 87.9300
5.903258 72.306 87.8787
5.946035 72.372 87.8270
5.989123 72.438 87.7747
6.032523 72.504 87.7220
6.076237 72.570 87.6691
6.120268 72.636 87.6160
6.164618 72.702 87.5628
6.209289 72.769 87.5090
6.254284 72.835 87.4542
6.299605 72.901 87.3990
6.345255 72.967 87.3441
6.391235 73.033 87.2890
6.437549 73.099 87.2333
6.484198 73.165 87.1770
6.531185 73.231 87.1203
6.578513 73.297 87.0630
6.626183 73.363 87.0052
6.674199 73.430 86.9470
6.722563 73.496 86.8887
6.771278 73.562 86.8300
6.820345 73.628 86.7707
6.869768 73.694 86.7110
6.919549 73.760 86.6512
6.969691 73.826 86.5910
7.020196 73.892 86.5303
7.071068 73.958 86.4690
7.122308 74.024 86.4073
7.173919 74.091 86.3450
7.225904 74.157 86.2823
7.278266 74.223 86.2190
7.331007 74.289 86.1553
7.384131 74.355 86.0910
7.437639 74.421 86.0262
7.491535 74.487 85.9610
7.545822 74.553 85.8958
7.600502 74.619 85.8300
7.655579 74.685 85.7633
7.711054 74.752 85.6960
7.766932 74.818 85.6288
7.823214 74.884 85.5610
7.879904 74.950 85.4923
7.937005 75.016 85.4230
7.994520 75.082 85.3538
8.052452 75.148 85.2840
8.110803 75.214 85.2133
8.169578 75.280 85.1420
8.228777 75.346 85.0703
8.288406 75.413 84.9980
8.348468 75.479 84.9253
8.408964 75.545 84.8520
8.469899 75.611 84.7783
8.531276 75.677 84.7040
8.593097 75.743 84.6293
8.655366 75.809 84.5540
8.718086 75.875 84.4778
8.781260 75.941 84.4010
8.844893 76.007 84.3238
8.908987 76.074 84.2460
8.973545 76.140 84.1673
9.038571 76.206 84.0880
9.104069 76.272 84.0083
9.170040 76.338 83.9280
9.236490 76.404 83.8473
9.303422 76.470 83.7660
9.370838 76.536 83.6839
9.438744 76.603 83.6010
9.507140 76.669 83.5173
9.576033 76.735 83.4330
9.645425 76.801 83.3484
9.715320 76.867 83.2630
9.785721 76.933 83.1768
9.856632 76.999 83.0900
9.928058 77.065 83.0029
10.000000 77.131 82.9150
10.072464 77.197 82.8260
10.145453 77.264 82.7361
10.218971 77.330 82.6459
10.293022 77.396 82.5550
10.367610 77.462 82.4634
10.442738 77.528 82.3710
10.518411 77.594 82.2779
10.594631 77.660 82.1840
10.671404 77.726 82.0894
10.748734 77.792 81.9940
10.826623 77.858 81.8979
10.905077 77.925 81.8011
10.984100 77.991 81.7035
11.063695 78.057 81.6051
11.143867 78.123 81.5054
11.224621 78.189 81.4050
11.305959 78.255 81.3045
11.387886 78.321 81.2031
11.470407 78.387 81.1000
11.553527 78.453 80.9960
11.637249 78.519 80.8919
11.721577 78.586 80.7871
11.806517 78.652 80.6811
11.892071 78.718 80.5741
11.978246 78.784 80.4660
12.065045 78.850 80.3570
12.152473 78.916 80.2474
12.240536 78.982 80.1370
12.329235 79.048 80.0256
12.418578 79.114 79.9131
12.508568 79.180 79.7996
12.599211 79.247 79.6851
12.690510 79.313 79.5696
12.782471 79.379 79.4531
12.875097 79.445 79.3356
12.968395 79.511 79.2171
13.062370 79.577 79.0976
13.157025 79.643 78.9770
13.252366 79.709 78.8556
13.348398 79.775 78.7331
13.445127 79.841 78.6092
13.542556 79.908 78.4841
13.640691 79.974 78.3582
13.739536 80.040 78.2310
13.839099 80.106 78.1027
13.939383 80.172 77.9731
14.040393 80.238 77.8421
14.142136 80.304 77.7100
14.244616 80.370 77.5772
14.347837 80.436 77.4431
14.451808 80.502 77.3072
14.556532 80.569 77.1701
14.662014 80.635 77.0318
14.768262 80.701 76.8922
14.875278 80.767 76.7509
14.983070 80.833 76.6082
15.091644 80.899 76.4638
15.201005 80.965 76.3181
15.311157 81.031 76.1714
15.422109 81.098 76.0231
15.533863 81.164 75.8730
15.646428 81.230 75.7211
15.759809 81.296 75.5674
15.874010 81.362 75.4121
15.989040 81.428 75.2555
16.104904 81.494 75.0971
16.221605 81.560 74.9366
16.339155 81.626 74.7742
16.457554 81.692 74.6101
16.576813 81.759 74.4441
16.696936 81.825 74.2762
16.817928 81.891 74.1061
16.939798 81.957 73.9338
17.062551 82.023 73.7592
17.186193 82.089 73.5824
17.310732 82.155 73.4031
17.436172 82.221 73.2215
17.562521 82.287 73.0371
17.689787 82.353 72.8497
17.817974 82.420 72.6592
17.947090 82.486 72.4653
18.077143 82.552 72.2681
18.208138 82.618 72.0677
18.340080 82.684 71.8632
18.472980 82.750 71.6537
18.606844 82.816 71.4391
18.741676 82.882 71.2196
18.877487 82.948 70.9932
19.014280 83.015 70.7585
19.152065 83.081 70.5143
19.290850 83.146 70.2589
19.430639 83.209 69.9932
19.571442 83.271 69.7159
19.713264 83.331 69.4314
19.856115 83.386 69.1408
20.000000 83.437 68.8523
20.144928 83.484 68.5739
20.290907 83.529 68.3073
20.437943 83.572 68.0562
20.586044 83.614 67.8222
20.735220 83.654 67.6071
20.885475 83.693 67.4132
21.036821 83.732 67.2442
21.189262 83.773 67.0972
21.342808 83.816 66.9712
21.497467 83.861 66.8641
21.653246 83.909 66.7746
21.810154 83.960 66.6991
21.968201 84.016 66.6369
22.127390 84.079 66.5781
22.287735 84.149 66.5163
22.449242 84.225 66.4391
22.611917 84.308 66.3347
22.775772 84.397 66.1952
22.940815 84.489 66.0093
23.107054 84.583 65.7744
23.274498 84.676 65.4805
23.443153 84.765 65.1385
23.613033 84.847 64.7511
23.784142 84.923 64.3334
23.956491 84.991 63.8989
24.130091 85.052 63.4545
24.304947 85.108 63.0119
24.481071 85.159 62.5706
24.658470 85.207 62.1366
24.837156 85.252 61.7026
25.017136 85.296 61.2651
25.198421 85.338 60.8185
25.381020 85.377 60.3534
25.564941 85.409 59.8774
25.750195 85.431 59.3876
25.936790 85.442 58.9066
26.124741 85.440 58.4461
26.314051 85.424 58.0355
26.504732 85.393 57.7010
26.696796 85.353 57.4642
26.890253 85.305 57.3574
27.085112 85.258 57.3759
27.281382 85.218 57.5355
27.479073 85.191 57.8076
27.678198 85.184 58.1827
27.878765 85.200 58.6194
28.080786 85.244 59.0863
28.284271 85.312 59.5434
28.489231 85.405 59.9463
28.695675 85.516 60.2766
28.903616 85.639 60.4982
29.113064 85.768 60.6209
29.324028 85.896 60.6355
29.536524 86.022 60.5631
29.750557 86.140 60.4149
29.966141 86.252 60.2112
30.183289 86.355 59.9710
30.402010 86.451 59.7093
30.622314 86.541 59.4464
30.844217 86.627 59.1863
31.067726 86.711 58.9421
31.292856 86.795 58.7074
31.519617 86.883 58.4834
31.748020 86.974 58.2603
31.978081 87.069 58.0316
32.209808 87.169 57.7873
32.443211 87.275 57.5189
32.678310 87.386 57.2154
32.915108 87.501 56.8654
33.153625 87.618 56.4615
33.393871 87.736 55.9926
33.635857 87.853 55.4589
33.879597 87.964 54.8520
34.125103 88.067 54.1859
34.372387 88.158 53.4653
34.621464 88.238 52.7102
34.872345 88.304 51.9360
35.125042 88.357 51.1619
35.379574 88.396 50.4069
35.635948 88.424 49.6868
35.894180 88.441 49.0237
36.154285 88.453 48.4188
36.416275 88.463 47.8845
36.680161 88.474 47.4107
36.945961 88.488 46.9972
37.213688 88.509 46.6265
37.483353 88.539 46.2873
37.754974 88.578 45.9605
38.028561 88.626 45.6274
38.304131 88.682 45.2755
38.581699 88.744 44.8873
38.861279 88.810 44.4597
39.142883 88.877 43.9820
39.426529 88.943 43.4588
39.712231 89.005 42.8870
40.000000 89.062 42.2789
40.289856 89.112 41.6425
40.581814 89.156 40.9880
40.875885 89.193 40.3266
41.172089 89.224 39.6630
41.470440 89.250 39.0049
41.770950 89.271 38.3541
42.073643 89.288 37.7160
42.378525 89.303 37.0879
42.685616 89.316 36.4692
42.994934 89.327 35.8589
43.306492 89.335 35.2547
43.620308 89.340 34.6589
43.936401 89.343 34.0725
44.254780 89.343 33.4969
44.575470 89.340 32.9332
44.898483 89.335 32.3839
45.223835 89.328 31.8519
45.551544 89.319 31.3367
45.881630 89.310 30.8403
46.214108 89.300 30.3587
46.548996 89.291 29.8890
46.886307 89.282 29.4297
47.226067 89.273 28.9788
47.568283 89.264 28.5347
47.912983 89.256 28.0955
48.260181 89.247 27.6597
48.609894 89.238 27.2247
48.962143 89.228 26.7926
49.316940 89.216 26.3642
49.674313 89.202 25.9417
50.034271 89.187 25.5274
50.396843 89.171 25.1216
50.762039 89.154 24.7253
51.129883 89.136 24.3387
51.500389 89.117 23.9621
51.873581 89.097 23.5966
52.249481 89.076 23.2431
52.628101 89.055 22.9026
53.009464 89.033 22.5758
53.393593 89.010 22.2635
53.780506 88.988 21.9672
54.170223 88.966 21.6845
54.562763 88.946 21.4136
54.958145 88.927 21.1534
55.356396 88.909 20.9031
55.757530 88.892 20.6594
56.161572 88.878 20.4191
56.568542 88.865 20.1804
56.978462 88.853 19.9406
57.391350 88.842 19.6994
57.807232 88.831 19.4555
58.226128 88.821 19.2094
58.648056 88.811 18.9605
59.073048 88.800 18.7114
59.501114 88.788 18.4649
59.932281 88.775 18.2204
60.366577 88.764 17.9789
60.804020 88.752 17.7394
61.244629 88.740 17.5011
61.688435 88.727 17.2644
62.135452 88.715 17.0299
62.585712 88.703 16.7964
63.039234 88.691 16.5625
63.496040 88.678 16.3294
63.956161 88.665 16.0977
64.419617 88.651 15.8684
64.886421 88.636 15.6431
65.356621 88.621 15.4214
65.830215 88.606 15.2035
66.307251 88.591 14.9894
66.787743 88.575 14.7792
67.271713 88.558 14.5734
67.759193 88.542 14.3722
68.250206 88.525 14.1764
68.744774 88.508 13.9871
69.242928 88.491 13.8033
69.744690 88.474 13.6241
70.250084 88.457 13.4503
70.759148 88.440 13.2831
71.271896 88.423 13.1213
71.788361 88.407 12.9644
72.308571 88.392 12.8113
72.832550 88.377 12.6610
73.360321 88.363 12.5133
73.891922 88.349 12.3681
74.427376 88.336 12.2243
74.966705 88.323 12.0799
75.509949 88.311 11.9363
76.057121 88.298 11.7949
76.608261 88.286 11.6533
77.163399 88.275 11.5094
77.722557 88.265 11.3633
78.285767 88.254 11.2140
78.853058 88.242 11.0633
79.424461 88.230 10.9133
80.000000 88.218 10.7623
80.579712 88.206 10.6086
81.163628 88.193 10.4543
81.751770 88.179 10.3006
82.344177 88.164 10.1483
82.940880 88.149 9.9984
83.541901 88.133 9.8523
84.147285 88.115 9.7118
84.757050 88.097 9.5773
85.371231 88.079 9.4502
85.989868 88.061 9.3292
86.612984 88.043 9.2134
87.240616 88.025 9.1032
87.872803 88.007 8.9991
88.509560 87.989 8.9002
89.150940 87.972 8.8062
89.796967 87.956 8.7152
90.447670 87.940 8.6249
91.103088 87.925 8.5362
91.763260 87.909 8.4490
92.428215 87.894 8.3632
93.097992 87.879 8.2786
93.772614 87.864 8.1952
94.452133 87.849 8.1124
95.136566 87.833 8.0312
