* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Audeze maxwell 5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:02:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Audeze maxwell 5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Audeze maxwell 5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 62.364 132.8660
5.036232 62.409 132.8211
5.072727 62.458 132.7730
5.109486 62.516 132.7179
5.146511 62.582 132.6550
5.183805 62.661 132.5797
5.221369 62.747 132.4990
5.259205 62.836 132.4195
5.297316 62.929 132.3370
5.335702 63.028 132.2480
5.374367 63.129 132.1570
5.413311 63.229 132.0680
5.452538 63.330 131.9790
5.492050 63.431 131.8893
5.531847 63.531 131.7990
5.571934 63.631 131.7083
5.612310 63.731 131.6170
5.652979 63.831 131.5253
5.693943 63.932 131.4330
5.735204 64.033 131.3398
5.776763 64.133 131.2460
5.818624 64.233 131.1518
5.860788 64.333 131.0570
5.903258 64.433 130.9614
5.946035 64.534 130.8650
5.989123 64.635 130.7678
6.032523 64.735 130.6700
6.076237 64.835 130.5718
6.120268 64.935 130.4730
6.164618 65.035 130.3734
6.209289 65.136 130.2730
6.254284 65.236 130.1718
6.299605 65.337 130.0700
6.345255 65.438 129.9679
6.391235 65.538 129.8650
6.437549 65.638 129.7610
6.484198 65.738 129.6560
6.531185 65.838 129.5503
6.578513 65.939 129.4440
6.626183 66.040 129.3374
6.674199 66.140 129.2300
6.722563 66.240 129.1215
6.771278 66.340 129.0120
6.820345 66.440 128.9019
6.869768 66.541 128.7910
6.919549 66.642 128.6794
6.969691 66.742 128.5670
7.020196 66.842 128.4540
7.071068 66.942 128.3400
7.122308 67.042 128.2250
7.173919 67.143 128.1090
7.225904 67.244 127.9924
7.278266 67.344 127.8750
7.331007 67.444 127.7570
7.384131 67.544 127.6380
7.437639 67.644 127.5180
7.491535 67.745 127.3970
7.545822 67.845 127.2755
7.600502 67.946 127.1530
7.655579 68.047 127.0295
7.711054 68.147 126.9050
7.766932 68.247 126.7800
7.823214 68.347 126.6540
7.879904 68.447 126.5265
7.937005 68.548 126.3981
7.994520 68.649 126.2690
8.052452 68.749 126.1390
8.110803 68.849 126.0080
8.169578 68.949 125.8761
8.228777 69.049 125.7431
8.288406 69.150 125.6091
8.348468 69.251 125.4740
8.408964 69.351 125.3380
8.469899 69.451 125.2010
8.531276 69.551 125.0631
8.593097 69.651 124.9241
8.655366 69.752 124.7841
8.718086 69.853 124.6431
8.781260 69.953 124.5011
8.844893 70.053 124.3581
8.908987 70.153 124.2141
8.973545 70.253 124.0686
9.038571 70.354 123.9221
9.104069 70.454 123.7746
9.170040 70.555 123.6261
9.236490 70.656 123.4761
9.303422 70.756 123.3251
9.370838 70.856 123.1731
9.438744 70.956 123.0201
9.507140 71.056 122.8656
9.576033 71.157 122.7101
9.645425 71.258 122.5536
9.715320 71.358 122.3961
9.785721 71.458 122.2372
9.856632 71.558 122.0771
9.928058 71.658 121.9157
10.000000 71.759 121.7531
10.072464 71.859 121.5893
10.145453 71.960 121.4242
10.218971 72.060 121.2578
10.293022 72.160 121.0900
10.367610 72.260 120.9206
10.442738 72.361 120.7500
10.518411 72.462 120.5786
10.594631 72.562 120.4060
10.671404 72.662 120.2317
10.748734 72.762 120.0560
10.826623 72.862 119.8792
10.905077 72.963 119.7011
10.984100 73.063 119.5218
11.063695 73.164 119.3411
11.143867 73.265 119.1588
11.224621 73.365 118.9751
11.305959 73.465 118.7898
11.387886 73.565 118.6031
11.470407 73.665 118.4148
11.553527 73.766 118.2251
11.637249 73.867 118.0343
11.721577 73.967 117.8422
11.806517 74.067 117.6485
11.892071 74.167 117.4532
11.978246 74.267 117.2559
12.065045 74.368 117.0570
12.152473 74.469 116.8573
12.240536 74.569 116.6560
12.329235 74.669 116.4529
12.418578 74.769 116.2482
12.508568 74.869 116.0420
12.599211 74.970 115.8341
12.690510 75.070 115.6245
12.782471 75.171 115.4132
12.875097 75.271 115.2005
12.968395 75.371 114.9862
13.062370 75.471 114.7700
13.157025 75.572 114.5521
13.252366 75.672 114.3324
13.348398 75.773 114.1112
13.445127 75.873 113.8886
13.542556 75.974 113.6643
13.640691 76.074 113.4376
13.739536 76.174 113.2091
13.839099 76.274 112.9790
13.939383 76.375 112.7472
14.040393 76.475 112.5141
14.142136 76.576 112.2791
14.244616 76.676 112.0415
14.347837 76.776 111.8021
14.451808 76.876 111.5615
14.556532 76.977 111.3191
14.662014 77.077 111.0747
14.768262 77.178 110.8283
14.875278 77.278 110.5798
14.983070 77.378 110.3293
15.091644 77.478 110.0767
15.201005 77.579 109.8222
15.311157 77.679 109.5661
15.422109 77.780 109.3082
15.533863 77.880 109.0482
15.646428 77.980 108.7861
15.759809 78.080 108.5221
15.874010 78.181 108.2562
15.989040 78.281 107.9886
16.104904 78.382 107.7192
16.221605 78.482 107.4482
16.339155 78.583 107.1753
16.457554 78.683 106.9002
16.576813 78.783 106.6232
16.696936 78.883 106.3446
16.817928 78.984 106.0642
16.939798 79.084 105.7820
17.062551 79.185 105.4984
17.186193 79.285 105.2135
17.310732 79.385 104.9272
17.436172 79.485 104.6393
17.562521 79.586 104.3502
17.689787 79.686 104.0602
17.817974 79.787 103.7693
17.947090 79.887 103.4779
18.077143 79.987 103.1862
18.208138 80.087 102.8941
18.340080 80.188 102.6023
18.472980 80.288 102.3114
18.606844 80.389 102.0222
18.741676 80.489 101.7349
18.877487 80.589 101.4513
19.014280 80.689 101.1720
19.152065 80.790 100.9003
19.290850 80.890 100.6386
19.430639 80.991 100.3902
19.571442 81.093 100.1589
19.713264 81.198 99.9453
19.856115 81.307 99.7535
20.000000 81.423 99.5762
20.144928 81.547 99.4143
20.290907 81.681 99.2472
20.437943 81.830 99.0615
20.586044 81.991 98.8352
20.735220 82.162 98.5464
20.885475 82.341 98.1805
21.036821 82.526 97.7177
21.189262 82.712 97.1518
21.342808 82.894 96.4638
21.497467 83.068 95.6721
21.653246 83.226 94.7776
21.810154 83.367 93.8143
21.968201 83.487 92.8056
22.127390 83.588 91.7841
22.287735 83.668 90.7828
22.449242 83.732 89.8247
22.611917 83.782 88.9441
22.775772 83.825 88.1409
22.940815 83.866 87.4326
23.107054 83.908 86.8018
23.274498 83.956 86.2456
23.443153 84.012 85.7387
23.613033 84.080 85.2618
23.784142 84.158 84.7934
23.956491 84.244 84.3060
24.130091 84.335 83.7976
24.304947 84.426 83.2534
24.481071 84.517 82.6847
24.658470 84.604 82.0934
24.837156 84.689 81.4938
25.017136 84.768 80.8996
25.198421 84.847 80.3146
25.381020 84.927 79.7515
25.564941 85.012 79.1975
25.750195 85.103 78.6517
25.936790 85.202 78.0917
26.124741 85.310 77.5005
26.314051 85.423 76.8610
26.504732 85.540 76.1491
26.696796 85.655 75.3680
26.890253 85.763 74.5039
27.085112 85.860 73.5841
27.281382 85.941 72.6208
27.479073 86.008 71.6453
27.678198 86.058 70.6864
27.878765 86.096 69.7643
28.080786 86.124 68.9094
28.284271 86.147 68.1200
28.489231 86.171 67.4115
28.695675 86.200 66.7628
28.903616 86.238 66.1670
29.113064 86.286 65.5968
29.324028 86.347 65.0296
29.536524 86.417 64.4447
29.750557 86.496 63.8141
29.966141 86.579 63.1368
30.183289 86.662 62.3983
30.402010 86.742 61.6110
30.622314 86.816 60.7781
30.844217 86.885 59.9130
31.067726 86.947 59.0276
31.292856 87.003 58.1304
31.519617 87.053 57.2329
31.748020 87.100 56.3381
31.978081 87.144 55.4549
32.209808 87.187 54.5761
32.443211 87.231 53.7018
32.678310 87.277 52.8191
32.915108 87.326 51.9201
33.153625 87.377 50.9911
33.393871 87.430 50.0184
33.635857 87.481 48.9956
33.879597 87.529 47.9084
34.125103 87.569 46.7676
34.372387 87.597 45.5731
34.621464 87.612 44.3429
34.872345 87.612 43.0870
35.125042 87.596 41.8295
35.379574 87.562 40.5916
35.635948 87.512 39.3924
35.894180 87.447 38.2571
36.154285 87.371 37.1895
36.416275 87.288 36.2043
36.680161 87.199 35.2934
36.945961 87.109 34.4553
37.213688 87.017 33.6841
37.483353 86.925 32.9742
37.754974 86.833 32.3229
38.028561 86.741 31.7257
38.304131 86.650 31.1827
38.581699 86.559 30.6925
38.861279 86.470 30.2556
39.142883 86.382 29.8743
39.426529 86.298 29.5414
39.712231 86.220 29.2543
40.000000 86.149 29.0014
40.289856 86.085 28.7730
40.581814 86.028 28.5603
40.875885 85.978 28.3525
41.172089 85.932 28.1453
41.470440 85.890 27.9298
41.770950 85.850 27.7094
42.073643 85.810 27.4827
42.378525 85.771 27.2543
42.685616 85.732 27.0278
42.994934 85.692 26.8053
43.306492 85.651 26.5890
43.620308 85.609 26.3823
43.936401 85.566 26.1883
44.254780 85.522 26.0103
44.575470 85.477 25.8506
44.898483 85.431 25.7152
45.223835 85.382 25.6097
45.551544 85.333 25.5381
45.881630 85.285 25.5059
46.214108 85.239 25.5140
46.548996 85.195 25.5663
46.886307 85.156 25.6588
47.226067 85.123 25.7923
47.568283 85.098 25.9557
47.912983 85.083 26.1410
48.260181 85.076 26.3397
48.609894 85.078 26.5429
48.962143 85.089 26.7437
49.316940 85.109 26.9342
49.674313 85.136 27.1087
50.034271 85.170 27.2597
50.396843 85.211 27.3858
50.762039 85.256 27.4840
51.129883 85.306 27.5519
51.500389 85.361 27.5858
51.873581 85.419 27.5870
52.249481 85.479 27.5546
52.628101 85.540 27.4911
53.009464 85.602 27.3991
53.393593 85.666 27.2782
53.780506 85.731 27.1286
54.170223 85.797 26.9523
54.562763 85.863 26.7519
54.958145 85.930 26.5254
55.356396 86.000 26.2735
55.757530 86.071 25.9905
56.161572 86.143 25.6706
56.568542 86.216 25.3136
56.978462 86.287 24.9169
57.391350 86.357 24.4818
57.807232 86.425 24.0072
58.226128 86.489 23.4979
58.648056 86.548 22.9560
59.073048 86.602 22.3890
59.501114 86.651 21.8043
59.932281 86.696 21.2041
60.366577 86.737 20.5934
60.804020 86.775 19.9711
61.244629 86.809 19.3384
61.688435 86.841 18.6931
62.135452 86.871 18.0337
62.585712 86.897 17.3592
63.039234 86.918 16.6656
63.496040 86.934 15.9602
63.956161 86.944 15.2471
64.419617 86.947 14.5323
64.886421 86.944 13.8216
65.356621 86.935 13.1202
65.830215 86.919 12.4336
66.307251 86.899 11.7663
66.787743 86.875 11.1259
67.271713 86.848 10.5091
67.759193 86.820 9.9166
68.250206 86.791 9.3440
68.744774 86.761 8.7877
69.242928 86.730 8.2460
69.744690 86.699 7.7171
70.250084 86.668 7.1980
70.759148 86.636 6.6846
71.271896 86.603 6.1779
71.788361 86.569 5.6766
72.308571 86.532 5.1829
72.832550 86.493 4.6981
73.360321 86.451 4.2249
73.891922 86.407 3.7650
74.427376 86.361 3.3228
74.966705 86.313 2.9028
75.509949 86.263 2.5057
76.057121 86.213 2.1342
76.608261 86.162 1.7877
77.163399 86.112 1.4676
77.722557 86.064 1.1696
78.285767 86.019 0.8928
78.853058 85.978 0.6275
79.424461 85.941 0.3659
80.000000 85.908 0.1015
80.579712 85.878 -0.1730
81.163628 85.850 -0.4624
81.751770 85.825 -0.7745
82.344177 85.799 -1.1083
82.940880 85.770 -1.4685
83.541901 85.737 -1.8452
84.147285 85.699 -2.2332
84.757050 85.655 -2.6233
85.371231 85.605 -3.0075
85.989868 85.549 -3.3763
86.612984 85.486 -3.7200
87.240616 85.418 -4.0304
87.872803 85.345 -4.2970
88.509560 85.269 -4.5176
89.150940 85.193 -4.6850
89.796967 85.117 -4.8038
90.447670 85.044 -4.8748
91.103088 84.975 -4.9020
91.763260 84.910 -4.8879
92.428215 84.850 -4.8381
93.097992 84.797 -4.7551
93.772614 84.752 -4.6502
94.452133 84.716 -4.5331
95.136566 84.689 -4.4123
