* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Beyerdynamic_DT-770_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:22:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Beyerdynamic_DT-770_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Beyerdynamic_DT-770_5128_
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 74.458 71.6850
5.036232 74.482 71.6657
5.072727 74.508 71.6450
5.109486 74.538 71.6211
5.146511 74.573 71.5940
5.183805 74.615 71.5621
5.221369 74.660 71.5280
5.259205 74.707 71.4945
5.297316 74.756 71.4600
5.335702 74.809 71.4233
5.374367 74.863 71.3860
5.413311 74.916 71.3496
5.452538 74.969 71.3130
5.492050 75.022 71.2756
5.531847 75.075 71.2380
5.571934 75.128 71.2011
5.612310 75.181 71.1640
5.652979 75.234 71.1262
5.693943 75.288 71.0880
5.735204 75.341 71.0496
5.776763 75.394 71.0110
5.818624 75.447 70.9721
5.860788 75.500 70.9330
5.903258 75.553 70.8936
5.946035 75.606 70.8540
5.989123 75.659 70.8141
6.032523 75.713 70.7740
6.076237 75.766 70.7336
6.120268 75.819 70.6930
6.164618 75.872 70.6521
6.209289 75.925 70.6110
6.254284 75.978 70.5696
6.299605 76.031 70.5280
6.345255 76.084 70.4862
6.391235 76.138 70.4440
6.437549 76.191 70.4012
6.484198 76.244 70.3580
6.531185 76.297 70.3146
6.578513 76.350 70.2710
6.626183 76.403 70.2271
6.674199 76.456 70.1830
6.722563 76.509 70.1386
6.771278 76.563 70.0940
6.820345 76.616 70.0492
6.869768 76.669 70.0040
6.919549 76.722 69.9582
6.969691 76.775 69.9120
7.020196 76.828 69.8656
7.071068 76.881 69.8190
7.122308 76.934 69.7722
7.173919 76.988 69.7250
7.225904 77.041 69.6772
7.278266 77.094 69.6290
7.331007 77.147 69.5807
7.384131 77.200 69.5320
7.437639 77.253 69.4827
7.491535 77.306 69.4330
7.545822 77.359 69.3831
7.600502 77.413 69.3330
7.655579 77.466 69.2827
7.711054 77.519 69.2320
7.766932 77.572 69.1807
7.823214 77.625 69.1290
7.879904 77.678 69.0772
7.937005 77.732 69.0250
7.994520 77.785 68.9722
8.052452 77.838 68.9190
8.110803 77.891 68.8658
8.169578 77.944 68.8120
8.228777 77.997 68.7572
8.288406 78.050 68.7020
8.348468 78.103 68.6471
8.408964 78.157 68.5920
8.469899 78.210 68.5363
8.531276 78.263 68.4800
8.593097 78.316 68.4233
8.655366 78.369 68.3660
8.718086 78.422 68.3082
8.781260 78.475 68.2500
8.844893 78.528 68.1917
8.908987 78.582 68.1330
8.973545 78.635 68.0738
9.038571 78.688 68.0140
9.104069 78.741 67.9538
9.170040 78.794 67.8930
9.236490 78.847 67.8317
9.303422 78.900 67.7700
9.370838 78.953 67.7082
9.438744 79.007 67.6460
9.507140 79.060 67.5833
9.576033 79.113 67.5200
9.645425 79.166 67.4558
9.715320 79.219 67.3910
9.785721 79.272 67.3262
9.856632 79.325 67.2610
9.928058 79.378 67.1953
10.000000 79.432 67.1290
10.072464 79.485 67.0623
10.145453 79.538 66.9951
10.218971 79.591 66.9273
10.293022 79.644 66.8590
10.367610 79.697 66.7903
10.442738 79.750 66.7210
10.518411 79.803 66.6513
10.594631 79.857 66.5810
10.671404 79.910 66.5098
10.748734 79.963 66.4380
10.826623 80.016 66.3663
10.905077 80.069 66.2941
10.984100 80.122 66.2209
11.063695 80.175 66.1470
11.143867 80.228 66.0728
11.224621 80.282 65.9980
11.305959 80.335 65.9229
11.387886 80.388 65.8471
11.470407 80.441 65.7703
11.553527 80.494 65.6930
11.637249 80.547 65.6153
11.721577 80.600 65.5371
11.806517 80.653 65.4584
11.892071 80.707 65.3791
11.978246 80.760 65.2989
12.065045 80.813 65.2180
12.152473 80.866 65.1368
12.240536 80.919 65.0550
12.329235 80.972 64.9724
12.418578 81.026 64.8891
12.508568 81.079 64.8049
12.599211 81.132 64.7200
12.690510 81.185 64.6349
12.782471 81.238 64.5491
12.875097 81.291 64.4624
12.968395 81.344 64.3751
13.062370 81.397 64.2874
13.157025 81.451 64.1990
13.252366 81.504 64.1094
13.348398 81.557 64.0191
13.445127 81.610 63.9284
13.542556 81.663 63.8371
13.640691 81.716 63.7449
13.739536 81.769 63.6520
13.839099 81.822 63.5584
13.939383 81.876 63.4641
14.040393 81.929 63.3689
14.142136 81.982 63.2730
14.244616 82.035 63.1764
14.347837 82.088 63.0790
14.451808 82.141 62.9809
14.556532 82.194 62.8820
14.662014 82.247 62.7825
14.768262 82.301 62.6821
14.875278 82.354 62.5806
14.983070 82.407 62.4781
15.091644 82.460 62.3750
15.201005 82.513 62.2711
15.311157 82.566 62.1660
15.422109 82.619 62.0601
15.533863 82.672 61.9535
15.646428 82.726 61.8461
15.759809 82.779 61.7375
15.874010 82.832 61.6281
15.989040 82.885 61.5180
16.104904 82.938 61.4071
16.221605 82.991 61.2951
16.339155 83.044 61.1821
16.457554 83.097 61.0686
16.576813 83.151 60.9541
16.696936 83.204 60.8386
16.817928 83.257 60.7221
16.939798 83.310 60.6041
17.062551 83.363 60.4852
17.186193 83.416 60.3655
17.310732 83.469 60.2451
17.436172 83.522 60.1241
17.562521 83.576 60.0021
17.689787 83.629 59.8787
17.817974 83.682 59.7541
17.947090 83.735 59.6286
18.077143 83.788 59.5021
18.208138 83.841 59.3746
18.340080 83.895 59.2461
18.472980 83.948 59.1166
18.606844 84.001 58.9861
18.741676 84.054 58.8546
18.877487 84.107 58.7221
19.014280 84.160 58.5887
19.152065 84.213 58.4542
19.290850 84.266 58.3184
19.430639 84.319 58.1821
19.571442 84.372 58.0455
19.713264 84.425 57.9092
19.856115 84.477 57.7737
20.000000 84.530 57.6391
20.144928 84.583 57.5062
20.290907 84.637 57.3741
20.437943 84.691 57.2430
20.586044 84.746 57.1111
20.735220 84.802 56.9772
20.885475 84.859 56.8402
21.036821 84.917 56.6995
21.189262 84.976 56.5522
21.342808 85.037 56.3953
21.497467 85.098 56.2282
21.653246 85.158 56.0488
21.810154 85.218 55.8583
21.968201 85.277 55.6563
22.127390 85.336 55.4452
22.287735 85.392 55.2265
22.449242 85.447 55.0022
22.611917 85.500 54.7742
22.775772 85.552 54.5453
22.940815 85.602 54.3187
23.107054 85.650 54.0953
23.274498 85.697 53.8771
23.443153 85.744 53.6643
23.613033 85.790 53.4584
23.784142 85.836 53.2582
23.956491 85.882 53.0635
24.130091 85.929 52.8722
24.304947 85.977 52.6825
24.481071 86.026 52.4932
24.658470 86.076 52.3025
24.837156 86.126 52.1103
25.017136 86.175 51.9164
25.198421 86.225 51.7192
25.381020 86.276 51.5169
25.564941 86.328 51.3102
25.750195 86.378 51.0983
25.936790 86.428 50.8833
26.124741 86.478 50.6675
26.314051 86.528 50.4493
26.504732 86.578 50.2273
26.696796 86.628 50.0023
26.890253 86.677 49.7743
27.085112 86.725 49.5443
27.281382 86.773 49.3135
27.479073 86.821 49.0813
27.678198 86.869 48.8470
27.878765 86.916 48.6113
28.080786 86.963 48.3746
28.284271 87.009 48.1383
28.489231 87.055 47.9041
28.695675 87.100 47.6713
28.903616 87.146 47.4398
29.113064 87.192 47.2093
29.324028 87.239 46.9804
29.536524 87.286 46.7513
29.750557 87.334 46.5211
29.966141 87.382 46.2883
30.183289 87.432 46.0517
30.402010 87.482 45.8093
30.622314 87.533 45.5584
30.844217 87.584 45.2993
31.067726 87.634 45.0315
31.292856 87.685 44.7554
31.519617 87.736 44.4713
31.748020 87.786 44.1794
31.978081 87.835 43.8791
32.209808 87.882 43.5724
32.443211 87.928 43.2610
32.678310 87.974 42.9454
32.915108 88.019 42.6270
33.153625 88.063 42.3054
33.393871 88.106 41.9800
33.635857 88.148 41.6525
33.879597 88.189 41.3247
34.125103 88.230 40.9954
34.372387 88.270 40.6643
34.621464 88.310 40.3305
34.872345 88.349 39.9925
35.125042 88.387 39.6524
35.379574 88.423 39.3122
35.635948 88.459 38.9714
35.894180 88.495 38.6306
36.154285 88.530 38.2885
36.416275 88.564 37.9432
36.680161 88.598 37.5965
36.945961 88.630 37.2496
37.213688 88.661 36.9025
37.483353 88.693 36.5561
37.754974 88.724 36.2085
38.028561 88.754 35.8579
38.304131 88.784 35.5055
38.581699 88.813 35.1514
38.861279 88.840 34.7975
39.142883 88.866 34.4456
39.426529 88.891 34.0955
39.712231 88.916 33.7474
40.000000 88.940 33.4015
40.289856 88.964 33.0584
40.581814 88.988 32.7165
40.875885 89.012 32.3744
41.172089 89.035 32.0315
41.470440 89.058 31.6868
41.770950 89.081 31.3396
42.073643 89.104 30.9893
42.378525 89.127 30.6345
42.685616 89.149 30.2732
42.994934 89.170 29.9065
43.306492 89.189 29.5342
43.620308 89.206 29.1586
43.936401 89.220 28.7818
44.254780 89.233 28.4046
44.575470 89.244 28.0276
44.898483 89.253 27.6536
45.223835 89.258 27.2836
45.551544 89.260 26.9235
45.881630 89.259 26.5779
46.214108 89.254 26.2525
46.548996 89.246 25.9533
46.886307 89.237 25.6834
47.226067 89.228 25.4484
47.568283 89.219 25.2463
47.912983 89.213 25.0782
48.260181 89.210 24.9402
48.609894 89.211 24.8317
48.962143 89.218 24.7441
49.316940 89.232 24.6719
49.674313 89.253 24.6051
50.034271 89.282 24.5345
50.396843 89.317 24.4531
50.762039 89.359 24.3529
51.129883 89.406 24.2282
51.500389 89.458 24.0716
51.873581 89.515 23.8814
52.249481 89.574 23.6534
52.628101 89.636 23.3875
53.009464 89.698 23.0826
53.393593 89.762 22.7366
53.780506 89.826 22.3469
54.170223 89.890 21.9138
54.562763 89.951 21.4348
54.958145 90.010 20.9149
55.356396 90.065 20.3575
55.757530 90.116 19.7640
56.161572 90.163 19.1356
56.568542 90.206 18.4761
56.978462 90.242 17.7879
57.391350 90.273 17.0763
57.807232 90.297 16.3471
58.226128 90.316 15.6013
58.648056 90.330 14.8417
59.073048 90.338 14.0683
59.501114 90.340 13.2816
59.932281 90.337 12.4834
60.366577 90.327 11.6760
60.804020 90.311 10.8594
61.244629 90.289 10.0337
61.688435 90.260 9.2014
62.135452 90.223 8.3642
62.585712 90.177 7.5254
63.039234 90.124 6.6877
63.496040 90.062 5.8554
63.956161 89.990 5.0305
64.419617 89.908 4.2224
64.886421 89.814 3.4390
65.356621 89.709 2.6873
65.830215 89.595 1.9748
66.307251 89.470 1.3083
66.787743 89.335 0.6932
67.271713 89.188 0.1410
67.759193 89.031 -0.3378
68.250206 88.864 -0.7353
68.744774 88.691 -1.0428
69.242928 88.510 -1.2527
69.744690 88.322 -1.3574
70.250084 88.129 -1.3491
70.759148 87.934 -1.2197
71.271896 87.736 -0.9626
71.788361 87.538 -0.5696
72.308571 87.343 -0.0381
72.832550 87.153 0.6393
73.360321 86.973 1.4554
73.891922 86.807 2.4098
74.427376 86.658 3.4888
74.966705 86.528 4.6860
75.509949 86.421 5.9796
76.057121 86.343 7.3552
76.608261 86.293 8.7841
77.163399 86.274 10.2414
77.722557 86.285 11.7020
78.285767 86.326 13.1390
78.853058 86.396 14.5322
79.424461 86.492 15.8581
80.000000 86.612 17.1006
80.579712 86.753 18.2386
81.163628 86.913 19.2642
81.751770 87.086 20.1622
82.344177 87.271 20.9335
82.940880 87.462 21.5732
83.541901 87.660 22.0841
84.147285 87.860 22.4662
84.757050 88.062 22.7236
85.371231 88.261 22.8572
85.989868 88.457 22.8771
86.612984 88.648 22.7906
87.240616 88.834 22.6065
87.872803 89.011 22.3326
88.509560 89.181 21.9788
89.150940 89.342 21.5549
89.796967 89.496 21.0681
90.447670 89.641 20.5264
91.103088 89.777 19.9363
91.763260 89.904 19.3044
92.428215 90.023 18.6374
93.097992 90.133 17.9429
93.772614 90.236 17.2245
94.452133 90.332 16.4880
95.136566 90.421 15.7346
