* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DCA_Aeon_2_Noire_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:26:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DCA_Aeon_2_Noire_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DCA_Aeon_2_Noire_5128_SP
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 85.527 5.2210
5.036232 85.529 5.2172
5.072727 85.531 5.2130
5.109486 85.533 5.2079
5.146511 85.536 5.2020
5.183805 85.539 5.1953
5.221369 85.543 5.1880
5.259205 85.547 5.1806
5.297316 85.551 5.1730
5.335702 85.555 5.1651
5.374367 85.560 5.1570
5.413311 85.565 5.1486
5.452538 85.569 5.1400
5.492050 85.573 5.1315
5.531847 85.577 5.1230
5.571934 85.581 5.1146
5.612310 85.586 5.1060
5.652979 85.590 5.0970
5.693943 85.595 5.0880
5.735204 85.600 5.0795
5.776763 85.604 5.0710
5.818624 85.608 5.0621
5.860788 85.612 5.0530
5.903258 85.616 5.0435
5.946035 85.621 5.0340
5.989123 85.625 5.0250
6.032523 85.630 5.0160
6.076237 85.634 5.0066
6.120268 85.639 4.9970
6.164618 85.644 4.9875
6.209289 85.648 4.9780
6.254284 85.652 4.9686
6.299605 85.656 4.9590
6.345255 85.660 4.9491
6.391235 85.665 4.9390
6.437549 85.670 4.9290
6.484198 85.674 4.9190
6.531185 85.679 4.9090
6.578513 85.683 4.8990
6.626183 85.687 4.8891
6.674199 85.691 4.8790
6.722563 85.695 4.8686
6.771278 85.700 4.8580
6.820345 85.704 4.8475
6.869768 85.709 4.8370
6.919549 85.714 4.8266
6.969691 85.718 4.8160
7.020196 85.722 4.8051
7.071068 85.726 4.7940
7.122308 85.730 4.7830
7.173919 85.735 4.7720
7.225904 85.740 4.7611
7.278266 85.744 4.7500
7.331007 85.748 4.7386
7.384131 85.753 4.7270
7.437639 85.758 4.7155
7.491535 85.762 4.7040
7.545822 85.766 4.6926
7.600502 85.770 4.6810
7.655579 85.774 4.6691
7.711054 85.779 4.6570
7.766932 85.784 4.6450
7.823214 85.788 4.6330
7.879904 85.793 4.6211
7.937005 85.797 4.6090
7.994520 85.801 4.5966
8.052452 85.805 4.5840
8.110803 85.809 4.5715
8.169578 85.814 4.5590
8.228777 85.818 4.5466
8.288406 85.823 4.5340
8.348468 85.828 4.5211
8.408964 85.832 4.5080
8.469899 85.836 4.4951
8.531276 85.840 4.4820
8.593097 85.844 4.4686
8.655366 85.849 4.4550
8.718086 85.854 4.4415
8.781260 85.858 4.4280
8.844893 85.862 4.4146
8.908987 85.867 4.4010
8.973545 85.872 4.3871
9.038571 85.876 4.3730
9.104069 85.880 4.3591
9.170040 85.884 4.3450
9.236490 85.888 4.3306
9.303422 85.893 4.3160
9.370838 85.897 4.3016
9.438744 85.902 4.2870
9.507140 85.907 4.2721
9.576033 85.911 4.2570
9.645425 85.915 4.2420
9.715320 85.919 4.2270
9.785721 85.923 4.2121
9.856632 85.928 4.1970
9.928058 85.932 4.1816
10.000000 85.937 4.1660
10.072464 85.942 4.1506
10.145453 85.946 4.1350
10.218971 85.950 4.1191
10.293022 85.954 4.1030
10.367610 85.958 4.0871
10.442738 85.963 4.0710
10.518411 85.967 4.0546
10.594631 85.972 4.0380
10.671404 85.977 4.0210
10.748734 85.981 4.0040
10.826623 85.986 3.9876
10.905077 85.990 3.9710
10.984100 85.994 3.9536
11.063695 85.998 3.9360
11.143867 86.002 3.9185
11.224621 86.007 3.9010
11.305959 86.011 3.8836
11.387886 86.016 3.8660
11.470407 86.021 3.8481
11.553527 86.025 3.8300
11.637249 86.029 3.8121
11.721577 86.033 3.7940
11.806517 86.037 3.7751
11.892071 86.042 3.7560
11.978246 86.047 3.7375
12.065045 86.051 3.7190
12.152473 86.056 3.7001
12.240536 86.060 3.6810
12.329235 86.064 3.6616
12.418578 86.068 3.6420
12.508568 86.072 3.6221
12.599211 86.077 3.6020
12.690510 86.081 3.5820
12.782471 86.086 3.5620
12.875097 86.090 3.5421
12.968395 86.095 3.5220
13.062370 86.100 3.5016
13.157025 86.104 3.4810
13.252366 86.108 3.4601
13.348398 86.112 3.4390
13.445127 86.116 3.4176
13.542556 86.121 3.3960
13.640691 86.125 3.3746
13.739536 86.130 3.3530
13.839099 86.135 3.3311
13.939383 86.139 3.3090
14.040393 86.143 3.2866
14.142136 86.147 3.2640
14.244616 86.151 3.2416
14.347837 86.156 3.2190
14.451808 86.160 3.1961
14.556532 86.165 3.1730
14.662014 86.170 3.1496
14.768262 86.174 3.1260
14.875278 86.178 3.1026
14.983070 86.182 3.0790
15.091644 86.186 3.0552
15.201005 86.191 3.0310
15.311157 86.195 3.0061
15.422109 86.200 2.9810
15.533863 86.204 2.9566
15.646428 86.209 2.9320
15.759809 86.214 2.9067
15.874010 86.218 2.8810
15.989040 86.222 2.8551
16.104904 86.226 2.8290
16.221605 86.230 2.8031
16.339155 86.235 2.7770
16.457554 86.239 2.7506
16.576813 86.244 2.7240
16.696936 86.249 2.6976
16.817928 86.253 2.6710
16.939798 86.257 2.6437
17.062551 86.261 2.6160
17.186193 86.265 2.5886
17.310732 86.270 2.5610
17.436172 86.274 2.5331
17.562521 86.279 2.5050
17.689787 86.284 2.4766
17.817974 86.288 2.4480
17.947090 86.292 2.4196
18.077143 86.296 2.3910
18.208138 86.300 2.3621
18.340080 86.305 2.3330
18.472980 86.310 2.3035
18.606844 86.314 2.2740
18.741676 86.318 2.2449
18.877487 86.323 2.2160
19.014280 86.327 2.1875
19.152065 86.332 2.1590
19.290850 86.336 2.1306
19.430639 86.341 2.1020
19.571442 86.346 2.0733
19.713264 86.351 2.0440
19.856115 86.356 2.0138
20.000000 86.362 1.9820
20.144928 86.368 1.9473
20.290907 86.373 1.9110
20.437943 86.378 1.8742
20.586044 86.383 1.8370
20.735220 86.388 1.7997
20.885475 86.392 1.7630
21.036821 86.396 1.7280
21.189262 86.400 1.6940
21.342808 86.405 1.6619
21.497467 86.411 1.6290
21.653246 86.417 1.5934
21.810154 86.423 1.5551
21.968201 86.429 1.5132
22.127390 86.435 1.4681
22.287735 86.441 1.4195
22.449242 86.447 1.3680
22.611917 86.451 1.3131
22.775772 86.455 1.2581
22.940815 86.457 1.2060
23.107054 86.459 1.1581
23.274498 86.461 1.1167
23.443153 86.462 1.0810
23.613033 86.463 1.0518
23.784142 86.465 1.0270
23.956491 86.469 1.0060
24.130091 86.474 0.9860
24.304947 86.480 0.9642
24.481071 86.486 0.9410
24.658470 86.492 0.9157
24.837156 86.499 0.8890
25.017136 86.506 0.8620
25.198421 86.514 0.8330
25.381020 86.523 0.8004
25.564941 86.533 0.7650
25.750195 86.542 0.7274
25.936790 86.551 0.6871
26.124741 86.561 0.6449
26.314051 86.573 0.5981
26.504732 86.586 0.5435
26.696796 86.599 0.4821
26.890253 86.611 0.4136
27.085112 86.622 0.3391
27.281382 86.634 0.2600
27.479073 86.647 0.1741
27.678198 86.660 0.0794
27.878765 86.672 -0.0229
28.080786 86.684 -0.1312
28.284271 86.695 -0.2478
28.489231 86.707 -0.3743
28.695675 86.718 -0.5118
28.903616 86.727 -0.6637
29.113064 86.734 -0.8248
29.324028 86.738 -0.9918
29.536524 86.740 -1.1618
29.750557 86.739 -1.3320
29.966141 86.735 -1.4988
30.183289 86.728 -1.6593
30.402010 86.718 -1.8088
30.622314 86.706 -1.9415
30.844217 86.693 -2.0579
31.067726 86.679 -2.1560
31.292856 86.666 -2.2369
31.519617 86.653 -2.2992
31.748020 86.642 -2.3479
31.978081 86.634 -2.3859
32.209808 86.629 -2.4190
32.443211 86.626 -2.4536
32.678310 86.625 -2.4909
32.915108 86.625 -2.5337
33.153625 86.627 -2.5839
33.393871 86.631 -2.6447
33.635857 86.635 -2.7159
33.879597 86.638 -2.8001
34.125103 86.639 -2.8919
34.372387 86.639 -2.9875
34.621464 86.637 -3.0839
34.872345 86.634 -3.1764
35.125042 86.631 -3.2659
35.379574 86.627 -3.3508
35.635948 86.624 -3.4339
35.894180 86.622 -3.5180
36.154285 86.619 -3.6019
36.416275 86.615 -3.6855
36.680161 86.611 -3.7679
36.945961 86.607 -3.8480
37.213688 86.603 -3.9259
37.483353 86.599 -4.0018
37.754974 86.595 -4.0739
38.028561 86.591 -4.1392
38.304131 86.588 -4.2019
38.581699 86.588 -4.2630
38.861279 86.590 -4.3289
39.142883 86.594 -4.4054
39.426529 86.600 -4.4949
39.712231 86.606 -4.6003
40.000000 86.612 -4.7248
40.289856 86.619 -4.8743
40.581814 86.623 -5.0427
40.875885 86.622 -5.2300
41.172089 86.617 -5.4247
41.470440 86.606 -5.6182
41.770950 86.590 -5.8027
42.073643 86.570 -5.9679
42.378525 86.547 -6.1128
42.685616 86.524 -6.2319
42.994934 86.500 -6.3279
43.306492 86.477 -6.3997
43.620308 86.455 -6.4529
43.936401 86.437 -6.4896
44.254780 86.423 -6.5190
44.575470 86.413 -6.5494
44.898483 86.406 -6.5859
45.223835 86.401 -6.6362
45.551544 86.398 -6.7009
45.881630 86.396 -6.7841
46.214108 86.393 -6.8838
46.548996 86.388 -7.0011
46.886307 86.382 -7.1318
47.226067 86.373 -7.2730
47.568283 86.362 -7.4217
47.912983 86.347 -7.5763
48.260181 86.329 -7.7298
48.609894 86.307 -7.8755
48.962143 86.281 -8.0108
49.316940 86.253 -8.1309
49.674313 86.223 -8.2348
50.034271 86.192 -8.3205
50.396843 86.160 -8.3869
50.762039 86.127 -8.4311
51.129883 86.095 -8.4570
51.500389 86.066 -8.4661
51.873581 86.038 -8.4630
52.249481 86.012 -8.4518
52.628101 85.987 -8.4350
53.009464 85.964 -8.4160
53.393593 85.943 -8.3960
53.780506 85.923 -8.3779
54.170223 85.903 -8.3610
54.562763 85.883 -8.3468
54.958145 85.863 -8.3320
55.356396 85.842 -8.3145
55.757530 85.821 -8.2930
56.161572 85.800 -8.2659
56.568542 85.779 -8.2331
56.978462 85.757 -8.1941
57.391350 85.736 -8.1491
57.807232 85.716 -8.0973
58.226128 85.696 -8.0411
58.648056 85.677 -7.9830
59.073048 85.658 -7.9211
59.501114 85.639 -7.8549
59.932281 85.619 -7.7821
60.366577 85.599 -7.7005
60.804020 85.580 -7.6092
61.244629 85.561 -7.5066
61.688435 85.542 -7.3922
62.135452 85.525 -7.2644
62.585712 85.509 -7.1252
63.039234 85.496 -6.9749
63.496040 85.485 -6.8173
63.956161 85.477 -6.6558
64.419617 85.472 -6.4923
64.886421 85.469 -6.3291
65.356621 85.469 -6.1673
65.830215 85.471 -6.0084
66.307251 85.475 -5.8533
66.787743 85.481 -5.7042
67.271713 85.489 -5.5583
67.759193 85.497 -5.4133
68.250206 85.507 -5.2703
68.744774 85.520 -5.1278
69.242928 85.535 -4.9902
69.744690 85.554 -4.8609
70.250084 85.576 -4.7422
70.759148 85.601 -4.6362
71.271896 85.628 -4.5471
71.788361 85.658 -4.4790
72.308571 85.690 -4.4341
72.832550 85.723 -4.4159
73.360321 85.756 -4.4240
73.891922 85.789 -4.4604
74.427376 85.821 -4.5209
74.966705 85.850 -4.6028
75.509949 85.877 -4.7028
76.057121 85.902 -4.8173
76.608261 85.924 -4.9447
77.163399 85.944 -5.0833
77.722557 85.962 -5.2297
78.285767 85.976 -5.3806
78.853058 85.988 -5.5347
79.424461 85.998 -5.6898
80.000000 86.007 -5.8447
80.579712 86.013 -5.9980
81.163628 86.018 -6.1477
81.751770 86.021 -6.2915
82.344177 86.022 -6.4287
82.940880 86.023 -6.5576
83.541901 86.023 -6.6798
84.147285 86.024 -6.7960
84.757050 86.025 -6.9068
85.371231 86.026 -7.0121
85.989868 86.028 -7.1148
86.612984 86.032 -7.2166
87.240616 86.037 -7.3208
87.872803 86.043 -7.4315
