* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Dan_Clark_Audio_Aeon_X_Closed_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:24:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Dan_Clark_Audio_Aeon_X_Closed_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Dan_Clark_Audio_Aeon_X_Clo
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 83.853 37.7860
5.036232 83.865 37.7758
5.072727 83.879 37.7650
5.109486 83.895 37.7528
5.146511 83.913 37.7390
5.183805 83.935 37.7231
5.221369 83.959 37.7060
5.259205 83.983 37.6888
5.297316 84.009 37.6710
5.335702 84.037 37.6521
5.374367 84.065 37.6330
5.413311 84.093 37.6145
5.452538 84.121 37.5960
5.492050 84.149 37.5771
5.531847 84.177 37.5580
5.571934 84.205 37.5391
5.612310 84.233 37.5200
5.652979 84.261 37.5006
5.693943 84.289 37.4810
5.735204 84.317 37.4615
5.776763 84.345 37.4420
5.818624 84.372 37.4226
5.860788 84.400 37.4030
5.903258 84.428 37.3826
5.946035 84.456 37.3620
5.989123 84.484 37.3420
6.032523 84.512 37.3220
6.076237 84.540 37.3016
6.120268 84.568 37.2810
6.164618 84.596 37.2601
6.209289 84.624 37.2390
6.254284 84.652 37.2181
6.299605 84.680 37.1970
6.345255 84.708 37.1756
6.391235 84.736 37.1540
6.437549 84.764 37.1321
6.484198 84.792 37.1100
6.531185 84.820 37.0880
6.578513 84.848 37.0660
6.626183 84.876 37.0441
6.674199 84.904 37.0220
6.722563 84.931 36.9991
6.771278 84.959 36.9760
6.820345 84.987 36.9536
6.869768 85.015 36.9310
6.919549 85.043 36.9076
6.969691 85.071 36.8840
7.020196 85.099 36.8606
7.071068 85.127 36.8370
7.122308 85.155 36.8131
7.173919 85.183 36.7890
7.225904 85.211 36.7646
7.278266 85.239 36.7400
7.331007 85.267 36.7156
7.384131 85.295 36.6910
7.437639 85.323 36.6661
7.491535 85.351 36.6410
7.545822 85.379 36.6161
7.600502 85.407 36.5910
7.655579 85.435 36.5657
7.711054 85.463 36.5400
7.766932 85.491 36.5136
7.823214 85.519 36.4870
7.879904 85.546 36.4611
7.937005 85.574 36.4350
7.994520 85.602 36.4081
8.052452 85.630 36.3810
8.110803 85.658 36.3541
8.169578 85.686 36.3270
8.228777 85.714 36.2996
8.288406 85.742 36.2720
8.348468 85.770 36.2441
8.408964 85.798 36.2160
8.469899 85.826 36.1876
8.531276 85.854 36.1590
8.593097 85.882 36.1306
8.655366 85.910 36.1020
8.718086 85.938 36.0726
8.781260 85.966 36.0430
8.844893 85.994 36.0136
8.908987 86.022 35.9840
8.973545 86.050 35.9541
9.038571 86.078 35.9240
9.104069 86.105 35.8941
9.170040 86.133 35.8640
9.236490 86.161 35.8332
9.303422 86.189 35.8020
9.370838 86.217 35.7706
9.438744 86.245 35.7390
9.507140 86.273 35.7076
9.576033 86.301 35.6760
9.645425 86.329 35.6436
9.715320 86.357 35.6110
9.785721 86.385 35.5786
9.856632 86.413 35.5460
9.928058 86.441 35.5131
10.000000 86.469 35.4800
10.072464 86.497 35.4467
10.145453 86.525 35.4130
10.218971 86.553 35.3787
10.293022 86.581 35.3440
10.367610 86.609 35.3096
10.442738 86.637 35.2750
10.518411 86.664 35.2401
10.594631 86.692 35.2050
10.671404 86.720 35.1696
10.748734 86.748 35.1340
10.826623 86.776 35.0981
10.905077 86.804 35.0620
10.984100 86.832 35.0257
11.063695 86.860 34.9890
11.143867 86.888 34.9516
11.224621 86.916 34.9140
11.305959 86.944 34.8766
11.387886 86.972 34.8390
11.470407 87.000 34.8012
11.553527 87.028 34.7630
11.637249 87.056 34.7241
11.721577 87.084 34.6850
11.806517 87.112 34.6462
11.892071 87.140 34.6070
11.978246 87.168 34.5672
12.065045 87.196 34.5270
12.152473 87.224 34.4866
12.240536 87.252 34.4460
12.329235 87.279 34.4051
12.418578 87.307 34.3640
12.508568 87.335 34.3227
12.599211 87.363 34.2810
12.690510 87.391 34.2392
12.782471 87.419 34.1970
12.875097 87.447 34.1542
12.968395 87.475 34.1110
13.062370 87.503 34.0676
13.157025 87.531 34.0240
13.252366 87.559 33.9806
13.348398 87.587 33.9370
13.445127 87.615 33.8928
13.542556 87.643 33.8481
13.640691 87.671 33.8027
13.739536 87.699 33.7570
13.839099 87.727 33.7117
13.939383 87.755 33.6660
14.040393 87.783 33.6197
14.142136 87.811 33.5730
14.244616 87.838 33.5261
14.347837 87.866 33.4790
14.451808 87.894 33.4316
14.556532 87.922 33.3840
14.662014 87.950 33.3362
14.768262 87.978 33.2881
14.875278 88.006 33.2392
14.983070 88.034 33.1901
15.091644 88.062 33.1407
15.201005 88.090 33.0910
15.311157 88.118 33.0412
15.422109 88.146 32.9910
15.533863 88.174 32.9407
15.646428 88.202 32.8900
15.759809 88.230 32.8387
15.874010 88.258 32.7870
15.989040 88.286 32.7357
16.104904 88.314 32.6840
16.221605 88.342 32.6317
16.339155 88.370 32.5791
16.457554 88.398 32.5267
16.576813 88.426 32.4740
16.696936 88.453 32.4206
16.817928 88.481 32.3670
16.939798 88.509 32.3141
17.062551 88.537 32.2611
17.186193 88.565 32.2071
17.310732 88.593 32.1530
17.436172 88.621 32.0995
17.562521 88.649 32.0460
17.689787 88.677 31.9926
17.817974 88.705 31.9391
17.947090 88.733 31.8854
18.077143 88.761 31.8320
18.208138 88.789 31.7792
18.340080 88.817 31.7271
18.472980 88.845 31.6756
18.606844 88.873 31.6250
18.741676 88.901 31.5753
18.877487 88.929 31.5270
19.014280 88.957 31.4802
19.152065 88.985 31.4361
19.290850 89.013 31.3960
19.430639 89.041 31.3600
19.571442 89.069 31.3287
19.713264 89.099 31.3020
19.856115 89.130 31.2817
20.000000 89.163 31.2640
20.144928 89.199 31.2480
20.290907 89.237 31.2270
20.437943 89.279 31.1950
20.586044 89.323 31.1490
20.735220 89.368 31.0856
20.885475 89.415 31.0011
21.036821 89.463 30.8900
21.189262 89.510 30.7552
21.342808 89.554 30.5956
21.497467 89.595 30.4182
21.653246 89.632 30.2275
21.810154 89.664 30.0303
21.968201 89.692 29.8329
22.127390 89.716 29.6412
22.287735 89.737 29.4625
22.449242 89.755 29.2981
22.611917 89.772 29.1519
22.775772 89.789 29.0231
22.940815 89.805 28.9135
23.107054 89.822 28.8191
23.274498 89.841 28.7380
23.443153 89.862 28.6661
23.613033 89.885 28.5996
23.784142 89.910 28.5361
23.956491 89.937 28.4728
24.130091 89.965 28.4071
24.304947 89.996 28.3353
24.481071 90.028 28.2571
24.658470 90.060 28.1715
24.837156 90.093 28.0771
25.017136 90.127 27.9723
25.198421 90.161 27.8571
25.381020 90.194 27.7299
25.564941 90.227 27.5941
25.750195 90.258 27.4529
25.936790 90.287 27.3062
26.124741 90.316 27.1541
26.314051 90.344 26.9992
26.504732 90.369 26.8425
26.696796 90.392 26.6882
26.890253 90.414 26.5416
27.085112 90.435 26.4012
27.281382 90.457 26.2671
27.479073 90.478 26.1392
27.678198 90.498 26.0169
27.878765 90.519 25.9012
28.080786 90.540 25.7938
28.284271 90.562 25.6911
28.489231 90.586 25.5905
28.695675 90.611 25.4911
28.903616 90.636 25.3916
29.113064 90.662 25.2911
29.324028 90.689 25.1894
29.536524 90.717 25.0841
29.750557 90.746 24.9730
29.966141 90.776 24.8561
30.183289 90.806 24.7328
30.402010 90.836 24.6032
30.622314 90.866 24.4670
30.844217 90.896 24.3242
31.067726 90.926 24.1739
31.292856 90.955 24.0172
31.519617 90.983 23.8544
31.748020 91.011 23.6872
31.978081 91.037 23.5174
32.209808 91.062 23.3462
32.443211 91.086 23.1752
32.678310 91.110 23.0052
32.915108 91.132 22.8376
33.153625 91.154 22.6732
33.393871 91.175 22.5139
33.635857 91.197 22.3572
33.879597 91.220 22.2015
34.125103 91.243 22.0462
34.372387 91.266 21.8907
34.621464 91.290 21.7332
34.872345 91.314 21.5718
35.125042 91.339 21.4062
35.379574 91.363 21.2343
35.635948 91.386 21.0592
35.894180 91.408 20.8834
36.154285 91.429 20.7063
36.416275 91.451 20.5278
36.680161 91.472 20.3493
36.945961 91.492 20.1713
37.213688 91.511 19.9953
37.483353 91.530 19.8234
37.754974 91.549 19.6543
38.028561 91.568 19.4864
38.304131 91.588 19.3212
38.581699 91.607 19.1601
38.861279 91.627 19.0012
39.142883 91.648 18.8444
39.426529 91.671 18.6862
39.712231 91.694 18.5237
40.000000 91.719 18.3563
40.289856 91.745 18.1835
40.581814 91.771 18.0023
40.875885 91.798 17.8092
41.172089 91.826 17.6043
41.470440 91.853 17.3857
41.770950 91.879 17.1564
42.073643 91.903 16.9191
42.378525 91.927 16.6724
42.685616 91.951 16.4152
42.994934 91.973 16.1494
43.306492 91.993 15.8751
43.620308 92.010 15.5954
43.936401 92.025 15.3134
44.254780 92.038 15.0295
44.575470 92.050 14.7446
44.898483 92.060 14.4605
45.223835 92.067 14.1779
45.551544 92.072 13.9004
45.881630 92.075 13.6323
46.214108 92.077 13.3724
46.548996 92.078 13.1213
46.886307 92.079 12.8784
47.226067 92.079 12.6434
47.568283 92.079 12.4154
47.912983 92.079 12.1937
48.260181 92.079 11.9774
48.609894 92.079 11.7649
48.962143 92.079 11.5563
49.316940 92.079 11.3512
49.674313 92.079 11.1493
50.034271 92.079 10.9501
50.396843 92.079 10.7533
50.762039 92.079 10.5584
51.129883 92.079 10.3653
51.500389 92.079 10.1736
51.873581 92.079 9.9833
52.249481 92.079 9.7944
52.628101 92.079 9.6063
53.009464 92.079 9.4188
53.393593 92.079 9.2313
53.780506 92.079 9.0432
54.170223 92.079 8.8543
54.562763 92.079 8.6642
54.958145 92.078 8.4723
55.356396 92.077 8.2775
55.757530 92.076 8.0803
56.161572 92.075 7.8804
56.568542 92.072 7.6793
56.978462 92.067 7.4781
57.391350 92.061 7.2784
57.807232 92.054 7.0817
58.226128 92.045 6.8893
58.648056 92.035 6.7019
59.073048 92.024 6.5223
59.501114 92.011 6.3538
59.932281 91.997 6.1963
60.366577 91.984 6.0509
60.804020 91.970 5.9172
61.244629 91.956 5.7959
61.688435 91.943 5.6852
62.135452 91.932 5.5843
62.585712 91.922 5.4902
63.039234 91.913 5.3997
63.496040 91.905 5.3121
63.956161 91.898 5.2257
64.419617 91.891 5.1402
64.886421 91.886 5.0542
65.356621 91.880 4.9701
65.830215 91.873 4.8898
66.307251 91.866 4.8141
66.787743 91.860 4.7448
67.271713 91.854 4.6821
67.759193 91.849 4.6269
68.250206 91.844 4.5791
68.744774 91.841 4.5403
69.242928 91.840 4.5061
69.744690 91.841 4.4736
70.250084 91.845 4.4401
70.759148 91.850 4.4011
71.271896 91.857 4.3581
71.788361 91.864 4.3114
72.308571 91.873 4.2601
72.832550 91.883 4.2032
73.360321 91.893 4.1411
73.891922 91.903 4.0726
74.427376 91.914 4.0011
74.966705 91.924 3.9296
75.509949 91.934 3.8581
76.057121 91.946 3.7895
76.608261 91.960 3.7191
77.163399 91.976 3.6433
77.722557 91.993 3.5622
78.285767 92.010 3.4757
78.853058 92.029 3.3812
79.424461 92.051 3.2768
80.000000 92.075 3.1592
80.579712 92.099 3.0240
81.163628 92.124 2.8733
81.751770 92.148 2.7078
82.344177 92.172 2.5274
82.940880 92.196 2.3320
83.541901 92.219 2.1224
84.147285 92.240 1.8977
84.757050 92.260 1.6635
85.371231 92.277 1.4254
85.989868 92.293 1.1825
86.612984 92.309 0.9358
87.240616 92.325 0.6845
87.872803 92.339 0.4280
88.509560 92.353 0.1675
89.150940 92.367 -0.0941
89.796967 92.381 -0.3614
90.447670 92.396 -0.6370
91.103088 92.411 -0.9234
91.763260 92.427 -1.2238
92.428215 92.442 -1.5383
93.097992 92.456 -1.8682
93.772614 92.469 -2.2133
