* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Dan_Clark_Audio_Expanse_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:25:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Dan_Clark_Audio_Expanse_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Dan_Clark_Audio_Expanse_51
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 99.088 -23.0730
5.036232 99.081 -23.0701
5.072727 99.073 -23.0670
5.109486 99.064 -23.0637
5.146511 99.053 -23.0600
5.183805 99.040 -23.0556
5.221369 99.026 -23.0510
5.259205 99.011 -23.0470
5.297316 98.996 -23.0430
5.335702 98.980 -23.0386
5.374367 98.964 -23.0340
5.413311 98.948 -23.0294
5.452538 98.931 -23.0250
5.492050 98.915 -23.0209
5.531847 98.898 -23.0170
5.571934 98.882 -23.0131
5.612310 98.865 -23.0090
5.652979 98.848 -23.0045
5.693943 98.832 -23.0000
5.735204 98.815 -22.9960
5.776763 98.799 -22.9920
5.818624 98.783 -22.9876
5.860788 98.767 -22.9830
5.903258 98.751 -22.9785
5.946035 98.734 -22.9740
5.989123 98.717 -22.9695
6.032523 98.701 -22.9650
6.076237 98.685 -22.9605
6.120268 98.668 -22.9560
6.164618 98.651 -22.9515
6.209289 98.635 -22.9470
6.254284 98.619 -22.9425
6.299605 98.603 -22.9380
6.345255 98.587 -22.9336
6.391235 98.570 -22.9290
6.437549 98.554 -22.9240
6.484198 98.537 -22.9190
6.531185 98.521 -22.9145
6.578513 98.504 -22.9100
6.626183 98.487 -22.9051
6.674199 98.471 -22.9000
6.722563 98.455 -22.8950
6.771278 98.439 -22.8900
6.820345 98.423 -22.8850
6.869768 98.406 -22.8800
6.919549 98.390 -22.8750
6.969691 98.373 -22.8700
7.020196 98.357 -22.8650
7.071068 98.340 -22.8600
7.122308 98.324 -22.8551
7.173919 98.307 -22.8500
7.225904 98.290 -22.8445
7.278266 98.274 -22.8390
7.331007 98.258 -22.8340
7.384131 98.242 -22.8290
7.437639 98.226 -22.8236
7.491535 98.209 -22.8180
7.545822 98.193 -22.8125
7.600502 98.176 -22.8070
7.655579 98.160 -22.8016
7.711054 98.143 -22.7960
7.766932 98.126 -22.7900
7.823214 98.110 -22.7840
7.879904 98.094 -22.7785
7.937005 98.078 -22.7730
7.994520 98.062 -22.7671
8.052452 98.045 -22.7610
8.110803 98.029 -22.7550
8.169578 98.012 -22.7490
8.228777 97.996 -22.7430
8.288406 97.979 -22.7370
8.348468 97.963 -22.7310
8.408964 97.946 -22.7250
8.469899 97.929 -22.7191
8.531276 97.913 -22.7130
8.593097 97.897 -22.7066
8.655366 97.881 -22.7000
8.718086 97.865 -22.6934
8.781260 97.848 -22.6870
8.844893 97.832 -22.6811
8.908987 97.815 -22.6750
8.973545 97.799 -22.6681
9.038571 97.782 -22.6610
9.104069 97.765 -22.6545
9.170040 97.749 -22.6480
9.236490 97.733 -22.6411
9.303422 97.717 -22.6340
9.370838 97.701 -22.6270
9.438744 97.684 -22.6200
9.507140 97.668 -22.6130
9.576033 97.651 -22.6060
9.645425 97.635 -22.5990
9.715320 97.618 -22.5920
9.785721 97.601 -22.5851
9.856632 97.585 -22.5780
9.928058 97.569 -22.5706
10.000000 97.553 -22.5630
10.072464 97.537 -22.5556
10.145453 97.520 -22.5480
10.218971 97.504 -22.5400
10.293022 97.487 -22.5320
10.367610 97.471 -22.5245
10.442738 97.454 -22.5170
10.518411 97.438 -22.5091
10.594631 97.421 -22.5010
10.671404 97.404 -22.4931
10.748734 97.388 -22.4850
10.826623 97.372 -22.4765
10.905077 97.356 -22.4680
10.984100 97.340 -22.4600
11.063695 97.323 -22.4520
11.143867 97.307 -22.4436
11.224621 97.290 -22.4350
11.305959 97.274 -22.4260
11.387886 97.257 -22.4170
11.470407 97.240 -22.4085
11.553527 97.224 -22.4000
11.637249 97.208 -22.3911
11.721577 97.192 -22.3820
11.806517 97.176 -22.3725
11.892071 97.159 -22.3630
11.978246 97.143 -22.3540
12.065045 97.126 -22.3450
12.152473 97.110 -22.3356
12.240536 97.093 -22.3260
12.329235 97.077 -22.3161
12.418578 97.060 -22.3060
12.508568 97.043 -22.2960
12.599211 97.027 -22.2860
12.690510 97.011 -22.2761
12.782471 96.995 -22.2660
12.875097 96.979 -22.2556
12.968395 96.962 -22.2450
13.062370 96.946 -22.2345
13.157025 96.929 -22.2240
13.252366 96.913 -22.2136
13.348398 96.896 -22.2030
13.445127 96.879 -22.1921
13.542556 96.863 -22.1810
13.640691 96.847 -22.1696
13.739536 96.831 -22.1580
13.839099 96.815 -22.1466
13.939383 96.798 -22.1350
14.040393 96.782 -22.1231
14.142136 96.765 -22.1110
14.244616 96.749 -22.0991
14.347837 96.732 -22.0870
14.451808 96.715 -22.0746
14.556532 96.699 -22.0620
14.662014 96.683 -22.0496
14.768262 96.667 -22.0370
14.875278 96.651 -22.0241
14.983070 96.634 -22.0110
15.091644 96.618 -21.9976
15.201005 96.601 -21.9840
15.311157 96.585 -21.9706
15.422109 96.568 -21.9570
15.533863 96.552 -21.9431
15.646428 96.535 -21.9290
15.759809 96.518 -21.9146
15.874010 96.502 -21.9000
15.989040 96.486 -21.8851
16.104904 96.470 -21.8700
16.221605 96.454 -21.8546
16.339155 96.437 -21.8390
16.457554 96.421 -21.8237
16.576813 96.404 -21.8080
16.696936 96.388 -21.7912
16.817928 96.371 -21.7740
16.939798 96.354 -21.7571
17.062551 96.338 -21.7400
17.186193 96.322 -21.7223
17.310732 96.306 -21.7040
17.436172 96.290 -21.6852
17.562521 96.273 -21.6660
17.689787 96.257 -21.6468
17.817974 96.240 -21.6270
17.947090 96.224 -21.6063
18.077143 96.207 -21.5850
18.208138 96.190 -21.5634
18.340080 96.174 -21.5410
18.472980 96.158 -21.5175
18.606844 96.142 -21.4930
18.741676 96.126 -21.4680
18.877487 96.109 -21.4420
19.014280 96.093 -21.4147
19.152065 96.076 -21.3860
19.290850 96.060 -21.3560
19.430639 96.043 -21.3240
19.571442 96.026 -21.2895
19.713264 96.010 -21.2520
19.856115 95.994 -21.2110
20.000000 95.978 -21.1660
20.144928 95.963 -21.1164
20.290907 95.948 -21.0631
20.437943 95.934 -21.0059
20.586044 95.922 -20.9470
20.735220 95.911 -20.8877
20.885475 95.902 -20.8301
21.036821 95.895 -20.7761
21.189262 95.889 -20.7281
21.342808 95.885 -20.6880
21.497467 95.882 -20.6580
21.653246 95.881 -20.6406
21.810154 95.880 -20.6370
21.968201 95.879 -20.6492
22.127390 95.877 -20.6770
22.287735 95.876 -20.7209
22.449242 95.873 -20.7799
22.611917 95.867 -20.8551
22.775772 95.859 -20.9409
22.940815 95.848 -21.0334
23.107054 95.833 -21.1289
23.274498 95.815 -21.2239
23.443153 95.793 -21.3129
23.613033 95.767 -21.3904
23.784142 95.739 -21.4530
23.956491 95.709 -21.4942
24.130091 95.679 -21.5170
24.304947 95.649 -21.5215
24.481071 95.620 -21.5100
24.658470 95.591 -21.4839
24.837156 95.564 -21.4461
25.017136 95.539 -21.3987
25.198421 95.516 -21.3461
25.381020 95.495 -21.2936
25.564941 95.474 -21.2391
25.750195 95.454 -21.1818
25.936790 95.434 -21.1221
26.124741 95.416 -21.0588
26.314051 95.400 -20.9951
26.504732 95.385 -20.9331
26.696796 95.371 -20.8741
26.890253 95.358 -20.8194
27.085112 95.346 -20.7701
27.281382 95.335 -20.7275
27.479073 95.324 -20.6920
27.678198 95.313 -20.6649
27.878765 95.302 -20.6440
28.080786 95.290 -20.6290
28.284271 95.277 -20.6160
28.489231 95.262 -20.6021
28.695675 95.245 -20.5850
28.903616 95.228 -20.5605
29.113064 95.212 -20.5310
29.324028 95.197 -20.4976
29.536524 95.182 -20.4610
29.750557 95.167 -20.4222
29.966141 95.153 -20.3820
30.183289 95.140 -20.3406
30.402010 95.129 -20.3020
30.622314 95.119 -20.2708
30.844217 95.110 -20.2460
31.067726 95.099 -20.2290
31.292856 95.088 -20.2170
31.519617 95.076 -20.2073
31.748020 95.064 -20.2010
31.978081 95.052 -20.2000
32.209808 95.038 -20.2000
32.443211 95.022 -20.1981
32.678310 95.005 -20.1920
32.915108 94.988 -20.1775
33.153625 94.970 -20.1570
33.393871 94.952 -20.1320
33.635857 94.934 -20.1011
33.879597 94.916 -20.0623
34.125103 94.899 -20.0181
34.372387 94.884 -19.9694
34.621464 94.869 -19.9181
34.872345 94.854 -19.8671
35.125042 94.840 -19.8141
35.379574 94.826 -19.7575
35.635948 94.812 -19.6981
35.894180 94.799 -19.6363
36.154285 94.787 -19.5711
36.416275 94.775 -19.5009
36.680161 94.765 -19.4271
36.945961 94.756 -19.3501
37.213688 94.749 -19.2721
37.483353 94.744 -19.1942
37.754974 94.741 -19.1201
38.028561 94.741 -19.0522
38.304131 94.743 -18.9951
38.581699 94.747 -18.9543
38.861279 94.752 -18.9290
39.142883 94.757 -18.9205
39.426529 94.762 -18.9280
39.712231 94.767 -18.9521
40.000000 94.770 -18.9899
40.289856 94.771 -19.0408
40.581814 94.770 -19.0989
40.875885 94.767 -19.1581
41.172089 94.762 -19.2189
41.470440 94.757 -19.2795
41.770950 94.752 -19.3409
42.073643 94.746 -19.4028
42.378525 94.739 -19.4669
42.685616 94.733 -19.5340
42.994934 94.727 -19.6069
43.306492 94.721 -19.6889
43.620308 94.714 -19.7789
43.936401 94.706 -19.8771
44.254780 94.697 -19.9828
44.575470 94.686 -20.0967
44.898483 94.672 -20.2148
45.223835 94.655 -20.3341
45.551544 94.636 -20.4518
45.881630 94.615 -20.5641
46.214108 94.592 -20.6708
46.548996 94.567 -20.7714
46.886307 94.541 -20.8639
47.226067 94.513 -20.9458
47.568283 94.484 -21.0179
47.912983 94.455 -21.0797
48.260181 94.425 -21.1319
48.609894 94.395 -21.1751
48.962143 94.364 -21.2100
49.316940 94.334 -21.2369
49.674313 94.304 -21.2570
50.034271 94.274 -21.2713
50.396843 94.243 -21.2800
50.762039 94.213 -21.2836
51.129883 94.182 -21.2820
51.500389 94.151 -21.2759
51.873581 94.120 -21.2640
52.249481 94.089 -21.2460
52.628101 94.057 -21.2200
53.009464 94.023 -21.1857
53.393593 93.989 -21.1391
53.780506 93.955 -21.0755
54.170223 93.921 -20.9971
54.562763 93.889 -20.9040
54.958145 93.858 -20.7982
55.356396 93.829 -20.6815
55.757530 93.801 -20.5552
56.161572 93.776 -20.4192
56.568542 93.753 -20.2792
56.978462 93.734 -20.1406
57.391350 93.718 -20.0042
57.807232 93.702 -19.8736
58.226128 93.688 -19.7472
58.648056 93.676 -19.6247
59.073048 93.664 -19.5062
59.501114 93.652 -19.3928
59.932281 93.641 -19.2812
60.366577 93.630 -19.1679
60.804020 93.619 -19.0542
61.244629 93.610 -18.9397
61.688435 93.603 -18.8262
62.135452 93.596 -18.7153
62.585712 93.591 -18.6072
63.039234 93.588 -18.5011
63.496040 93.587 -18.4022
63.956161 93.588 -18.3145
64.419617 93.590 -18.2401
64.886421 93.593 -18.1835
65.356621 93.596 -18.1411
65.830215 93.597 -18.1116
66.307251 93.597 -18.0920
66.787743 93.596 -18.0800
67.271713 93.593 -18.0720
67.759193 93.588 -18.0653
68.250206 93.581 -18.0560
68.744774 93.573 -18.0384
69.242928 93.565 -18.0150
69.744690 93.559 -17.9846
70.250084 93.554 -17.9531
70.759148 93.551 -17.9264
71.271896 93.548 -17.9040
71.788361 93.545 -17.8875
72.308571 93.543 -17.8770
72.832550 93.542 -17.8731
73.360321 93.540 -17.8770
73.891922 93.538 -17.8911
74.427376 93.535 -17.9120
74.966705 93.530 -17.9366
75.509949 93.525 -17.9659
76.057121 93.520 -17.9993
76.608261 93.514 -18.0379
77.163399 93.507 -18.0837
77.722557 93.499 -18.1339
78.285767 93.489 -18.1874
