* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Denon_D9200_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:27:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Denon_D9200_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Denon_D9200_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.558 1.3470
5.036232 88.558 1.3431
5.072727 88.559 1.3390
5.109486 88.560 1.3349
5.146511 88.561 1.3300
5.183805 88.562 1.3233
5.221369 88.564 1.3160
5.259205 88.565 1.3092
5.297316 88.567 1.3020
5.335702 88.569 1.2936
5.374367 88.571 1.2850
5.413311 88.573 1.2770
5.452538 88.574 1.2690
5.492050 88.575 1.2606
5.531847 88.577 1.2520
5.571934 88.579 1.2436
5.612310 88.581 1.2350
5.652979 88.583 1.2260
5.693943 88.584 1.2170
5.735204 88.585 1.2085
5.776763 88.587 1.2000
5.818624 88.589 1.1911
5.860788 88.591 1.1820
5.903258 88.593 1.1731
5.946035 88.594 1.1640
5.989123 88.595 1.1546
6.032523 88.597 1.1450
6.076237 88.599 1.1355
6.120268 88.601 1.1260
6.164618 88.603 1.1165
6.209289 88.604 1.1070
6.254284 88.605 1.0976
6.299605 88.607 1.0880
6.345255 88.609 1.0780
6.391235 88.611 1.0680
6.437549 88.613 1.0586
6.484198 88.614 1.0490
6.531185 88.615 1.0386
6.578513 88.617 1.0280
6.626183 88.619 1.0180
6.674199 88.621 1.0080
6.722563 88.623 0.9976
6.771278 88.624 0.9870
6.820345 88.625 0.9760
6.869768 88.627 0.9650
6.919549 88.629 0.9545
6.969691 88.631 0.9440
7.020196 88.633 0.9331
7.071068 88.634 0.9220
7.122308 88.635 0.9111
7.173919 88.637 0.9000
7.225904 88.639 0.8886
7.278266 88.641 0.8770
7.331007 88.642 0.8655
7.384131 88.644 0.8540
7.437639 88.646 0.8426
7.491535 88.648 0.8310
7.545822 88.650 0.8191
7.600502 88.651 0.8070
7.655579 88.652 0.7951
7.711054 88.654 0.7830
7.766932 88.656 0.7706
7.823214 88.658 0.7580
7.879904 88.660 0.7455
7.937005 88.661 0.7330
7.994520 88.662 0.7206
8.052452 88.664 0.7080
8.110803 88.666 0.6951
8.169578 88.668 0.6820
8.228777 88.670 0.6685
8.288406 88.671 0.6550
8.348468 88.672 0.6420
8.408964 88.674 0.6290
8.469899 88.676 0.6156
8.531276 88.678 0.6020
8.593097 88.680 0.5881
8.655366 88.681 0.5740
8.718086 88.682 0.5601
8.781260 88.684 0.5460
8.844893 88.686 0.5316
8.908987 88.688 0.5170
8.973545 88.690 0.5026
9.038571 88.691 0.4880
9.104069 88.692 0.4731
9.170040 88.694 0.4580
9.236490 88.696 0.4430
9.303422 88.698 0.4280
9.370838 88.700 0.4131
9.438744 88.701 0.3980
9.507140 88.702 0.3821
9.576033 88.704 0.3660
9.645425 88.706 0.3506
9.715320 88.708 0.3350
9.785721 88.710 0.3186
9.856632 88.711 0.3020
9.928058 88.712 0.2855
10.000000 88.714 0.2690
10.072464 88.716 0.2526
10.145453 88.718 0.2360
10.218971 88.720 0.2191
10.293022 88.721 0.2020
10.367610 88.722 0.1846
10.442738 88.724 0.1670
10.518411 88.726 0.1496
10.594631 88.728 0.1320
10.671404 88.729 0.1136
10.748734 88.731 0.0950
10.826623 88.733 0.0771
10.905077 88.735 0.0590
10.984100 88.737 0.0401
11.063695 88.738 0.0210
11.143867 88.739 0.0021
11.224621 88.741 -0.0170
11.305959 88.743 -0.0364
11.387886 88.745 -0.0560
11.470407 88.747 -0.0759
11.553527 88.748 -0.0960
11.637249 88.749 -0.1159
11.721577 88.751 -0.1360
11.806517 88.753 -0.1569
11.892071 88.755 -0.1780
11.978246 88.757 -0.1989
12.065045 88.758 -0.2200
12.152473 88.759 -0.2414
12.240536 88.761 -0.2630
12.329235 88.763 -0.2849
12.418578 88.765 -0.3070
12.508568 88.767 -0.3289
12.599211 88.768 -0.3510
12.690510 88.769 -0.3738
12.782471 88.771 -0.3970
12.875097 88.773 -0.4204
12.968395 88.775 -0.4440
13.062370 88.777 -0.4674
13.157025 88.778 -0.4910
13.252366 88.779 -0.5153
13.348398 88.781 -0.5400
13.445127 88.783 -0.5649
13.542556 88.785 -0.5900
13.640691 88.787 -0.6154
13.739536 88.788 -0.6410
13.839099 88.789 -0.6669
13.939383 88.791 -0.6930
14.040393 88.793 -0.7193
14.142136 88.795 -0.7460
14.244616 88.797 -0.7733
14.347837 88.798 -0.8010
14.451808 88.799 -0.8289
14.556532 88.801 -0.8570
14.662014 88.803 -0.8853
14.768262 88.805 -0.9140
14.875278 88.807 -0.9433
14.983070 88.808 -0.9730
15.091644 88.809 -1.0028
15.201005 88.811 -1.0330
15.311157 88.813 -1.0637
15.422109 88.815 -1.0950
15.533863 88.817 -1.1267
15.646428 88.818 -1.1590
15.759809 88.819 -1.1918
15.874010 88.821 -1.2250
15.989040 88.823 -1.2583
16.104904 88.825 -1.2920
16.221605 88.826 -1.3262
16.339155 88.828 -1.3610
16.457554 88.830 -1.3962
16.576813 88.832 -1.4320
16.696936 88.834 -1.4682
16.817928 88.835 -1.5050
16.939798 88.836 -1.5427
17.062551 88.838 -1.5810
17.186193 88.840 -1.6192
17.310732 88.842 -1.6580
17.436172 88.844 -1.6976
17.562521 88.845 -1.7380
17.689787 88.846 -1.7791
17.817974 88.848 -1.8210
17.947090 88.850 -1.8632
18.077143 88.852 -1.9060
18.208138 88.854 -1.9496
18.340080 88.855 -1.9940
18.472980 88.856 -2.0390
18.606844 88.858 -2.0850
18.741676 88.860 -2.1320
18.877487 88.862 -2.1800
19.014280 88.864 -2.2289
19.152065 88.865 -2.2789
19.290850 88.866 -2.3304
19.430639 88.868 -2.3830
19.571442 88.869 -2.4363
19.713264 88.871 -2.4909
19.856115 88.873 -2.5474
20.000000 88.874 -2.6049
20.144928 88.875 -2.6631
20.290907 88.876 -2.7219
20.437943 88.877 -2.7813
20.586044 88.877 -2.8410
20.735220 88.878 -2.9007
20.885475 88.878 -2.9599
21.036821 88.878 -3.0180
21.189262 88.878 -3.0749
21.342808 88.879 -3.1303
21.497467 88.880 -3.1849
21.653246 88.881 -3.2389
21.810154 88.883 -3.2939
21.968201 88.887 -3.3508
22.127390 88.892 -3.4129
22.287735 88.898 -3.4841
22.449242 88.904 -3.5639
22.611917 88.910 -3.6533
22.775772 88.916 -3.7529
22.940815 88.922 -3.8638
23.107054 88.928 -3.9858
23.274498 88.932 -4.1199
23.443153 88.935 -4.2638
23.613033 88.936 -4.4163
23.784142 88.935 -4.5749
23.956491 88.932 -4.7372
24.130091 88.927 -4.9018
24.304947 88.920 -5.0670
24.481071 88.910 -5.2318
24.658470 88.899 -5.3955
24.837156 88.885 -5.5548
25.017136 88.869 -5.7066
25.198421 88.850 -5.8489
25.381020 88.830 -5.9779
25.564941 88.809 -6.0949
25.750195 88.788 -6.1997
25.936790 88.767 -6.2929
26.124741 88.745 -6.3746
26.314051 88.724 -6.4459
26.504732 88.705 -6.5060
26.696796 88.687 -6.5609
26.890253 88.671 -6.6160
27.085112 88.656 -6.6719
27.281382 88.641 -6.7315
27.479073 88.626 -6.7939
27.678198 88.611 -6.8592
27.878765 88.596 -6.9279
28.080786 88.581 -7.0016
28.284271 88.566 -7.0779
28.489231 88.548 -7.1556
28.695675 88.529 -7.2319
28.903616 88.509 -7.3030
29.113064 88.488 -7.3699
29.324028 88.467 -7.4325
29.536524 88.445 -7.4909
29.750557 88.422 -7.5459
29.966141 88.399 -7.5959
30.183289 88.376 -7.6393
30.402010 88.352 -7.6770
30.622314 88.328 -7.7089
30.844217 88.304 -7.7360
31.067726 88.280 -7.7588
31.292856 88.256 -7.7780
31.519617 88.232 -7.7947
31.748020 88.208 -7.8080
31.978081 88.183 -7.8174
32.209808 88.158 -7.8230
32.443211 88.133 -7.8251
32.678310 88.107 -7.8230
32.915108 88.080 -7.8176
33.153625 88.052 -7.8050
33.393871 88.023 -7.7823
33.635857 87.993 -7.7481
33.879597 87.963 -7.7001
34.125103 87.933 -7.6381
34.372387 87.903 -7.5607
34.621464 87.873 -7.4691
34.872345 87.846 -7.3633
35.125042 87.820 -7.2461
35.379574 87.796 -7.1202
35.635948 87.773 -6.9862
35.894180 87.752 -6.8448
36.154285 87.734 -6.6992
36.416275 87.719 -6.5527
36.680161 87.705 -6.4052
36.945961 87.692 -6.2591
37.213688 87.679 -6.1112
37.483353 87.667 -5.9590
37.754974 87.657 -5.8032
38.028561 87.649 -5.6435
38.304131 87.643 -5.4802
38.581699 87.638 -5.3131
38.861279 87.635 -5.1433
39.142883 87.636 -4.9696
39.426529 87.640 -4.7992
39.712231 87.648 -4.6373
40.000000 87.660 -4.4882
40.289856 87.675 -4.3578
40.581814 87.692 -4.2471
40.875885 87.711 -4.1599
41.172089 87.730 -4.0941
41.470440 87.749 -4.0499
41.770950 87.767 -4.0250
42.073643 87.784 -4.0181
42.378525 87.801 -4.0270
42.685616 87.816 -4.0496
42.994934 87.830 -4.0839
43.306492 87.843 -4.1264
43.620308 87.856 -4.1799
43.936401 87.869 -4.2462
44.254780 87.881 -4.3259
44.575470 87.892 -4.4203
44.898483 87.901 -4.5288
45.223835 87.908 -4.6509
45.551544 87.914 -4.7868
45.881630 87.918 -4.9379
46.214108 87.919 -5.1007
46.548996 87.916 -5.2736
46.886307 87.910 -5.4527
47.226067 87.900 -5.6341
47.568283 87.886 -5.8167
47.912983 87.869 -5.9987
48.260181 87.849 -6.1777
48.609894 87.825 -6.3517
48.962143 87.798 -6.5178
49.316940 87.767 -6.6726
49.674313 87.732 -6.8148
50.034271 87.696 -6.9416
50.396843 87.657 -7.0538
50.762039 87.616 -7.1519
51.129883 87.572 -7.2339
51.500389 87.527 -7.2985
51.873581 87.479 -7.3439
52.249481 87.430 -7.3687
52.628101 87.379 -7.3710
53.009464 87.327 -7.3485
53.393593 87.274 -7.3021
53.780506 87.221 -7.2319
54.170223 87.168 -7.1382
54.562763 87.115 -7.0213
54.958145 87.063 -6.8812
55.356396 87.012 -6.7173
55.757530 86.961 -6.5313
56.161572 86.912 -6.3251
56.568542 86.865 -6.0984
56.978462 86.819 -5.8517
57.391350 86.774 -5.5845
57.807232 86.732 -5.2959
58.226128 86.692 -4.9875
58.648056 86.655 -4.6604
59.073048 86.620 -4.3156
59.501114 86.589 -3.9530
59.932281 86.562 -3.5777
60.366577 86.540 -3.1936
60.804020 86.522 -2.8037
61.244629 86.507 -2.4123
61.688435 86.496 -2.0197
62.135452 86.489 -1.6273
62.585712 86.485 -1.2357
63.039234 86.483 -0.8460
63.496040 86.484 -0.4577
63.956161 86.488 -0.0704
64.419617 86.494 0.3153
64.886421 86.503 0.6996
65.356621 86.515 1.0813
65.830215 86.531 1.4604
66.307251 86.550 1.8333
66.787743 86.573 2.1970
67.271713 86.600 2.5494
67.759193 86.629 2.8870
68.250206 86.660 3.2104
68.744774 86.694 3.5197
69.242928 86.730 3.8135
69.744690 86.768 4.0902
70.250084 86.807 4.3505
70.759148 86.847 4.5939
71.271896 86.888 4.8226
71.788361 86.930 5.0390
72.308571 86.973 5.2416
72.832550 87.018 5.4303
73.360321 87.064 5.6037
73.891922 87.111 5.7605
74.427376 87.159 5.8998
74.966705 87.208 6.0205
75.509949 87.257 6.1218
76.057121 87.307 6.2021
76.608261 87.356 6.2629
77.163399 87.404 6.3050
77.722557 87.452 6.3290
78.285767 87.500 6.3356
78.853058 87.547 6.3250
79.424461 87.591 6.2966
80.000000 87.634 6.2541
80.579712 87.675 6.2016
81.163628 87.715 6.1381
81.751770 87.754 6.0645
82.344177 87.792 5.9802
82.940880 87.828 5.8843
83.541901 87.862 5.7782
84.147285 87.894 5.6628
84.757050 87.925 5.5392
