* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Bathys_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:46:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Bathys_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal_Bathys_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 92.302 13.4220
5.036232 92.307 13.4133
5.072727 92.312 13.4040
5.109486 92.318 13.3938
5.146511 92.325 13.3820
5.183805 92.334 13.3672
5.221369 92.343 13.3510
5.259205 92.353 13.3348
5.297316 92.363 13.3180
5.335702 92.374 13.3002
5.374367 92.385 13.2820
5.413311 92.396 13.2641
5.452538 92.407 13.2460
5.492050 92.418 13.2276
5.531847 92.429 13.2090
5.571934 92.440 13.1901
5.612310 92.451 13.1710
5.652979 92.462 13.1520
5.693943 92.473 13.1330
5.735204 92.484 13.1141
5.776763 92.495 13.0950
5.818624 92.506 13.0756
5.860788 92.517 13.0560
5.903258 92.528 13.0361
5.946035 92.539 13.0160
5.989123 92.550 12.9961
6.032523 92.561 12.9760
6.076237 92.571 12.9556
6.120268 92.582 12.9350
6.164618 92.593 12.9146
6.209289 92.604 12.8940
6.254284 92.615 12.8731
6.299605 92.626 12.8520
6.345255 92.637 12.8311
6.391235 92.648 12.8100
6.437549 92.659 12.7886
6.484198 92.670 12.7670
6.531185 92.681 12.7451
6.578513 92.692 12.7230
6.626183 92.703 12.7011
6.674199 92.714 12.6790
6.722563 92.725 12.6566
6.771278 92.736 12.6340
6.820345 92.747 12.6111
6.869768 92.758 12.5880
6.919549 92.769 12.5651
6.969691 92.780 12.5420
7.020196 92.791 12.5186
7.071068 92.802 12.4950
7.122308 92.813 12.4711
7.173919 92.824 12.4470
7.225904 92.835 12.4231
7.278266 92.846 12.3990
7.331007 92.857 12.3746
7.384131 92.868 12.3500
7.437639 92.879 12.3251
7.491535 92.890 12.3000
7.545822 92.901 12.2746
7.600502 92.912 12.2490
7.655579 92.923 12.2236
7.711054 92.934 12.1980
7.766932 92.945 12.1721
7.823214 92.956 12.1460
7.879904 92.967 12.1196
7.937005 92.978 12.0930
7.994520 92.989 12.0666
8.052452 93.000 12.0400
8.110803 93.010 12.0126
8.169578 93.021 11.9850
8.228777 93.032 11.9576
8.288406 93.043 11.9300
8.348468 93.054 11.9021
8.408964 93.065 11.8740
8.469899 93.076 11.8456
8.531276 93.087 11.8170
8.593097 93.098 11.7886
8.655366 93.109 11.7600
8.718086 93.120 11.7306
8.781260 93.131 11.7010
8.844893 93.142 11.6716
8.908987 93.153 11.6420
8.973545 93.164 11.6116
9.038571 93.175 11.5810
9.104069 93.186 11.5506
9.170040 93.197 11.5200
9.236490 93.208 11.4891
9.303422 93.219 11.4580
9.370838 93.230 11.4266
9.438744 93.241 11.3950
9.507140 93.252 11.3631
9.576033 93.263 11.3310
9.645425 93.274 11.2986
9.715320 93.285 11.2660
9.785721 93.296 11.2331
9.856632 93.307 11.2000
9.928058 93.318 11.1666
10.000000 93.329 11.1330
10.072464 93.340 11.0992
10.145453 93.351 11.0650
10.218971 93.362 11.0306
10.293022 93.373 10.9960
10.367610 93.384 10.9611
10.442738 93.395 10.9260
10.518411 93.406 10.8906
10.594631 93.417 10.8550
10.671404 93.428 10.8191
10.748734 93.439 10.7830
10.826623 93.449 10.7467
10.905077 93.460 10.7100
10.984100 93.471 10.6727
11.063695 93.482 10.6350
11.143867 93.493 10.5976
11.224621 93.504 10.5600
11.305959 93.515 10.5217
11.387886 93.526 10.4830
11.470407 93.537 10.4441
11.553527 93.548 10.4050
11.637249 93.559 10.3656
11.721577 93.570 10.3260
11.806517 93.581 10.2862
11.892071 93.592 10.2460
11.978246 93.603 10.2052
12.065045 93.614 10.1640
12.152473 93.625 10.1226
12.240536 93.636 10.0810
12.329235 93.647 10.0392
12.418578 93.658 9.9970
12.508568 93.669 9.9547
12.599211 93.680 9.9120
12.690510 93.691 9.8687
12.782471 93.702 9.8250
12.875097 93.713 9.7812
12.968395 93.724 9.7370
13.062370 93.735 9.6922
13.157025 93.746 9.6470
13.252366 93.757 9.6016
13.348398 93.768 9.5560
13.445127 93.779 9.5102
13.542556 93.790 9.4641
13.640691 93.801 9.4173
13.739536 93.812 9.3700
13.839099 93.823 9.3222
13.939383 93.834 9.2740
14.040393 93.845 9.2257
14.142136 93.856 9.1770
14.244616 93.867 9.1277
14.347837 93.878 9.0780
14.451808 93.889 9.0282
14.556532 93.900 8.9780
14.662014 93.910 8.9273
14.768262 93.921 8.8761
14.875278 93.932 8.8243
14.983070 93.943 8.7721
15.091644 93.954 8.7192
15.201005 93.965 8.6660
15.311157 93.976 8.6128
15.422109 93.987 8.5590
15.533863 93.998 8.5043
15.646428 94.009 8.4490
15.759809 94.020 8.3932
15.874010 94.031 8.3370
15.989040 94.042 8.2808
16.104904 94.053 8.2240
16.221605 94.064 8.1664
16.339155 94.075 8.1081
16.457554 94.086 8.0493
16.576813 94.097 7.9900
16.696936 94.108 7.9303
16.817928 94.119 7.8700
16.939798 94.130 7.8094
17.062551 94.141 7.7481
17.186193 94.152 7.6859
17.310732 94.163 7.6230
17.436172 94.174 7.5594
17.562521 94.185 7.4950
17.689787 94.196 7.4304
17.817974 94.207 7.3651
17.947090 94.218 7.2985
18.077143 94.229 7.2310
18.208138 94.240 7.1631
18.340080 94.251 7.0941
18.472980 94.262 7.0237
18.606844 94.273 6.9520
18.741676 94.284 6.8793
18.877487 94.295 6.8051
19.014280 94.306 6.7291
19.152065 94.317 6.6511
19.290850 94.328 6.5708
19.430639 94.338 6.4881
19.571442 94.348 6.4023
19.713264 94.358 6.3141
19.856115 94.367 6.2230
20.000000 94.375 6.1311
20.144928 94.383 6.0395
20.290907 94.389 5.9501
20.437943 94.393 5.8643
20.586044 94.397 5.7841
20.735220 94.401 5.7114
20.885475 94.404 5.6471
21.036821 94.406 5.5931
21.189262 94.409 5.5481
21.342808 94.414 5.5121
21.497467 94.420 5.4820
21.653246 94.428 5.4553
21.810154 94.437 5.4300
21.968201 94.448 5.4041
22.127390 94.460 5.3750
22.287735 94.474 5.3398
22.449242 94.489 5.2980
22.611917 94.504 5.2479
22.775772 94.520 5.1901
22.940815 94.536 5.1239
23.107054 94.551 5.0521
23.274498 94.565 4.9768
23.443153 94.578 4.8991
23.613033 94.591 4.8210
23.784142 94.604 4.7421
23.956491 94.617 4.6614
24.130091 94.629 4.5821
24.304947 94.639 4.5072
24.481071 94.649 4.4361
24.658470 94.661 4.3707
24.837156 94.674 4.3071
25.017136 94.688 4.2411
25.198421 94.702 4.1751
25.381020 94.717 4.1112
25.564941 94.733 4.0451
25.750195 94.751 3.9738
25.936790 94.771 3.8951
26.124741 94.790 3.8048
26.314051 94.810 3.7051
26.504732 94.830 3.5970
26.696796 94.849 3.4801
26.890253 94.868 3.3536
27.085112 94.886 3.2212
27.281382 94.901 3.0853
27.479073 94.915 2.9482
27.678198 94.929 2.8132
27.878765 94.942 2.6792
28.080786 94.955 2.5457
28.284271 94.968 2.4132
28.489231 94.980 2.2829
28.695675 94.993 2.1522
28.903616 95.007 2.0187
29.113064 95.022 1.8822
29.324028 95.035 1.7413
29.536524 95.048 1.5972
29.750557 95.061 1.4506
29.966141 95.073 1.3012
30.183289 95.085 1.1477
30.402010 95.097 0.9932
30.622314 95.106 0.8399
30.844217 95.115 0.6892
31.067726 95.123 0.5439
31.292856 95.132 0.4022
31.519617 95.141 0.2629
31.748020 95.151 0.1262
31.978081 95.160 -0.0080
32.209808 95.170 -0.1398
32.443211 95.181 -0.2685
32.678310 95.193 -0.3968
32.915108 95.206 -0.5265
33.153625 95.221 -0.6598
33.393871 95.237 -0.8001
33.635857 95.253 -0.9468
33.879597 95.269 -1.1008
34.125103 95.286 -1.2618
34.372387 95.304 -1.4293
34.621464 95.322 -1.6047
34.872345 95.340 -1.7896
35.125042 95.357 -1.9828
35.379574 95.375 -2.1837
35.635948 95.392 -2.3927
35.894180 95.409 -2.6098
36.154285 95.425 -2.8357
36.416275 95.441 -3.0712
36.680161 95.457 -3.3166
36.945961 95.473 -3.5727
37.213688 95.487 -3.8386
37.483353 95.499 -4.1141
37.754974 95.510 -4.3976
38.028561 95.519 -4.6878
38.304131 95.526 -4.9836
38.581699 95.531 -5.2842
38.861279 95.535 -5.5875
39.142883 95.536 -5.8920
39.426529 95.535 -6.1956
39.712231 95.532 -6.4961
40.000000 95.528 -6.7926
40.289856 95.522 -7.0825
40.581814 95.514 -7.3676
40.875885 95.506 -7.6487
41.172089 95.498 -7.9256
41.470440 95.488 -8.1986
41.770950 95.478 -8.4666
42.073643 95.467 -8.7274
42.378525 95.455 -8.9836
42.685616 95.444 -9.2375
42.994934 95.432 -9.4886
43.306492 95.419 -9.7378
43.620308 95.406 -9.9836
43.936401 95.393 -10.2244
44.254780 95.379 -10.4616
44.575470 95.366 -10.6961
44.898483 95.352 -10.9276
45.223835 95.338 -11.1560
45.551544 95.324 -11.3827
45.881630 95.311 -11.6090
46.214108 95.297 -11.8356
46.548996 95.283 -12.0645
46.886307 95.269 -12.2926
47.226067 95.253 -12.5173
47.568283 95.237 -12.7396
47.912983 95.222 -12.9596
48.260181 95.207 -13.1786
48.609894 95.192 -13.3987
48.962143 95.177 -13.6187
49.316940 95.161 -13.8375
49.674313 95.145 -14.0567
50.034271 95.130 -14.2765
50.396843 95.116 -14.4997
50.762039 95.102 -14.7289
51.129883 95.087 -14.9636
51.500389 95.071 -15.2043
51.873581 95.054 -15.4496
52.249481 95.037 -15.6986
52.628101 95.018 -15.9506
53.009464 94.997 -16.2051
53.393593 94.974 -16.4596
53.780506 94.950 -16.7120
54.170223 94.924 -16.9606
54.562763 94.897 -17.2037
54.958145 94.868 -17.4396
55.356396 94.837 -17.6666
55.757530 94.806 -17.8837
56.161572 94.774 -18.0885
56.568542 94.743 -18.2837
56.978462 94.712 -18.4700
57.391350 94.682 -18.6507
57.807232 94.654 -18.8286
58.226128 94.626 -19.0057
58.648056 94.599 -19.1848
59.073048 94.572 -19.3657
59.501114 94.545 -19.5494
59.932281 94.517 -19.7357
60.366577 94.489 -19.9257
60.804020 94.461 -20.1167
61.244629 94.431 -20.3071
61.688435 94.399 -20.4947
62.135452 94.366 -20.6766
62.585712 94.333 -20.8537
63.039234 94.300 -21.0256
63.496040 94.267 -21.1927
63.956161 94.234 -21.3552
64.419617 94.200 -21.5137
64.886421 94.167 -21.6687
65.356621 94.134 -21.8217
65.830215 94.102 -21.9750
66.307251 94.069 -22.1277
66.787743 94.036 -22.2794
67.271713 94.002 -22.4307
67.759193 93.969 -22.5825
68.250206 93.936 -22.7337
68.744774 93.902 -22.8838
69.242928 93.867 -23.0327
69.744690 93.832 -23.1805
70.250084 93.797 -23.3267
70.759148 93.761 -23.4715
71.271896 93.724 -23.6137
71.788361 93.687 -23.7515
72.308571 93.649 -23.8867
72.832550 93.612 -24.0211
73.360321 93.575 -24.1538
73.891922 93.537 -24.2844
74.427376 93.498 -24.4128
74.966705 93.459 -24.5373
75.509949 93.420 -24.6608
76.057121 93.382 -24.7860
76.608261 93.343 -24.9108
77.163399 93.302 -25.0344
77.722557 93.260 -25.1548
78.285767 93.218 -25.2682
78.853058 93.175 -25.3778
79.424461 93.133 -25.4860
80.000000 93.090 -25.5908
80.579712 93.045 -25.6917
81.163628 92.999 -25.7868
81.751770 92.953 -25.8730
82.344177 92.907 -25.9528
82.940880 92.861 -26.0287
83.541901 92.815 -26.0989
84.147285 92.768 -26.1625
84.757050 92.721 -26.2199
85.371231 92.675 -26.2703
85.989868 92.628 -26.3159
86.612984 92.582 -26.3591
87.240616 92.535 -26.3979
87.872803 92.489 -26.4306
88.509560 92.442 -26.4589
89.150940 92.396 -26.4844
89.796967 92.350 -26.5060
