* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Clear_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:48:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Clear_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal_Clear_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 78.162 54.5040
5.036232 78.180 54.4895
5.072727 78.200 54.4740
5.109486 78.223 54.4563
5.146511 78.249 54.4360
5.183805 78.281 54.4113
5.221369 78.315 54.3850
5.259205 78.351 54.3599
5.297316 78.388 54.3340
5.335702 78.428 54.3058
5.374367 78.469 54.2770
5.413311 78.509 54.2489
5.452538 78.550 54.2210
5.492050 78.591 54.1931
5.531847 78.631 54.1650
5.571934 78.671 54.1366
5.612310 78.711 54.1080
5.652979 78.751 54.0791
5.693943 78.792 54.0500
5.735204 78.832 54.0206
5.776763 78.873 53.9910
5.818624 78.914 53.9616
5.860788 78.954 53.9320
5.903258 78.994 53.9021
5.946035 79.034 53.8720
5.989123 79.074 53.8416
6.032523 79.115 53.8110
6.076237 79.155 53.7806
6.120268 79.196 53.7500
6.164618 79.236 53.7186
6.209289 79.277 53.6870
6.254284 79.318 53.6556
6.299605 79.358 53.6240
6.345255 79.398 53.5916
6.391235 79.438 53.5590
6.437549 79.478 53.5266
6.484198 79.519 53.4940
6.531185 79.559 53.4611
6.578513 79.600 53.4280
6.626183 79.640 53.3946
6.674199 79.681 53.3610
6.722563 79.722 53.3271
6.771278 79.762 53.2930
6.820345 79.802 53.2586
6.869768 79.842 53.2240
6.919549 79.882 53.1891
6.969691 79.923 53.1540
7.020196 79.963 53.1186
7.071068 80.004 53.0830
7.122308 80.045 53.0472
7.173919 80.085 53.0110
7.225904 80.125 52.9741
7.278266 80.165 52.9370
7.331007 80.205 52.9001
7.384131 80.246 52.8630
7.437639 80.286 52.8256
7.491535 80.327 52.7880
7.545822 80.367 52.7502
7.600502 80.408 52.7120
7.655579 80.449 52.6731
7.711054 80.489 52.6340
7.766932 80.529 52.5951
7.823214 80.569 52.5560
7.879904 80.609 52.5162
7.937005 80.650 52.4760
7.994520 80.690 52.4356
8.052452 80.731 52.3950
8.110803 80.771 52.3542
8.169578 80.812 52.3130
8.228777 80.853 52.2711
8.288406 80.893 52.2290
8.348468 80.933 52.1871
8.408964 80.973 52.1450
8.469899 81.013 52.1023
8.531276 81.054 52.0590
8.593097 81.094 52.0151
8.655366 81.135 51.9710
8.718086 81.176 51.9271
8.781260 81.216 51.8830
8.844893 81.256 51.8382
8.908987 81.296 51.7930
8.973545 81.336 51.7477
9.038571 81.377 51.7020
9.104069 81.417 51.6557
9.170040 81.458 51.6090
9.236490 81.498 51.5622
9.303422 81.539 51.5150
9.370838 81.580 51.4672
9.438744 81.620 51.4190
9.507140 81.660 51.3706
9.576033 81.700 51.3220
9.645425 81.740 51.2732
9.715320 81.781 51.2240
9.785721 81.821 51.1743
9.856632 81.862 51.1240
9.928058 81.902 51.0732
10.000000 81.943 51.0220
10.072464 81.984 50.9707
10.145453 82.024 50.9191
10.218971 82.064 50.8667
10.293022 82.104 50.8140
10.367610 82.144 50.7612
10.442738 82.185 50.7080
10.518411 82.225 50.6543
10.594631 82.266 50.6000
10.671404 82.306 50.5452
10.748734 82.347 50.4900
10.826623 82.388 50.4348
10.905077 82.428 50.3790
10.984100 82.468 50.3223
11.063695 82.508 50.2650
11.143867 82.548 50.2077
11.224621 82.589 50.1500
11.305959 82.629 50.0918
11.387886 82.670 50.0330
11.470407 82.711 49.9737
11.553527 82.751 49.9140
11.637249 82.791 49.8543
11.721577 82.831 49.7941
11.806517 82.871 49.7329
11.892071 82.912 49.6711
11.978246 82.952 49.6088
12.065045 82.993 49.5460
12.152473 83.033 49.4827
12.240536 83.074 49.4190
12.329235 83.115 49.3553
12.418578 83.155 49.2911
12.508568 83.195 49.2259
12.599211 83.235 49.1600
12.690510 83.275 49.0933
12.782471 83.316 49.0261
12.875097 83.356 48.9588
12.968395 83.397 48.8910
13.062370 83.437 48.8223
13.157025 83.478 48.7530
13.252366 83.519 48.6833
13.348398 83.559 48.6130
13.445127 83.599 48.5424
13.542556 83.639 48.4711
13.640691 83.679 48.3989
13.739536 83.720 48.3260
13.839099 83.760 48.2529
13.939383 83.801 48.1791
14.040393 83.842 48.1044
14.142136 83.882 48.0290
14.244616 83.922 47.9534
14.347837 83.962 47.8770
14.451808 84.002 47.7994
14.556532 84.043 47.7210
14.662014 84.083 47.6424
14.768262 84.124 47.5631
14.875278 84.164 47.4830
14.983070 84.205 47.4021
15.091644 84.246 47.3204
15.201005 84.286 47.2381
15.311157 84.326 47.1550
15.422109 84.366 47.0711
15.533863 84.406 46.9859
15.646428 84.447 46.9001
15.759809 84.487 46.8139
15.874010 84.528 46.7271
15.989040 84.568 46.6391
16.104904 84.609 46.5501
16.221605 84.650 46.4600
16.339155 84.690 46.3691
16.457554 84.730 46.2775
16.576813 84.770 46.1851
16.696936 84.810 46.0915
16.817928 84.851 45.9971
16.939798 84.891 45.9021
17.062551 84.932 45.8061
17.186193 84.973 45.7087
17.310732 85.013 45.6101
17.436172 85.053 45.5106
17.562521 85.093 45.4101
17.689787 85.133 45.3087
17.817974 85.174 45.2061
17.947090 85.214 45.1017
18.077143 85.255 44.9961
18.208138 85.295 44.8897
18.340080 85.336 44.7821
18.472980 85.377 44.6729
18.606844 85.417 44.5621
18.741676 85.457 44.4495
18.877487 85.497 44.3351
19.014280 85.537 44.2188
19.152065 85.578 44.1001
19.290850 85.618 43.9789
19.430639 85.658 43.8551
19.571442 85.698 43.7281
19.713264 85.738 43.5992
19.856115 85.776 43.4687
20.000000 85.814 43.3381
20.144928 85.851 43.2085
20.290907 85.888 43.0811
20.437943 85.924 42.9577
20.586044 85.960 42.8381
20.735220 85.997 42.7232
20.885475 86.034 42.6111
21.036821 86.072 42.5001
21.189262 86.110 42.3901
21.342808 86.148 42.2817
21.497467 86.188 42.1721
21.653246 86.229 42.0594
21.810154 86.272 41.9422
21.968201 86.315 41.8183
22.127390 86.359 41.6881
22.287735 86.402 41.5517
22.449242 86.446 41.4081
22.611917 86.490 41.2570
22.775772 86.535 41.0972
22.940815 86.579 40.9270
23.107054 86.622 40.7472
23.274498 86.665 40.5581
23.443153 86.707 40.3603
23.613033 86.747 40.1537
23.784142 86.785 39.9412
23.956491 86.822 39.7249
24.130091 86.857 39.5063
24.304947 86.890 39.2860
24.481071 86.920 39.0683
24.658470 86.948 38.8573
24.837156 86.974 38.6543
25.017136 87.000 38.4620
25.198421 87.025 38.2792
25.381020 87.050 38.1063
25.564941 87.076 37.9412
25.750195 87.103 37.7828
25.936790 87.130 37.6282
26.124741 87.159 37.4741
26.314051 87.188 37.3202
26.504732 87.217 37.1656
26.696796 87.247 37.0092
26.890253 87.278 36.8496
27.085112 87.308 36.6872
27.281382 87.337 36.5207
27.479073 87.366 36.3532
27.678198 87.394 36.1878
27.878765 87.422 36.0232
28.080786 87.450 35.8599
28.284271 87.479 35.6962
28.489231 87.507 35.5303
28.695675 87.535 35.3632
28.903616 87.563 35.1952
29.113064 87.590 35.0272
29.324028 87.616 34.8597
29.536524 87.642 34.6942
29.750557 87.667 34.5322
29.966141 87.691 34.3742
30.183289 87.715 34.2212
30.402010 87.740 34.0732
30.622314 87.765 33.9306
30.844217 87.790 33.7922
31.067726 87.816 33.6572
31.292856 87.843 33.5242
31.519617 87.871 33.3914
31.748020 87.900 33.2582
31.978081 87.929 33.1232
32.209808 87.959 32.9872
32.443211 87.989 32.8501
32.678310 88.020 32.7122
32.915108 88.051 32.5739
33.153625 88.083 32.4342
33.393871 88.117 32.2934
33.635857 88.152 32.1482
33.879597 88.189 31.9962
34.125103 88.227 31.8342
34.372387 88.267 31.6593
34.621464 88.308 31.4683
34.872345 88.349 31.2567
35.125042 88.390 31.0253
35.379574 88.429 30.7722
35.635948 88.466 30.5013
35.894180 88.500 30.2135
36.154285 88.530 29.9154
36.416275 88.556 29.6123
36.680161 88.577 29.3105
36.945961 88.594 29.0171
37.213688 88.608 28.7344
37.483353 88.621 28.4673
37.754974 88.632 28.2144
38.028561 88.642 27.9766
38.304131 88.651 27.7523
38.581699 88.662 27.5411
38.861279 88.674 27.3393
39.142883 88.686 27.1433
39.426529 88.699 26.9523
39.712231 88.712 26.7638
40.000000 88.726 26.5783
40.289856 88.740 26.3959
40.581814 88.754 26.2153
40.875885 88.769 26.0349
41.172089 88.785 25.8553
41.470440 88.799 25.6765
41.770950 88.814 25.4983
42.073643 88.830 25.3207
42.378525 88.847 25.1423
42.685616 88.863 24.9616
42.994934 88.879 24.7793
43.306492 88.895 24.5951
43.620308 88.911 24.4103
43.936401 88.926 24.2259
44.254780 88.941 24.0413
44.575470 88.957 23.8561
44.898483 88.972 23.6703
45.223835 88.987 23.4838
45.551544 89.001 23.2963
45.881630 89.016 23.1075
46.214108 89.031 22.9173
46.548996 89.045 22.7245
46.886307 89.059 22.5313
47.226067 89.071 22.3396
47.568283 89.083 22.1493
47.912983 89.095 21.9614
48.260181 89.108 21.7743
48.609894 89.120 21.5869
48.962143 89.132 21.3993
49.316940 89.143 21.2120
49.674313 89.155 21.0233
50.034271 89.168 20.8316
50.396843 89.180 20.6373
50.762039 89.190 20.4391
51.129883 89.199 20.2403
51.500389 89.207 20.0435
51.873581 89.215 19.8493
52.249481 89.221 19.6590
52.628101 89.226 19.4743
53.009464 89.230 19.2977
53.393593 89.234 19.1283
53.780506 89.239 18.9667
54.170223 89.245 18.8103
54.562763 89.251 18.6565
54.958145 89.258 18.5052
55.356396 89.265 18.3561
55.757530 89.273 18.2072
56.161572 89.282 18.0569
56.568542 89.292 17.9043
56.978462 89.301 17.7468
57.391350 89.310 17.5873
57.807232 89.318 17.4277
58.226128 89.326 17.2683
58.648056 89.333 17.1103
59.073048 89.341 16.9523
59.501114 89.349 16.7933
59.932281 89.358 16.6333
60.366577 89.366 16.4713
60.804020 89.373 16.3093
61.244629 89.380 16.1488
61.688435 89.386 15.9893
62.135452 89.393 15.8303
62.585712 89.399 15.6723
63.039234 89.405 15.5150
63.496040 89.410 15.3593
63.956161 89.416 15.2063
64.419617 89.422 15.0543
64.886421 89.428 14.9016
65.356621 89.434 14.7483
65.830215 89.440 14.5938
66.307251 89.446 14.4383
66.787743 89.452 14.2816
67.271713 89.458 14.1243
67.759193 89.462 13.9659
68.250206 89.466 13.8093
68.744774 89.469 13.6572
69.242928 89.471 13.5103
69.744690 89.473 13.3706
70.250084 89.475 13.2363
70.759148 89.478 13.1071
71.271896 89.483 12.9802
71.788361 89.489 12.8527
72.308571 89.496 12.7242
72.832550 89.503 12.5942
73.360321 89.510 12.4613
73.891922 89.519 12.3244
74.427376 89.528 12.1823
74.966705 89.537 12.0323
75.509949 89.546 11.8763
76.057121 89.554 11.7144
76.608261 89.561 11.5483
77.163399 89.568 11.3797
77.722557 89.574 11.2084
78.285767 89.579 11.0340
78.853058 89.583 10.8584
79.424461 89.586 10.6829
80.000000 89.589 10.5083
80.579712 89.590 10.3361
81.163628 89.591 10.1663
81.751770 89.592 9.9999
82.344177 89.592 9.8363
82.940880 89.592 9.6758
83.541901 89.592 9.5173
84.147285 89.592 9.3603
84.757050 89.592 9.2043
85.371231 89.592 9.0489
85.989868 89.592 8.8933
86.612984 89.592 8.7363
87.240616 89.592 8.5783
87.872803 89.591 8.4194
88.509560 89.590 8.2593
89.150940 89.589 8.0969
89.796967 89.587 7.9343
90.447670 89.584 7.7727
91.103088 89.579 7.6143
91.763260 89.573 7.4621
92.428215 89.567 7.3153
93.097992 89.562 7.1744
93.772614 89.556 7.0393
94.452133 89.550 6.9103
95.136566 89.544 6.7863
95.825966 89.540 6.6669
96.520363 89.536 6.5493
