* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Stellia_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:52:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Stellia_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal_Stellia_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 89.703 11.6130
5.036232 89.707 11.6067
5.072727 89.711 11.6000
5.109486 89.717 11.5925
5.146511 89.723 11.5840
5.183805 89.730 11.5739
5.221369 89.738 11.5630
5.259205 89.746 11.5518
5.297316 89.754 11.5400
5.335702 89.763 11.5271
5.374367 89.773 11.5140
5.413311 89.782 11.5015
5.452538 89.791 11.4890
5.492050 89.800 11.4761
5.531847 89.810 11.4630
5.571934 89.819 11.4501
5.612310 89.828 11.4370
5.652979 89.837 11.4235
5.693943 89.846 11.4100
5.735204 89.855 11.3971
5.776763 89.865 11.3840
5.818624 89.874 11.3701
5.860788 89.883 11.3560
5.903258 89.893 11.3425
5.946035 89.902 11.3290
5.989123 89.911 11.3151
6.032523 89.920 11.3010
6.076237 89.929 11.2871
6.120268 89.939 11.2730
6.164618 89.948 11.2586
6.209289 89.957 11.2440
6.254284 89.966 11.2296
6.299605 89.975 11.2150
6.345255 89.984 11.2001
6.391235 89.994 11.1850
6.437549 90.003 11.1701
6.484198 90.012 11.1550
6.531185 90.021 11.1396
6.578513 90.031 11.1240
6.626183 90.040 11.1085
6.674199 90.049 11.0930
6.722563 90.059 11.0776
6.771278 90.068 11.0620
6.820345 90.077 11.0461
6.869768 90.086 11.0300
6.919549 90.095 11.0141
6.969691 90.104 10.9980
7.020196 90.113 10.9816
7.071068 90.123 10.9650
7.122308 90.132 10.9481
7.173919 90.141 10.9310
7.225904 90.150 10.9140
7.278266 90.160 10.8970
7.331007 90.169 10.8801
7.384131 90.178 10.8630
7.437639 90.187 10.8456
7.491535 90.196 10.8280
7.545822 90.205 10.8106
7.600502 90.215 10.7930
7.655579 90.224 10.7751
7.711054 90.233 10.7570
7.766932 90.243 10.7386
7.823214 90.252 10.7200
7.879904 90.261 10.7015
7.937005 90.270 10.6830
7.994520 90.279 10.6646
8.052452 90.289 10.6460
8.110803 90.298 10.6266
8.169578 90.307 10.6070
8.228777 90.316 10.5875
8.288406 90.325 10.5680
8.348468 90.334 10.5486
8.408964 90.344 10.5290
8.469899 90.353 10.5091
8.531276 90.362 10.4890
8.593097 90.371 10.4686
8.655366 90.381 10.4480
8.718086 90.390 10.4276
8.781260 90.399 10.4070
8.844893 90.409 10.3861
8.908987 90.418 10.3650
8.973545 90.427 10.3436
9.038571 90.436 10.3220
9.104069 90.445 10.3006
9.170040 90.454 10.2790
9.236490 90.464 10.2571
9.303422 90.473 10.2350
9.370838 90.482 10.2126
9.438744 90.491 10.1900
9.507140 90.500 10.1676
9.576033 90.510 10.1450
9.645425 90.519 10.1221
9.715320 90.528 10.0990
9.785721 90.537 10.0756
9.856632 90.546 10.0520
9.928058 90.555 10.0281
10.000000 90.565 10.0040
10.072464 90.574 9.9801
10.145453 90.583 9.9560
10.218971 90.592 9.9316
10.293022 90.602 9.9070
10.367610 90.611 9.8821
10.442738 90.620 9.8570
10.518411 90.630 9.8316
10.594631 90.639 9.8060
10.671404 90.648 9.7801
10.748734 90.657 9.7540
10.826623 90.666 9.7281
10.905077 90.675 9.7020
10.984100 90.684 9.6757
11.063695 90.694 9.6490
11.143867 90.703 9.6216
11.224621 90.712 9.5940
11.305959 90.721 9.5666
11.387886 90.731 9.5390
11.470407 90.740 9.5111
11.553527 90.749 9.4830
11.637249 90.758 9.4546
11.721577 90.768 9.4260
11.806517 90.777 9.3972
11.892071 90.786 9.3680
11.978246 90.795 9.3386
12.065045 90.804 9.3090
12.152473 90.813 9.2792
12.240536 90.823 9.2490
12.329235 90.832 9.2181
12.418578 90.841 9.1870
12.508568 90.850 9.1561
12.599211 90.860 9.1250
12.690510 90.869 9.0937
12.782471 90.878 9.0620
12.875097 90.887 9.0297
12.968395 90.896 8.9970
13.062370 90.905 8.9646
13.157025 90.915 8.9320
13.252366 90.924 8.8987
13.348398 90.933 8.8650
13.445127 90.942 8.8312
13.542556 90.952 8.7970
13.640691 90.961 8.7627
13.739536 90.970 8.7280
13.839099 90.979 8.6927
13.939383 90.989 8.6570
14.040393 90.998 8.6211
14.142136 91.007 8.5850
14.244616 91.016 8.5487
14.347837 91.025 8.5120
14.451808 91.035 8.4747
14.556532 91.044 8.4370
14.662014 91.053 8.3992
14.768262 91.062 8.3610
14.875278 91.071 8.3223
14.983070 91.081 8.2830
15.091644 91.090 8.2432
15.201005 91.099 8.2030
15.311157 91.108 8.1627
15.422109 91.118 8.1220
15.533863 91.127 8.0807
15.646428 91.136 8.0390
15.759809 91.145 7.9973
15.874010 91.154 7.9550
15.989040 91.163 7.9118
16.104904 91.173 7.8680
16.221605 91.182 7.8242
16.339155 91.191 7.7801
16.457554 91.200 7.7353
16.576813 91.210 7.6900
16.696936 91.219 7.6443
16.817928 91.228 7.5980
16.939798 91.237 7.5508
17.062551 91.246 7.5031
17.186193 91.255 7.4553
17.310732 91.265 7.4070
17.436172 91.274 7.3578
17.562521 91.283 7.3080
17.689787 91.292 7.2579
17.817974 91.302 7.2071
17.947090 91.311 7.1554
18.077143 91.320 7.1030
18.208138 91.329 7.0499
18.340080 91.339 6.9961
18.472980 91.348 6.9419
18.606844 91.357 6.8870
18.741676 91.366 6.8310
18.877487 91.375 6.7741
19.014280 91.384 6.7164
19.152065 91.394 6.6581
19.290850 91.403 6.5989
19.430639 91.412 6.5390
19.571442 91.421 6.4783
19.713264 91.430 6.4171
19.856115 91.439 6.3560
20.000000 91.448 6.2941
20.144928 91.457 6.2305
20.290907 91.467 6.1651
20.437943 91.477 6.0969
20.586044 91.486 6.0270
20.735220 91.495 5.9556
20.885475 91.503 5.8841
21.036821 91.511 5.8148
21.189262 91.519 5.7461
21.342808 91.528 5.6772
21.497467 91.538 5.6081
21.653246 91.547 5.5385
21.810154 91.556 5.4681
21.968201 91.566 5.3974
22.127390 91.577 5.3231
22.287735 91.589 5.2418
22.449242 91.602 5.1541
22.611917 91.614 5.0593
22.775772 91.625 4.9581
22.940815 91.637 4.8516
23.107054 91.648 4.7382
23.274498 91.659 4.6154
23.443153 91.669 4.4862
23.613033 91.677 4.3525
23.784142 91.684 4.2151
23.956491 91.691 4.0758
24.130091 91.697 3.9332
24.304947 91.702 3.7858
24.481071 91.705 3.6362
24.658470 91.707 3.4866
24.837156 91.708 3.3362
25.017136 91.708 3.1849
25.198421 91.708 3.0322
25.381020 91.707 2.8773
25.564941 91.705 2.7201
25.750195 91.702 2.5597
25.936790 91.697 2.3972
26.124741 91.690 2.2333
26.314051 91.682 2.0692
26.504732 91.672 1.9055
26.696796 91.659 1.7452
26.890253 91.643 1.5906
27.085112 91.624 1.4452
27.281382 91.604 1.3130
27.479073 91.582 1.1942
27.678198 91.559 1.0902
27.878765 91.534 1.0011
28.080786 91.509 0.9279
28.284271 91.483 0.8691
28.489231 91.458 0.8237
28.695675 91.433 0.7910
28.903616 91.408 0.7696
29.113064 91.382 0.7600
29.324028 91.357 0.7619
29.536524 91.332 0.7760
29.750557 91.306 0.8013
29.966141 91.279 0.8419
30.183289 91.252 0.9014
30.402010 91.224 0.9809
30.622314 91.197 1.0826
30.844217 91.171 1.2068
31.067726 91.146 1.3553
31.292856 91.124 1.5257
31.519617 91.105 1.7167
31.748020 91.088 1.9267
31.978081 91.075 2.1541
32.209808 91.065 2.3977
32.443211 91.059 2.6567
32.678310 91.058 2.9276
32.915108 91.062 3.2082
33.153625 91.072 3.4947
33.393871 91.087 3.7840
33.635857 91.108 4.0716
33.879597 91.136 4.3530
34.125103 91.169 4.6236
34.372387 91.208 4.8788
34.621464 91.252 5.1137
34.872345 91.302 5.3234
35.125042 91.357 5.5038
35.379574 91.416 5.6490
35.635948 91.479 5.7589
35.894180 91.543 5.8314
36.154285 91.609 5.8670
36.416275 91.676 5.8647
36.680161 91.743 5.8261
36.945961 91.810 5.7521
37.213688 91.877 5.6432
37.483353 91.943 5.5001
37.754974 92.009 5.3233
38.028561 92.073 5.1139
38.304131 92.136 4.8703
38.581699 92.198 4.5924
38.861279 92.258 4.2775
39.142883 92.317 3.9224
39.426529 92.372 3.5286
39.712231 92.421 3.0948
40.000000 92.465 2.6267
40.289856 92.503 2.1271
40.581814 92.533 1.6028
40.875885 92.555 1.0579
41.172089 92.568 0.5028
41.470440 92.572 -0.0541
41.770950 92.567 -0.6031
42.073643 92.554 -1.1322
42.378525 92.534 -1.6393
42.685616 92.509 -2.1181
42.994934 92.480 -2.5694
43.306492 92.448 -2.9900
43.620308 92.415 -3.3854
43.936401 92.382 -3.7568
44.254780 92.348 -4.1134
44.575470 92.316 -4.4639
44.898483 92.283 -4.8114
45.223835 92.249 -5.1618
45.551544 92.213 -5.5155
45.881630 92.174 -5.8762
46.214108 92.131 -6.2394
46.548996 92.083 -6.6053
46.886307 92.028 -6.9644
47.226067 91.966 -7.3106
47.568283 91.897 -7.6345
47.912983 91.821 -7.9269
48.260181 91.738 -8.1816
48.609894 91.650 -8.3900
48.962143 91.558 -8.5498
49.316940 91.462 -8.6563
49.674313 91.364 -8.7090
50.034271 91.265 -8.7055
50.396843 91.166 -8.6471
50.762039 91.067 -8.5341
51.129883 90.970 -8.3673
51.500389 90.875 -8.1470
51.873581 90.783 -7.8755
52.249481 90.694 -7.5551
52.628101 90.609 -7.1866
53.009464 90.528 -6.7719
53.393593 90.452 -6.3108
53.780506 90.382 -5.8021
54.170223 90.318 -5.2519
54.562763 90.264 -4.6643
54.958145 90.218 -4.0450
55.356396 90.181 -3.3989
55.757530 90.153 -2.7331
56.161572 90.136 -2.0537
56.568542 90.130 -1.3691
56.978462 90.134 -0.6879
57.391350 90.148 -0.0162
57.807232 90.171 0.6378
58.226128 90.203 1.2709
58.648056 90.243 1.8784
59.073048 90.290 2.4571
59.501114 90.344 3.0023
59.932281 90.403 3.5131
60.366577 90.466 3.9861
60.804020 90.533 4.4233
61.244629 90.603 4.8253
61.688435 90.677 5.1924
62.135452 90.753 5.5246
62.585712 90.831 5.8235
63.039234 90.910 6.0905
63.496040 90.990 6.3266
63.956161 91.072 6.5340
64.419617 91.156 6.7107
64.886421 91.241 6.8552
65.356621 91.328 6.9678
65.830215 91.414 7.0487
66.307251 91.501 7.0969
66.787743 91.589 7.1116
67.271713 91.676 7.0931
67.759193 91.762 7.0408
68.250206 91.846 6.9572
68.744774 91.929 6.8444
69.242928 92.010 6.7033
69.744690 92.089 6.5347
70.250084 92.165 6.3414
70.759148 92.238 6.1251
71.271896 92.308 5.8895
71.788361 92.375 5.6389
72.308571 92.439 5.3735
72.832550 92.501 5.0943
73.360321 92.560 4.8035
73.891922 92.615 4.5024
74.427376 92.668 4.1946
74.966705 92.717 3.8841
75.509949 92.765 3.5706
76.057121 92.812 3.2558
76.608261 92.857 2.9376
77.163399 92.901 2.6144
77.722557 92.944 2.2867
78.285767 92.985 1.9559
78.853058 93.026 1.6187
79.424461 93.067 1.2726
80.000000 93.107 0.9167
80.579712 93.145 0.5479
81.163628 93.181 0.1697
81.751770 93.214 -0.2156
82.344177 93.244 -0.6072
82.940880 93.274 -1.0041
83.541901 93.301 -1.4042
84.147285 93.324 -1.8057
84.757050 93.345 -2.2062
85.371231 93.365 -2.6020
85.989868 93.383 -2.9952
86.612984 93.400 -3.3864
87.240616 93.417 -3.7762
87.872803 93.433 -4.1652
88.509560 93.448 -4.5542
89.150940 93.462 -4.9443
89.796967 93.475 -5.3352
90.447670 93.487 -5.7273
91.103088 93.497 -6.1192
91.763260 93.506 -6.5088
92.428215 93.515 -6.8982
93.097992 93.524 -7.2883
