* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Utopia_2022_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:54:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Utopia_2022_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal_Utopia_2022_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 75.954 51.8520
5.036232 75.971 51.8424
5.072727 75.989 51.8320
5.109486 76.010 51.8198
5.146511 76.035 51.8060
5.183805 76.065 51.7904
5.221369 76.097 51.7740
5.259205 76.130 51.7582
5.297316 76.165 51.7420
5.335702 76.202 51.7246
5.374367 76.240 51.7070
5.413311 76.277 51.6899
5.452538 76.315 51.6730
5.492050 76.352 51.6561
5.531847 76.390 51.6390
5.571934 76.427 51.6216
5.612310 76.465 51.6040
5.652979 76.502 51.5865
5.693943 76.540 51.5690
5.735204 76.577 51.5516
5.776763 76.615 51.5340
5.818624 76.653 51.5161
5.860788 76.691 51.4980
5.903258 76.729 51.4801
5.946035 76.766 51.4620
5.989123 76.803 51.4436
6.032523 76.841 51.4250
6.076237 76.878 51.4065
6.120268 76.916 51.3880
6.164618 76.953 51.3696
6.209289 76.991 51.3510
6.254284 77.028 51.3321
6.299605 77.066 51.3130
6.345255 77.103 51.2936
6.391235 77.141 51.2740
6.437549 77.179 51.2545
6.484198 77.217 51.2350
6.531185 77.255 51.2156
6.578513 77.292 51.1960
6.626183 77.329 51.1756
6.674199 77.367 51.1550
6.722563 77.404 51.1350
6.771278 77.442 51.1150
6.820345 77.479 51.0946
6.869768 77.517 51.0740
6.919549 77.554 51.0531
6.969691 77.592 51.0320
7.020196 77.629 51.0111
7.071068 77.667 50.9900
7.122308 77.704 50.9686
7.173919 77.742 50.9470
7.225904 77.780 50.9251
7.278266 77.818 50.9030
7.331007 77.856 50.8811
7.384131 77.893 50.8590
7.437639 77.930 50.8366
7.491535 77.968 50.8140
7.545822 78.005 50.7916
7.600502 78.043 50.7690
7.655579 78.080 50.7461
7.711054 78.118 50.7230
7.766932 78.155 50.6996
7.823214 78.193 50.6760
7.879904 78.230 50.6526
7.937005 78.268 50.6290
7.994520 78.306 50.6046
8.052452 78.344 50.5800
8.110803 78.382 50.5561
8.169578 78.419 50.5320
8.228777 78.456 50.5071
8.288406 78.494 50.4820
8.348468 78.531 50.4571
8.408964 78.569 50.4320
8.469899 78.606 50.4066
8.531276 78.644 50.3810
8.593097 78.681 50.3551
8.655366 78.719 50.3290
8.718086 78.756 50.3031
8.781260 78.794 50.2770
8.844893 78.832 50.2506
8.908987 78.870 50.2240
8.973545 78.908 50.1971
9.038571 78.945 50.1700
9.104069 78.982 50.1426
9.170040 79.020 50.1150
9.236490 79.057 50.0876
9.303422 79.095 50.0600
9.370838 79.132 50.0316
9.438744 79.170 50.0030
9.507140 79.207 49.9746
9.576033 79.245 49.9460
9.645425 79.282 49.9171
9.715320 79.320 49.8880
9.785721 79.358 49.8591
9.856632 79.396 49.8300
9.928058 79.434 49.8002
10.000000 79.471 49.7700
10.072464 79.508 49.7396
10.145453 79.546 49.7090
10.218971 79.583 49.6786
10.293022 79.621 49.6480
10.367610 79.659 49.6166
10.442738 79.696 49.5850
10.518411 79.733 49.5536
10.594631 79.771 49.5220
10.671404 79.809 49.4902
10.748734 79.846 49.4580
10.826623 79.883 49.4251
10.905077 79.921 49.3920
10.984100 79.959 49.3591
11.063695 79.997 49.3260
11.143867 80.035 49.2926
11.224621 80.072 49.2590
11.305959 80.109 49.2252
11.387886 80.147 49.1910
11.470407 80.184 49.1561
11.553527 80.222 49.1210
11.637249 80.259 49.0861
11.721577 80.297 49.0510
11.806517 80.334 49.0157
11.892071 80.372 48.9800
11.978246 80.409 48.9436
12.065045 80.447 48.9070
12.152473 80.485 48.8706
12.240536 80.523 48.8340
12.329235 80.561 48.7967
12.418578 80.598 48.7590
12.508568 80.635 48.7211
12.599211 80.673 48.6830
12.690510 80.710 48.6447
12.782471 80.748 48.6060
12.875097 80.785 48.5672
12.968395 80.823 48.5280
13.062370 80.860 48.4887
13.157025 80.898 48.4490
13.252366 80.935 48.4086
13.348398 80.973 48.3680
13.445127 81.011 48.3277
13.542556 81.049 48.2870
13.640691 81.087 48.2458
13.739536 81.124 48.2040
13.839099 81.161 48.1616
13.939383 81.199 48.1190
14.040393 81.236 48.0767
14.142136 81.274 48.0340
14.244616 81.311 47.9907
14.347837 81.349 47.9470
14.451808 81.386 47.9032
14.556532 81.424 47.8590
14.662014 81.461 47.8142
14.768262 81.499 47.7691
14.875278 81.536 47.7237
14.983070 81.574 47.6781
15.091644 81.612 47.6317
15.201005 81.650 47.5850
15.311157 81.688 47.5382
15.422109 81.725 47.4910
15.533863 81.762 47.4437
15.646428 81.800 47.3960
15.759809 81.837 47.3477
15.874010 81.875 47.2990
15.989040 81.912 47.2502
16.104904 81.950 47.2010
16.221605 81.987 47.1512
16.339155 82.025 47.1011
16.457554 82.062 47.0507
16.576813 82.100 47.0000
16.696936 82.138 46.9492
16.817928 82.176 46.8980
16.939798 82.214 46.8463
17.062551 82.251 46.7941
17.186193 82.288 46.7412
17.310732 82.326 46.6880
17.436172 82.363 46.6347
17.562521 82.401 46.5810
17.689787 82.438 46.5272
17.817974 82.476 46.4731
17.947090 82.513 46.4187
18.077143 82.551 46.3640
18.208138 82.588 46.3091
18.340080 82.626 46.2541
18.472980 82.664 46.1990
18.606844 82.702 46.1440
18.741676 82.740 46.0889
18.877487 82.777 46.0341
19.014280 82.814 45.9798
19.152065 82.852 45.9261
19.290850 82.890 45.8732
19.430639 82.928 45.8210
19.571442 82.967 45.7699
19.713264 83.006 45.7181
19.856115 83.046 45.6643
20.000000 83.087 45.6071
20.144928 83.128 45.5438
20.290907 83.169 45.4761
20.437943 83.210 45.4048
20.586044 83.250 45.3301
20.735220 83.290 45.2518
20.885475 83.330 45.1711
21.036821 83.369 45.0880
21.189262 83.407 45.0051
21.342808 83.444 44.9258
21.497467 83.482 44.8481
21.653246 83.521 44.7716
21.810154 83.560 44.6951
21.968201 83.599 44.6177
22.127390 83.639 44.5381
22.287735 83.680 44.4557
22.449242 83.721 44.3681
22.611917 83.762 44.2718
22.775772 83.803 44.1691
22.940815 83.842 44.0608
23.107054 83.881 43.9482
23.274498 83.919 43.8329
23.443153 83.957 43.7152
23.613033 83.993 43.5948
23.784142 84.027 43.4751
23.956491 84.060 43.3594
24.130091 84.092 43.2481
24.304947 84.124 43.1428
24.481071 84.155 43.0431
24.658470 84.186 42.9494
24.837156 84.217 42.8621
25.017136 84.248 42.7825
25.198421 84.279 42.7091
25.381020 84.311 42.6417
25.564941 84.345 42.5781
25.750195 84.380 42.5165
25.936790 84.417 42.4551
26.124741 84.455 42.3919
26.314051 84.494 42.3251
26.504732 84.535 42.2527
26.696796 84.576 42.1731
26.890253 84.618 42.0835
27.085112 84.660 41.9851
27.281382 84.702 41.8776
27.479073 84.743 41.7632
27.678198 84.783 41.6435
27.878765 84.823 41.5192
28.080786 84.862 41.3906
28.284271 84.901 41.2592
28.489231 84.939 41.1269
28.695675 84.976 40.9922
28.903616 85.014 40.8543
29.113064 85.052 40.7122
29.324028 85.089 40.5647
29.536524 85.126 40.4122
29.750557 85.162 40.2547
29.966141 85.198 40.0922
30.183289 85.232 39.9233
30.402010 85.264 39.7522
30.622314 85.293 39.5813
30.844217 85.321 39.4142
31.067726 85.347 39.2555
31.292856 85.373 39.1042
31.519617 85.398 38.9614
31.748020 85.423 38.8262
31.978081 85.448 38.6983
32.209808 85.474 38.5762
32.443211 85.501 38.4590
32.678310 85.528 38.3442
32.915108 85.556 38.2291
33.153625 85.585 38.1131
33.393871 85.613 37.9935
33.635857 85.641 37.8732
33.879597 85.669 37.7545
34.125103 85.696 37.6372
34.372387 85.724 37.5215
34.621464 85.751 37.4082
34.872345 85.778 37.2976
35.125042 85.805 37.1901
35.379574 85.833 37.0871
35.635948 85.861 36.9861
35.894180 85.891 36.8859
36.154285 85.922 36.7851
36.416275 85.953 36.6828
36.680161 85.985 36.5772
36.945961 86.019 36.4667
37.213688 86.054 36.3492
37.483353 86.089 36.2217
37.754974 86.124 36.0852
38.028561 86.159 35.9399
38.304131 86.193 35.7852
38.581699 86.227 35.6199
38.861279 86.260 35.4463
39.142883 86.290 35.2648
39.426529 86.318 35.0803
39.712231 86.344 34.8981
40.000000 86.369 34.7173
40.289856 86.394 34.5378
40.581814 86.417 34.3613
40.875885 86.438 34.1884
41.172089 86.458 34.0212
41.470440 86.477 33.8631
41.770950 86.497 33.7102
42.073643 86.518 33.5595
42.378525 86.538 33.4122
42.685616 86.557 33.2681
42.994934 86.576 33.1282
43.306492 86.595 32.9942
43.620308 86.614 32.8642
43.936401 86.633 32.7365
44.254780 86.653 32.6122
44.575470 86.672 32.4924
44.898483 86.692 32.3752
45.223835 86.713 32.2597
45.551544 86.735 32.1442
45.881630 86.757 32.0261
46.214108 86.780 31.9062
46.548996 86.802 31.7842
46.886307 86.825 31.6602
47.226067 86.848 31.5346
47.568283 86.871 31.4062
47.912983 86.894 31.2731
48.260181 86.916 31.1372
48.609894 86.937 30.9992
48.962143 86.957 30.8612
49.316940 86.977 30.7261
49.674313 86.997 30.5922
50.034271 87.017 30.4583
50.396843 87.036 30.3252
50.762039 87.054 30.1930
51.129883 87.071 30.0632
51.500389 87.089 29.9375
51.873581 87.107 29.8152
52.249481 87.124 29.6963
52.628101 87.141 29.5802
53.009464 87.159 29.4666
53.393593 87.177 29.3552
53.780506 87.195 29.2452
54.170223 87.214 29.1372
54.562763 87.233 29.0320
54.958145 87.252 28.9272
55.356396 87.273 28.8202
55.757530 87.294 28.7112
56.161572 87.315 28.5987
56.568542 87.335 28.4842
56.978462 87.355 28.3694
57.391350 87.376 28.2522
57.807232 87.398 28.1310
58.226128 87.420 28.0062
58.648056 87.440 27.8771
59.073048 87.459 27.7462
59.501114 87.478 27.6162
59.932281 87.497 27.4862
60.366577 87.515 27.3562
60.804020 87.533 27.2272
61.244629 87.550 27.0999
61.688435 87.566 26.9752
62.135452 87.582 26.8546
62.585712 87.598 26.7372
63.039234 87.615 26.6232
63.496040 87.632 26.5112
63.956161 87.649 26.4001
64.419617 87.667 26.2892
64.886421 87.685 26.1771
65.356621 87.703 26.0642
65.830215 87.722 25.9507
66.307251 87.741 25.8352
66.787743 87.760 25.7159
67.271713 87.779 25.5942
67.759193 87.797 25.4711
68.250206 87.814 25.3472
68.744774 87.832 25.2238
69.242928 87.850 25.1002
69.744690 87.867 24.9765
70.250084 87.885 24.8522
70.759148 87.903 24.7271
71.271896 87.921 24.6002
71.788361 87.938 24.4697
72.308571 87.955 24.3382
72.832550 87.971 24.2081
73.360321 87.987 24.0782
73.891922 88.003 23.9487
74.427376 88.020 23.8183
74.966705 88.036 23.6852
75.509949 88.052 23.5512
76.057121 88.067 23.4171
76.608261 88.082 23.2833
77.163399 88.096 23.1512
77.722557 88.111 23.0193
78.285767 88.126 22.8862
78.853058 88.141 22.7523
79.424461 88.155 22.6165
80.000000 88.168 22.4813
80.579712 88.180 22.3496
81.163628 88.193 22.2192
81.751770 88.207 22.0886
82.344177 88.220 21.9583
82.940880 88.232 21.8282
83.541901 88.243 21.6993
84.147285 88.255 21.5731
84.757050 88.268 21.4472
85.371231 88.281 21.3196
85.989868 88.293 21.1913
86.612984 88.305 21.0632
87.240616 88.317 20.9343
87.872803 88.330 20.8037
88.509560 88.342 20.6713
89.150940 88.353 20.5355
89.796967 88.364 20.3993
90.447670 88.374 20.2651
91.103088 88.383 20.1323
91.763260 88.392 20.0010
92.428215 88.401 19.8713
93.097992 88.409 19.7424
93.772614 88.417 19.6163
94.452133 88.425 19.4947
95.136566 88.432 19.3762
95.825966 88.439 19.2604
