* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HEDDphone_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:20:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HEDDphone_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HEDDphone_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.956 22.5810
5.036232 82.963 22.5786
5.072727 82.970 22.5760
5.109486 82.979 22.5732
5.146511 82.990 22.5700
5.183805 83.002 22.5661
5.221369 83.016 22.5620
5.259205 83.030 22.5585
5.297316 83.045 22.5550
5.335702 83.061 22.5509
5.374367 83.077 22.5470
5.413311 83.093 22.5439
5.452538 83.109 22.5410
5.492050 83.125 22.5376
5.531847 83.141 22.5340
5.571934 83.157 22.5305
5.612310 83.173 22.5270
5.652979 83.189 22.5235
5.693943 83.205 22.5200
5.735204 83.221 22.5165
5.776763 83.237 22.5130
5.818624 83.253 22.5095
5.860788 83.269 22.5060
5.903258 83.285 22.5025
5.946035 83.301 22.4990
5.989123 83.317 22.4955
6.032523 83.333 22.4920
6.076237 83.349 22.4886
6.120268 83.365 22.4850
6.164618 83.381 22.4810
6.209289 83.397 22.4770
6.254284 83.413 22.4734
6.299605 83.429 22.4700
6.345255 83.445 22.4666
6.391235 83.461 22.4630
6.437549 83.477 22.4591
6.484198 83.493 22.4550
6.531185 83.509 22.4509
6.578513 83.525 22.4470
6.626183 83.541 22.4435
6.674199 83.557 22.4400
6.722563 83.573 22.4361
6.771278 83.589 22.4320
6.820345 83.605 22.4280
6.869768 83.621 22.4240
6.919549 83.637 22.4200
6.969691 83.653 22.4160
7.020196 83.669 22.4121
7.071068 83.685 22.4080
7.122308 83.701 22.4035
7.173919 83.717 22.3990
7.225904 83.733 22.3949
7.278266 83.749 22.3910
7.331007 83.765 22.3871
7.384131 83.781 22.3830
7.437639 83.797 22.3786
7.491535 83.813 22.3740
7.545822 83.829 22.3695
7.600502 83.845 22.3650
7.655579 83.861 22.3604
7.711054 83.877 22.3560
7.766932 83.893 22.3521
7.823214 83.909 22.3480
7.879904 83.925 22.3431
7.937005 83.941 22.3380
7.994520 83.957 22.3334
8.052452 83.973 22.3290
8.110803 83.989 22.3246
8.169578 84.005 22.3200
8.228777 84.021 22.3150
8.288406 84.037 22.3100
8.348468 84.053 22.3055
8.408964 84.069 22.3010
8.469899 84.085 22.2961
8.531276 84.101 22.2910
8.593097 84.117 22.2860
8.655366 84.133 22.2810
8.718086 84.149 22.2760
8.781260 84.165 22.2710
8.844893 84.181 22.2660
8.908987 84.197 22.2610
8.973545 84.213 22.2561
9.038571 84.229 22.2510
9.104069 84.245 22.2456
9.170040 84.261 22.2400
9.236490 84.277 22.2344
9.303422 84.293 22.2290
9.370838 84.309 22.2240
9.438744 84.325 22.2190
9.507140 84.341 22.2136
9.576033 84.357 22.2080
9.645425 84.373 22.2020
9.715320 84.389 22.1960
9.785721 84.405 22.1904
9.856632 84.421 22.1850
9.928058 84.437 22.1796
10.000000 84.453 22.1740
10.072464 84.469 22.1681
10.145453 84.485 22.1620
10.218971 84.501 22.1560
10.293022 84.517 22.1500
10.367610 84.533 22.1440
10.442738 84.549 22.1380
10.518411 84.565 22.1321
10.594631 84.581 22.1260
10.671404 84.597 22.1196
10.748734 84.613 22.1130
10.826623 84.629 22.1064
10.905077 84.645 22.1000
10.984100 84.661 22.0941
11.063695 84.677 22.0880
11.143867 84.693 22.0811
11.224621 84.709 22.0740
11.305959 84.725 22.0674
11.387886 84.741 22.0610
11.470407 84.757 22.0546
11.553527 84.773 22.0480
11.637249 84.789 22.0411
11.721577 84.805 22.0340
11.806517 84.821 22.0271
11.892071 84.837 22.0200
11.978246 84.853 22.0125
12.065045 84.869 22.0050
12.152473 84.885 21.9980
12.240536 84.901 21.9910
12.329235 84.917 21.9836
12.418578 84.933 21.9760
12.508568 84.949 21.9680
12.599211 84.965 21.9600
12.690510 84.981 21.9525
12.782471 84.997 21.9450
12.875097 85.013 21.9371
12.968395 85.029 21.9290
13.062370 85.045 21.9211
13.157025 85.061 21.9130
13.252366 85.077 21.9046
13.348398 85.093 21.8960
13.445127 85.109 21.8875
13.542556 85.125 21.8790
13.640691 85.141 21.8706
13.739536 85.157 21.8620
13.839099 85.173 21.8531
13.939383 85.189 21.8440
14.040393 85.205 21.8350
14.142136 85.221 21.8260
14.244616 85.237 21.8171
14.347837 85.253 21.8080
14.451808 85.269 21.7986
14.556532 85.285 21.7890
14.662014 85.301 21.7791
14.768262 85.317 21.7690
14.875278 85.333 21.7591
14.983070 85.349 21.7490
15.091644 85.365 21.7386
15.201005 85.381 21.7280
15.311157 85.397 21.7171
15.422109 85.413 21.7060
15.533863 85.429 21.6951
15.646428 85.445 21.6840
15.759809 85.461 21.6726
15.874010 85.477 21.6610
15.989040 85.493 21.6491
16.104904 85.509 21.6370
16.221605 85.525 21.6247
16.339155 85.541 21.6120
16.457554 85.557 21.5986
16.576813 85.573 21.5850
16.696936 85.589 21.5716
16.817928 85.605 21.5580
16.939798 85.621 21.5438
17.062551 85.637 21.5290
17.186193 85.653 21.5137
17.310732 85.669 21.4980
17.436172 85.685 21.4823
17.562521 85.701 21.4660
17.689787 85.717 21.4484
17.817974 85.733 21.4300
17.947090 85.749 21.4113
18.077143 85.765 21.3920
18.208138 85.781 21.3721
18.340080 85.797 21.3510
18.472980 85.813 21.3283
18.606844 85.829 21.3040
18.741676 85.845 21.2786
18.877487 85.861 21.2510
19.014280 85.877 21.2205
19.152065 85.893 21.1870
19.290850 85.909 21.1505
19.430639 85.925 21.1100
19.571442 85.940 21.0642
19.713264 85.954 21.0141
19.856115 85.967 20.9599
20.000000 85.979 20.9031
20.144928 85.989 20.8440
20.290907 85.998 20.7851
20.437943 86.005 20.7279
20.586044 86.010 20.6750
20.735220 86.013 20.6282
20.885475 86.013 20.5910
21.036821 86.011 20.5665
21.189262 86.008 20.5590
21.342808 86.003 20.5738
21.497467 85.997 20.6109
21.653246 85.992 20.6726
21.810154 85.989 20.7579
21.968201 85.988 20.8681
22.127390 85.990 20.9988
22.287735 85.997 21.1500
22.449242 86.009 21.3099
22.611917 86.028 21.4698
22.775772 86.053 21.6208
22.940815 86.084 21.7527
23.107054 86.119 21.8599
23.274498 86.157 21.9334
23.443153 86.197 21.9730
23.613033 86.236 21.9730
23.784142 86.273 21.9410
23.956491 86.305 21.8787
24.130091 86.333 21.7981
24.304947 86.354 21.7090
24.481071 86.370 21.6201
24.658470 86.381 21.5418
24.837156 86.388 21.4791
25.017136 86.391 21.4395
25.198421 86.393 21.4250
25.381020 86.394 21.4417
25.564941 86.397 21.4839
25.750195 86.403 21.5502
25.936790 86.411 21.6339
26.124741 86.423 21.7301
26.314051 86.438 21.8329
26.504732 86.458 21.9365
26.696796 86.482 22.0359
26.890253 86.509 22.1243
27.085112 86.538 22.2009
27.281382 86.569 22.2620
27.479073 86.600 22.3099
27.678198 86.632 22.3446
27.878765 86.663 22.3700
28.080786 86.693 22.3894
28.284271 86.723 22.4040
28.489231 86.754 22.4169
28.695675 86.786 22.4260
28.903616 86.819 22.4312
29.113064 86.853 22.4290
29.324028 86.889 22.4185
29.536524 86.927 22.3920
29.750557 86.969 22.3426
29.966141 87.011 22.2681
30.183289 87.052 22.1625
30.402010 87.090 22.0302
30.622314 87.125 21.8718
30.844217 87.156 21.6932
31.067726 87.182 21.4966
31.292856 87.202 21.2933
31.519617 87.214 21.0926
31.748020 87.221 20.9032
31.978081 87.222 20.7363
32.209808 87.220 20.5942
32.443211 87.215 20.4823
32.678310 87.209 20.4021
32.915108 87.202 20.3587
33.153625 87.196 20.3460
33.393871 87.195 20.3632
33.635857 87.198 20.3999
33.879597 87.206 20.4490
34.125103 87.220 20.4999
34.372387 87.240 20.5429
34.621464 87.264 20.5690
34.872345 87.293 20.5663
35.125042 87.323 20.5341
35.379574 87.352 20.4643
35.635948 87.379 20.3661
35.894180 87.400 20.2421
36.154285 87.416 20.1042
36.416275 87.426 19.9628
36.680161 87.431 19.8262
36.945961 87.431 19.7055
37.213688 87.427 19.6021
37.483353 87.422 19.5235
37.754974 87.416 19.4631
38.028561 87.412 19.4177
38.304131 87.407 19.3840
38.581699 87.401 19.3557
38.861279 87.394 19.3380
39.142883 87.384 19.3314
39.426529 87.372 19.3450
39.712231 87.356 19.3857
40.000000 87.339 19.4599
40.289856 87.321 19.5763
40.581814 87.304 19.7337
40.875885 87.291 19.9375
41.172089 87.283 20.1766
41.470440 87.284 20.4471
41.770950 87.294 20.7325
42.073643 87.314 21.0181
42.378525 87.342 21.2946
42.685616 87.376 21.5487
42.994934 87.416 21.7787
43.306492 87.459 21.9780
43.620308 87.505 22.1488
43.936401 87.552 22.2886
44.254780 87.599 22.4038
44.575470 87.645 22.4989
44.898483 87.691 22.5769
45.223835 87.737 22.6419
45.551544 87.782 22.6949
45.881630 87.826 22.7374
46.214108 87.870 22.7719
46.548996 87.914 22.8020
46.886307 87.958 22.8270
47.226067 88.003 22.8476
47.568283 88.048 22.8630
47.912983 88.093 22.8726
48.260181 88.140 22.8760
48.609894 88.188 22.8737
48.962143 88.237 22.8630
49.316940 88.288 22.8422
49.674313 88.341 22.8091
50.034271 88.395 22.7615
50.396843 88.450 22.6971
50.762039 88.506 22.6137
51.129883 88.563 22.5092
51.500389 88.621 22.3811
51.873581 88.679 22.2293
52.249481 88.735 22.0521
52.628101 88.789 21.8514
53.009464 88.842 21.6281
53.393593 88.893 21.3834
53.780506 88.941 21.1170
54.170223 88.985 20.8335
54.562763 89.024 20.5361
54.958145 89.060 20.2295
55.356396 89.092 19.9194
55.757530 89.121 19.6065
56.161572 89.146 19.2921
56.568542 89.168 18.9805
56.978462 89.185 18.6765
57.391350 89.200 18.3805
57.807232 89.214 18.0959
58.226128 89.226 17.8185
58.648056 89.238 17.5448
59.073048 89.248 17.2764
59.501114 89.256 17.0143
59.932281 89.263 16.7575
60.366577 89.270 16.5057
60.804020 89.276 16.2574
61.244629 89.281 16.0104
61.688435 89.284 15.7664
62.135452 89.286 15.5268
62.585712 89.286 15.2914
63.039234 89.286 15.0605
63.496040 89.284 14.8344
63.956161 89.280 14.6129
64.419617 89.275 14.3984
64.886421 89.269 14.1930
65.356621 89.261 13.9963
65.830215 89.253 13.8082
66.307251 89.243 13.6303
66.787743 89.232 13.4643
67.271713 89.220 13.3103
67.759193 89.208 13.1696
68.250206 89.196 13.0402
68.744774 89.184 12.9203
69.242928 89.173 12.8112
69.744690 89.162 12.7147
70.250084 89.151 12.6282
70.759148 89.143 12.5504
71.271896 89.135 12.4791
71.788361 89.128 12.4118
72.308571 89.121 12.3481
72.832550 89.116 12.2878
73.360321 89.112 12.2281
73.891922 89.109 12.1664
74.427376 89.107 12.1021
74.966705 89.105 12.0330
75.509949 89.103 11.9621
76.057121 89.100 11.8910
76.608261 89.095 11.8221
77.163399 89.089 11.7584
77.722557 89.083 11.7001
78.285767 89.077 11.6487
78.853058 89.071 11.6041
79.424461 89.065 11.5666
80.000000 89.060 11.5361
80.579712 89.056 11.5134
81.163628 89.052 11.4960
81.751770 89.050 11.4818
82.344177 89.048 11.4700
82.940880 89.047 11.4591
83.541901 89.048 11.4490
84.147285 89.049 11.4397
84.757050 89.052 11.4300
85.371231 89.056 11.4196
85.989868 89.060 11.4060
86.612984 89.065 11.3862
87.240616 89.071 11.3611
87.872803 89.077 11.3306
88.509560 89.083 11.2951
89.150940 89.089 11.2543
89.796967 89.095 11.2091
90.447670 89.100 11.1594
91.103088 89.103 11.1081
91.763260 89.105 11.0574
92.428215 89.106 11.0091
93.097992 89.107 10.9663
93.772614 89.107 10.9281
94.452133 89.108 10.8947
95.136566 89.109 10.8661
95.825966 89.110 10.8430
96.520363 89.112 10.8230
