* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_HE1000_V2_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:27:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_HE1000_V2_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HiFiMAN_HE1000_V2_5128_S
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 84.285 23.1770
5.036232 84.293 23.1706
5.072727 84.301 23.1640
5.109486 84.311 23.1570
5.146511 84.322 23.1490
5.183805 84.335 23.1388
5.221369 84.350 23.1280
5.259205 84.365 23.1181
5.297316 84.381 23.1080
5.335702 84.398 23.0967
5.374367 84.415 23.0850
5.413311 84.432 23.0734
5.452538 84.450 23.0620
5.492050 84.467 23.0510
5.531847 84.484 23.0400
5.571934 84.501 23.0286
5.612310 84.518 23.0170
5.652979 84.535 23.0050
5.693943 84.552 22.9930
5.735204 84.569 22.9815
5.776763 84.587 22.9700
5.818624 84.604 22.9581
5.860788 84.621 22.9460
5.903258 84.638 22.9341
5.946035 84.655 22.9220
5.989123 84.672 22.9095
6.032523 84.689 22.8970
6.076237 84.706 22.8850
6.120268 84.724 22.8730
6.164618 84.741 22.8606
6.209289 84.758 22.8480
6.254284 84.775 22.8351
6.299605 84.792 22.8220
6.345255 84.809 22.8090
6.391235 84.826 22.7960
6.437549 84.843 22.7831
6.484198 84.861 22.7700
6.531185 84.878 22.7566
6.578513 84.895 22.7430
6.626183 84.912 22.7295
6.674199 84.929 22.7160
6.722563 84.946 22.7026
6.771278 84.963 22.6890
6.820345 84.980 22.6751
6.869768 84.997 22.6610
6.919549 85.014 22.6470
6.969691 85.032 22.6330
7.020196 85.049 22.6191
7.071068 85.066 22.6050
7.122308 85.083 22.5906
7.173919 85.100 22.5760
7.225904 85.117 22.5611
7.278266 85.134 22.5460
7.331007 85.151 22.5310
7.384131 85.169 22.5160
7.437639 85.186 22.5010
7.491535 85.203 22.4860
7.545822 85.220 22.4711
7.600502 85.237 22.4560
7.655579 85.254 22.4401
7.711054 85.271 22.4240
7.766932 85.288 22.4085
7.823214 85.306 22.3930
7.879904 85.323 22.3771
7.937005 85.340 22.3610
7.994520 85.357 22.3446
8.052452 85.374 22.3280
8.110803 85.391 22.3115
8.169578 85.408 22.2950
8.228777 85.425 22.2786
8.288406 85.443 22.2620
8.348468 85.460 22.2451
8.408964 85.477 22.2280
8.469899 85.494 22.2106
8.531276 85.511 22.1930
8.593097 85.528 22.1755
8.655366 85.545 22.1580
8.718086 85.562 22.1406
8.781260 85.580 22.1230
8.844893 85.597 22.1046
8.908987 85.614 22.0860
8.973545 85.631 22.0681
9.038571 85.648 22.0500
9.104069 85.665 22.0311
9.170040 85.682 22.0120
9.236490 85.699 21.9936
9.303422 85.716 21.9750
9.370838 85.733 21.9556
9.438744 85.751 21.9360
9.507140 85.768 21.9165
9.576033 85.785 21.8970
9.645425 85.802 21.8776
9.715320 85.819 21.8580
9.785721 85.836 21.8381
9.856632 85.853 21.8180
9.928058 85.870 21.7976
10.000000 85.888 21.7770
10.072464 85.905 21.7561
10.145453 85.922 21.7350
10.218971 85.939 21.7141
10.293022 85.956 21.6930
10.367610 85.973 21.6716
10.442738 85.990 21.6500
10.518411 86.007 21.6286
10.594631 86.025 21.6070
10.671404 86.042 21.5851
10.748734 86.059 21.5630
10.826623 86.076 21.5406
10.905077 86.093 21.5180
10.984100 86.110 21.4956
11.063695 86.127 21.4730
11.143867 86.144 21.4496
11.224621 86.162 21.4260
11.305959 86.179 21.4025
11.387886 86.196 21.3790
11.470407 86.213 21.3556
11.553527 86.230 21.3320
11.637249 86.247 21.3076
11.721577 86.264 21.2830
11.806517 86.281 21.2586
11.892071 86.299 21.2340
11.978246 86.316 21.2091
12.065045 86.333 21.1840
12.152473 86.350 21.1586
12.240536 86.367 21.1330
12.329235 86.384 21.1071
12.418578 86.401 21.0810
12.508568 86.418 21.0546
12.599211 86.435 21.0280
12.690510 86.452 21.0016
12.782471 86.470 20.9750
12.875097 86.487 20.9482
12.968395 86.504 20.9210
13.062370 86.521 20.8931
13.157025 86.538 20.8650
13.252366 86.555 20.8371
13.348398 86.572 20.8090
13.445127 86.589 20.7807
13.542556 86.607 20.7520
13.640691 86.624 20.7231
13.739536 86.641 20.6940
13.839099 86.658 20.6646
13.939383 86.675 20.6350
14.040393 86.692 20.6052
14.142136 86.709 20.5750
14.244616 86.726 20.5441
14.347837 86.744 20.5130
14.451808 86.761 20.4821
14.556532 86.778 20.4510
14.662014 86.795 20.4197
14.768262 86.812 20.3880
14.875278 86.829 20.3557
14.983070 86.846 20.3230
15.091644 86.863 20.2902
15.201005 86.881 20.2570
15.311157 86.898 20.2236
15.422109 86.915 20.1900
15.533863 86.932 20.1562
15.646428 86.949 20.1220
15.759809 86.966 20.0871
15.874010 86.983 20.0520
15.989040 87.000 20.0172
16.104904 87.018 19.9820
16.221605 87.035 19.9457
16.339155 87.052 19.9090
16.457554 87.069 19.8727
16.576813 87.086 19.8360
16.696936 87.103 19.7987
16.817928 87.120 19.7610
16.939798 87.137 19.7232
17.062551 87.154 19.6850
17.186193 87.171 19.6462
17.310732 87.189 19.6070
17.436172 87.206 19.5677
17.562521 87.223 19.5280
17.689787 87.240 19.4878
17.817974 87.257 19.4470
17.947090 87.274 19.4057
18.077143 87.291 19.3640
18.208138 87.308 19.3222
18.340080 87.326 19.2800
18.472980 87.343 19.2378
18.606844 87.360 19.1950
18.741676 87.377 19.1513
18.877487 87.394 19.1070
19.014280 87.411 19.0628
19.152065 87.428 19.0181
19.290850 87.445 18.9724
19.430639 87.463 18.9260
19.571442 87.480 18.8793
19.713264 87.497 18.8321
19.856115 87.514 18.7841
20.000000 87.530 18.7360
20.144928 87.546 18.6880
20.290907 87.563 18.6410
20.437943 87.579 18.5960
20.586044 87.596 18.5530
20.735220 87.612 18.5135
20.885475 87.629 18.4750
21.036821 87.648 18.4361
21.189262 87.667 18.3961
21.342808 87.685 18.3535
21.497467 87.704 18.3091
21.653246 87.724 18.2638
21.810154 87.745 18.2151
21.968201 87.767 18.1601
22.127390 87.789 18.1001
22.287735 87.810 18.0351
22.449242 87.832 17.9651
22.611917 87.854 17.8911
22.775772 87.876 17.8101
22.940815 87.899 17.7189
23.107054 87.922 17.6181
23.274498 87.944 17.5062
23.443153 87.964 17.3862
23.613033 87.982 17.2601
23.784142 87.998 17.1301
23.956491 88.012 16.9978
24.130091 88.025 16.8671
24.304947 88.035 16.7423
24.481071 88.043 16.6241
24.658470 88.051 16.5158
24.837156 88.058 16.4151
25.017136 88.066 16.3213
25.198421 88.075 16.2331
25.381020 88.083 16.1498
25.564941 88.091 16.0691
25.750195 88.102 15.9896
25.936790 88.113 15.9081
26.124741 88.124 15.8197
26.314051 88.134 15.7281
26.504732 88.143 15.6348
26.696796 88.151 15.5411
26.890253 88.159 15.4490
27.085112 88.166 15.3591
27.281382 88.172 15.2717
27.479073 88.177 15.1891
27.678198 88.181 15.1139
27.878765 88.186 15.0451
28.080786 88.191 14.9840
28.284271 88.198 14.9261
28.489231 88.206 14.8683
28.695675 88.215 14.8071
28.903616 88.226 14.7390
29.113064 88.237 14.6611
29.324028 88.249 14.5687
29.536524 88.259 14.4641
29.750557 88.266 14.3459
29.966141 88.271 14.2211
30.183289 88.272 14.0950
30.402010 88.269 13.9721
30.622314 88.262 13.8569
30.844217 88.252 13.7561
31.067726 88.238 13.6772
31.292856 88.221 13.6231
31.519617 88.203 13.6004
31.748020 88.185 13.6050
31.978081 88.169 13.6345
32.209808 88.153 13.6899
32.443211 88.137 13.7708
32.678310 88.123 13.8788
32.915108 88.111 14.0162
33.153625 88.101 14.1818
33.393871 88.095 14.3758
33.635857 88.094 14.5956
33.879597 88.099 14.8421
34.125103 88.111 15.1056
34.372387 88.132 15.3815
34.621464 88.163 15.6566
34.872345 88.204 15.9219
35.125042 88.256 16.1607
35.379574 88.319 16.3565
35.635948 88.389 16.4999
35.894180 88.463 16.5746
36.154285 88.540 16.5840
36.416275 88.615 16.5237
36.680161 88.688 16.4012
36.945961 88.756 16.2186
37.213688 88.819 15.9884
37.483353 88.873 15.7196
37.754974 88.919 15.4245
38.028561 88.957 15.1155
38.304131 88.988 14.8004
38.581699 89.013 14.4904
38.861279 89.032 14.1875
39.142883 89.047 13.8975
39.426529 89.059 13.6204
39.712231 89.068 13.3587
40.000000 89.074 13.1104
40.289856 89.080 12.8744
40.581814 89.084 12.6493
40.875885 89.087 12.4329
41.172089 89.089 12.2263
41.470440 89.090 12.0302
41.770950 89.090 11.8433
42.073643 89.090 11.6645
42.378525 89.089 11.4932
42.685616 89.088 11.3283
42.994934 89.086 11.1712
43.306492 89.083 11.0241
43.620308 89.080 10.8842
43.936401 89.079 10.7500
44.254780 89.078 10.6192
44.575470 89.077 10.4891
44.898483 89.075 10.3602
45.223835 89.073 10.2318
45.551544 89.071 10.1052
45.881630 89.067 9.9803
46.214108 89.062 9.8602
46.548996 89.056 9.7479
46.886307 89.049 9.6432
47.226067 89.042 9.5464
47.568283 89.034 9.4581
47.912983 89.026 9.3784
48.260181 89.017 9.3091
48.609894 89.007 9.2519
48.962143 88.998 9.2071
49.316940 88.990 9.1759
49.674313 88.983 9.1570
50.034271 88.977 9.1498
50.396843 88.972 9.1530
50.762039 88.970 9.1661
51.129883 88.970 9.1860
51.500389 88.972 9.2104
51.873581 88.977 9.2360
52.249481 88.985 9.2597
52.628101 88.996 9.2780
53.009464 89.009 9.2866
53.393593 89.024 9.2850
53.780506 89.040 9.2712
54.170223 89.057 9.2461
54.562763 89.074 9.2093
54.958145 89.091 9.1621
55.356396 89.109 9.1059
55.757530 89.128 9.0391
56.161572 89.146 8.9603
56.568542 89.164 8.8702
56.978462 89.182 8.7686
57.391350 89.199 8.6562
57.807232 89.215 8.5328
58.226128 89.229 8.4002
58.648056 89.242 8.2595
59.073048 89.253 8.1132
59.501114 89.262 7.9639
59.932281 89.269 7.8133
60.366577 89.274 7.6631
60.804020 89.278 7.5153
61.244629 89.280 7.3719
61.688435 89.281 7.2332
62.135452 89.282 7.1005
62.585712 89.282 6.9722
63.039234 89.282 6.8477
63.496040 89.282 6.7262
63.956161 89.282 6.6072
64.419617 89.282 6.4892
64.886421 89.282 6.3705
65.356621 89.282 6.2512
65.830215 89.282 6.1312
66.307251 89.281 6.0102
66.787743 89.280 5.8873
67.271713 89.277 5.7642
67.759193 89.273 5.6416
68.250206 89.268 5.5222
68.744774 89.262 5.4095
69.242928 89.255 5.3022
69.744690 89.249 5.2003
70.250084 89.242 5.1032
70.759148 89.235 5.0102
71.271896 89.227 4.9212
71.788361 89.220 4.8364
72.308571 89.214 4.7542
72.832550 89.208 4.6724
73.360321 89.201 4.5921
73.891922 89.194 4.5136
74.427376 89.186 4.4371
74.966705 89.179 4.3629
75.509949 89.171 4.2911
76.057121 89.163 4.2215
76.608261 89.154 4.1561
77.163399 89.145 4.0973
77.722557 89.136 4.0441
78.285767 89.127 3.9968
78.853058 89.119 3.9541
79.424461 89.111 3.9149
80.000000 89.104 3.8791
80.579712 89.097 3.8462
81.163628 89.091 3.8161
81.751770 89.086 3.7897
82.344177 89.082 3.7631
82.940880 89.080 3.7328
83.541901 89.078 3.6981
84.147285 89.076 3.6570
84.757050 89.075 3.6101
85.371231 89.073 3.5564
85.989868 89.071 3.4981
86.612984 89.067 3.4363
87.240616 89.062 3.3741
87.872803 89.056 3.3157
88.509560 89.049 3.2601
89.150940 89.042 3.2075
89.796967 89.034 3.1581
90.447670 89.026 3.1117
91.103088 89.017 3.0701
91.763260 89.007 3.0356
92.428215 88.998 3.0071
93.097992 88.990 2.9841
93.772614 88.982 2.9660
94.452133 88.974 2.9521
95.136566 88.967 2.9420
