* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Ananda stealth 5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:43:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Ananda stealth 5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Ananda stealth 5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 74.501 35.1350
5.036232 74.513 35.1225
5.072727 74.526 35.1090
5.109486 74.541 35.0931
5.146511 74.559 35.0750
5.183805 74.580 35.0537
5.221369 74.603 35.0310
5.259205 74.626 35.0084
5.297316 74.651 34.9850
5.335702 74.677 34.9598
5.374367 74.704 34.9340
5.413311 74.731 34.9086
5.452538 74.758 34.8830
5.492050 74.785 34.8571
5.531847 74.811 34.8310
5.571934 74.837 34.8050
5.612310 74.864 34.7790
5.652979 74.891 34.7531
5.693943 74.918 34.7270
5.735204 74.944 34.7001
5.776763 74.971 34.6730
5.818624 74.998 34.6461
5.860788 75.025 34.6190
5.903258 75.051 34.5916
5.946035 75.078 34.5640
5.989123 75.105 34.5361
6.032523 75.132 34.5080
6.076237 75.159 34.4801
6.120268 75.185 34.4520
6.164618 75.211 34.4237
6.209289 75.238 34.3950
6.254284 75.265 34.3656
6.299605 75.292 34.3360
6.345255 75.318 34.3071
6.391235 75.345 34.2780
6.437549 75.372 34.2482
6.484198 75.399 34.2180
6.531185 75.426 34.1876
6.578513 75.452 34.1570
6.626183 75.478 34.1266
6.674199 75.505 34.0960
6.722563 75.532 34.0646
6.771278 75.559 34.0330
6.820345 75.585 34.0016
6.869768 75.612 33.9700
6.919549 75.639 33.9382
6.969691 75.666 33.9060
7.020196 75.693 33.8731
7.071068 75.719 33.8400
7.122308 75.745 33.8071
7.173919 75.772 33.7740
7.225904 75.799 33.7406
7.278266 75.826 33.7070
7.331007 75.852 33.6731
7.384131 75.879 33.6390
7.437639 75.906 33.6046
7.491535 75.933 33.5700
7.545822 75.960 33.5351
7.600502 75.986 33.5000
7.655579 76.012 33.4647
7.711054 76.039 33.4290
7.766932 76.066 33.3926
7.823214 76.093 33.3560
7.879904 76.119 33.3196
7.937005 76.146 33.2830
7.994520 76.173 33.2462
8.052452 76.200 33.2090
8.110803 76.226 33.1712
8.169578 76.253 33.1330
8.228777 76.280 33.0946
8.288406 76.307 33.0560
8.348468 76.334 33.0176
8.408964 76.360 32.9790
8.469899 76.386 32.9398
8.531276 76.413 32.9000
8.593097 76.440 32.8596
8.655366 76.467 32.8190
8.718086 76.493 32.7786
8.781260 76.520 32.7380
8.844893 76.547 32.6967
8.908987 76.574 32.6550
8.973545 76.601 32.6131
9.038571 76.627 32.5710
9.104069 76.653 32.5287
9.170040 76.680 32.4860
9.236490 76.707 32.4427
9.303422 76.734 32.3990
9.370838 76.760 32.3551
9.438744 76.787 32.3110
9.507140 76.814 32.2666
9.576033 76.841 32.2220
9.645425 76.868 32.1772
9.715320 76.894 32.1320
9.785721 76.920 32.0863
9.856632 76.947 32.0400
9.928058 76.974 31.9932
10.000000 77.001 31.9460
10.072464 77.027 31.8987
10.145453 77.054 31.8511
10.218971 77.081 31.8032
10.293022 77.108 31.7550
10.367610 77.135 31.7062
10.442738 77.161 31.6570
10.518411 77.187 31.6077
10.594631 77.214 31.5580
10.671404 77.241 31.5078
10.748734 77.268 31.4570
10.826623 77.294 31.4057
10.905077 77.321 31.3540
10.984100 77.348 31.3022
11.063695 77.375 31.2500
11.143867 77.402 31.1973
11.224621 77.428 31.1440
11.305959 77.454 31.0902
11.387886 77.481 31.0360
11.470407 77.508 30.9817
11.553527 77.535 30.9270
11.637249 77.561 30.8718
11.721577 77.588 30.8160
11.806517 77.615 30.7597
11.892071 77.642 30.7031
11.978246 77.668 30.6463
12.065045 77.695 30.5890
12.152473 77.722 30.5308
12.240536 77.749 30.4720
12.329235 77.776 30.4132
12.418578 77.802 30.3541
12.508568 77.828 30.2943
12.599211 77.855 30.2340
12.690510 77.882 30.1733
12.782471 77.909 30.1121
12.875097 77.935 30.0504
12.968395 77.962 29.9880
13.062370 77.989 29.9248
13.157025 78.016 29.8610
13.252366 78.043 29.7972
13.348398 78.069 29.7330
13.445127 78.095 29.6684
13.542556 78.122 29.6031
13.640691 78.149 29.5368
13.739536 78.176 29.4700
13.839099 78.202 29.4033
13.939383 78.229 29.3361
14.040393 78.256 29.2679
14.142136 78.283 29.1990
14.244616 78.310 29.1298
14.347837 78.336 29.0600
14.451808 78.362 28.9898
14.556532 78.389 28.9190
14.662014 78.416 28.8474
14.768262 78.443 28.7751
14.875278 78.469 28.7024
14.983070 78.496 28.6291
15.091644 78.523 28.5548
15.201005 78.550 28.4801
15.311157 78.577 28.4054
15.422109 78.603 28.3301
15.533863 78.629 28.2534
15.646428 78.656 28.1760
15.759809 78.683 28.0983
15.874010 78.710 28.0201
15.989040 78.736 27.9413
16.104904 78.763 27.8621
16.221605 78.790 27.7824
16.339155 78.817 27.7021
16.457554 78.844 27.6209
16.576813 78.870 27.5391
16.696936 78.896 27.4569
16.817928 78.923 27.3741
16.939798 78.950 27.2903
17.062551 78.977 27.2061
17.186193 79.003 27.1218
17.310732 79.030 27.0371
17.436172 79.057 26.9518
17.562521 79.084 26.8661
17.689787 79.110 26.7797
17.817974 79.137 26.6931
17.947090 79.164 26.6066
18.077143 79.191 26.5201
18.208138 79.218 26.4331
18.340080 79.244 26.3461
18.472980 79.270 26.2593
18.606844 79.297 26.1731
18.741676 79.324 26.0879
18.877487 79.351 26.0041
19.014280 79.377 25.9213
19.152065 79.404 25.8411
19.290850 79.431 25.7645
19.430639 79.458 25.6920
19.571442 79.486 25.6249
19.713264 79.515 25.5621
19.856115 79.545 25.5044
20.000000 79.578 25.4481
20.144928 79.614 25.3917
20.290907 79.653 25.3291
20.437943 79.695 25.2545
20.586044 79.740 25.1641
20.735220 79.786 25.0527
20.885475 79.834 24.9182
21.036821 79.882 24.7559
21.189262 79.930 24.5683
21.342808 79.976 24.3547
21.497467 80.019 24.1193
21.653246 80.059 23.8628
21.810154 80.094 23.5944
21.968201 80.123 23.3216
22.127390 80.149 23.0493
22.287735 80.173 22.7850
22.449242 80.194 22.5282
22.611917 80.212 22.2803
22.775772 80.229 22.0433
22.940815 80.245 21.8207
23.107054 80.260 21.6093
23.274498 80.277 21.4080
23.443153 80.294 21.2143
23.613033 80.311 21.0250
23.784142 80.329 20.8402
23.956491 80.347 20.6604
24.130091 80.367 20.4802
24.304947 80.390 20.2943
24.481071 80.414 20.1023
24.658470 80.436 19.9017
24.837156 80.458 19.6933
25.017136 80.481 19.4768
25.198421 80.504 19.2522
25.381020 80.525 19.0183
25.564941 80.544 18.7782
25.750195 80.563 18.5344
25.936790 80.580 18.2873
26.124741 80.596 18.0370
26.314051 80.610 17.7864
26.504732 80.622 17.5386
26.696796 80.633 17.2923
26.890253 80.645 17.0482
27.085112 80.657 16.8023
27.281382 80.669 16.5502
27.479073 80.679 16.2944
27.678198 80.686 16.0352
27.878765 80.692 15.7744
28.080786 80.697 15.5133
28.284271 80.701 15.2534
28.489231 80.702 14.9954
28.695675 80.700 14.7423
28.903616 80.697 14.4972
29.113064 80.692 14.2603
29.324028 80.686 14.0337
29.536524 80.679 13.8162
29.750557 80.671 13.6062
29.966141 80.662 13.4072
30.183289 80.651 13.2218
30.402010 80.639 13.0512
30.622314 80.627 12.8980
30.844217 80.615 12.7612
31.067726 80.604 12.6407
31.292856 80.594 12.5351
31.519617 80.585 12.4444
31.748020 80.579 12.3651
31.978081 80.576 12.2955
32.209808 80.575 12.2311
32.443211 80.577 12.1676
32.678310 80.581 12.1021
32.915108 80.589 12.0313
33.153625 80.599 11.9521
33.393871 80.611 11.8596
33.635857 80.623 11.7562
33.879597 80.635 11.6429
34.125103 80.648 11.5192
34.372387 80.662 11.3858
34.621464 80.676 11.2402
34.872345 80.691 11.0805
35.125042 80.705 10.9062
35.379574 80.719 10.7155
35.635948 80.731 10.5113
35.894180 80.741 10.2948
36.154285 80.748 10.0683
36.416275 80.753 9.8332
36.680161 80.756 9.5934
36.945961 80.755 9.3509
37.213688 80.750 9.1123
37.483353 80.741 8.8856
37.754974 80.731 8.6693
38.028561 80.721 8.4652
38.304131 80.711 8.2713
38.581699 80.699 8.0860
38.861279 80.686 7.9093
39.142883 80.674 7.7419
39.426529 80.663 7.5792
39.712231 80.652 7.4164
40.000000 80.640 7.2542
40.289856 80.628 7.0921
40.581814 80.615 6.9302
40.875885 80.601 6.7670
41.172089 80.586 6.6072
41.470440 80.567 6.4544
41.770950 80.546 6.3112
42.073643 80.525 6.1833
42.378525 80.503 6.0652
42.685616 80.483 5.9521
42.994934 80.462 5.8471
43.306492 80.437 5.7506
43.620308 80.411 5.6661
43.936401 80.386 5.5985
44.254780 80.360 5.5451
44.575470 80.334 5.5040
44.898483 80.308 5.4770
45.223835 80.281 5.4633
45.551544 80.253 5.4690
45.881630 80.224 5.5010
46.214108 80.196 5.5559
46.548996 80.172 5.6332
46.886307 80.150 5.7308
47.226067 80.129 5.8456
47.568283 80.110 5.9808
47.912983 80.094 6.1408
48.260181 80.083 6.3187
48.609894 80.079 6.5106
48.962143 80.080 6.7107
49.316940 80.086 6.9138
49.674313 80.098 7.1147
50.034271 80.118 7.3104
50.396843 80.145 7.4887
50.762039 80.179 7.6389
51.129883 80.219 7.7538
51.500389 80.263 7.8236
51.873581 80.310 7.8460
52.249481 80.358 7.8123
52.628101 80.404 7.7322
53.009464 80.444 7.6087
53.393593 80.479 7.4523
53.780506 80.510 7.2728
54.170223 80.536 7.0753
54.562763 80.555 6.8640
54.958145 80.569 6.6513
55.356396 80.575 6.4504
55.757530 80.578 6.2633
56.161572 80.579 6.0974
56.568542 80.579 5.9492
56.978462 80.578 5.8194
57.391350 80.578 5.7032
57.807232 80.580 5.5972
58.226128 80.583 5.4982
58.648056 80.586 5.4019
59.073048 80.590 5.3082
59.501114 80.596 5.2158
59.932281 80.602 5.1232
60.366577 80.609 5.0280
60.804020 80.616 4.9302
61.244629 80.624 4.8295
61.688435 80.633 4.7232
62.135452 80.643 4.6083
62.585712 80.654 4.4852
63.039234 80.664 4.3532
63.496040 80.673 4.2123
63.956161 80.683 4.0631
64.419617 80.692 3.9023
64.886421 80.701 3.7247
65.356621 80.707 3.5363
65.830215 80.709 3.3393
66.307251 80.707 3.1404
66.787743 80.703 2.9464
67.271713 80.697 2.7603
67.759193 80.687 2.5881
68.250206 80.675 2.4273
68.744774 80.665 2.2779
69.242928 80.655 2.1382
69.744690 80.643 2.0056
70.250084 80.631 1.8832
70.759148 80.619 1.7753
71.271896 80.607 1.6762
71.788361 80.598 1.5825
72.308571 80.591 1.4912
72.832550 80.584 1.3974
73.360321 80.577 1.3032
73.891922 80.570 1.2086
74.427376 80.563 1.1142
74.966705 80.556 1.0210
75.509949 80.550 0.9272
76.057121 80.544 0.8316
76.608261 80.539 0.7322
77.163399 80.534 0.6244
77.722557 80.528 0.5142
78.285767 80.519 0.4058
78.853058 80.509 0.3012
79.424461 80.499 0.2062
80.000000 80.490 0.1142
80.579712 80.483 0.0209
81.163628 80.476 -0.0748
81.751770 80.469 -0.1767
82.344177 80.461 -0.2808
82.940880 80.451 -0.3834
83.541901 80.441 -0.4868
84.147285 80.432 -0.5920
84.757050 80.423 -0.6998
85.371231 80.412 -0.8136
85.989868 80.399 -0.9268
86.612984 80.384 -1.0337
87.240616 80.367 -1.1338
87.872803 80.350 -1.2241
88.509560 80.333 -1.3068
89.150940 80.316 -1.3833
89.796967 80.299 -1.4539
90.447670 80.282 -1.5180
91.103088 80.266 -1.5789
91.763260 80.252 -1.6393
92.428215 80.237 -1.6999
93.097992 80.221 -1.7638
93.772614 80.204 -1.8259
94.452133 80.186 -1.8811
95.136566 80.167 -1.9319
