* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_Edition_XS_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:25:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_Edition_XS_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HiFiMAN_Edition_XS_5128_SP
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.000 50.7630
5.036232 80.017 50.7456
5.072727 80.036 50.7270
5.109486 80.058 50.7055
5.146511 80.083 50.6810
5.183805 80.113 50.6521
5.221369 80.146 50.6210
5.259205 80.180 50.5901
5.297316 80.215 50.5580
5.335702 80.253 50.5239
5.374367 80.292 50.4890
5.413311 80.331 50.4546
5.452538 80.369 50.4200
5.492050 80.407 50.3851
5.531847 80.445 50.3500
5.571934 80.483 50.3146
5.612310 80.522 50.2790
5.652979 80.561 50.2436
5.693943 80.599 50.2080
5.735204 80.637 50.1716
5.776763 80.676 50.1350
5.818624 80.715 50.0986
5.860788 80.753 50.0620
5.903258 80.791 50.0246
5.946035 80.829 49.9870
5.989123 80.867 49.9496
6.032523 80.906 49.9120
6.076237 80.944 49.8737
6.120268 80.983 49.8350
6.164618 81.022 49.7961
6.209289 81.060 49.7570
6.254284 81.098 49.7181
6.299605 81.136 49.6790
6.345255 81.174 49.6392
6.391235 81.213 49.5990
6.437549 81.251 49.5587
6.484198 81.290 49.5180
6.531185 81.329 49.4766
6.578513 81.367 49.4350
6.626183 81.405 49.3936
6.674199 81.443 49.3520
6.722563 81.481 49.3097
6.771278 81.520 49.2670
6.820345 81.558 49.2241
6.869768 81.597 49.1810
6.919549 81.636 49.1376
6.969691 81.674 49.0940
7.020196 81.712 49.0502
7.071068 81.750 49.0060
7.122308 81.788 48.9612
7.173919 81.827 48.9160
7.225904 81.865 48.8706
7.278266 81.904 48.8250
7.331007 81.943 48.7792
7.384131 81.981 48.7330
7.437639 82.019 48.6862
7.491535 82.057 48.6390
7.545822 82.095 48.5917
7.600502 82.134 48.5440
7.655579 82.172 48.4957
7.711054 82.211 48.4470
7.766932 82.250 48.3981
7.823214 82.288 48.3490
7.879904 82.326 48.2997
7.937005 82.364 48.2500
7.994520 82.402 48.1998
8.052452 82.441 48.1490
8.110803 82.479 48.0977
8.169578 82.518 48.0460
8.228777 82.557 47.9942
8.288406 82.595 47.9420
8.348468 82.633 47.8898
8.408964 82.671 47.8370
8.469899 82.709 47.7833
8.531276 82.748 47.7290
8.593097 82.786 47.6747
8.655366 82.825 47.6200
8.718086 82.864 47.5652
8.781260 82.902 47.5100
8.844893 82.940 47.4543
8.908987 82.978 47.3980
8.973545 83.016 47.3413
9.038571 83.055 47.2840
9.104069 83.093 47.2263
9.170040 83.132 47.1680
9.236490 83.171 47.1092
9.303422 83.209 47.0500
9.370838 83.247 46.9907
9.438744 83.285 46.9310
9.507140 83.323 46.8708
9.576033 83.362 46.8100
9.645425 83.400 46.7488
9.715320 83.439 46.6870
9.785721 83.477 46.6248
9.856632 83.516 46.5620
9.928058 83.555 46.4988
10.000000 83.593 46.4350
10.072464 83.631 46.3709
10.145453 83.669 46.3061
10.218971 83.707 46.2403
10.293022 83.746 46.1740
10.367610 83.785 46.1077
10.442738 83.823 46.0410
10.518411 83.862 45.9738
10.594631 83.900 45.9060
10.671404 83.938 45.8378
10.748734 83.976 45.7690
10.826623 84.014 45.6993
10.905077 84.053 45.6291
10.984100 84.091 45.5583
11.063695 84.130 45.4870
11.143867 84.169 45.4153
11.224621 84.207 45.3430
11.305959 84.245 45.2704
11.387886 84.283 45.1971
11.470407 84.321 45.1228
11.553527 84.360 45.0480
11.637249 84.398 44.9729
11.721577 84.437 44.8971
11.806517 84.476 44.8205
11.892071 84.514 44.7431
11.978246 84.552 44.6648
12.065045 84.590 44.5860
12.152473 84.628 44.5073
12.240536 84.667 44.4280
12.329235 84.705 44.3474
12.418578 84.744 44.2661
12.508568 84.783 44.1844
12.599211 84.821 44.1020
12.690510 84.859 44.0189
12.782471 84.897 43.9351
12.875097 84.935 43.8504
12.968395 84.974 43.7651
13.062370 85.012 43.6794
13.157025 85.051 43.5930
13.252366 85.090 43.5055
13.348398 85.128 43.4171
13.445127 85.166 43.3279
13.542556 85.204 43.2381
13.640691 85.242 43.1479
13.739536 85.281 43.0570
13.839099 85.319 42.9650
13.939383 85.358 42.8721
14.040393 85.397 42.7784
14.142136 85.435 42.6840
14.244616 85.473 42.5890
14.347837 85.511 42.4930
14.451808 85.549 42.3960
14.556532 85.588 42.2980
14.662014 85.626 42.1995
14.768262 85.665 42.1001
14.875278 85.704 42.0000
14.983070 85.742 41.8991
15.091644 85.780 41.7971
15.201005 85.818 41.6941
15.311157 85.856 41.5901
15.422109 85.895 41.4851
15.533863 85.933 41.3791
15.646428 85.972 41.2721
15.759809 86.011 41.1640
15.874010 86.049 41.0551
15.989040 86.087 40.9456
16.104904 86.125 40.8351
16.221605 86.163 40.7231
16.339155 86.202 40.6101
16.457554 86.240 40.4966
16.576813 86.279 40.3821
16.696936 86.317 40.2661
16.817928 86.356 40.1491
16.939798 86.395 40.0311
17.062551 86.433 39.9122
17.186193 86.471 39.7926
17.310732 86.509 39.6721
17.436172 86.547 39.5502
17.562521 86.586 39.4271
17.689787 86.624 39.3026
17.817974 86.663 39.1771
17.947090 86.702 39.0510
18.077143 86.740 38.9241
18.208138 86.778 38.7965
18.340080 86.816 38.6681
18.472980 86.854 38.5385
18.606844 86.893 38.4081
18.741676 86.931 38.2772
18.877487 86.970 38.1461
19.014280 87.008 38.0155
19.152065 87.047 37.8852
19.290850 87.085 37.7553
19.430639 87.124 37.6261
19.571442 87.164 37.4982
19.713264 87.204 37.3702
19.856115 87.245 37.2415
20.000000 87.288 37.1101
20.144928 87.332 36.9740
20.290907 87.376 36.8321
20.437943 87.421 36.6830
20.586044 87.467 36.5261
20.735220 87.513 36.3609
20.885475 87.560 36.1862
21.036821 87.607 36.0001
21.189262 87.654 35.8043
21.342808 87.699 35.5995
21.497467 87.744 35.3863
21.653246 87.789 35.1655
21.810154 87.833 34.9373
21.968201 87.876 34.7018
22.127390 87.919 34.4603
22.287735 87.960 34.2145
22.449242 88.000 33.9632
22.611917 88.041 33.7063
22.775772 88.081 33.4423
22.940815 88.120 33.1694
23.107054 88.158 32.8894
23.274498 88.195 32.6030
23.443153 88.230 32.3114
23.613033 88.263 32.0150
23.784142 88.294 31.7163
23.956491 88.323 31.4175
24.130091 88.350 31.1203
24.304947 88.376 30.8268
24.481071 88.401 30.5374
24.658470 88.424 30.2533
24.837156 88.447 29.9744
25.017136 88.470 29.7022
25.198421 88.493 29.4323
25.381020 88.517 29.1606
25.564941 88.542 28.8873
25.750195 88.565 28.6112
25.936790 88.588 28.3313
26.124741 88.612 28.0466
26.314051 88.635 27.7564
26.504732 88.656 27.4581
26.696796 88.675 27.1564
26.890253 88.692 26.8554
27.085112 88.708 26.5543
27.281382 88.724 26.2536
27.479073 88.738 25.9534
27.678198 88.750 25.6537
27.878765 88.760 25.3564
28.080786 88.769 25.0638
28.284271 88.776 24.7754
28.489231 88.783 24.4915
28.695675 88.789 24.2114
28.903616 88.794 23.9338
29.113064 88.797 23.6604
29.324028 88.799 23.3919
29.536524 88.799 23.1303
29.750557 88.797 22.8769
29.966141 88.794 22.6343
30.183289 88.789 22.4055
30.402010 88.784 22.1903
30.622314 88.778 21.9892
30.844217 88.772 21.8022
31.067726 88.766 21.6293
31.292856 88.761 21.4702
31.519617 88.756 21.3248
31.748020 88.751 21.1922
31.978081 88.748 21.0717
32.209808 88.747 20.9621
32.443211 88.746 20.8615
32.678310 88.747 20.7711
32.915108 88.749 20.6924
33.153625 88.753 20.6231
33.393871 88.760 20.5630
33.635857 88.771 20.5071
33.879597 88.784 20.4517
34.125103 88.801 20.3931
34.372387 88.822 20.3281
34.621464 88.846 20.2511
34.872345 88.874 20.1561
35.125042 88.903 20.0412
35.379574 88.933 19.9013
35.635948 88.962 19.7402
35.894180 88.990 19.5592
36.154285 89.018 19.3603
36.416275 89.045 19.1448
36.680161 89.070 18.9164
36.945961 89.091 18.6777
37.213688 89.110 18.4324
37.483353 89.127 18.1853
37.754974 89.143 17.9354
38.028561 89.158 17.6834
38.304131 89.172 17.4293
38.581699 89.183 17.1731
38.861279 89.193 16.9164
39.142883 89.202 16.6607
39.426529 89.209 16.4064
39.712231 89.215 16.1540
40.000000 89.220 15.9044
40.289856 89.224 15.6578
40.581814 89.226 15.4153
40.875885 89.227 15.1787
41.172089 89.228 14.9464
41.470440 89.228 14.7173
41.770950 89.228 14.4914
42.073643 89.228 14.2682
42.378525 89.227 14.0473
42.685616 89.226 13.8277
42.994934 89.224 13.6103
43.306492 89.221 13.3950
43.620308 89.216 13.1843
43.936401 89.210 12.9812
44.254780 89.204 12.7843
44.575470 89.198 12.5931
44.898483 89.192 12.4073
45.223835 89.186 12.2270
45.551544 89.180 12.0512
45.881630 89.174 11.8797
46.214108 89.168 11.7103
46.548996 89.163 11.5403
46.886307 89.157 11.3713
47.226067 89.150 11.2040
47.568283 89.143 11.0383
47.912983 89.136 10.8733
48.260181 89.128 10.7113
48.609894 89.118 10.5531
48.962143 89.107 10.4012
49.316940 89.096 10.2591
49.674313 89.084 10.1252
50.034271 89.072 9.9987
50.396843 89.060 9.8812
50.762039 89.047 9.7737
51.129883 89.033 9.6772
51.500389 89.020 9.5933
51.873581 89.008 9.5211
52.249481 88.997 9.4599
52.628101 88.986 9.4111
53.009464 88.976 9.3771
53.393593 88.968 9.3540
53.780506 88.964 9.3399
54.170223 88.962 9.3310
54.562763 88.963 9.3233
54.958145 88.966 9.3160
55.356396 88.972 9.3089
55.757530 88.982 9.2960
56.161572 88.995 9.2721
56.568542 89.011 9.2351
56.978462 89.028 9.1805
57.391350 89.046 9.1101
57.807232 89.064 9.0249
58.226128 89.083 8.9232
58.648056 89.103 8.8035
59.073048 89.123 8.6662
59.501114 89.141 8.5100
59.932281 89.158 8.3393
60.366577 89.173 8.1578
60.804020 89.186 7.9663
61.244629 89.198 7.7661
61.688435 89.208 7.5594
62.135452 89.215 7.3480
62.585712 89.220 7.1344
63.039234 89.224 6.9217
63.496040 89.226 6.7094
63.956161 89.227 6.4977
64.419617 89.227 6.2864
64.886421 89.227 6.0750
65.356621 89.225 5.8634
65.830215 89.222 5.6508
66.307251 89.217 5.4384
66.787743 89.211 5.2265
67.271713 89.204 5.0164
67.759193 89.196 4.8089
68.250206 89.186 4.6054
68.744774 89.174 4.4068
69.242928 89.161 4.2143
69.744690 89.147 4.0299
70.250084 89.133 3.8523
70.759148 89.118 3.6811
71.271896 89.103 3.5163
71.788361 89.087 3.3579
72.308571 89.070 3.2053
72.832550 89.054 3.0582
73.360321 89.037 2.9163
73.891922 89.020 2.7783
74.427376 89.002 2.6462
74.966705 88.983 2.5215
75.509949 88.963 2.4042
76.057121 88.945 2.2954
76.608261 88.927 2.1932
77.163399 88.909 2.0953
77.722557 88.890 2.0032
78.285767 88.871 1.9184
78.853058 88.853 1.8392
79.424461 88.836 1.7646
80.000000 88.820 1.6941
80.579712 88.803 1.6265
81.163628 88.786 1.5631
81.751770 88.769 1.5055
82.344177 88.753 1.4521
82.940880 88.738 1.4019
83.541901 88.724 1.3551
84.147285 88.709 1.3113
84.757050 88.694 1.2711
85.371231 88.681 1.2357
85.989868 88.668 1.2021
86.612984 88.657 1.1673
87.240616 88.646 1.1321
87.872803 88.635 1.0958
88.509560 88.624 1.0601
89.150940 88.613 1.0272
89.796967 88.602 0.9951
90.447670 88.593 0.9620
91.103088 88.584 0.9291
91.763260 88.574 0.8958
92.428215 88.563 0.8651
93.097992 88.553 0.8404
93.772614 88.544 0.8190
94.452133 88.536 0.8000
95.136566 88.529 0.7820
95.825966 88.522 0.7636
