* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He560 v4_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:07:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He560 v4_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He560 v4_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.033 13.3310
5.036232 79.037 13.3285
5.072727 79.042 13.3260
5.109486 79.047 13.3237
5.146511 79.053 13.3210
5.183805 79.061 13.3171
5.221369 79.069 13.3130
5.259205 79.077 13.3094
5.297316 79.086 13.3060
5.335702 79.096 13.3026
5.374367 79.106 13.2990
5.413311 79.116 13.2950
5.452538 79.125 13.2910
5.492050 79.134 13.2874
5.531847 79.144 13.2840
5.571934 79.153 13.2806
5.612310 79.163 13.2770
5.652979 79.172 13.2731
5.693943 79.182 13.2690
5.735204 79.192 13.2649
5.776763 79.202 13.2610
5.818624 79.212 13.2575
5.860788 79.221 13.2540
5.903258 79.230 13.2501
5.946035 79.240 13.2460
5.989123 79.249 13.2420
6.032523 79.259 13.2380
6.076237 79.268 13.2340
6.120268 79.278 13.2300
6.164618 79.288 13.2260
6.209289 79.298 13.2220
6.254284 79.308 13.2181
6.299605 79.317 13.2140
6.345255 79.326 13.2095
6.391235 79.336 13.2050
6.437549 79.345 13.2010
6.484198 79.355 13.1970
6.531185 79.364 13.1925
6.578513 79.374 13.1880
6.626183 79.384 13.1840
6.674199 79.394 13.1800
6.722563 79.404 13.1756
6.771278 79.413 13.1710
6.820345 79.423 13.1665
6.869768 79.432 13.1620
6.919549 79.441 13.1575
6.969691 79.451 13.1530
7.020196 79.460 13.1485
7.071068 79.470 13.1440
7.122308 79.480 13.1395
7.173919 79.490 13.1350
7.225904 79.500 13.1306
7.278266 79.509 13.1260
7.331007 79.519 13.1210
7.384131 79.528 13.1160
7.437639 79.537 13.1115
7.491535 79.547 13.1070
7.545822 79.556 13.1021
7.600502 79.566 13.0970
7.655579 79.576 13.0920
7.711054 79.586 13.0870
7.766932 79.596 13.0820
7.823214 79.605 13.0770
7.879904 79.615 13.0720
7.937005 79.624 13.0670
7.994520 79.633 13.0621
8.052452 79.643 13.0570
8.110803 79.652 13.0516
8.169578 79.662 13.0460
8.228777 79.672 13.0404
8.288406 79.682 13.0350
8.348468 79.692 13.0300
8.408964 79.701 13.0250
8.469899 79.710 13.0196
8.531276 79.720 13.0140
8.593097 79.729 13.0085
8.655366 79.739 13.0030
8.718086 79.748 12.9976
8.781260 79.758 12.9920
8.844893 79.768 12.9860
8.908987 79.778 12.9800
8.973545 79.788 12.9745
9.038571 79.797 12.9690
9.104069 79.806 12.9631
9.170040 79.816 12.9570
9.236490 79.826 12.9510
9.303422 79.835 12.9450
9.370838 79.844 12.9390
9.438744 79.854 12.9330
9.507140 79.864 12.9271
9.576033 79.874 12.9210
9.645425 79.884 12.9145
9.715320 79.893 12.9080
9.785721 79.902 12.9020
9.856632 79.912 12.8960
9.928058 79.921 12.8896
10.000000 79.931 12.8830
10.072464 79.941 12.8765
10.145453 79.951 12.8700
10.218971 79.961 12.8635
10.293022 79.970 12.8570
10.367610 79.979 12.8506
10.442738 79.989 12.8440
10.518411 79.998 12.8370
10.594631 80.008 12.8300
10.671404 80.017 12.8235
10.748734 80.027 12.8170
10.826623 80.037 12.8101
10.905077 80.047 12.8030
10.984100 80.057 12.7961
11.063695 80.066 12.7890
11.143867 80.076 12.7815
11.224621 80.085 12.7740
11.305959 80.094 12.7670
11.387886 80.104 12.7600
11.470407 80.113 12.7526
11.553527 80.123 12.7450
11.637249 80.133 12.7375
11.721577 80.143 12.7300
11.806517 80.153 12.7226
11.892071 80.162 12.7150
11.978246 80.171 12.7070
12.065045 80.181 12.6990
12.152473 80.190 12.6915
12.240536 80.200 12.6840
12.329235 80.209 12.6761
12.418578 80.219 12.6680
12.508568 80.229 12.6595
12.599211 80.239 12.6510
12.690510 80.249 12.6430
12.782471 80.258 12.6350
12.875097 80.267 12.6265
12.968395 80.277 12.6180
13.062370 80.286 12.6101
13.157025 80.296 12.6020
13.252366 80.305 12.5931
13.348398 80.315 12.5840
13.445127 80.325 12.5755
13.542556 80.335 12.5670
13.640691 80.345 12.5581
13.739536 80.354 12.5490
13.839099 80.363 12.5400
13.939383 80.373 12.5310
14.040393 80.382 12.5221
14.142136 80.392 12.5130
14.244616 80.401 12.5036
14.347837 80.411 12.4940
14.451808 80.421 12.4845
14.556532 80.431 12.4750
14.662014 80.441 12.4656
14.768262 80.450 12.4560
14.875278 80.459 12.4461
14.983070 80.469 12.4360
15.091644 80.478 12.4261
15.201005 80.488 12.4160
15.311157 80.497 12.4056
15.422109 80.507 12.3950
15.533863 80.517 12.3846
15.646428 80.527 12.3740
15.759809 80.537 12.3631
15.874010 80.546 12.3520
15.989040 80.555 12.3411
16.104904 80.565 12.3300
16.221605 80.574 12.3186
16.339155 80.584 12.3070
16.457554 80.593 12.2956
16.576813 80.603 12.2840
16.696936 80.613 12.2721
16.817928 80.623 12.2600
16.939798 80.633 12.2480
17.062551 80.642 12.2360
17.186193 80.651 12.2241
17.310732 80.661 12.2120
17.436172 80.670 12.1996
17.562521 80.680 12.1870
17.689787 80.689 12.1741
17.817974 80.699 12.1610
17.947090 80.709 12.1476
18.077143 80.719 12.1340
18.208138 80.729 12.1206
18.340080 80.738 12.1070
18.472980 80.747 12.0928
18.606844 80.757 12.0780
18.741676 80.766 12.0628
18.877487 80.776 12.0470
19.014280 80.785 12.0308
19.152065 80.795 12.0140
19.290850 80.805 11.9963
19.430639 80.814 11.9780
19.571442 80.823 11.9590
19.713264 80.832 11.9400
19.856115 80.840 11.9212
20.000000 80.848 11.9040
20.144928 80.855 11.8903
20.290907 80.863 11.8790
20.437943 80.871 11.8703
20.586044 80.880 11.8630
20.735220 80.889 11.8561
20.885475 80.898 11.8490
21.036821 80.908 11.8416
21.189262 80.918 11.8320
21.342808 80.929 11.8182
21.497467 80.940 11.8000
21.653246 80.950 11.7755
21.810154 80.960 11.7480
21.968201 80.967 11.7199
22.127390 80.974 11.6930
22.287735 80.980 11.6693
22.449242 80.986 11.6510
22.611917 80.990 11.6406
22.775772 80.993 11.6390
22.940815 80.997 11.6492
23.107054 81.002 11.6680
23.274498 81.008 11.6947
23.443153 81.017 11.7250
23.613033 81.028 11.7556
23.784142 81.042 11.7820
23.956491 81.057 11.7986
24.130091 81.074 11.8050
24.304947 81.091 11.7981
24.481071 81.107 11.7800
24.658470 81.122 11.7508
24.837156 81.136 11.7141
25.017136 81.148 11.6719
25.198421 81.159 11.6290
25.381020 81.167 11.5902
25.564941 81.173 11.5570
25.750195 81.179 11.5335
25.936790 81.185 11.5170
26.124741 81.192 11.5062
26.314051 81.199 11.5010
26.504732 81.206 11.5018
26.696796 81.214 11.5060
26.890253 81.224 11.5119
27.085112 81.235 11.5170
27.281382 81.246 11.5176
27.479073 81.258 11.5160
27.678198 81.269 11.5137
27.878765 81.281 11.5090
28.080786 81.294 11.5008
28.284271 81.307 11.4890
28.489231 81.319 11.4726
28.695675 81.331 11.4530
28.903616 81.343 11.4315
29.113064 81.355 11.4080
29.324028 81.366 11.3819
29.536524 81.376 11.3560
29.750557 81.384 11.3324
29.966141 81.392 11.3130
30.183289 81.400 11.3011
30.402010 81.408 11.2950
30.622314 81.416 11.2941
30.844217 81.424 11.2990
31.067726 81.433 11.3100
31.292856 81.442 11.3270
31.519617 81.452 11.3509
31.748020 81.464 11.3790
31.978081 81.478 11.4090
32.209808 81.493 11.4400
32.443211 81.510 11.4715
32.678310 81.529 11.5000
32.915108 81.551 11.5234
33.153625 81.575 11.5370
33.393871 81.601 11.5352
33.635857 81.629 11.5190
33.879597 81.656 11.4877
34.125103 81.683 11.4411
34.372387 81.711 11.3786
34.621464 81.738 11.3001
34.872345 81.764 11.2037
35.125042 81.788 11.0941
35.379574 81.810 10.9743
35.635948 81.829 10.8482
35.894180 81.846 10.7213
36.154285 81.861 10.5922
36.416275 81.876 10.4613
36.680161 81.890 10.3282
36.945961 81.902 10.1916
37.213688 81.913 10.0542
37.483353 81.922 9.9185
37.754974 81.929 9.7842
38.028561 81.936 9.6519
38.304131 81.942 9.5212
38.581699 81.947 9.3911
38.861279 81.950 9.2632
39.142883 81.952 9.1384
39.426529 81.953 9.0172
39.712231 81.954 8.9005
40.000000 81.953 8.7882
40.289856 81.951 8.6798
40.581814 81.948 8.5771
40.875885 81.944 8.4817
41.172089 81.939 8.3941
41.470440 81.934 8.3156
41.770950 81.928 8.2461
42.073643 81.922 8.1865
42.378525 81.916 8.1361
42.685616 81.911 8.0952
42.994934 81.906 8.0620
43.306492 81.902 8.0357
43.620308 81.899 8.0140
43.936401 81.898 7.9950
44.254780 81.898 7.9770
44.575470 81.898 7.9576
44.898483 81.899 7.9370
45.223835 81.900 7.9141
45.551544 81.901 7.8910
45.881630 81.901 7.8694
46.214108 81.901 7.8500
46.548996 81.901 7.8340
46.886307 81.901 7.8220
47.226067 81.901 7.8149
47.568283 81.901 7.8140
47.912983 81.901 7.8223
48.260181 81.903 7.8360
48.609894 81.907 7.8538
48.962143 81.913 7.8710
49.316940 81.922 7.8831
49.674313 81.932 7.8880
50.034271 81.943 7.8817
50.396843 81.955 7.8650
50.762039 81.967 7.8372
51.129883 81.978 7.7991
51.500389 81.989 7.7496
51.873581 81.998 7.6931
52.249481 82.004 7.6323
52.628101 82.009 7.5711
53.009464 82.012 7.5140
53.393593 82.014 7.4621
53.780506 82.015 7.4180
54.170223 82.015 7.3811
54.562763 82.015 7.3515
54.958145 82.016 7.3290
55.356396 82.018 7.3141
55.757530 82.020 7.3040
56.161572 82.024 7.2969
56.568542 82.028 7.2910
56.978462 82.033 7.2833
57.391350 82.039 7.2750
57.807232 82.045 7.2664
58.226128 82.052 7.2570
58.648056 82.060 7.2473
59.073048 82.069 7.2350
59.501114 82.078 7.2186
59.932281 82.088 7.1970
60.366577 82.098 7.1689
60.804020 82.109 7.1341
61.244629 82.119 7.0915
61.688435 82.129 7.0431
62.135452 82.138 6.9892
62.585712 82.145 6.9331
63.039234 82.151 6.8782
63.496040 82.156 6.8251
63.956161 82.160 6.7751
64.419617 82.164 6.7301
64.886421 82.167 6.6927
65.356621 82.171 6.6620
65.830215 82.175 6.6398
66.307251 82.181 6.6210
66.787743 82.190 6.6032
67.271713 82.201 6.5810
67.759193 82.213 6.5484
68.250206 82.226 6.5061
68.744774 82.238 6.4523
69.242928 82.251 6.3881
69.744690 82.264 6.3139
70.250084 82.276 6.2302
70.759148 82.286 6.1365
71.271896 82.295 6.0362
71.788361 82.302 5.9316
72.308571 82.307 5.8252
72.832550 82.311 5.7201
73.360321 82.313 5.6172
73.891922 82.314 5.5185
74.427376 82.315 5.4232
74.966705 82.316 5.3314
75.509949 82.316 5.2422
76.057121 82.316 5.1547
76.608261 82.316 5.0682
77.163399 82.316 4.9815
77.722557 82.315 4.8942
78.285767 82.314 4.8049
78.853058 82.312 4.7152
79.424461 82.309 4.6259
80.000000 82.305 4.5382
80.579712 82.300 4.4535
81.163628 82.294 4.3722
81.751770 82.288 4.2951
82.344177 82.281 4.2221
82.940880 82.273 4.1531
83.541901 82.265 4.0891
84.147285 82.256 4.0310
84.757050 82.247 3.9791
85.371231 82.238 3.9342
85.989868 82.229 3.8951
86.612984 82.220 3.8601
87.240616 82.211 3.8311
87.872803 82.201 3.8093
88.509560 82.192 3.7940
89.150940 82.185 3.7862
89.796967 82.178 3.7820
90.447670 82.172 3.7772
91.103088 82.167 3.7740
91.763260 82.161 3.7737
92.428215 82.156 3.7750
93.097992 82.153 3.7773
93.772614 82.150 3.7790
94.452133 82.147 3.7772
95.136566 82.144 3.7750
95.825966 82.141 3.7753
96.520363 82.139 3.7760
97.219788 82.138 3.7763
