* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He6se Sundara Pads.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:00:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He6se Sundara Pads.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He6se Sundara Pads
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.392 10.8080
5.036232 88.395 10.8046
5.072727 88.399 10.8010
5.109486 88.404 10.7968
5.146511 88.409 10.7920
5.183805 88.415 10.7867
5.221369 88.422 10.7810
5.259205 88.429 10.7751
5.297316 88.437 10.7690
5.335702 88.445 10.7626
5.374367 88.453 10.7560
5.413311 88.461 10.7495
5.452538 88.469 10.7430
5.492050 88.478 10.7365
5.531847 88.486 10.7300
5.571934 88.494 10.7236
5.612310 88.502 10.7170
5.652979 88.510 10.7100
5.693943 88.518 10.7030
5.735204 88.526 10.6965
5.776763 88.534 10.6900
5.818624 88.542 10.6831
5.860788 88.550 10.6760
5.903258 88.558 10.6690
5.946035 88.566 10.6620
5.989123 88.575 10.6550
6.032523 88.583 10.6480
6.076237 88.591 10.6411
6.120268 88.599 10.6340
6.164618 88.607 10.6266
6.209289 88.615 10.6190
6.254284 88.623 10.6115
6.299605 88.631 10.6040
6.345255 88.639 10.5965
6.391235 88.647 10.5890
6.437549 88.655 10.5815
6.484198 88.663 10.5740
6.531185 88.672 10.5666
6.578513 88.680 10.5590
6.626183 88.688 10.5511
6.674199 88.696 10.5430
6.722563 88.704 10.5350
6.771278 88.712 10.5270
6.820345 88.720 10.5190
6.869768 88.728 10.5110
6.919549 88.736 10.5031
6.969691 88.744 10.4950
7.020196 88.753 10.4866
7.071068 88.761 10.4780
7.122308 88.769 10.4695
7.173919 88.777 10.4610
7.225904 88.785 10.4526
7.278266 88.793 10.4440
7.331007 88.801 10.4350
7.384131 88.809 10.4260
7.437639 88.817 10.4175
7.491535 88.825 10.4090
7.545822 88.833 10.4001
7.600502 88.841 10.3910
7.655579 88.850 10.3821
7.711054 88.858 10.3730
7.766932 88.866 10.3636
7.823214 88.874 10.3540
7.879904 88.882 10.3445
7.937005 88.890 10.3350
7.994520 88.898 10.3255
8.052452 88.906 10.3160
8.110803 88.914 10.3066
8.169578 88.922 10.2970
8.228777 88.930 10.2871
8.288406 88.939 10.2770
8.348468 88.947 10.2670
8.408964 88.955 10.2570
8.469899 88.963 10.2471
8.531276 88.971 10.2370
8.593097 88.979 10.2266
8.655366 88.987 10.2160
8.718086 88.995 10.2055
8.781260 89.003 10.1950
8.844893 89.011 10.1846
8.908987 89.019 10.1740
8.973545 89.027 10.1631
9.038571 89.036 10.1520
9.104069 89.044 10.1411
9.170040 89.052 10.1300
9.236490 89.060 10.1185
9.303422 89.068 10.1070
9.370838 89.076 10.0961
9.438744 89.084 10.0850
9.507140 89.092 10.0731
9.576033 89.100 10.0610
9.645425 89.108 10.0495
9.715320 89.116 10.0380
9.785721 89.124 10.0261
9.856632 89.133 10.0140
9.928058 89.141 10.0015
10.000000 89.149 9.9890
10.072464 89.157 9.9771
10.145453 89.165 9.9650
10.218971 89.173 9.9521
10.293022 89.181 9.9390
10.367610 89.189 9.9266
10.442738 89.197 9.9140
10.518411 89.205 9.9006
10.594631 89.214 9.8870
10.671404 89.222 9.8740
10.748734 89.230 9.8610
10.826623 89.238 9.8476
10.905077 89.246 9.8340
10.984100 89.254 9.8201
11.063695 89.262 9.8060
11.143867 89.270 9.7920
11.224621 89.278 9.7780
11.305959 89.286 9.7641
11.387886 89.294 9.7500
11.470407 89.302 9.7356
11.553527 89.311 9.7210
11.637249 89.319 9.7061
11.721577 89.327 9.6910
11.806517 89.335 9.6761
11.892071 89.343 9.6610
11.978246 89.351 9.6456
12.065045 89.359 9.6300
12.152473 89.367 9.6146
12.240536 89.375 9.5990
12.329235 89.383 9.5831
12.418578 89.392 9.5670
12.508568 89.400 9.5506
12.599211 89.408 9.5340
12.690510 89.416 9.5176
12.782471 89.424 9.5010
12.875097 89.432 9.4841
12.968395 89.440 9.4670
13.062370 89.448 9.4496
13.157025 89.456 9.4320
13.252366 89.464 9.4146
13.348398 89.472 9.3970
13.445127 89.480 9.3791
13.542556 89.489 9.3610
13.640691 89.497 9.3426
13.739536 89.505 9.3240
13.839099 89.513 9.3051
13.939383 89.521 9.2860
14.040393 89.529 9.2671
14.142136 89.537 9.2480
14.244616 89.545 9.2281
14.347837 89.553 9.2080
14.451808 89.561 9.1881
14.556532 89.569 9.1680
14.662014 89.577 9.1477
14.768262 89.586 9.1270
14.875278 89.594 9.1056
14.983070 89.602 9.0840
15.091644 89.610 9.0626
15.201005 89.618 9.0410
15.311157 89.626 9.0187
15.422109 89.634 8.9960
15.533863 89.642 8.9731
15.646428 89.650 8.9500
15.759809 89.658 8.9267
15.874010 89.667 8.9030
15.989040 89.675 8.8787
16.104904 89.683 8.8540
16.221605 89.691 8.8292
16.339155 89.699 8.8040
16.457554 89.707 8.7782
16.576813 89.715 8.7520
16.696936 89.723 8.7257
16.817928 89.731 8.6990
16.939798 89.739 8.6718
17.062551 89.747 8.6440
17.186193 89.755 8.6153
17.310732 89.764 8.5860
17.436172 89.772 8.5568
17.562521 89.780 8.5270
17.689787 89.788 8.4960
17.817974 89.796 8.4640
17.947090 89.804 8.4314
18.077143 89.812 8.3980
18.208138 89.820 8.3641
18.340080 89.828 8.3290
18.472980 89.836 8.2923
18.606844 89.845 8.2540
18.741676 89.853 8.2142
18.877487 89.861 8.1720
19.014280 89.869 8.1271
19.152065 89.877 8.0791
19.290850 89.884 8.0276
19.430639 89.891 7.9730
19.571442 89.898 7.9146
19.713264 89.903 7.8551
19.856115 89.906 7.7957
20.000000 89.907 7.7401
20.144928 89.908 7.6924
20.290907 89.908 7.6520
20.437943 89.908 7.6195
20.586044 89.907 7.5950
20.735220 89.907 7.5791
20.885475 89.907 7.5710
21.036821 89.908 7.5716
21.189262 89.911 7.5770
21.342808 89.915 7.5840
21.497467 89.921 7.5920
21.653246 89.927 7.5997
21.810154 89.935 7.6060
21.968201 89.944 7.6096
22.127390 89.955 7.6090
22.287735 89.966 7.6026
22.449242 89.977 7.5900
22.611917 89.990 7.5715
22.775772 90.003 7.5440
22.940815 90.017 7.5042
23.107054 90.031 7.4541
23.274498 90.043 7.3938
23.443153 90.053 7.3261
23.613033 90.063 7.2529
23.784142 90.071 7.1761
23.956491 90.077 7.0973
24.130091 90.082 7.0191
24.304947 90.085 6.9443
24.481071 90.086 6.8741
24.658470 90.087 6.8110
24.837156 90.088 6.7541
25.017136 90.088 6.7031
25.198421 90.088 6.6580
25.381020 90.088 6.6191
25.564941 90.089 6.5850
25.750195 90.090 6.5551
25.936790 90.092 6.5280
26.124741 90.095 6.5032
26.314051 90.098 6.4780
26.504732 90.103 6.4505
26.696796 90.108 6.4190
26.890253 90.113 6.3813
27.085112 90.119 6.3371
27.281382 90.124 6.2844
27.479073 90.129 6.2261
27.678198 90.132 6.1628
27.878765 90.133 6.0991
28.080786 90.131 6.0387
28.284271 90.128 5.9841
28.489231 90.123 5.9384
28.695675 90.118 5.9030
28.903616 90.112 5.8807
29.113064 90.106 5.8710
29.324028 90.101 5.8754
29.536524 90.097 5.8910
29.750557 90.095 5.9162
29.966141 90.094 5.9480
30.183289 90.096 5.9842
30.402010 90.101 6.0210
30.622314 90.108 6.0546
30.844217 90.117 6.0820
31.067726 90.128 6.0992
31.292856 90.141 6.1050
31.519617 90.154 6.0967
31.748020 90.168 6.0750
31.978081 90.181 6.0392
32.209808 90.194 5.9911
32.443211 90.205 5.9308
32.678310 90.215 5.8631
32.915108 90.221 5.7917
33.153625 90.226 5.7191
33.393871 90.230 5.6490
33.635857 90.232 5.5821
33.879597 90.233 5.5203
34.125103 90.234 5.4631
34.372387 90.234 5.4106
34.621464 90.234 5.3621
34.872345 90.234 5.3171
35.125042 90.234 5.2750
35.379574 90.234 5.2354
35.635948 90.234 5.1980
35.894180 90.234 5.1627
36.154285 90.234 5.1290
36.416275 90.234 5.0968
36.680161 90.234 5.0660
36.945961 90.234 5.0369
37.213688 90.234 5.0090
37.483353 90.234 4.9824
37.754974 90.234 4.9570
38.028561 90.234 4.9333
38.304131 90.234 4.9110
38.581699 90.234 4.8900
38.861279 90.234 4.8710
39.142883 90.234 4.8548
39.426529 90.234 4.8410
39.712231 90.235 4.8295
40.000000 90.236 4.8200
40.289856 90.238 4.8133
40.581814 90.240 4.8070
40.875885 90.243 4.7997
41.172089 90.248 4.7890
41.470440 90.254 4.7724
41.770950 90.261 4.7490
42.073643 90.268 4.7172
42.378525 90.274 4.6771
42.685616 90.279 4.6277
42.994934 90.284 4.5711
43.306492 90.287 4.5075
43.620308 90.289 4.4411
43.936401 90.288 4.3751
44.254780 90.286 4.3121
44.575470 90.282 4.2554
44.898483 90.276 4.2061
45.223835 90.270 4.1666
45.551544 90.264 4.1360
45.881630 90.258 4.1149
46.214108 90.252 4.1010
46.548996 90.247 4.0928
46.886307 90.243 4.0890
47.226067 90.240 4.0886
47.568283 90.237 4.0900
47.912983 90.236 4.0917
48.260181 90.235 4.0930
48.609894 90.234 4.0926
48.962143 90.234 4.0910
49.316940 90.234 4.0885
49.674313 90.234 4.0850
50.034271 90.234 4.0803
50.396843 90.234 4.0750
50.762039 90.234 4.0696
51.129883 90.234 4.0640
51.500389 90.234 4.0580
51.873581 90.234 4.0520
52.249481 90.234 4.0465
52.628101 90.234 4.0410
53.009464 90.234 4.0350
53.393593 90.234 4.0290
53.780506 90.234 4.0234
54.170223 90.234 4.0180
54.562763 90.234 4.0129
54.958145 90.234 4.0080
55.356396 90.234 4.0034
55.757530 90.234 3.9990
56.161572 90.234 3.9944
56.568542 90.234 3.9900
56.978462 90.234 3.9858
57.391350 90.234 3.9820
57.807232 90.234 3.9789
58.226128 90.234 3.9760
58.648056 90.234 3.9729
59.073048 90.234 3.9700
59.501114 90.234 3.9673
59.932281 90.234 3.9650
60.366577 90.234 3.9634
60.804020 90.234 3.9620
61.244629 90.234 3.9604
61.688435 90.234 3.9590
62.135452 90.234 3.9578
62.585712 90.234 3.9570
63.039234 90.234 3.9568
63.496040 90.234 3.9570
63.956161 90.234 3.9574
64.419617 90.234 3.9580
64.886421 90.234 3.9589
65.356621 90.234 3.9600
65.830215 90.234 3.9614
66.307251 90.234 3.9630
66.787743 90.234 3.9649
67.271713 90.234 3.9670
67.759193 90.234 3.9693
68.250206 90.234 3.9720
68.744774 90.234 3.9753
69.242928 90.234 3.9790
69.744690 90.234 3.9829
70.250084 90.234 3.9870
70.759148 90.234 3.9913
71.271896 90.234 3.9960
71.788361 90.234 4.0013
72.308571 90.234 4.0070
72.832550 90.234 4.0129
73.360321 90.234 4.0190
73.891922 90.234 4.0253
74.427376 90.234 4.0320
74.966705 90.234 4.0392
75.509949 90.234 4.0470
76.057121 90.234 4.0554
76.608261 90.234 4.0640
77.163399 90.234 4.0723
77.722557 90.234 4.0810
78.285767 90.234 4.0907
78.853058 90.234 4.1010
79.424461 90.234 4.1113
80.000000 90.234 4.1220
80.579712 90.234 4.1332
81.163628 90.234 4.1450
81.751770 90.234 4.1572
82.344177 90.234 4.1700
82.940880 90.234 4.1833
83.541901 90.234 4.1970
84.147285 90.234 4.2107
84.757050 90.234 4.2250
85.371231 90.234 4.2402
85.989868 90.234 4.2560
86.612984 90.234 4.2722
87.240616 90.234 4.2890
87.872803 90.234 4.3062
88.509560 90.234 4.3240
89.150940 90.234 4.3426
89.796967 90.234 4.3620
90.447670 90.234 4.3817
91.103088 90.234 4.4020
91.763260 90.234 4.4226
92.428215 90.234 4.4440
93.097992 90.234 4.4661
93.772614 90.234 4.4890
94.452133 90.234 4.5123
95.136566 90.234 4.5359
95.825966 90.234 4.5602
96.520363 90.234 4.5839
97.219788 90.234 4.6058
