* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sundara 5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:41:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sundara 5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sundara 5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 73.024 71.7500
5.036232 73.048 71.7341
5.072727 73.073 71.7170
5.109486 73.103 71.6968
5.146511 73.137 71.6740
5.183805 73.179 71.6478
5.221369 73.224 71.6200
5.259205 73.270 71.5924
5.297316 73.319 71.5640
5.335702 73.371 71.5343
5.374367 73.424 71.5040
5.413311 73.476 71.4739
5.452538 73.529 71.4440
5.492050 73.581 71.4146
5.531847 73.634 71.3850
5.571934 73.686 71.3546
5.612310 73.739 71.3240
5.652979 73.791 71.2936
5.693943 73.844 71.2630
5.735204 73.896 71.2321
5.776763 73.949 71.2010
5.818624 74.001 71.1701
5.860788 74.054 71.1390
5.903258 74.106 71.1071
5.946035 74.159 71.0750
5.989123 74.212 71.0431
6.032523 74.265 71.0110
6.076237 74.318 70.9786
6.120268 74.370 70.9460
6.164618 74.422 70.9131
6.209289 74.475 70.8800
6.254284 74.527 70.8471
6.299605 74.580 70.8140
6.345255 74.632 70.7802
6.391235 74.685 70.7460
6.437549 74.737 70.7116
6.484198 74.790 70.6770
6.531185 74.842 70.6426
6.578513 74.895 70.6080
6.626183 74.947 70.5732
6.674199 75.000 70.5380
6.722563 75.052 70.5021
6.771278 75.105 70.4660
6.820345 75.157 70.4301
6.869768 75.210 70.3940
6.919549 75.263 70.3577
6.969691 75.316 70.3210
7.020196 75.369 70.2836
7.071068 75.421 70.2460
7.122308 75.473 70.2086
7.173919 75.526 70.1710
7.225904 75.578 70.1326
7.278266 75.631 70.0940
7.331007 75.683 70.0556
7.384131 75.736 70.0170
7.437639 75.788 69.9776
7.491535 75.841 69.9380
7.545822 75.893 69.8986
7.600502 75.946 69.8590
7.655579 75.998 69.8187
7.711054 76.051 69.7780
7.766932 76.103 69.7371
7.823214 76.156 69.6960
7.879904 76.208 69.6546
7.937005 76.261 69.6130
7.994520 76.314 69.5711
8.052452 76.367 69.5290
8.110803 76.420 69.4867
8.169578 76.472 69.4440
8.228777 76.524 69.4007
8.288406 76.577 69.3570
8.348468 76.629 69.3131
8.408964 76.682 69.2690
8.469899 76.734 69.2246
8.531276 76.787 69.1800
8.593097 76.839 69.1352
8.655366 76.892 69.0900
8.718086 76.944 69.0442
8.781260 76.997 68.9980
8.844893 77.049 68.9516
8.908987 77.102 68.9050
8.973545 77.154 68.8581
9.038571 77.207 68.8110
9.104069 77.259 68.7637
9.170040 77.312 68.7160
9.236490 77.365 68.6677
9.303422 77.418 68.6190
9.370838 77.471 68.5702
9.438744 77.523 68.5210
9.507140 77.575 68.4712
9.576033 77.628 68.4210
9.645425 77.680 68.3706
9.715320 77.733 68.3200
9.785721 77.785 68.2692
9.856632 77.838 68.2180
9.928058 77.890 68.1663
10.000000 77.943 68.1140
10.072464 77.995 68.0612
10.145453 78.048 68.0081
10.218971 78.100 67.9547
10.293022 78.153 67.9010
10.367610 78.205 67.8472
10.442738 78.258 67.7930
10.518411 78.310 67.7382
10.594631 78.363 67.6830
10.671404 78.416 67.6277
10.748734 78.469 67.5720
10.826623 78.522 67.5158
10.905077 78.574 67.4590
10.984100 78.626 67.4017
11.063695 78.679 67.3440
11.143867 78.731 67.2862
11.224621 78.784 67.2280
11.305959 78.836 67.1692
11.387886 78.889 67.1100
11.470407 78.941 67.0507
11.553527 78.994 66.9910
11.637249 79.046 66.9308
11.721577 79.099 66.8701
11.806517 79.151 66.8088
11.892071 79.204 66.7471
11.978246 79.256 66.6847
12.065045 79.309 66.6220
12.152473 79.361 66.5592
12.240536 79.414 66.4960
12.329235 79.467 66.4322
12.418578 79.520 66.3681
12.508568 79.573 66.3038
12.599211 79.625 66.2390
12.690510 79.677 66.1733
12.782471 79.730 66.1071
12.875097 79.782 66.0407
12.968395 79.835 65.9740
13.062370 79.887 65.9068
13.157025 79.940 65.8390
13.252366 79.992 65.7707
13.348398 80.045 65.7021
13.445127 80.097 65.6333
13.542556 80.150 65.5641
13.640691 80.202 65.4938
13.739536 80.255 65.4230
13.839099 80.307 65.3522
13.939383 80.360 65.2811
14.040393 80.412 65.2092
14.142136 80.465 65.1370
14.244616 80.518 65.0648
14.347837 80.571 64.9920
14.451808 80.624 64.9183
14.556532 80.676 64.8440
14.662014 80.728 64.7697
14.768262 80.781 64.6951
14.875278 80.833 64.6198
14.983070 80.886 64.5441
15.091644 80.938 64.4678
15.201005 80.991 64.3911
15.311157 81.043 64.3137
15.422109 81.096 64.2361
15.533863 81.148 64.1582
15.646428 81.201 64.0800
15.759809 81.253 64.0012
15.874010 81.306 63.9221
15.989040 81.358 63.8427
16.104904 81.411 63.7631
16.221605 81.463 63.6827
16.339155 81.516 63.6021
16.457554 81.569 63.5217
16.576813 81.622 63.4411
16.696936 81.675 63.3597
16.817928 81.727 63.2780
16.939798 81.779 63.1966
17.062551 81.832 63.1151
17.186193 81.884 63.0331
17.310732 81.937 62.9511
17.436172 81.989 62.8690
17.562521 82.042 62.7871
17.689787 82.094 62.7050
17.817974 82.147 62.6231
17.947090 82.199 62.5419
18.077143 82.252 62.4610
18.208138 82.304 62.3803
18.340080 82.357 62.3001
18.472980 82.409 62.2211
18.606844 82.462 62.1430
18.741676 82.514 62.0656
18.877487 82.567 61.9891
19.014280 82.620 61.9136
19.152065 82.673 61.8401
19.290850 82.725 61.7686
19.430639 82.777 61.7010
19.571442 82.828 61.6384
19.713264 82.879 61.5841
19.856115 82.929 61.5404
20.000000 82.979 61.5120
20.144928 83.030 61.5050
20.290907 83.083 61.5170
20.437943 83.141 61.5508
20.586044 83.205 61.5970
20.735220 83.276 61.6516
20.885475 83.356 61.7000
21.036821 83.445 61.7327
21.189262 83.544 61.7300
21.342808 83.653 61.6735
21.497467 83.767 61.5492
21.653246 83.884 61.3355
21.810154 84.000 61.0365
21.968201 84.108 60.6425
22.127390 84.207 60.1736
22.287735 84.291 59.6358
22.449242 84.359 59.0605
22.611917 84.407 58.4694
22.775772 84.436 57.8977
22.940815 84.445 57.3804
23.107054 84.440 56.9395
23.274498 84.424 56.6098
23.443153 84.404 56.3882
23.613033 84.386 56.2916
23.784142 84.376 56.2960
23.956491 84.380 56.3951
24.130091 84.400 56.5518
24.304947 84.442 56.7372
24.481071 84.501 56.9208
24.658470 84.577 57.0670
24.837156 84.666 57.1619
25.017136 84.764 57.1798
25.198421 84.868 57.1211
25.381020 84.972 56.9719
25.564941 85.072 56.7492
25.750195 85.163 56.4586
25.936790 85.247 56.1214
26.124741 85.321 55.7581
26.314051 85.387 55.3775
26.504732 85.446 54.9934
26.696796 85.499 54.6125
26.890253 85.545 54.2451
27.085112 85.586 53.8944
27.281382 85.624 53.5681
27.479073 85.660 53.2624
27.678198 85.695 52.9760
27.878765 85.730 52.7084
28.080786 85.763 52.4598
28.284271 85.797 52.2263
28.489231 85.833 52.0040
28.695675 85.869 51.7923
28.903616 85.904 51.5878
29.113064 85.939 51.3953
29.324028 85.972 51.2182
29.536524 86.006 51.0572
29.750557 86.042 50.9136
29.966141 86.079 50.7881
30.183289 86.116 50.6829
30.402010 86.157 50.5951
30.622314 86.203 50.5262
30.844217 86.254 50.4661
31.067726 86.312 50.4084
31.292856 86.377 50.3431
31.519617 86.448 50.2606
31.748020 86.525 50.1531
31.978081 86.607 50.0108
32.209808 86.693 49.8313
32.443211 86.780 49.6086
32.678310 86.867 49.3434
32.915108 86.954 49.0334
33.153625 87.039 48.6814
33.393871 87.121 48.2870
33.635857 87.199 47.8577
33.879597 87.271 47.3986
34.125103 87.337 46.9167
34.372387 87.398 46.4182
34.621464 87.452 45.9108
34.872345 87.499 45.4011
35.125042 87.540 44.8976
35.379574 87.575 44.4105
35.635948 87.606 43.9416
35.894180 87.635 43.4968
36.154285 87.663 43.0736
36.416275 87.690 42.6731
36.680161 87.718 42.2906
36.945961 87.748 41.9251
37.213688 87.781 41.5665
37.483353 87.818 41.2064
37.754974 87.857 40.8386
38.028561 87.898 40.4559
38.304131 87.940 40.0536
38.581699 87.983 39.6247
38.861279 88.026 39.1687
39.142883 88.066 38.6799
39.426529 88.101 38.1667
39.712231 88.129 37.6321
40.000000 88.150 37.0868
40.289856 88.165 36.5388
40.581814 88.172 35.9988
40.875885 88.170 35.4776
41.172089 88.162 34.9827
41.470440 88.149 34.5251
41.770950 88.133 34.1057
42.073643 88.114 33.7297
42.378525 88.095 33.3944
42.685616 88.076 33.1013
42.994934 88.060 32.8423
43.306492 88.048 32.6129
43.620308 88.040 32.4053
43.936401 88.035 32.2104
44.254780 88.033 32.0273
44.575470 88.033 31.8525
44.898483 88.036 31.6843
45.223835 88.041 31.5196
45.551544 88.049 31.3582
45.881630 88.058 31.1995
46.214108 88.069 31.0422
46.548996 88.083 30.8852
46.886307 88.098 30.7282
47.226067 88.114 30.5718
47.568283 88.133 30.4133
47.912983 88.155 30.2521
48.260181 88.179 30.0833
48.609894 88.206 29.9020
48.962143 88.235 29.7073
49.316940 88.264 29.4970
49.674313 88.294 29.2704
50.034271 88.325 29.0265
50.396843 88.356 28.7644
50.762039 88.386 28.4819
51.129883 88.415 28.1825
51.500389 88.441 27.8674
51.873581 88.465 27.5416
52.249481 88.485 27.2093
52.628101 88.503 26.8736
53.009464 88.518 26.5381
53.393593 88.531 26.2046
53.780506 88.542 25.8763
54.170223 88.552 25.5525
54.562763 88.561 25.2336
54.958145 88.569 24.9195
55.356396 88.576 24.6106
55.757530 88.582 24.3055
56.161572 88.588 24.0028
56.568542 88.593 23.7025
56.978462 88.597 23.4035
57.391350 88.601 23.1075
57.807232 88.603 22.8160
58.226128 88.605 22.5295
58.648056 88.606 22.2492
59.073048 88.606 21.9745
59.501114 88.606 21.7050
59.932281 88.606 21.4405
60.366577 88.606 21.1808
60.804020 88.606 20.9254
61.244629 88.606 20.6737
61.688435 88.606 20.4254
62.135452 88.606 20.1802
62.585712 88.606 19.9374
63.039234 88.607 19.6967
63.496040 88.608 19.4574
63.956161 88.608 19.2196
64.419617 88.609 18.9814
64.886421 88.611 18.7415
65.356621 88.614 18.4984
65.830215 88.616 18.2495
66.307251 88.618 17.9975
66.787743 88.618 17.7448
67.271713 88.618 17.4905
67.759193 88.618 17.2345
68.250206 88.618 16.9765
68.744774 88.616 16.7154
69.242928 88.614 16.4525
69.744690 88.611 16.1894
70.250084 88.608 15.9235
70.759148 88.605 15.6530
71.271896 88.600 15.3775
71.788361 88.594 15.0950
72.308571 88.586 14.8095
72.832550 88.575 14.5234
73.360321 88.561 14.2395
73.891922 88.544 13.9600
74.427376 88.525 13.6895
74.966705 88.503 13.4324
75.509949 88.478 13.1914
76.057121 88.451 12.9709
76.608261 88.424 12.7704
77.163399 88.397 12.5919
77.722557 88.370 12.4323
78.285767 88.345 12.2907
78.853058 88.321 12.1623
79.424461 88.300 12.0430
80.000000 88.280 11.9302
80.579712 88.262 11.8196
81.163628 88.244 11.7122
81.751770 88.227 11.6080
82.344177 88.210 11.5062
82.940880 88.194 11.4053
83.541901 88.178 11.3072
84.147285 88.161 11.2118
84.757050 88.144 11.1232
85.371231 88.127 11.0459
85.989868 88.110 10.9781
86.612984 88.095 10.9201
87.240616 88.081 10.8701
87.872803 88.069 10.8278
88.509560 88.059 10.7891
89.150940 88.052 10.7508
89.796967 88.047 10.7091
90.447670 88.045 10.6594
91.103088 88.044 10.6011
91.763260 88.043 10.5324
92.428215 88.043 10.4522
93.097992 88.044 10.3578
93.772614 88.045 10.2522
94.452133 88.042 10.1361
95.136566 88.038 10.0143
95.825966 88.033 9.8913
96.520363 88.026 9.7683
97.219788 88.018 9.6473
