* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\nectar sound ambrosia_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:15:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\nectar sound ambrosia_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: nectar sound ambrosia_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 64.381 85.8990
5.036232 64.409 85.8772
5.072727 64.440 85.8540
5.109486 64.476 85.8277
5.146511 64.518 85.7980
5.183805 64.568 85.7627
5.221369 64.622 85.7250
5.259205 64.678 85.6876
5.297316 64.736 85.6490
5.335702 64.799 85.6083
5.374367 64.863 85.5670
5.413311 64.927 85.5264
5.452538 64.990 85.4860
5.492050 65.053 85.4456
5.531847 65.116 85.4050
5.571934 65.179 85.3636
5.612310 65.243 85.3220
5.652979 65.307 85.2806
5.693943 65.370 85.2390
5.735204 65.433 85.1966
5.776763 65.496 85.1540
5.818624 65.559 85.1116
5.860788 65.623 85.0690
5.903258 65.687 85.0257
5.946035 65.750 84.9820
5.989123 65.813 84.9381
6.032523 65.876 84.8940
6.076237 65.939 84.8496
6.120268 66.003 84.8050
6.164618 66.067 84.7602
6.209289 66.130 84.7150
6.254284 66.193 84.6692
6.299605 66.256 84.6230
6.345255 66.319 84.5766
6.391235 66.383 84.5300
6.437549 66.447 84.4831
6.484198 66.510 84.4360
6.531185 66.573 84.3887
6.578513 66.636 84.3410
6.626183 66.699 84.2927
6.674199 66.763 84.2440
6.722563 66.827 84.1951
6.771278 66.890 84.1460
6.820345 66.953 84.0967
6.869768 67.016 84.0470
6.919549 67.079 83.9968
6.969691 67.143 83.9460
7.020196 67.207 83.8946
7.071068 67.270 83.8430
7.122308 67.333 83.7917
7.173919 67.396 83.7400
7.225904 67.459 83.6873
7.278266 67.523 83.6340
7.331007 67.587 83.5806
7.384131 67.650 83.5270
7.437639 67.713 83.4732
7.491535 67.776 83.4190
7.545822 67.839 83.3642
7.600502 67.903 83.3090
7.655579 67.967 83.2538
7.711054 68.030 83.1980
7.766932 68.093 83.1413
7.823214 68.156 83.0840
7.879904 68.219 83.0266
7.937005 68.283 82.9690
7.994520 68.346 82.9112
8.052452 68.410 82.8530
8.110803 68.474 82.7943
8.169578 68.537 82.7350
8.228777 68.600 82.6753
8.288406 68.663 82.6150
8.348468 68.726 82.5543
8.408964 68.790 82.4930
8.469899 68.854 82.4312
8.531276 68.917 82.3690
8.593097 68.980 82.3068
8.655366 69.043 82.2440
8.718086 69.106 82.1803
8.781260 69.170 82.1160
8.844893 69.234 82.0517
8.908987 69.297 81.9870
8.973545 69.360 81.9218
9.038571 69.423 81.8560
9.104069 69.486 81.7898
9.170040 69.550 81.7230
9.236490 69.614 81.6553
9.303422 69.677 81.5870
9.370838 69.740 81.5187
9.438744 69.803 81.4500
9.507140 69.866 81.3808
9.576033 69.930 81.3110
9.645425 69.994 81.2408
9.715320 70.057 81.1700
9.785721 70.120 81.0984
9.856632 70.183 81.0260
9.928058 70.246 80.9532
10.000000 70.310 80.8800
10.072464 70.374 80.8069
10.145453 70.437 80.7331
10.218971 70.500 80.6579
10.293022 70.563 80.5820
10.367610 70.626 80.5063
10.442738 70.690 80.4300
10.518411 70.754 80.3528
10.594631 70.817 80.2750
10.671404 70.880 80.1968
10.748734 70.943 80.1180
10.826623 71.006 80.0383
10.905077 71.070 79.9581
10.984100 71.134 79.8774
11.063695 71.197 79.7961
11.143867 71.260 79.7138
11.224621 71.323 79.6310
11.305959 71.386 79.5479
11.387886 71.450 79.4641
11.470407 71.514 79.3794
11.553527 71.577 79.2940
11.637249 71.640 79.2079
11.721577 71.703 79.1211
11.806517 71.766 79.0339
11.892071 71.830 78.9461
11.978246 71.894 78.8574
12.065045 71.957 78.7680
12.152473 72.020 78.6779
12.240536 72.083 78.5870
12.329235 72.146 78.4954
12.418578 72.210 78.4031
12.508568 72.274 78.3099
12.599211 72.337 78.2161
12.690510 72.400 78.1214
12.782471 72.463 78.0261
12.875097 72.526 77.9305
12.968395 72.590 77.8341
13.062370 72.654 77.7365
13.157025 72.717 77.6380
13.252366 72.780 77.5384
13.348398 72.843 77.4381
13.445127 72.906 77.3375
13.542556 72.970 77.2361
13.640691 73.033 77.1335
13.739536 73.097 77.0300
13.839099 73.161 76.9259
13.939383 73.224 76.8211
14.040393 73.287 76.7155
14.142136 73.350 76.6090
14.244616 73.413 76.5015
14.347837 73.477 76.3930
14.451808 73.541 76.2835
14.556532 73.604 76.1730
14.662014 73.667 76.0621
14.768262 73.730 75.9501
14.875278 73.793 75.8366
14.983070 73.857 75.7221
15.091644 73.921 75.6071
15.201005 73.984 75.4911
15.311157 74.047 75.3736
15.422109 74.110 75.2551
15.533863 74.173 75.1361
15.646428 74.237 75.0161
15.759809 74.301 74.8946
15.874010 74.364 74.7721
15.989040 74.427 74.6491
16.104904 74.490 74.5251
16.221605 74.553 74.3998
16.339155 74.617 74.2732
16.457554 74.680 74.1452
16.576813 74.744 74.0161
16.696936 74.807 73.8861
16.817928 74.870 73.7551
16.939798 74.933 73.6227
17.062551 74.997 73.4892
17.186193 75.061 73.3547
17.310732 75.124 73.2191
17.436172 75.187 73.0822
17.562521 75.250 72.9441
17.689787 75.313 72.8047
17.817974 75.377 72.6642
17.947090 75.441 72.5227
18.077143 75.504 72.3801
18.208138 75.567 72.2362
18.340080 75.630 72.0912
18.472980 75.693 71.9447
18.606844 75.757 71.7971
18.741676 75.821 71.6480
18.877487 75.884 71.4982
19.014280 75.947 71.3479
19.152065 76.010 71.1972
19.290850 76.073 71.0464
19.430639 76.137 70.8951
19.571442 76.201 70.7430
19.713264 76.266 70.5892
19.856115 76.331 70.4337
20.000000 76.397 70.2742
20.144928 76.464 70.1087
20.290907 76.532 69.9362
20.437943 76.599 69.7540
20.586044 76.666 69.5651
20.735220 76.730 69.3711
20.885475 76.794 69.1732
21.036821 76.858 68.9736
21.189262 76.921 68.7723
21.342808 76.983 68.5693
21.497467 77.045 68.3672
21.653246 77.105 68.1691
21.810154 77.165 67.9743
21.968201 77.226 67.7841
22.127390 77.288 67.5952
22.287735 77.350 67.4046
22.449242 77.413 67.2122
22.611917 77.477 67.0173
22.775772 77.541 66.8182
22.940815 77.606 66.6130
23.107054 77.672 66.4013
23.274498 77.737 66.1823
23.443153 77.803 65.9553
23.613033 77.869 65.7193
23.784142 77.935 65.4742
23.956491 78.000 65.2186
24.130091 78.063 64.9553
24.304947 78.125 64.6862
24.481071 78.185 64.4124
24.658470 78.244 64.1348
24.837156 78.301 63.8554
25.017136 78.357 63.5758
25.198421 78.411 63.2983
25.381020 78.464 63.0261
25.564941 78.516 62.7582
25.750195 78.568 62.4947
25.936790 78.619 62.2363
26.124741 78.669 61.9833
26.314051 78.719 61.7373
26.504732 78.769 61.5012
26.696796 78.820 61.2713
26.890253 78.873 61.0451
27.085112 78.927 60.8213
27.281382 78.982 60.5987
27.479073 79.039 60.3743
27.678198 79.098 60.1464
27.878765 79.160 59.9093
28.080786 79.223 59.6570
28.284271 79.287 59.3894
28.489231 79.351 59.1042
28.695675 79.415 58.8014
28.903616 79.478 58.4794
29.113064 79.539 58.1405
29.324028 79.597 57.7841
29.536524 79.653 57.4174
29.750557 79.704 57.0470
29.966141 79.753 56.6744
30.183289 79.800 56.3025
30.402010 79.844 55.9334
30.622314 79.885 55.5694
30.844217 79.923 55.2134
31.067726 79.960 54.8706
31.292856 79.997 54.5375
31.519617 80.034 54.2128
31.748020 80.071 53.8954
31.978081 80.107 53.5839
32.209808 80.144 53.2784
32.443211 80.181 52.9796
32.678310 80.219 52.6834
32.915108 80.257 52.3857
33.153625 80.296 52.0874
33.393871 80.334 51.7882
33.635857 80.373 51.4875
33.879597 80.413 51.1847
34.125103 80.452 50.8784
34.372387 80.490 50.5664
34.621464 80.528 50.2505
34.872345 80.565 49.9318
35.125042 80.602 49.6104
35.379574 80.638 49.2865
35.635948 80.673 48.9604
35.894180 80.707 48.6320
36.154285 80.740 48.3025
36.416275 80.772 47.9728
36.680161 80.802 47.6435
36.945961 80.831 47.3147
37.213688 80.859 46.9885
37.483353 80.885 46.6669
37.754974 80.910 46.3505
38.028561 80.934 46.0409
38.304131 80.958 45.7374
38.581699 80.982 45.4397
38.861279 81.005 45.1474
39.142883 81.028 44.8596
39.426529 81.051 44.5774
39.712231 81.073 44.3020
40.000000 81.095 44.0324
40.289856 81.117 43.7681
40.581814 81.140 43.5084
40.875885 81.163 43.2528
41.172089 81.187 43.0004
41.470440 81.211 42.7504
41.770950 81.235 42.5024
42.073643 81.261 42.2568
42.378525 81.287 42.0103
42.685616 81.314 41.7599
42.994934 81.341 41.5054
43.306492 81.369 41.2456
43.620308 81.396 40.9814
43.936401 81.422 40.7125
44.254780 81.447 40.4414
44.575470 81.471 40.1708
44.898483 81.495 39.9004
45.223835 81.518 39.6308
45.551544 81.540 39.3634
45.881630 81.561 39.0993
46.214108 81.582 38.8394
46.548996 81.603 38.5860
46.886307 81.624 38.3364
47.226067 81.646 38.0893
47.568283 81.668 37.8434
47.912983 81.690 37.5972
48.260181 81.713 37.3504
48.609894 81.735 37.1026
48.962143 81.758 36.8534
49.316940 81.781 36.6018
49.674313 81.804 36.3484
50.034271 81.827 36.0937
50.396843 81.849 35.8374
50.762039 81.871 35.5788
51.129883 81.892 35.3194
51.500389 81.912 35.0604
51.873581 81.932 34.8024
52.249481 81.952 34.5473
52.628101 81.972 34.2924
53.009464 81.993 34.0356
53.393593 82.014 33.7774
53.780506 82.033 33.5178
54.170223 82.052 33.2574
54.562763 82.071 32.9973
54.958145 82.090 32.7364
55.356396 82.108 32.4735
55.757530 82.126 32.2104
56.161572 82.143 31.9487
56.568542 82.159 31.6884
56.978462 82.175 31.4307
57.391350 82.191 31.1745
57.807232 82.207 30.9190
58.226128 82.222 30.6644
58.648056 82.237 30.4110
59.073048 82.253 30.1574
59.501114 82.269 29.9025
59.932281 82.285 29.6465
60.366577 82.300 29.3890
60.804020 82.314 29.1304
61.244629 82.329 28.8711
61.688435 82.343 28.6104
62.135452 82.356 28.3471
62.585712 82.369 28.0835
63.039234 82.380 27.8218
63.496040 82.391 27.5614
63.956161 82.403 27.3029
64.419617 82.414 27.0445
64.886421 82.425 26.7837
65.356621 82.434 26.5234
65.830215 82.441 26.2656
66.307251 82.448 26.0105
66.787743 82.456 25.7596
67.271713 82.463 25.5125
67.759193 82.469 25.2689
68.250206 82.474 25.0294
68.744774 82.479 24.7952
69.242928 82.485 24.5644
69.744690 82.491 24.3356
70.250084 82.498 24.1084
70.759148 82.503 23.8822
71.271896 82.509 23.6574
71.788361 82.515 23.4345
72.308571 82.522 23.2124
72.832550 82.528 22.9899
73.360321 82.534 22.7684
73.891922 82.539 22.5497
74.427376 82.545 22.3314
74.966705 82.551 22.1118
75.509949 82.558 21.8914
76.057121 82.564 21.6702
76.608261 82.569 21.4474
77.163399 82.575 21.2220
77.722557 82.580 20.9945
78.285767 82.584 20.7646
78.853058 82.588 20.5345
79.424461 82.590 20.3056
80.000000 82.592 20.0794
80.579712 82.593 19.8584
81.163628 82.593 19.6414
81.751770 82.593 19.4282
82.344177 82.593 19.2184
82.940880 82.593 19.0120
83.541901 82.593 18.8084
84.147285 82.593 18.6073
84.757050 82.593 18.4084
85.371231 82.593 18.2111
85.989868 82.593 18.0154
86.612984 82.593 17.8208
87.240616 82.593 17.6274
87.872803 82.593 17.4349
88.509560 82.593 17.2434
89.150940 82.593 17.0526
89.796967 82.593 16.8624
90.447670 82.593 16.6725
91.103088 82.593 16.4824
91.763260 82.593 16.2918
92.428215 82.593 16.1004
93.097992 82.593 15.9076
93.772614 82.593 15.7134
94.452133 82.593 15.5174
95.136566 82.592 15.3194
95.825966 82.590 15.1185
96.520363 82.588 14.9164
