* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser_HD_600_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:33:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser_HD_600_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sennheiser_HD_600_5128_SP
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 68.482 79.5860
5.036232 68.508 79.5720
5.072727 68.536 79.5570
5.109486 68.569 79.5396
5.146511 68.606 79.5200
5.183805 68.651 79.4971
5.221369 68.700 79.4730
5.259205 68.751 79.4497
5.297316 68.804 79.4260
5.335702 68.861 79.4011
5.374367 68.919 79.3760
5.413311 68.976 79.3514
5.452538 69.034 79.3270
5.492050 69.091 79.3025
5.531847 69.149 79.2780
5.571934 69.206 79.2536
5.612310 69.264 79.2290
5.652979 69.321 79.2041
5.693943 69.379 79.1790
5.735204 69.437 79.1536
5.776763 69.494 79.1280
5.818624 69.551 79.1026
5.860788 69.609 79.0770
5.903258 69.666 79.0511
5.946035 69.724 79.0250
5.989123 69.781 78.9991
6.032523 69.839 78.9730
6.076237 69.897 78.9466
6.120268 69.955 78.9200
6.164618 70.013 78.8931
6.209289 70.070 78.8660
6.254284 70.127 78.8386
6.299605 70.185 78.8110
6.345255 70.242 78.7836
6.391235 70.300 78.7560
6.437549 70.357 78.7281
6.484198 70.415 78.7000
6.531185 70.472 78.6716
6.578513 70.530 78.6430
6.626183 70.587 78.6146
6.674199 70.645 78.5860
6.722563 70.702 78.5571
6.771278 70.760 78.5280
6.820345 70.817 78.4986
6.869768 70.875 78.4690
6.919549 70.932 78.4391
6.969691 70.990 78.4090
7.020196 71.047 78.3786
7.071068 71.105 78.3480
7.122308 71.162 78.3176
7.173919 71.220 78.2870
7.225904 71.277 78.2562
7.278266 71.335 78.2250
7.331007 71.392 78.1931
7.384131 71.450 78.1610
7.437639 71.507 78.1291
7.491535 71.565 78.0970
7.545822 71.622 78.0646
7.600502 71.680 78.0320
7.655579 71.737 77.9996
7.711054 71.795 77.9670
7.766932 71.852 77.9337
7.823214 71.910 77.9000
7.879904 71.967 77.8661
7.937005 72.025 77.8320
7.994520 72.082 77.7976
8.052452 72.140 77.7630
8.110803 72.197 77.7286
8.169578 72.255 77.6940
8.228777 72.312 77.6587
8.288406 72.370 77.6230
8.348468 72.427 77.5871
8.408964 72.485 77.5510
8.469899 72.542 77.5151
8.531276 72.600 77.4790
8.593097 72.657 77.4422
8.655366 72.715 77.4050
8.718086 72.772 77.3676
8.781260 72.830 77.3300
8.844893 72.887 77.2921
8.908987 72.945 77.2540
8.973545 73.002 77.2156
9.038571 73.060 77.1770
9.104069 73.117 77.1382
9.170040 73.175 77.0990
9.236490 73.232 77.0591
9.303422 73.290 77.0190
9.370838 73.347 76.9791
9.438744 73.405 76.9390
9.507140 73.462 76.8981
9.576033 73.520 76.8570
9.645425 73.577 76.8161
9.715320 73.635 76.7750
9.785721 73.692 76.7333
9.856632 73.750 76.6910
9.928058 73.807 76.6481
10.000000 73.865 76.6050
10.072464 73.922 76.5622
10.145453 73.980 76.5190
10.218971 74.038 76.4752
10.293022 74.096 76.4310
10.367610 74.154 76.3866
10.442738 74.211 76.3420
10.518411 74.268 76.2972
10.594631 74.326 76.2520
10.671404 74.383 76.2062
10.748734 74.441 76.1600
10.826623 74.498 76.1137
10.905077 74.556 76.0670
10.984100 74.613 76.0197
11.063695 74.671 75.9720
11.143867 74.728 75.9241
11.224621 74.786 75.8760
11.305959 74.843 75.8277
11.387886 74.901 75.7790
11.470407 74.958 75.7297
11.553527 75.016 75.6800
11.637249 75.073 75.6302
11.721577 75.131 75.5800
11.806517 75.188 75.5292
11.892071 75.246 75.4780
11.978246 75.303 75.4267
12.065045 75.361 75.3750
12.152473 75.418 75.3227
12.240536 75.476 75.2700
12.329235 75.533 75.2172
12.418578 75.591 75.1640
12.508568 75.648 75.1103
12.599211 75.706 75.0560
12.690510 75.763 75.0012
12.782471 75.821 74.9461
12.875097 75.878 74.8908
12.968395 75.936 74.8350
13.062370 75.993 74.7782
13.157025 76.051 74.7210
13.252366 76.108 74.6642
13.348398 76.166 74.6070
13.445127 76.223 74.5488
13.542556 76.281 74.4901
13.640691 76.338 74.4312
13.739536 76.396 74.3720
13.839099 76.453 74.3123
13.939383 76.511 74.2521
14.040393 76.568 74.1913
14.142136 76.626 74.1300
14.244616 76.683 74.0683
14.347837 76.741 74.0060
14.451808 76.798 73.9433
14.556532 76.856 73.8800
14.662014 76.913 73.8163
14.768262 76.971 73.7521
14.875278 77.028 73.6873
14.983070 77.086 73.6221
15.091644 77.143 73.5563
15.201005 77.201 73.4900
15.311157 77.258 73.4233
15.422109 77.316 73.3560
15.533863 77.373 73.2884
15.646428 77.431 73.2200
15.759809 77.488 73.1508
15.874010 77.546 73.0811
15.989040 77.603 73.0113
16.104904 77.661 72.9411
16.221605 77.718 72.8699
16.339155 77.776 72.7981
16.457554 77.833 72.7258
16.576813 77.891 72.6531
16.696936 77.948 72.5799
16.817928 78.006 72.5060
16.939798 78.063 72.4314
17.062551 78.121 72.3561
17.186193 78.179 72.2803
17.310732 78.237 72.2040
17.436172 78.295 72.1274
17.562521 78.352 72.0501
17.689787 78.409 71.9719
17.817974 78.467 71.8931
17.947090 78.524 71.8139
18.077143 78.582 71.7340
18.208138 78.639 71.6534
18.340080 78.697 71.5721
18.472980 78.754 71.4903
18.606844 78.812 71.4080
18.741676 78.869 71.3254
18.877487 78.927 71.2421
19.014280 78.984 71.1578
19.152065 79.042 71.0731
19.290850 79.099 70.9884
19.430639 79.157 70.9031
19.571442 79.215 70.8163
19.713264 79.272 70.7291
19.856115 79.329 70.6421
20.000000 79.386 70.5551
20.144928 79.443 70.4678
20.290907 79.501 70.3811
20.437943 79.558 70.2960
20.586044 79.616 70.2121
20.735220 79.674 70.1294
20.885475 79.732 70.0471
21.036821 79.791 69.9645
21.189262 79.851 69.8801
21.342808 79.912 69.7927
21.497467 79.974 69.7011
21.653246 80.036 69.6041
21.810154 80.098 69.5011
21.968201 80.160 69.3906
22.127390 80.222 69.2741
22.287735 80.284 69.1525
22.449242 80.345 69.0261
22.611917 80.406 68.8959
22.775772 80.466 68.7612
22.940815 80.526 68.6205
23.107054 80.586 68.4762
23.274498 80.644 68.3301
23.443153 80.701 68.1822
23.613033 80.758 68.0328
23.784142 80.814 67.8821
23.956491 80.869 67.7297
24.130091 80.923 67.5782
24.304947 80.976 67.4307
24.481071 81.028 67.2862
24.658470 81.080 67.1446
24.837156 81.133 67.0052
25.017136 81.185 66.8668
25.198421 81.237 66.7301
25.381020 81.289 66.5959
25.564941 81.340 66.4631
25.750195 81.391 66.3303
25.936790 81.442 66.2002
26.124741 81.491 66.0744
26.314051 81.540 65.9552
26.504732 81.589 65.8461
26.696796 81.639 65.7441
26.890253 81.690 65.6473
27.085112 81.743 65.5551
27.281382 81.796 65.4678
27.479073 81.851 65.3811
27.678198 81.909 65.2920
27.878765 81.970 65.1971
28.080786 82.031 65.0927
28.284271 82.093 64.9772
28.489231 82.156 64.8475
28.695675 82.220 64.7052
28.903616 82.282 64.5498
29.113064 82.342 64.3842
29.324028 82.401 64.2104
29.536524 82.459 64.0312
29.750557 82.514 63.8487
29.966141 82.568 63.6672
30.183289 82.619 63.4911
30.402010 82.669 63.3222
30.622314 82.719 63.1650
30.844217 82.769 63.0162
31.067726 82.820 62.8746
31.292856 82.873 62.7382
31.519617 82.926 62.6060
31.748020 82.981 62.4742
31.978081 83.039 62.3405
32.209808 83.099 62.1992
32.443211 83.160 62.0433
32.678310 83.222 61.8742
32.915108 83.283 61.6901
33.153625 83.343 61.4932
33.393871 83.402 61.2845
33.635857 83.460 61.0663
33.879597 83.515 60.8392
34.125103 83.567 60.6093
34.372387 83.616 60.3817
34.621464 83.663 60.1603
34.872345 83.708 59.9515
35.125042 83.753 59.7532
35.379574 83.798 59.5665
35.635948 83.844 59.3892
35.894180 83.890 59.2212
36.154285 83.938 59.0582
36.416275 83.988 58.8972
36.680161 84.040 58.7353
36.945961 84.094 58.5693
37.213688 84.149 58.3963
37.483353 84.205 58.2122
37.754974 84.262 58.0163
38.028561 84.319 57.8061
38.304131 84.376 57.5833
38.581699 84.431 57.3480
38.861279 84.484 57.1034
39.142883 84.535 56.8522
39.426529 84.584 56.5964
39.712231 84.632 56.3378
40.000000 84.678 56.0794
40.289856 84.721 55.8232
40.581814 84.762 55.5734
40.875885 84.801 55.3351
41.172089 84.840 55.1063
41.470440 84.880 54.8875
41.770950 84.920 54.6763
42.073643 84.960 54.4714
42.378525 85.001 54.2713
42.685616 85.044 54.0758
42.994934 85.088 53.8803
43.306492 85.133 53.6800
43.620308 85.180 53.4743
43.936401 85.227 53.2613
44.254780 85.274 53.0404
44.575470 85.321 52.8096
44.898483 85.368 52.5704
45.223835 85.414 52.3227
45.551544 85.458 52.0694
45.881630 85.500 51.8127
46.214108 85.541 51.5544
46.548996 85.580 51.2961
46.886307 85.618 51.0404
47.226067 85.654 50.7905
47.568283 85.689 50.5464
47.912983 85.724 50.3099
48.260181 85.759 50.0794
48.609894 85.794 49.8548
48.962143 85.830 49.6333
49.316940 85.867 49.4123
49.674313 85.905 49.1914
50.034271 85.942 48.9692
50.396843 85.979 48.7463
50.762039 86.016 48.5230
51.129883 86.053 48.2994
51.500389 86.090 48.0749
51.873581 86.126 47.8514
52.249481 86.162 47.6307
52.628101 86.198 47.4124
53.009464 86.235 47.1974
53.393593 86.274 46.9824
53.780506 86.313 46.7652
54.170223 86.354 46.5434
54.562763 86.395 46.3138
54.958145 86.437 46.0754
55.356396 86.480 45.8261
55.757530 86.522 45.5664
56.161572 86.563 45.2955
56.568542 86.603 45.0155
56.978462 86.642 44.7274
57.391350 86.679 44.4335
57.807232 86.715 44.1365
58.226128 86.749 43.8365
58.648056 86.782 43.5345
59.073048 86.814 43.2305
59.501114 86.846 42.9253
59.932281 86.877 42.6176
60.366577 86.907 42.3061
60.804020 86.935 41.9915
61.244629 86.962 41.6747
61.688435 86.989 41.3546
62.135452 87.015 41.0301
62.585712 87.039 40.7016
63.039234 87.061 40.3675
63.496040 87.080 40.0316
63.956161 87.097 39.6973
64.419617 87.111 39.3646
64.886421 87.124 39.0340
65.356621 87.135 38.7076
65.830215 87.142 38.3868
66.307251 87.146 38.0746
66.787743 87.149 37.7743
67.271713 87.149 37.4865
67.759193 87.147 37.2123
68.250206 87.143 36.9535
68.744774 87.137 36.7122
69.242928 87.130 36.4884
69.744690 87.123 36.2816
70.250084 87.114 36.0943
70.759148 87.103 35.9279
71.271896 87.091 35.7862
71.788361 87.078 35.6736
72.308571 87.066 35.5901
72.832550 87.054 35.5373
73.360321 87.044 35.5160
73.891922 87.036 35.5296
74.427376 87.032 35.5729
74.966705 87.034 35.6440
75.509949 87.041 35.7358
76.057121 87.055 35.8437
76.608261 87.076 35.9588
77.163399 87.105 36.0740
77.722557 87.142 36.1788
78.285767 87.187 36.2619
78.853058 87.237 36.3189
79.424461 87.291 36.3424
80.000000 87.349 36.3311
80.579712 87.409 36.2803
81.163628 87.470 36.1922
81.751770 87.530 36.0654
82.344177 87.588 35.9064
82.940880 87.643 35.7194
83.541901 87.696 35.5094
84.147285 87.745 35.2812
84.757050 87.792 35.0395
85.371231 87.835 34.7896
85.989868 87.876 34.5345
86.612984 87.914 34.2789
87.240616 87.950 34.0225
87.872803 87.985 33.7671
88.509560 88.019 33.5115
89.150940 88.053 33.2560
89.796967 88.087 32.9985
90.447670 88.120 32.7372
91.103088 88.152 32.4716
91.763260 88.184 32.2001
92.428215 88.215 31.9236
93.097992 88.244 31.6413
93.772614 88.271 31.3556
94.452133 88.297 31.0683
95.136566 88.322 30.7796
95.825966 88.345 30.4898
