* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD650 5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:50:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD650 5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HD650 5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 67.931 82.1660
5.036232 67.957 82.1521
5.072727 67.986 82.1370
5.109486 68.020 82.1192
5.146511 68.059 82.0990
5.183805 68.105 82.0756
5.221369 68.156 82.0510
5.259205 68.209 82.0277
5.297316 68.264 82.0040
5.335702 68.322 81.9786
5.374367 68.382 81.9530
5.413311 68.441 81.9284
5.452538 68.501 81.9040
5.492050 68.561 81.8796
5.531847 68.620 81.8550
5.571934 68.679 81.8301
5.612310 68.738 81.8050
5.652979 68.798 81.7801
5.693943 68.857 81.7550
5.735204 68.916 81.7296
5.776763 68.975 81.7040
5.818624 69.034 81.6781
5.860788 69.094 81.6520
5.903258 69.154 81.6261
5.946035 69.213 81.6000
5.989123 69.272 81.5736
6.032523 69.331 81.5470
6.076237 69.390 81.5206
6.120268 69.450 81.4940
6.164618 69.510 81.4666
6.209289 69.569 81.4390
6.254284 69.628 81.4121
6.299605 69.687 81.3850
6.345255 69.746 81.3571
6.391235 69.806 81.3290
6.437549 69.866 81.3011
6.484198 69.925 81.2730
6.531185 69.984 81.2446
6.578513 70.043 81.2160
6.626183 70.102 81.1871
6.674199 70.162 81.1580
6.722563 70.222 81.1286
6.771278 70.281 81.0990
6.820345 70.340 81.0696
6.869768 70.399 81.0400
6.919549 70.458 81.0101
6.969691 70.518 80.9800
7.020196 70.578 80.9496
7.071068 70.637 80.9190
7.122308 70.696 80.8881
7.173919 70.755 80.8570
7.225904 70.814 80.8256
7.278266 70.874 80.7940
7.331007 70.934 80.7626
7.384131 70.993 80.7310
7.437639 71.052 80.6986
7.491535 71.111 80.6660
7.545822 71.170 80.6336
7.600502 71.230 80.6010
7.655579 71.290 80.5681
7.711054 71.349 80.5350
7.766932 71.408 80.5016
7.823214 71.467 80.4680
7.879904 71.526 80.4341
7.937005 71.586 80.4000
7.994520 71.646 80.3656
8.052452 71.705 80.3310
8.110803 71.764 80.2961
8.169578 71.823 80.2610
8.228777 71.882 80.2256
8.288406 71.942 80.1900
8.348468 72.002 80.1541
8.408964 72.061 80.1180
8.469899 72.120 80.0816
8.531276 72.179 80.0450
8.593097 72.238 80.0081
8.655366 72.298 79.9710
8.718086 72.358 79.9336
8.781260 72.417 79.8960
8.844893 72.476 79.8581
8.908987 72.535 79.8200
8.973545 72.594 79.7817
9.038571 72.654 79.7430
9.104069 72.714 79.7036
9.170040 72.773 79.6640
9.236490 72.832 79.6246
9.303422 72.891 79.5850
9.370838 72.950 79.5446
9.438744 73.010 79.5040
9.507140 73.069 79.4636
9.576033 73.128 79.4230
9.645425 73.187 79.3817
9.715320 73.247 79.3400
9.785721 73.307 79.2982
9.856632 73.366 79.2560
9.928058 73.425 79.2131
10.000000 73.484 79.1700
10.072464 73.543 79.1272
10.145453 73.603 79.0840
10.218971 73.663 79.0402
10.293022 73.722 78.9960
10.367610 73.781 78.9516
10.442738 73.840 78.9070
10.518411 73.899 78.8622
10.594631 73.959 78.8170
10.671404 74.019 78.7712
10.748734 74.078 78.7250
10.826623 74.137 78.6786
10.905077 74.196 78.6320
10.984100 74.255 78.5852
11.063695 74.315 78.5380
11.143867 74.375 78.4907
11.224621 74.434 78.4430
11.305959 74.493 78.3947
11.387886 74.552 78.3460
11.470407 74.611 78.2972
11.553527 74.671 78.2480
11.637249 74.731 78.1982
11.721577 74.790 78.1480
11.806517 74.849 78.0977
11.892071 74.908 78.0470
11.978246 74.967 77.9957
12.065045 75.027 77.9440
12.152473 75.087 77.8922
12.240536 75.146 77.8400
12.329235 75.205 77.7872
12.418578 75.264 77.7340
12.508568 75.323 77.6807
12.599211 75.383 77.6270
12.690510 75.443 77.5727
12.782471 75.502 77.5181
12.875097 75.561 77.4632
12.968395 75.620 77.4080
13.062370 75.679 77.3528
13.157025 75.739 77.2970
13.252366 75.799 77.2403
13.348398 75.858 77.1830
13.445127 75.917 77.1257
13.542556 75.976 77.0681
13.640691 76.035 77.0102
13.739536 76.095 76.9520
13.839099 76.155 76.8933
13.939383 76.214 76.8341
14.040393 76.273 76.7742
14.142136 76.332 76.7140
14.244616 76.391 76.6537
14.347837 76.451 76.5930
14.451808 76.511 76.5318
14.556532 76.570 76.4700
14.662014 76.629 76.4077
14.768262 76.688 76.3451
14.875278 76.747 76.2823
14.983070 76.807 76.2191
15.091644 76.866 76.1547
15.201005 76.925 76.0900
15.311157 76.984 76.0257
15.422109 77.044 75.9610
15.533863 77.104 75.8953
15.646428 77.163 75.8290
15.759809 77.222 75.7627
15.874010 77.281 75.6960
15.989040 77.340 75.6287
16.104904 77.400 75.5611
16.221605 77.460 75.4932
16.339155 77.519 75.4251
16.457554 77.578 75.3568
16.576813 77.637 75.2881
16.696936 77.696 75.2188
16.817928 77.756 75.1490
16.939798 77.815 75.0787
17.062551 77.875 75.0081
17.186193 77.934 74.9376
17.310732 77.993 74.8670
17.436172 78.052 74.7962
17.562521 78.112 74.7251
17.689787 78.172 74.6536
17.817974 78.231 74.5821
17.947090 78.290 74.5105
18.077143 78.349 74.4390
18.208138 78.408 74.3680
18.340080 78.468 74.2971
18.472980 78.528 74.2259
18.606844 78.587 74.1550
18.741676 78.646 74.0852
18.877487 78.705 74.0161
19.014280 78.764 73.9475
19.152065 78.824 73.8801
19.290850 78.884 73.8140
19.430639 78.943 73.7500
19.571442 79.002 73.6886
19.713264 79.061 73.6311
19.856115 79.120 73.5790
20.000000 79.180 73.5330
20.144928 79.241 73.4943
20.290907 79.303 73.4630
20.437943 79.367 73.4415
20.586044 79.433 73.4240
20.735220 79.504 73.4090
20.885475 79.579 73.3870
21.036821 79.660 73.3511
21.189262 79.745 73.2921
21.342808 79.834 73.1995
21.497467 79.924 73.0702
21.653246 80.014 72.8961
21.810154 80.101 72.6823
21.968201 80.183 72.4268
22.127390 80.260 72.1433
22.287735 80.328 71.8400
22.449242 80.388 71.5322
22.611917 80.439 71.2354
22.775772 80.484 70.9583
22.940815 80.524 70.7147
23.107054 80.561 70.5053
23.274498 80.598 70.3380
23.443153 80.636 70.2042
23.613033 80.678 70.1012
23.784142 80.724 70.0181
23.956491 80.776 69.9462
24.130091 80.832 69.8761
24.304947 80.893 69.7965
24.481071 80.957 69.7041
24.658470 81.023 69.5907
24.837156 81.089 69.4592
25.017136 81.154 69.3088
25.198421 81.218 69.1432
25.381020 81.281 68.9640
25.564941 81.341 68.7762
25.750195 81.398 68.5834
25.936790 81.453 68.3902
26.124741 81.506 68.2028
26.314051 81.558 68.0202
26.504732 81.609 67.8440
26.696796 81.659 67.6742
26.890253 81.709 67.5117
27.085112 81.758 67.3562
27.281382 81.808 67.2080
27.479073 81.858 67.0662
27.678198 81.908 66.9300
27.878765 81.959 66.7992
28.080786 82.010 66.6739
28.284271 82.063 66.5522
28.489231 82.117 66.4333
28.695675 82.173 66.3142
28.903616 82.231 66.1917
29.113064 82.290 66.0642
29.324028 82.350 65.9294
29.536524 82.411 65.7862
29.750557 82.472 65.6328
29.966141 82.534 65.4692
30.183289 82.595 65.2938
30.402010 82.656 65.1092
30.622314 82.715 64.9174
30.844217 82.774 64.7182
31.067726 82.832 64.5116
31.292856 82.888 64.2993
31.519617 82.942 64.0820
31.748020 82.995 63.8633
31.978081 83.046 63.6464
32.209808 83.095 63.4333
32.443211 83.143 63.2266
32.678310 83.189 63.0273
32.915108 83.235 62.8372
33.153625 83.280 62.6562
33.393871 83.326 62.4856
33.635857 83.373 62.3222
33.879597 83.422 62.1646
34.125103 83.472 62.0092
34.372387 83.524 61.8533
34.621464 83.577 61.6932
34.872345 83.632 61.5242
35.125042 83.688 61.3472
35.379574 83.742 61.1605
35.635948 83.795 60.9682
35.894180 83.848 60.7739
36.154285 83.900 60.5783
36.416275 83.952 60.3835
36.680161 84.004 60.1883
36.945961 84.056 59.9928
37.213688 84.109 59.7953
37.483353 84.163 59.5957
37.754974 84.218 59.3893
38.028561 84.275 59.1729
38.304131 84.333 58.9413
38.581699 84.391 58.6873
38.861279 84.447 58.4144
39.142883 84.499 58.1209
39.426529 84.548 57.8164
39.712231 84.591 57.5076
40.000000 84.630 57.2024
40.289856 84.663 56.9087
40.581814 84.693 56.6344
40.875885 84.718 56.3904
41.172089 84.743 56.1753
41.470440 84.769 55.9941
41.770950 84.798 55.8382
42.073643 84.831 55.7041
42.378525 84.869 55.5812
42.685616 84.912 55.4605
42.994934 84.959 55.3342
43.306492 85.011 55.1918
43.620308 85.065 55.0313
43.936401 85.120 54.8454
44.254780 85.175 54.6383
44.575470 85.228 54.4101
44.898483 85.279 54.1664
45.223835 85.327 53.9111
45.551544 85.372 53.6494
45.881630 85.415 53.3867
46.214108 85.456 53.1254
46.548996 85.494 52.8695
46.886307 85.531 52.6194
47.226067 85.568 52.3769
47.568283 85.604 52.1414
47.912983 85.640 51.9131
48.260181 85.675 51.6914
48.609894 85.711 51.4766
48.962143 85.747 51.2663
49.316940 85.785 51.0588
49.674313 85.824 50.8523
50.034271 85.863 50.6443
50.396843 85.902 50.4353
50.762039 85.941 50.2257
51.129883 85.981 50.0144
51.500389 86.022 49.8007
51.873581 86.063 49.5834
52.249481 86.104 49.3607
52.628101 86.146 49.1334
53.009464 86.187 48.9016
53.393593 86.229 48.6654
53.780506 86.270 48.4255
54.170223 86.311 48.1804
54.562763 86.353 47.9292
54.958145 86.395 47.6714
55.356396 86.436 47.4064
55.757530 86.476 47.1334
56.161572 86.516 46.8505
56.568542 86.556 46.5605
56.978462 86.593 46.2650
57.391350 86.628 45.9656
57.807232 86.662 45.6642
58.226128 86.695 45.3605
58.648056 86.727 45.0546
59.073048 86.758 44.7475
59.501114 86.786 44.4406
59.932281 86.814 44.1335
60.366577 86.842 43.8274
60.804020 86.870 43.5195
61.244629 86.896 43.2068
61.688435 86.921 42.8915
62.135452 86.944 42.5747
62.585712 86.965 42.2565
63.039234 86.985 41.9370
63.496040 87.004 41.6175
63.956161 87.020 41.2991
64.419617 87.034 40.9826
64.886421 87.048 40.6707
65.356621 87.060 40.3595
65.830215 87.072 40.0453
66.307251 87.081 39.7306
66.787743 87.086 39.4160
67.271713 87.088 39.1046
67.759193 87.088 38.7987
68.250206 87.084 38.5005
68.744774 87.076 38.2094
69.242928 87.064 37.9355
69.744690 87.045 37.6859
70.250084 87.021 37.4694
70.759148 86.994 37.2958
71.271896 86.965 37.1682
71.788361 86.934 37.0918
72.308571 86.903 37.0690
72.832550 86.874 37.1056
73.360321 86.848 37.1958
73.891922 86.829 37.3401
74.427376 86.818 37.5256
74.966705 86.817 37.7442
75.509949 86.827 37.9826
76.057121 86.848 38.2283
76.608261 86.879 38.4705
77.163399 86.920 38.6967
77.722557 86.969 38.8996
78.285767 87.026 39.0686
78.853058 87.090 39.2008
79.424461 87.158 39.2894
80.000000 87.229 39.3350
80.579712 87.302 39.3349
81.163628 87.377 39.2921
81.751770 87.450 39.2073
82.344177 87.523 39.0843
82.940880 87.594 38.9254
83.541901 87.662 38.7354
84.147285 87.727 38.5180
84.757050 87.789 38.2785
85.371231 87.847 38.0225
85.989868 87.902 37.7526
86.612984 87.955 37.4733
87.240616 88.005 37.1846
87.872803 88.053 36.8875
88.509560 88.099 36.5826
89.150940 88.143 36.2709
89.796967 88.185 35.9527
90.447670 88.225 35.6285
91.103088 88.262 35.2987
91.763260 88.297 34.9626
92.428215 88.330 34.6237
93.097992 88.359 34.2834
93.772614 88.384 33.9467
94.452133 88.406 33.6187
95.136566 88.427 33.2997
95.825966 88.447 32.9926
96.520363 88.466 32.6946
97.219788 88.485 32.4040
