* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser_HD800S_Resolve.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 7:51:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser_HD800S_Resolve.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sennheiser_HD800S_Resolve
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.715 20.1050
5.036232 79.721 20.1046
5.072727 79.728 20.1040
5.109486 79.737 20.1029
5.146511 79.748 20.1020
5.183805 79.760 20.1019
5.221369 79.774 20.1020
5.259205 79.788 20.1019
5.297316 79.802 20.1020
5.335702 79.815 20.1029
5.374367 79.829 20.1040
5.413311 79.843 20.1045
5.452538 79.857 20.1050
5.492050 79.871 20.1059
5.531847 79.885 20.1070
5.571934 79.899 20.1080
5.612310 79.913 20.1090
5.652979 79.927 20.1099
5.693943 79.941 20.1110
5.735204 79.954 20.1125
5.776763 79.968 20.1140
5.818624 79.982 20.1151
5.860788 79.996 20.1160
5.903258 80.010 20.1169
5.946035 80.024 20.1180
5.989123 80.038 20.1195
6.032523 80.052 20.1210
6.076237 80.066 20.1220
6.120268 80.080 20.1230
6.164618 80.094 20.1245
6.209289 80.108 20.1260
6.254284 80.121 20.1270
6.299605 80.135 20.1280
6.345255 80.149 20.1294
6.391235 80.163 20.1310
6.437549 80.177 20.1325
6.484198 80.191 20.1340
6.531185 80.205 20.1355
6.578513 80.219 20.1370
6.626183 80.233 20.1385
6.674199 80.247 20.1400
6.722563 80.260 20.1415
6.771278 80.274 20.1430
6.820345 80.288 20.1445
6.869768 80.302 20.1460
6.919549 80.316 20.1475
6.969691 80.330 20.1490
7.020196 80.344 20.1504
7.071068 80.358 20.1520
7.122308 80.372 20.1540
7.173919 80.386 20.1560
7.225904 80.399 20.1575
7.278266 80.413 20.1590
7.331007 80.427 20.1610
7.384131 80.441 20.1630
7.437639 80.455 20.1645
7.491535 80.469 20.1660
7.545822 80.483 20.1679
7.600502 80.497 20.1700
7.655579 80.511 20.1720
7.711054 80.525 20.1740
7.766932 80.539 20.1760
7.823214 80.553 20.1780
7.879904 80.566 20.1800
7.937005 80.580 20.1820
7.994520 80.594 20.1840
8.052452 80.608 20.1860
8.110803 80.622 20.1879
8.169578 80.636 20.1900
8.228777 80.650 20.1925
8.288406 80.664 20.1950
8.348468 80.678 20.1970
8.408964 80.692 20.1990
8.469899 80.705 20.2015
8.531276 80.719 20.2040
8.593097 80.733 20.2060
8.655366 80.747 20.2080
8.718086 80.761 20.2104
8.781260 80.775 20.2130
8.844893 80.789 20.2155
8.908987 80.803 20.2180
8.973545 80.817 20.2204
9.038571 80.831 20.2230
9.104069 80.844 20.2260
9.170040 80.858 20.2290
9.236490 80.872 20.2315
9.303422 80.886 20.2340
9.370838 80.900 20.2370
9.438744 80.914 20.2400
9.507140 80.928 20.2425
9.576033 80.942 20.2450
9.645425 80.956 20.2479
9.715320 80.970 20.2510
9.785721 80.984 20.2539
9.856632 80.998 20.2570
9.928058 81.011 20.2605
10.000000 81.025 20.2640
10.072464 81.039 20.2670
10.145453 81.053 20.2700
10.218971 81.067 20.2734
10.293022 81.081 20.2770
10.367610 81.095 20.2805
10.442738 81.109 20.2840
10.518411 81.123 20.2875
10.594631 81.137 20.2910
10.671404 81.150 20.2945
10.748734 81.164 20.2980
10.826623 81.178 20.3014
10.905077 81.192 20.3050
10.984100 81.206 20.3089
11.063695 81.220 20.3130
11.143867 81.234 20.3169
11.224621 81.248 20.3210
11.305959 81.262 20.3255
11.387886 81.276 20.3300
11.470407 81.290 20.3340
11.553527 81.304 20.3380
11.637249 81.317 20.3424
11.721577 81.331 20.3470
11.806517 81.345 20.3514
11.892071 81.359 20.3560
11.978246 81.373 20.3609
12.065045 81.387 20.3660
12.152473 81.401 20.3710
12.240536 81.415 20.3760
12.329235 81.429 20.3809
12.418578 81.443 20.3860
12.508568 81.456 20.3914
12.599211 81.470 20.3970
12.690510 81.484 20.4025
12.782471 81.498 20.4080
12.875097 81.512 20.4134
12.968395 81.526 20.4190
13.062370 81.540 20.4249
13.157025 81.554 20.4310
13.252366 81.568 20.4374
13.348398 81.582 20.4440
13.445127 81.595 20.4505
13.542556 81.609 20.4570
13.640691 81.623 20.4634
13.739536 81.637 20.4700
13.839099 81.651 20.4774
13.939383 81.665 20.4850
14.040393 81.679 20.4925
14.142136 81.693 20.5000
14.244616 81.707 20.5074
14.347837 81.721 20.5150
14.451808 81.735 20.5234
14.556532 81.749 20.5320
14.662014 81.762 20.5404
14.768262 81.776 20.5490
14.875278 81.790 20.5579
14.983070 81.804 20.5670
15.091644 81.818 20.5764
15.201005 81.832 20.5860
15.311157 81.846 20.5959
15.422109 81.860 20.6060
15.533863 81.874 20.6164
15.646428 81.888 20.6270
15.759809 81.901 20.6378
15.874010 81.915 20.6490
15.989040 81.929 20.6607
16.104904 81.943 20.6730
16.221605 81.957 20.6858
16.339155 81.971 20.6990
16.457554 81.985 20.7122
16.576813 81.999 20.7260
16.696936 82.013 20.7407
16.817928 82.027 20.7560
16.939798 82.040 20.7717
17.062551 82.054 20.7880
17.186193 82.068 20.8051
17.310732 82.082 20.8230
17.436172 82.096 20.8416
17.562521 82.110 20.8610
17.689787 82.124 20.8814
17.817974 82.138 20.9030
17.947090 82.152 20.9263
18.077143 82.166 20.9510
18.208138 82.180 20.9766
18.340080 82.194 21.0040
18.472980 82.207 21.0338
18.606844 82.221 21.0660
18.741676 82.235 21.1002
18.877487 82.249 21.1380
19.014280 82.263 21.1808
19.152065 82.277 21.2289
19.290850 82.291 21.2828
19.430639 82.305 21.3430
19.571442 82.319 21.4112
19.713264 82.335 21.4849
19.856115 82.352 21.5639
20.000000 82.373 21.6429
20.144928 82.399 21.7179
20.290907 82.428 21.7849
20.437943 82.461 21.8390
20.586044 82.496 21.8790
20.735220 82.533 21.9026
20.885475 82.570 21.9090
21.036821 82.607 21.8961
21.189262 82.642 21.8651
21.342808 82.675 21.8149
21.497467 82.705 21.7501
21.653246 82.732 21.6751
21.810154 82.758 21.5891
21.968201 82.785 21.4916
22.127390 82.809 21.3861
22.287735 82.829 21.2749
22.449242 82.845 21.1621
22.611917 82.859 21.0509
22.775772 82.869 20.9471
22.940815 82.872 20.8546
23.107054 82.869 20.7821
23.274498 82.860 20.7394
23.443153 82.848 20.7270
23.613033 82.837 20.7498
23.784142 82.827 20.8039
23.956491 82.819 20.8897
24.130091 82.817 20.9989
24.304947 82.826 21.1264
24.481071 82.842 21.2628
24.658470 82.864 21.3986
24.837156 82.892 21.5288
25.017136 82.924 21.6466
25.198421 82.959 21.7479
25.381020 82.997 21.8256
25.564941 83.036 21.8820
25.750195 83.073 21.9154
25.936790 83.110 21.9310
26.124741 83.147 21.9326
26.314051 83.184 21.9220
26.504732 83.218 21.9015
26.696796 83.250 21.8730
26.890253 83.282 21.8385
27.085112 83.312 21.8000
27.281382 83.339 21.7610
27.479073 83.367 21.7191
27.678198 83.398 21.6749
27.878765 83.431 21.6231
28.080786 83.467 21.5594
28.284271 83.505 21.4801
28.489231 83.546 21.3800
28.695675 83.587 21.2592
28.903616 83.628 21.1146
29.113064 83.667 20.9502
29.324028 83.700 20.7670
29.536524 83.727 20.5712
29.750557 83.748 20.3675
29.966141 83.764 20.1622
30.183289 83.773 19.9622
30.402010 83.778 19.7712
30.622314 83.780 19.5958
30.844217 83.781 19.4342
31.067726 83.781 19.2887
31.292856 83.783 19.1532
31.519617 83.788 19.0246
31.748020 83.795 18.8962
31.978081 83.806 18.7592
32.209808 83.817 18.6172
32.443211 83.825 18.4682
32.678310 83.830 18.3202
32.915108 83.829 18.1771
33.153625 83.820 18.0491
33.393871 83.801 17.9449
33.635857 83.775 17.8731
33.879597 83.742 17.8458
34.125103 83.708 17.8610
34.372387 83.680 17.9256
34.621464 83.660 18.0248
34.872345 83.652 18.1516
35.125042 83.656 18.2898
35.379574 83.674 18.4258
35.635948 83.703 18.5449
35.894180 83.741 18.6286
36.154285 83.783 18.6750
36.416275 83.825 18.6727
36.680161 83.865 18.6311
36.945961 83.898 18.5527
37.213688 83.926 18.4462
37.483353 83.947 18.3188
37.754974 83.963 18.1772
38.028561 83.972 18.0285
38.304131 83.977 17.8782
38.581699 83.979 17.7343
38.861279 83.979 17.5962
39.142883 83.979 17.4658
39.426529 83.978 17.3442
39.712231 83.973 17.2321
40.000000 83.966 17.1321
40.289856 83.955 17.0483
40.581814 83.943 16.9771
40.875885 83.931 16.9164
41.172089 83.919 16.8661
41.470440 83.906 16.8261
41.770950 83.894 16.7940
42.073643 83.886 16.7683
42.378525 83.880 16.7470
42.685616 83.873 16.7270
42.994934 83.865 16.7100
43.306492 83.853 16.6960
43.620308 83.839 16.6870
43.936401 83.822 16.6834
44.254780 83.803 16.6900
44.575470 83.780 16.7110
44.898483 83.755 16.7489
45.223835 83.731 16.8067
45.551544 83.705 16.8879
45.881630 83.676 16.9953
46.214108 83.644 17.1338
46.548996 83.611 17.3089
46.886307 83.578 17.5216
47.226067 83.545 17.7734
47.568283 83.513 18.0675
47.912983 83.481 18.4098
48.260181 83.455 18.7933
48.609894 83.439 19.2177
48.962143 83.432 19.6693
49.316940 83.437 20.1382
49.674313 83.453 20.6132
50.034271 83.482 21.0835
50.396843 83.521 21.5383
50.762039 83.572 21.9638
51.129883 83.629 22.3594
51.500389 83.689 22.7181
51.873581 83.751 23.0445
52.249481 83.812 23.3400
52.628101 83.874 23.6066
53.009464 83.935 23.8463
53.393593 83.997 24.0607
53.780506 84.062 24.2526
54.170223 84.130 24.4197
54.562763 84.201 24.5629
54.958145 84.276 24.6758
55.356396 84.357 24.7530
55.757530 84.440 24.7940
56.161572 84.520 24.7948
56.568542 84.598 24.7611
56.978462 84.671 24.6958
57.391350 84.741 24.6022
57.807232 84.807 24.4826
58.226128 84.868 24.3423
58.648056 84.923 24.1861
59.073048 84.975 24.0173
59.501114 85.026 23.8402
59.932281 85.074 23.6563
60.366577 85.119 23.4679
60.804020 85.161 23.2773
61.244629 85.199 23.0879
61.688435 85.235 22.8993
62.135452 85.268 22.7119
62.585712 85.299 22.5273
63.039234 85.326 22.3476
63.496040 85.352 22.1723
63.956161 85.380 22.0028
64.419617 85.408 21.8363
64.886421 85.435 21.6702
65.356621 85.462 21.5053
65.830215 85.487 21.3419
66.307251 85.512 21.1793
66.787743 85.536 21.0174
67.271713 85.559 20.8553
67.759193 85.581 20.6911
68.250206 85.602 20.5283
68.744774 85.619 20.3702
69.242928 85.635 20.2163
69.744690 85.653 20.0683
70.250084 85.672 19.9223
70.759148 85.691 19.7737
71.271896 85.708 19.6263
71.788361 85.722 19.4833
72.308571 85.736 19.3423
72.832550 85.753 19.2035
73.360321 85.771 19.0623
73.891922 85.790 18.9121
74.427376 85.807 18.7583
74.966705 85.821 18.6037
75.509949 85.833 18.4493
76.057121 85.846 18.2968
76.608261 85.857 18.1463
77.163399 85.864 17.9969
77.722557 85.868 17.8533
78.285767 85.870 17.7191
78.853058 85.870 17.5962
79.424461 85.871 17.4878
80.000000 85.871 17.3932
80.579712 85.871 17.3124
81.163628 85.871 17.2461
81.751770 85.871 17.1964
82.344177 85.873 17.1591
82.940880 85.877 17.1317
83.541901 85.884 17.1110
84.147285 85.894 17.0940
84.757050 85.908 17.0770
85.371231 85.924 17.0572
85.989868 85.944 17.0301
86.612984 85.968 16.9905
87.240616 85.993 16.9371
87.872803 86.018 16.8669
88.509560 86.043 16.7802
89.150940 86.069 16.6749
89.796967 86.093 16.5553
90.447670 86.112 16.4232
91.103088 86.129 16.2833
91.763260 86.143 16.1398
92.428215 86.155 15.9953
93.097992 86.162 15.8527
93.772614 86.167 15.7153
94.452133 86.169 15.5868
95.136566 86.169 15.4692
95.825966 86.169 15.3667
96.520363 86.169 15.2772
