* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He-1_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:53:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He-1_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He-1_5128_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.661 57.3850
5.036232 82.680 57.3666
5.072727 82.701 57.3470
5.109486 82.726 57.3246
5.146511 82.754 57.2990
5.183805 82.787 57.2686
5.221369 82.824 57.2360
5.259205 82.862 57.2036
5.297316 82.902 57.1700
5.335702 82.945 57.1339
5.374367 82.989 57.0970
5.413311 83.032 57.0610
5.452538 83.075 57.0250
5.492050 83.118 56.9886
5.531847 83.161 56.9520
5.571934 83.204 56.9156
5.612310 83.247 56.8790
5.652979 83.290 56.8416
5.693943 83.334 56.8040
5.735204 83.377 56.7666
5.776763 83.420 56.7290
5.818624 83.463 56.6906
5.860788 83.506 56.6520
5.903258 83.549 56.6136
5.946035 83.592 56.5750
5.989123 83.635 56.5357
6.032523 83.679 56.4960
6.076237 83.722 56.4561
6.120268 83.765 56.4160
6.164618 83.808 56.3756
6.209289 83.851 56.3350
6.254284 83.894 56.2941
6.299605 83.937 56.2530
6.345255 83.980 56.2116
6.391235 84.023 56.1700
6.437549 84.066 56.1282
6.484198 84.110 56.0860
6.531185 84.153 56.0432
6.578513 84.196 56.0000
6.626183 84.239 55.9566
6.674199 84.282 55.9130
6.722563 84.325 55.8691
6.771278 84.368 55.8250
6.820345 84.411 55.7807
6.869768 84.455 55.7360
6.919549 84.498 55.6907
6.969691 84.541 55.6450
7.020196 84.584 55.5991
7.071068 84.627 55.5530
7.122308 84.670 55.5067
7.173919 84.713 55.4600
7.225904 84.756 55.4127
7.278266 84.800 55.3650
7.331007 84.843 55.3171
7.384131 84.886 55.2690
7.437639 84.929 55.2207
7.491535 84.972 55.1720
7.545822 85.015 55.1228
7.600502 85.058 55.0730
7.655579 85.101 55.0227
7.711054 85.145 54.9720
7.766932 85.188 54.9211
7.823214 85.231 54.8700
7.879904 85.274 54.8187
7.937005 85.317 54.7670
7.994520 85.360 54.7148
8.052452 85.403 54.6620
8.110803 85.446 54.6087
8.169578 85.489 54.5550
8.228777 85.532 54.5012
8.288406 85.576 54.4470
8.348468 85.619 54.3922
8.408964 85.662 54.3370
8.469899 85.705 54.2817
8.531276 85.748 54.2260
8.593097 85.791 54.1698
8.655366 85.834 54.1130
8.718086 85.877 54.0558
8.781260 85.921 53.9980
8.844893 85.964 53.9397
8.908987 86.007 53.8810
8.973545 86.050 53.8223
9.038571 86.093 53.7630
9.104069 86.136 53.7028
9.170040 86.179 53.6420
9.236490 86.222 53.5812
9.303422 86.266 53.5200
9.370838 86.309 53.4583
9.438744 86.352 53.3960
9.507140 86.395 53.3333
9.576033 86.438 53.2700
9.645425 86.481 53.2063
9.715320 86.524 53.1420
9.785721 86.567 53.0773
9.856632 86.611 53.0120
9.928058 86.654 52.9463
10.000000 86.697 52.8800
10.072464 86.740 52.8133
10.145453 86.783 52.7461
10.218971 86.826 52.6784
10.293022 86.869 52.6100
10.367610 86.912 52.5408
10.442738 86.955 52.4710
10.518411 86.998 52.4013
10.594631 87.042 52.3310
10.671404 87.085 52.2598
10.748734 87.128 52.1880
10.826623 87.171 52.1158
10.905077 87.214 52.0431
10.984100 87.257 51.9694
11.063695 87.300 51.8950
11.143867 87.343 51.8203
11.224621 87.387 51.7450
11.305959 87.430 51.6694
11.387886 87.473 51.5931
11.470407 87.516 51.5159
11.553527 87.559 51.4380
11.637249 87.602 51.3599
11.721577 87.645 51.2811
11.806517 87.688 51.2015
11.892071 87.732 51.1211
11.978246 87.775 51.0399
12.065045 87.818 50.9580
12.152473 87.861 50.8753
12.240536 87.904 50.7920
12.329235 87.947 50.7084
12.418578 87.990 50.6241
12.508568 88.033 50.5390
12.599211 88.077 50.4530
12.690510 88.120 50.3659
12.782471 88.163 50.2781
12.875097 88.206 50.1899
12.968395 88.249 50.1011
13.062370 88.292 50.0115
13.157025 88.335 49.9210
13.252366 88.378 49.8295
13.348398 88.422 49.7371
13.445127 88.465 49.6440
13.542556 88.508 49.5501
13.640691 88.551 49.4555
13.739536 88.594 49.3600
13.839099 88.637 49.2635
13.939383 88.680 49.1661
14.040393 88.723 49.0681
14.142136 88.766 48.9690
14.244616 88.809 48.8685
14.347837 88.853 48.7670
14.451808 88.896 48.6650
14.556532 88.939 48.5620
14.662014 88.982 48.4581
14.768262 89.025 48.3531
14.875278 89.068 48.2467
14.983070 89.111 48.1391
15.091644 89.154 48.0307
15.201005 89.198 47.9211
15.311157 89.241 47.8102
15.422109 89.284 47.6981
15.533863 89.327 47.5847
15.646428 89.370 47.4701
15.759809 89.413 47.3542
15.874010 89.456 47.2371
15.989040 89.499 47.1188
16.104904 89.543 46.9991
16.221605 89.586 46.8779
16.339155 89.629 46.7552
16.457554 89.672 46.6309
16.576813 89.715 46.5051
16.696936 89.758 46.3775
16.817928 89.801 46.2481
16.939798 89.844 46.1171
17.062551 89.888 45.9842
17.186193 89.931 45.8491
17.310732 89.974 45.7121
17.436172 90.017 45.5732
17.562521 90.060 45.4321
17.689787 90.103 45.2885
17.817974 90.146 45.1422
17.947090 90.189 44.9926
18.077143 90.232 44.8401
18.208138 90.275 44.6850
18.340080 90.319 44.5262
18.472980 90.362 44.3626
18.606844 90.405 44.1941
18.741676 90.448 44.0209
18.877487 90.491 43.8412
19.014280 90.534 43.6534
19.152065 90.577 43.4562
19.290850 90.620 43.2484
19.430639 90.661 43.0291
19.571442 90.701 42.7965
19.713264 90.738 42.5533
19.856115 90.771 42.2993
20.000000 90.801 42.0423
20.144928 90.826 41.7881
20.290907 90.846 41.5422
20.437943 90.862 41.3102
20.586044 90.874 41.0981
20.735220 90.882 40.9125
20.885475 90.888 40.7582
21.036821 90.891 40.6427
21.189262 90.895 40.5641
21.342808 90.901 40.5243
21.497467 90.910 40.5180
21.653246 90.923 40.5418
21.810154 90.941 40.5909
21.968201 90.964 40.6625
22.127390 90.993 40.7479
22.287735 91.029 40.8410
22.449242 91.073 40.9319
22.611917 91.124 41.0112
22.775772 91.181 41.0719
22.940815 91.244 41.1057
23.107054 91.311 41.1080
23.274498 91.382 41.0723
23.443153 91.455 40.9971
23.613033 91.528 40.8766
23.784142 91.599 40.7172
23.956491 91.667 40.5210
24.130091 91.731 40.2953
24.304947 91.791 40.0448
24.481071 91.846 39.7784
24.658470 91.894 39.5048
24.837156 91.938 39.2294
25.017136 91.978 38.9591
25.198421 92.014 38.6983
25.381020 92.046 38.4525
25.564941 92.075 38.2242
25.750195 92.102 38.0180
25.936790 92.129 37.8332
26.124741 92.156 37.6706
26.314051 92.183 37.5302
26.504732 92.210 37.4123
26.696796 92.239 37.3171
26.890253 92.270 37.2458
27.085112 92.305 37.1950
27.281382 92.345 37.1645
27.479073 92.390 37.1470
27.678198 92.442 37.1395
27.878765 92.502 37.1300
28.080786 92.571 37.1094
28.284271 92.649 37.0661
28.489231 92.735 36.9896
28.695675 92.828 36.8672
28.903616 92.928 36.6851
29.113064 93.033 36.4354
29.324028 93.139 36.1046
29.536524 93.245 35.6955
29.750557 93.347 35.2040
29.966141 93.443 34.6377
30.183289 93.531 33.9993
30.402010 93.609 33.2999
30.622314 93.674 32.5463
30.844217 93.727 31.7530
31.067726 93.766 30.9323
31.292856 93.792 30.0973
31.519617 93.803 29.2602
31.748020 93.799 28.4350
31.978081 93.780 27.6361
32.209808 93.748 26.8750
32.443211 93.703 26.1642
32.678310 93.646 25.5148
32.915108 93.578 24.9384
33.153625 93.500 24.4455
33.393871 93.413 24.0489
33.635857 93.321 23.7544
33.879597 93.226 23.5718
34.125103 93.130 23.5020
34.372387 93.035 23.5512
34.621464 92.946 23.7127
34.872345 92.866 23.9862
35.125042 92.798 24.3595
35.379574 92.744 24.8267
35.635948 92.708 25.3683
35.894180 92.693 25.9711
36.154285 92.699 26.6101
36.416275 92.729 27.2636
36.680161 92.782 27.9080
36.945961 92.858 28.5190
37.213688 92.955 29.0772
37.483353 93.071 29.5600
37.754974 93.203 29.9525
38.028561 93.349 30.2330
38.304131 93.504 30.3989
38.581699 93.663 30.4372
38.861279 93.823 30.3572
39.142883 93.980 30.1600
39.426529 94.133 29.8565
39.712231 94.279 29.4537
40.000000 94.418 28.9638
40.289856 94.546 28.3958
40.581814 94.665 27.7660
40.875885 94.771 27.0916
41.172089 94.868 26.3791
41.470440 94.957 25.6393
41.770950 95.037 24.8763
42.073643 95.108 24.0952
42.378525 95.170 23.3041
42.685616 95.223 22.5128
42.994934 95.269 21.7211
43.306492 95.311 20.9319
43.620308 95.347 20.1462
43.936401 95.377 19.3651
44.254780 95.401 18.5912
44.575470 95.421 17.8284
44.898483 95.437 17.0732
45.223835 95.451 16.3241
45.551544 95.461 15.5791
45.881630 95.468 14.8360
46.214108 95.472 14.0942
46.548996 95.472 13.3519
46.886307 95.469 12.6092
47.226067 95.462 11.8639
47.568283 95.450 11.1202
47.912983 95.432 10.3801
48.260181 95.408 9.6482
48.609894 95.378 8.9276
48.962143 95.342 8.2250
49.316940 95.300 7.5464
49.674313 95.252 6.8970
50.034271 95.199 6.2837
50.396843 95.143 5.7078
50.762039 95.084 5.1741
51.129883 95.023 4.6788
51.500389 94.963 4.2210
51.873581 94.904 3.7967
52.249481 94.845 3.4027
52.628101 94.788 3.0356
53.009464 94.733 2.6919
53.393593 94.679 2.3685
53.780506 94.627 2.0617
54.170223 94.576 1.7705
54.562763 94.526 1.4926
54.958145 94.478 1.2274
55.356396 94.431 0.9739
55.757530 94.385 0.7304
56.161572 94.341 0.4949
56.568542 94.297 0.2674
56.978462 94.254 0.0477
57.391350 94.212 -0.1656
57.807232 94.172 -0.3734
58.226128 94.133 -0.5777
58.648056 94.094 -0.7818
59.073048 94.055 -0.9827
59.501114 94.016 -1.1782
59.932281 93.976 -1.3677
60.366577 93.936 -1.5499
60.804020 93.895 -1.7237
61.244629 93.855 -1.8877
61.688435 93.815 -2.0417
62.135452 93.775 -2.1861
62.585712 93.735 -2.3188
63.039234 93.695 -2.4371
63.496040 93.657 -2.5438
63.956161 93.622 -2.6396
64.419617 93.588 -2.7288
64.886421 93.556 -2.8166
65.356621 93.526 -2.9019
65.830215 93.496 -2.9848
66.307251 93.468 -3.0668
66.787743 93.443 -3.1485
67.271713 93.419 -3.2328
67.759193 93.396 -3.3241
68.250206 93.373 -3.4188
68.744774 93.349 -3.5151
69.242928 93.326 -3.6128
69.744690 93.304 -3.7106
70.250084 93.283 -3.8108
70.759148 93.262 -3.9162
71.271896 93.241 -4.0238
71.788361 93.219 -4.1312
72.308571 93.198 -4.2398
72.832550 93.178 -4.3495
73.360321 93.158 -4.4618
73.891922 93.137 -4.5787
74.427376 93.116 -4.6988
74.966705 93.095 -4.8205
75.509949 93.075 -4.9458
76.057121 93.055 -5.0763
76.608261 93.034 -5.2107
77.163399 93.011 -5.3493
77.722557 92.987 -5.4897
78.285767 92.962 -5.6297
78.853058 92.936 -5.7687
79.424461 92.909 -5.9062
80.000000 92.880 -6.0397
80.579712 92.849 -6.1669
81.163628 92.817 -6.2868
81.751770 92.785 -6.3976
82.344177 92.752 -6.4998
82.940880 92.719 -6.5931
83.541901 92.686 -6.6778
84.147285 92.653 -6.7541
84.757050 92.619 -6.8219
85.371231 92.586 -6.8810
85.989868 92.554 -6.9319
86.612984 92.522 -6.9749
87.240616 92.490 -7.0109
87.872803 92.460 -7.0404
88.509560 92.430 -7.0650
89.150940 92.402 -7.0861
89.796967 92.374 -7.1050
90.447670 92.348 -7.1233
91.103088 92.322 -7.1410
91.763260 92.297 -7.1577
92.428215 92.272 -7.1750
93.097992 92.248 -7.1946
93.772614 92.225 -7.2160
